Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,37.85,37.88,37.26,37.30,,,,,,,0,37.8800,0,2286,,,,,0
2023-07-14,37.27,37.55,36.90,37.32,,,,,,,0,37.8800,0,2127,,,,,0
2023-07-17,37.19,38.27,37.19,37.77,,,,,,,0,36.9000,1,5934,,,,,0
2023-07-18,37.77,38.35,37.27,37.75,,,,,,,0,36.9000,1,2137,,,,,0
2023-07-19,37.66,38.03,36.79,37.79,,,,,,,0,38.3500,0,10585,,,,,0
2023-07-20,37.88,39.89,37.88,39.34,,,,,,,0,36.7900,1,18218,,,,,0
2023-07-21,39.77,39.82,37.74,38.22,,,,,,,0,36.7900,1,5332,,,,,0
2023-07-24,38.35,39.30,38.23,38.75,,,,,,,0,36.8520,1,4177,,,,,0
2023-07-25,38.75,38.98,38.31,38.35,,,,,,,0,36.9128,1,1994,,,,,0
2023-07-26,38.46,38.81,38.00,38.13,38.07,,,,,41.8280,0,36.9723,1,1907,,,,,0
2023-07-27,38.21,38.28,37.17,37.39,38.08,,,,,41.1387,0,37.0307,1,2337,,,,,0
2023-07-28,37.72,38.30,37.65,37.99,38.15,,,,,41.1387,0,37.0878,1,3639,,,,,0
2023-07-31,38.20,38.59,37.90,37.98,38.17,,,,,41.1387,0,37.1439,1,2909,,,,,0
2023-08-01,37.66,38.42,37.45,38.31,38.23,,,,,41.1220,0,37.1988,1,6222,,,,,0
2023-08-02,37.87,38.59,37.84,38.03,38.25,,,,,41.1220,0,37.2526,1,2860,,,,,0
2023-08-03,37.78,37.90,37.03,37.23,38.04,,,,,40.5490,0,39.8900,0,2334,,,,,0
2023-08-04,37.21,37.62,36.99,37.07,37.92,,,,,40.2696,0,39.8328,0,3811,,,,,0
2023-08-07,37.08,38.16,36.77,37.87,37.83,,,,,40.2696,0,39.7191,0,3230,,,,,0
2023-08-08,37.51,37.76,37.05,37.76,37.78,,,,,40.2696,0,39.5421,0,2949,,,,,0
2023-08-09,32.50,33.82,28.70,32.08,37.17,37.62,,,,36.6984,0,39.3758,0,13993,,,,,0
2023-08-10,33.37,34.06,32.01,32.64,36.70,37.39,,,,36.6984,0,38.5217,0,6420,,,,,0
2023-08-11,32.54,33.85,32.29,33.24,36.22,37.18,,,,36.6984,0,37.7360,0,3856,,,,,0
2023-08-14,33.10,33.47,32.17,33.01,35.72,36.95,,,,36.6984,0,37.0131,0,4503,,,,,0
2023-08-15,32.80,33.80,32.63,33.57,35.25,36.74,,,,36.6984,0,36.3481,0,3565,,,,,0
2023-08-16,33.56,34.11,33.15,33.36,34.78,36.52,,,,36.6984,0,35.7362,0,4153,,,,,0
2023-08-17,33.42,33.97,33.27,33.57,34.42,36.23,,,,36.6984,0,35.1733,0,3612,,,,,0
2023-08-18,33.29,34.36,33.29,34.21,34.13,36.03,,,,36.6984,0,34.6555,0,3069,,,,,0
2023-08-21,34.28,34.70,33.88,34.13,33.76,35.80,,,,36.6984,0,28.7000,1,4171,,,,,0
2023-08-22,34.23,34.51,33.43,33.97,33.38,35.58,,,,36.6984,0,28.8200,1,3699,,,,,0
2023-08-23,33.90,35.03,33.90,34.90,33.66,35.42,,,,36.6984,0,28.9376,1,2460,,,,,0
2023-08-24,34.71,35.04,34.27,34.55,33.85,35.27,,,,36.6984,0,29.1813,1,2919,,,,,0
2023-08-25,34.57,35.44,34.44,35.10,34.04,35.13,,,,36.6984,0,29.5328,1,2187,,,,,0
2023-08-28,35.31,35.57,34.78,35.04,34.24,34.98,,,,36.6984,0,30.0054,1,2204,,,,,0
2023-08-29,34.93,35.72,34.80,35.68,34.45,34.85,,,,36.6984,0,30.5619,1,2323,,-0.9515,-1.4991,0.5476,0
2023-08-30,35.59,36.20,35.43,36.01,34.72,34.75,,,,36.6984,0,31.1808,1,4084,,-0.7859,-1.3564,0.5705,0
2023-08-31,36.02,36.40,35.46,35.57,34.92,34.67,,,,36.6984,0,31.8835,1,3002,,-0.6824,-1.2216,0.5392,0
2023-09-01,35.73,36.26,35.56,36.02,35.10,34.61,,,,36.6984,0,32.6062,1,3051,,-0.5576,-1.0888,0.5312,0
2023-09-05,35.72,35.76,34.17,35.27,35.21,34.48,,,,36.6984,0,33.2132,1,4137,,-0.5133,-0.9737,0.4604,0
2023-09-06,35.39,35.65,35.12,35.65,35.38,34.38,,,,36.6984,0,33.7231,1,2406,,-0.4424,-0.8675,0.4250,0
2023-09-07,35.52,35.69,34.33,35.45,35.43,34.55,,,,36.6984,0,34.1514,1,3502,,-0.3978,-0.7735,0.3757,0
2023-09-08,35.14,36.24,35.10,36.24,35.60,34.73,,,,36.6984,0,34.3300,1,3613,,-0.2953,-0.6779,0.3826,0
2023-09-11,36.24,36.82,35.90,36.68,35.76,34.90,,,,36.6984,0,34.3300,1,3631,,-0.1765,-0.5776,0.4011,0
2023-09-12,36.68,36.84,36.06,36.45,35.90,35.07,,,,36.6984,0,34.7782,1,2745,,-0.0998,-0.4820,0.3823,0
2023-09-13,36.64,37.53,36.46,37.16,36.05,35.25,,,,33.7721,1,35.1906,1,3404,,0.0181,-0.3820,0.4001,0
2023-09-14,37.57,37.98,37.23,37.48,36.20,35.46,,,,34.4584,1,35.6584,1,3770,,0.1358,-0.2785,0.4142,0
2023-09-15,37.69,37.70,36.60,36.96,36.34,35.63,,,,34.4584,1,36.1228,1,17271,,0.1850,-0.1858,0.3707,0
2023-09-18,37.16,37.26,36.23,36.24,36.36,35.73,,,,34.4584,1,37.9800,0,2258,,0.1639,-0.1158,0.2798,0
2023-09-19,36.03,36.67,34.01,35.41,36.37,35.79,,,,34.4584,1,37.9450,0,1894,,0.0794,-0.0768,0.1562,0
2023-09-20,35.67,35.87,35.10,35.15,36.32,35.85,,,,34.4584,1,37.7876,0,1452,,-0.0085,-0.0631,0.0546,0
2023-09-21,34.81,35.33,34.64,34.64,36.24,35.84,36.12,,,34.4584,1,37.6365,0,1573,4198,-0.1179,-0.0741,-0.0438,0
2023-09-22,34.91,35.08,34.35,34.54,36.07,35.84,36.06,,,34.4584,1,37.4914,0,1416,4181,-0.2103,-0.1013,-0.1090,0
2023-09-25,34.29,35.33,34.29,34.85,35.89,35.82,36.01,,,34.4584,1,37.3522,0,1446,4167,-0.2556,-0.1322,-0.1234,0
2023-09-26,34.58,35.31,33.99,34.06,35.65,35.78,35.94,,,37.9544,0,37.2185,0,3079,4110,-0.3511,-0.1760,-0.1752,0
2023-09-27,34.59,35.13,34.59,35.02,35.44,35.74,35.88,,,37.9544,0,37.0248,0,3723,4142,-0.3454,-0.2099,-0.1356,0
2023-09-28,35.05,36.03,34.85,35.79,35.27,35.73,35.84,,,37.9544,0,36.8427,0,2810,3986,-0.2756,-0.2230,-0.0526,0
2023-09-29,36.04,36.09,34.72,34.94,35.06,35.70,35.75,,,37.9544,0,36.6715,0,1904,3660,-0.2855,-0.2355,-0.0500,0
2023-10-02,34.65,34.87,34.20,34.78,34.92,35.64,35.69,,,37.8157,0,36.5106,0,1732,3588,-0.3028,-0.2490,-0.0539,0
2023-10-03,34.77,34.78,34.00,34.38,34.82,35.59,35.60,,,37.5766,0,36.3594,0,1877,3542,-0.3448,-0.2681,-0.0767,0
2023-10-04,34.23,34.79,33.87,34.67,34.77,35.54,35.52,,,37.4740,0,36.2172,0,1168,3526,-0.3507,-0.2847,-0.0660,0
2023-10-05,34.31,34.67,34.28,34.55,34.76,35.50,35.45,,,37.4216,0,36.0295,0,1486,3517,-0.3609,-0.2999,-0.0610,0
2023-10-06,34.65,34.90,34.01,34.39,34.74,35.41,35.39,,,37.3739,0,35.8567,0,1197,3494,-0.3775,-0.3154,-0.0621,0
2023-10-09,34.33,35.12,34.05,35.03,34.76,35.32,35.33,,,37.3739,0,35.6978,0,1513,3452,-0.3351,-0.3194,-0.0158,0
2023-10-10,35.25,35.70,34.96,35.02,34.86,35.25,35.27,,,37.3739,0,33.8700,1,1135,3416,-0.2989,-0.3153,0.0163,0
2023-10-11,34.97,35.47,34.60,34.83,34.84,35.14,35.20,,,37.3739,0,33.9066,1,1564,3323,-0.2823,-0.3087,0.0264,0
2023-10-12,34.56,34.83,33.29,33.65,34.62,34.95,35.12,,,37.0858,0,35.7000,0,3106,3328,-0.3602,-0.3190,-0.0412,0
2023-10-13,33.68,33.74,32.49,32.69,34.40,34.73,35.03,,,36.2132,0,35.6518,0,2452,3331,-0.4938,-0.3540,-0.1398,0
2023-10-16,33.10,33.99,32.75,33.56,34.28,34.60,34.96,,,36.2132,0,35.5253,0,1782,3290,-0.5233,-0.3878,-0.1355,0
2023-10-17,33.52,34.77,33.52,34.45,34.28,34.55,34.89,,,36.2132,0,35.4039,0,1984,3265,-0.4695,-0.4042,-0.0654,0
2023-10-18,34.24,34.24,33.27,33.41,34.16,34.46,34.80,,,36.2132,0,35.2874,0,929,3225,-0.5050,-0.4243,-0.0807,0
2023-10-19,33.23,33.28,32.40,32.64,33.97,34.36,34.81,,,36.0824,0,35.1755,0,1129,2967,-0.5885,-0.4572,-0.1313,0
2023-10-20,32.71,32.71,32.13,32.50,33.78,34.26,34.81,,,35.5122,0,35.0089,0,1794,2875,-0.6583,-0.4974,-0.1609,0
2023-10-23,32.41,33.70,32.15,32.27,33.50,34.13,34.79,,,35.5122,0,34.7786,0,1494,2828,-0.7239,-0.5427,-0.1812,0
2023-10-24,32.63,33.20,31.81,32.06,33.21,34.03,34.77,,,35.5122,0,34.5667,0,927,2756,-0.7838,-0.5909,-0.1929,0
2023-10-25,31.73,32.23,31.47,31.87,32.91,33.87,34.74,,,35.0841,0,34.2911,0,1552,2716,-0.8369,-0.6401,-0.1968,0
2023-10-26,32.00,32.55,31.71,32.09,32.75,33.69,34.71,,,35.0841,0,33.9525,0,1136,2655,-0.8514,-0.6824,-0.1691,0
2023-10-27,32.41,32.46,31.64,31.82,32.67,33.53,34.68,,,35.0841,0,33.6546,0,1104,2605,-0.8747,-0.7208,-0.1538,0
2023-10-30,32.07,32.35,31.66,32.35,32.55,33.41,34.64,,,34.9952,0,33.3925,0,1142,2567,-0.8406,-0.7448,-0.0958,0
2023-10-31,32.21,32.78,32.21,32.60,32.36,33.32,34.61,,,34.9952,0,33.1618,0,1597,2515,-0.7844,-0.7527,-0.0317,0
2023-11-01,32.45,32.93,32.11,32.69,32.29,33.22,34.58,,,34.9952,0,32.9588,0,1193,2465,-0.7243,-0.7470,0.0228,0
2023-11-02,33.12,33.12,32.47,32.97,32.32,33.14,34.54,,,34.9952,0,31.4700,1,1543,2447,-0.6466,-0.7269,0.0804,0
2023-11-03,33.58,34.28,33.58,34.11,32.48,33.13,34.54,,,34.9952,0,31.5030,1,2221,2433,-0.4874,-0.6790,0.1917,0
2023-11-06,33.96,33.96,33.15,33.35,32.59,33.05,34.50,,,34.9952,0,31.6141,1,1451,2418,-0.4177,-0.6268,0.2090,0
2023-11-07,33.17,33.65,33.01,33.65,32.75,32.98,34.47,,,34.9952,0,31.7207,1,861,2391,-0.3344,-0.5683,0.2338,0
2023-11-08,33.78,33.85,33.23,33.41,32.90,32.91,34.43,,,34.9952,0,31.8231,1,1316,2371,-0.2845,-0.5115,0.2270,0
