Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,26.06,26.14,25.78,25.87,,,,,,,0,25.7779,1,6907,,,,,0
2023-07-21,25.97,26.06,25.85,25.94,,,,,,,0,25.7779,1,5680,,,,,0
2023-07-24,26.14,26.25,26.09,26.17,,,,,,,0,25.7779,1,4640,,,,,0
2023-07-25,25.85,26.05,25.73,26.04,,,,,,,0,26.2478,0,7397,,,,,0
2023-07-26,25.51,25.91,25.50,25.78,,,,,,,0,26.2478,0,6652,,,,,0
2023-07-27,25.93,25.96,25.63,25.68,,,,,,,0,26.2178,0,6893,,,,,0
2023-07-28,25.82,25.95,25.68,25.79,,,,,,,0,26.1889,0,5891,,,,,0
2023-07-31,26.23,26.34,26.16,26.19,,,,,,,0,25.4960,1,6587,,,,,0
2023-08-01,26.08,26.14,25.73,26.01,,,,,,,0,25.5129,1,4335,,,,,0
2023-08-02,25.65,25.66,25.20,25.39,25.89,,,,,26.7144,0,26.3418,0,4889,,,,,0
2023-08-03,25.44,25.71,25.31,25.63,25.86,,,,,26.7144,0,26.3189,0,4344,,,,,0
2023-08-04,25.83,26.01,25.71,25.71,25.84,,,,,26.7144,0,26.2965,0,6081,,,,,0
2023-08-07,25.74,25.90,25.56,25.90,25.81,,,,,26.7144,0,26.2745,0,3019,,,,,0
2023-08-08,25.37,25.83,25.16,25.83,25.79,,,,,26.7144,0,26.2530,0,6300,,,,,0
2023-08-09,26.32,26.48,26.25,26.25,25.84,,,,,26.7144,0,25.1627,1,9514,,,,,0
2023-08-10,26.62,26.79,26.35,26.46,25.92,,,,,26.7144,0,25.1627,1,6485,,,,,0
2023-08-11,26.23,26.38,26.14,26.28,25.97,,,,,26.7144,0,25.2277,1,3402,,,,,0
2023-08-14,26.13,26.19,26.00,26.09,25.96,,,,,26.7144,0,25.2900,1,2941,,,,,0
2023-08-15,26.05,26.05,25.68,25.71,25.93,,,,,26.7144,0,25.3499,1,3442,,,,,0
2023-08-16,25.97,26.08,25.64,25.70,25.96,25.92,,,,26.7144,0,25.4073,1,7430,,,,,0
