Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,44.21,44.29,43.60,43.65,,,,,,,0,44.2910,0,192482,,,,,0
2023-07-14,43.57,44.21,43.35,44.00,,,,,,,0,44.2910,0,192143,,,,,0
2023-07-17,43.58,44.82,43.49,44.65,,,,,,,0,43.3543,1,245029,,,,,0
2023-07-18,44.40,45.50,44.40,45.45,,,,,,,0,43.3543,1,266571,,,,,0
2023-07-19,45.63,46.46,45.38,46.39,,,,,,,0,43.4402,1,297279,,,,,0
2023-07-20,46.15,46.33,45.44,46.21,,,,,,,0,43.6213,1,456009,,,,,0
2023-07-21,46.56,46.69,45.71,45.74,,,,,,,0,43.7914,1,515474,,,,,0
2023-07-24,45.80,46.33,45.55,46.31,,,,,,,0,44.0237,1,230287,,,,,0
2023-07-25,46.43,46.82,45.49,45.71,,,,,,,0,44.2373,1,309730,,,,,0
2023-07-26,45.52,46.24,45.52,46.17,45.43,,,,,48.8299,0,44.4953,1,323876,,,,,0
2023-07-27,43.11,43.59,40.97,41.31,45.19,,,,,46.4959,0,46.8173,0,687243,,,,,0
2023-07-28,41.61,43.37,41.60,42.59,45.05,,,,,46.4959,0,46.7004,0,430750,,,,,0
2023-07-31,42.71,43.18,41.96,42.11,44.80,,,,,46.4959,0,46.5858,0,356863,,,,,0
2023-08-01,41.77,41.97,41.21,41.22,44.38,,,,,45.7661,0,46.4734,0,209419,,,,,0
2023-08-02,40.84,41.54,40.51,41.41,43.88,,,,,45.0901,0,46.3634,0,242430,,,,,0
2023-08-03,41.23,41.51,40.99,41.26,43.38,,,,,45.0665,0,46.1291,0,171335,,,,,0
2023-08-04,41.31,41.58,40.64,40.73,42.88,,,,,44.8238,0,45.9042,0,170108,,,,,0
2023-08-07,41.00,41.56,40.55,41.49,42.40,,,,,44.7010,0,45.6883,0,185521,,,,,0
2023-08-08,40.95,41.23,40.23,41.18,41.95,,,,,44.3922,0,45.4810,0,170189,,,,,0
2023-08-09,41.36,41.63,41.01,41.32,41.46,43.44,,,,44.3922,0,45.1660,0,172178,,,,,0
2023-08-10,41.78,41.88,40.73,40.96,41.43,43.31,,,,44.3922,0,44.8700,0,135329,,,,,0
2023-08-11,41.03,42.19,41.01,42.11,41.38,43.22,,,,44.3922,0,44.5917,0,303797,,,,,0
2023-08-14,41.83,41.96,41.34,41.66,41.33,43.07,,,,44.3922,0,44.3301,0,186242,,,,,0
2023-08-15,41.27,41.33,40.63,41.23,41.34,42.86,,,,44.3284,0,44.0842,0,184801,,,,,0
2023-08-16,41.13,41.16,40.49,40.62,41.26,42.57,,,,44.0616,0,43.8531,0,179525,,,,,0
2023-08-17,40.98,41.06,40.45,40.64,41.19,42.29,,,,43.8485,0,43.6358,0,167161,,,,,0
2023-08-18,40.29,40.95,39.96,40.68,41.19,42.04,,,,43.5389,0,43.4316,0,163405,,,,,0
2023-08-21,40.68,40.93,40.46,40.72,41.11,41.76,,,,43.5389,0,43.1536,0,145729,,,,,0
2023-08-22,40.77,41.22,40.72,40.94,41.09,41.52,,,,43.5389,0,42.8979,0,167442,,,,,0
2023-08-23,40.95,41.82,40.92,41.54,41.11,41.29,,,,43.5389,0,42.6627,0,220580,,,,,0
2023-08-24,41.51,41.86,40.79,40.82,41.10,41.26,,,,43.5389,0,42.4463,0,193142,,,,,0
2023-08-25,41.38,41.96,41.05,41.24,41.01,41.19,,,,43.5389,0,42.2472,0,316058,,,,,0
2023-08-28,41.53,41.68,41.21,41.51,40.99,41.16,,,,43.5389,0,42.0640,0,184390,,,,,0
2023-08-29,41.64,42.29,41.56,41.94,41.06,41.20,,,,43.5389,0,39.9575,1,183268,,-0.7864,-1.1430,0.3566,0
2023-08-30,41.93,42.46,41.88,42.34,41.24,41.25,,,,43.5389,0,40.0042,1,160890,,-0.6501,-1.0444,0.3943,0
2023-08-31,42.44,43.14,42.39,42.61,41.43,41.31,,,,43.5389,0,40.1023,1,351272,,-0.5146,-0.9384,0.4238,0
2023-09-01,43.02,43.33,42.69,42.91,41.66,41.42,,,,43.5389,0,40.2846,1,188356,,-0.3784,-0.8264,0.4481,0
2023-09-05,42.70,42.70,41.90,42.14,41.80,41.46,,,,43.5389,0,40.5283,1,251040,,-0.3288,-0.7269,0.3981,0
2023-09-06,42.03,42.17,41.32,41.98,41.90,41.50,,,,43.5389,0,40.7526,1,203715,,-0.2991,-0.6413,0.3423,0
2023-09-07,41.52,41.59,40.73,41.03,41.85,41.48,,,,43.5389,0,43.3314,0,228364,,-0.3483,-0.5827,0.2344,0
2023-09-08,40.84,41.37,40.76,41.32,41.90,41.50,,,,43.5389,0,43.2795,0,182779,,-0.3593,-0.5380,0.1787,0
2023-09-11,41.58,41.81,41.32,41.40,41.92,41.46,,,,43.5389,0,43.2286,0,167461,,-0.3578,-0.5020,0.1442,0
2023-09-12,41.30,41.85,41.22,41.40,41.91,41.45,,,,43.5389,0,43.1787,0,208339,,-0.3526,-0.4721,0.1195,0
2023-09-13,41.57,41.84,41.32,41.59,41.87,41.47,,,,43.5389,0,43.1298,0,156644,,-0.3293,-0.4436,0.1143,0
2023-09-14,41.84,42.30,41.60,42.21,41.86,41.55,,,,43.5389,0,43.0818,0,180918,,-0.2579,-0.4064,0.1485,0
2023-09-15,42.30,42.63,42.12,42.40,41.84,41.64,,,,43.5389,0,43.0349,0,338576,,-0.1839,-0.3619,0.1780,0
2023-09-18,42.19,42.30,41.69,41.78,41.73,41.69,,,,43.5389,0,42.9889,0,201130,,-0.1731,-0.3242,0.1510,0
2023-09-19,41.51,41.95,41.31,41.50,41.66,41.73,,,,43.5389,0,42.9438,0,187937,,-0.1848,-0.2963,0.1115,0
2023-09-20,41.62,42.38,41.55,41.57,41.62,41.76,,,,43.5389,0,42.8996,0,180335,,-0.1864,-0.2743,0.0879,0
2023-09-21,41.28,43.02,40.77,41.79,41.70,41.77,42.31,,,43.5389,0,40.7338,1,609917,247069,-0.1682,-0.2531,0.0849,0
2023-09-22,42.08,42.67,40.91,41.04,41.67,41.79,42.26,,,43.5389,0,40.7719,1,357026,250360,-0.2119,-0.2449,0.0329,0
2023-09-25,40.77,41.80,40.51,41.69,41.70,41.81,42.21,,,43.5389,0,43.0174,0,173036,249978,-0.1914,-0.2342,0.0428,0
2023-09-26,41.44,42.09,41.29,41.38,41.70,41.80,42.15,,,43.5389,0,42.9672,0,232819,249734,-0.1982,-0.2270,0.0288,0
2023-09-27,41.45,41.64,40.35,40.81,41.62,41.75,42.05,,,43.5389,0,42.9180,0,224126,248885,-0.2468,-0.2309,-0.0159,0
2023-09-28,40.66,41.76,40.65,41.53,41.55,41.70,41.96,,,43.5389,0,42.8154,0,179615,246532,-0.2244,-0.2296,0.0053,0
2023-09-29,41.95,42.44,41.78,41.95,41.51,41.67,41.87,,,43.5389,0,42.7169,0,211570,241643,-0.1708,-0.2179,0.0470,0
2023-10-02,41.78,41.90,41.21,41.44,41.47,41.60,41.78,,,43.5389,0,42.6223,0,157777,234489,-0.1679,-0.2079,0.0399,0
2023-10-03,41.13,41.63,40.30,40.45,41.37,41.51,41.67,,,43.5389,0,42.5316,0,156148,233006,-0.2427,-0.2148,-0.0279,0
2023-10-04,40.50,40.98,40.48,40.86,41.29,41.46,41.57,,,43.5389,0,42.3974,0,166405,230140,-0.2659,-0.2250,-0.0408,0
2023-10-05,41.00,41.04,40.08,40.54,41.17,41.43,41.46,,,43.4812,0,42.2714,0,175404,227170,-0.3060,-0.2412,-0.0648,0
2023-10-06,40.17,41.23,40.17,40.92,41.16,41.41,41.45,,,43.4812,0,42.0958,0,191782,217261,-0.3037,-0.2537,-0.0499,0
2023-10-09,40.57,41.52,40.57,41.25,41.11,41.41,41.42,,,43.4812,0,41.9344,0,182946,212305,-0.2725,-0.2575,-0.0150,0
2023-10-10,41.37,41.69,41.17,41.41,41.12,41.41,41.41,,,43.4812,0,41.7858,0,229133,209750,-0.2321,-0.2524,0.0203,0
2023-10-11,41.40,41.54,40.71,40.96,41.13,41.37,41.40,,,43.4812,0,41.6948,0,321743,211997,-0.2335,-0.2486,0.0151,0
2023-10-12,41.04,41.04,39.96,40.56,41.03,41.29,41.39,,,43.3187,0,41.6948,0,221697,211582,-0.2638,-0.2517,-0.0121,0
