Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,20.39,20.92,20.21,20.87,,,,,,,0,20.2055,1,7349,,,,,0
2023-07-14,21.15,21.21,20.17,20.51,,,,,,,0,21.2127,0,7572,,,,,0
2023-07-17,20.47,21.12,20.35,20.82,,,,,,,0,21.2127,0,6782,,,,,0
2023-07-18,20.83,22.10,20.76,21.90,,,,,,,0,20.1704,1,11037,,,,,0
2023-07-19,21.90,23.03,21.40,22.83,,,,,,,0,20.2090,1,10691,,,,,0
2023-07-20,22.75,22.91,22.08,22.85,,,,,,,0,20.3218,1,8314,,,,,0
2023-07-21,22.92,22.94,22.37,22.48,,,,,,,0,20.4300,1,8235,,,,,0
2023-07-24,22.39,23.96,22.39,23.92,,,,,,,0,20.5340,1,12493,,,,,0
2023-07-25,23.89,23.98,23.26,23.45,,,,,,,0,20.7398,1,8936,,,,,0
2023-07-26,23.98,25.15,23.98,24.81,22.44,,,,,27.8393,0,20.9992,1,13443,,,,,0
2023-07-27,25.38,26.11,24.87,25.07,22.86,,,,,27.8393,0,21.4144,1,17237,,,,,0
2023-07-28,25.12,25.96,24.83,25.24,23.34,,,,,27.8393,0,21.9784,1,9127,,,,,0
2023-07-31,25.24,25.70,24.58,24.71,23.73,,,,,27.8393,0,22.4747,1,11133,,,,,0
2023-08-01,24.72,24.95,24.18,24.62,24.00,,,,,27.8006,0,22.9115,1,7336,,,,,0
2023-08-02,24.17,24.61,23.95,24.15,24.13,,,,,27.3920,0,23.2958,1,8102,,,,,0
2023-08-03,24.05,24.31,23.55,24.06,24.25,,,,,26.9628,0,26.1143,0,7727,,,,,0
2023-08-04,24.00,24.52,23.97,24.26,24.43,,,,,26.9628,0,26.0629,0,5364,,,,,0
2023-08-07,24.27,25.14,24.16,25.07,24.54,,,,,26.9628,0,26.0126,0,6238,,,,,0
2023-08-08,24.46,24.66,23.44,24.54,24.65,,,,,26.9628,0,25.9632,0,4811,,,,,0
2023-08-09,24.46,24.46,23.76,24.04,24.57,23.51,,,,26.9628,0,25.8622,0,3927,,,,,0
2023-08-10,24.08,24.50,23.93,24.25,24.49,23.68,,,,26.9628,0,25.7653,0,7252,,,,,0
2023-08-11,24.10,24.70,24.10,24.38,24.41,23.87,,,,26.9628,0,25.6722,0,5942,,,,,0
2023-08-14,24.19,24.19,23.18,23.22,24.26,23.99,,,,26.5449,0,25.5829,0,6687,,,,,0
2023-08-15,22.78,22.80,21.92,22.04,24.00,24.00,,,,25.3250,0,25.4387,0,5710,,,,,0
2023-08-16,21.99,22.39,21.60,21.74,23.76,23.94,,,,24.8983,0,25.1574,0,4214,,,,,0
2023-08-17,21.85,22.16,21.75,22.04,23.56,23.90,,,,24.7006,0,24.8018,0,4020,,,,,0
2023-08-18,21.74,22.42,21.74,22.01,23.33,23.88,,,,24.7006,0,24.4818,0,3171,,,,,0
2023-08-21,22.01,22.36,21.49,21.73,23.00,23.77,,,,24.5908,0,24.1937,0,4762,,,,,0
2023-08-22,21.77,21.91,20.92,21.08,22.65,23.65,,,,24.1131,0,23.8698,0,4331,,,,,0
2023-08-23,21.08,21.56,20.60,21.47,22.39,23.48,,,,23.7910,0,23.4573,0,4181,,,,,0
2023-08-24,21.35,21.82,21.17,21.43,22.11,23.30,,,,23.7910,0,23.0005,0,4256,,,,,0
2023-08-25,21.54,21.85,20.90,21.06,21.78,23.09,,,,23.7910,0,22.6168,0,2656,,,,,0
2023-08-28,21.21,21.79,21.16,21.69,21.63,22.94,,,,23.7910,0,22.2945,0,5421,,,,,0
2023-08-29,21.70,22.13,21.57,21.87,21.61,22.81,,,,23.7910,0,20.6024,1,3521,,-0.5626,-0.4686,-0.0940,0
2023-08-30,21.96,21.96,21.45,21.56,21.59,22.68,,,,23.7910,0,20.6330,1,3657,,-0.5539,-0.4857,-0.0682,0
2023-08-31,21.56,21.81,21.29,21.46,21.53,22.55,,,,23.7910,0,20.6628,1,3744,,-0.5486,-0.4982,-0.0504,0
2023-09-01,21.70,22.40,21.70,22.23,21.56,22.44,,,,23.7910,0,20.6921,1,4971,,-0.4763,-0.4939,0.0175,0
2023-09-05,22.23,22.23,21.65,21.80,21.56,22.28,,,,23.7910,0,20.7603,1,6144,,-0.4491,-0.4849,0.0358,0
2023-09-06,21.70,22.23,21.43,21.46,21.60,22.13,,,,23.7910,0,20.8257,1,4776,,-0.4497,-0.4779,0.0282,0
2023-09-07,21.35,21.41,20.37,20.72,21.53,21.96,,,,23.3130,0,22.3951,0,6405,,-0.5041,-0.4831,-0.0210,0
2023-09-08,20.79,21.14,20.48,21.08,21.49,21.80,,,,23.1842,0,22.3546,0,6264,,-0.5125,-0.4890,-0.0235,0
2023-09-11,21.19,21.37,20.83,20.99,21.48,21.63,,,,23.1842,0,22.3150,0,4955,,-0.5204,-0.4953,-0.0251,0
2023-09-12,21.07,21.40,21.04,21.12,21.43,21.53,,,,23.1842,0,22.2761,0,5825,,-0.5100,-0.4982,-0.0117,0
