Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,9.12,9.22,8.93,9.01,,,,,,,0,9.2165,0,19,,,,,0
2023-07-20,8.93,8.93,8.77,8.77,,,,,,,0,9.2165,0,11,,,,,0
2023-07-21,8.69,8.89,8.69,8.89,,,,,,,0,9.2165,0,1,,,,,0
2023-07-24,8.74,8.79,8.67,8.79,,,,,,,0,9.1954,0,7,,,,,0
2023-07-25,8.77,9.02,8.57,9.02,,,,,,,0,9.1638,0,22,,,,,0
2023-07-26,8.90,8.99,8.90,8.99,,,,,,,0,9.1162,0,5,,,,,0
2023-07-27,8.96,8.96,8.92,8.92,,,,,,,0,9.0724,0,1,,,,,0
2023-07-28,9.07,9.07,9.07,9.07,,,,,,,0,8.5689,1,2,,,,,0
2023-07-31,9.07,9.07,9.07,9.07,,,,,,,0,8.5788,1,2,,,,,0
2023-08-01,9.07,9.07,9.07,9.07,8.96,,,,,9.5872,0,8.5886,1,6,,,,,0
2023-08-02,9.07,9.17,8.78,8.87,8.94,,,,,9.5571,0,8.5982,1,19,,,,,0
2023-08-03,8.87,8.87,8.74,8.87,8.95,,,,,9.3681,0,8.6209,1,2,,,,,0
2023-08-04,8.97,8.97,8.77,8.83,8.95,,,,,9.3681,0,8.6428,1,7,,,,,0
2023-08-07,8.87,8.87,8.87,8.87,8.96,,,,,9.3681,0,8.6637,1,4,,,,,0
2023-08-08,8.75,8.97,8.68,8.97,8.95,,,,,9.3681,0,9.1667,0,5,,,,,0
2023-08-09,8.67,8.82,8.57,8.82,8.93,,,,,9.3150,0,9.1569,0,9,,,,,0
2023-08-10,8.77,8.77,8.77,8.77,8.92,,,,,9.3150,0,9.1334,0,2,,,,,0
2023-08-11,8.79,8.79,8.67,8.67,8.88,,,,,9.2811,0,9.1108,0,7,,,,,0
2023-08-14,8.87,8.89,8.21,8.57,8.83,,,,,9.2497,0,9.0892,0,61,,,,,0
2023-08-15,8.51,9.30,8.51,9.27,8.85,8.90,,,,8.5470,1,8.2102,1,27,,,,,0
2023-08-16,9.27,9.54,9.27,9.47,8.91,8.93,,,,8.5470,1,8.2102,1,83,,,,,0
2023-08-17,8.68,8.72,8.57,8.68,8.89,8.92,,,,8.5470,1,8.2632,1,10,,,,,0
2023-08-18,8.57,8.84,8.57,8.76,8.88,8.92,,,,8.5470,1,8.3141,1,32,,,,,0
2023-08-21,8.82,8.87,8.67,8.67,8.86,8.91,,,,8.5470,1,8.3629,1,87,,,,,0
2023-08-22,8.82,8.87,8.82,8.82,8.85,8.90,,,,8.5470,1,8.4098,1,14,,,,,0
2023-08-23,8.83,8.83,8.69,8.82,8.85,8.89,,,,8.5470,1,8.4548,1,26,,,,,0
2023-08-24,8.71,8.87,8.71,8.71,8.84,8.88,,,,8.5470,1,8.4981,1,11,,,,,0
2023-08-25,8.71,8.77,8.67,8.71,8.85,8.86,,,,8.5470,1,8.5396,1,37,,,,,0
2023-08-28,8.78,8.78,8.72,8.72,8.86,8.84,,,,8.5470,1,8.5794,1,1,,,,,0
2023-08-29,8.72,8.73,8.16,8.55,8.79,8.82,,,,8.5470,1,9.5354,0,66,,,,,0
2023-08-30,8.67,8.67,8.55,8.55,8.70,8.80,,,,8.5470,1,9.5079,0,16,,,,,0
2023-08-31,8.59,8.72,8.59,8.72,8.70,8.80,,,,8.5470,1,9.4809,0,36,,,,,0
2023-09-01,8.77,8.85,8.72,8.85,8.71,8.80,,,,8.5470,1,9.4545,0,14,,,,,0
2023-09-05,8.77,8.77,8.25,8.25,8.67,8.77,,,,9.2751,0,9.4286,0,17,,-0.1001,-0.0696,-0.0305,0
2023-09-06,8.47,8.57,8.47,8.57,8.64,8.75,,,,9.2751,0,9.4033,0,4,,-0.1006,-0.0758,-0.0248,0
2023-09-07,8.52,8.58,8.37,8.37,8.60,8.72,,,,9.2751,0,9.3784,0,10,,-0.1157,-0.0838,-0.0319,0
2023-09-08,8.47,8.50,8.40,8.40,8.57,8.70,,,,9.2248,0,9.3540,0,3,,-0.1239,-0.0918,-0.0320,0
2023-09-11,8.46,8.46,8.29,8.37,8.53,8.69,,,,9.1233,0,9.3302,0,21,,-0.1312,-0.0997,-0.0315,0
2023-09-12,8.57,8.68,8.57,8.57,8.52,8.69,,,,9.1233,0,9.3068,0,71,,-0.1196,-0.1037,-0.0159,0
2023-09-13,8.60,8.61,8.51,8.53,8.52,8.65,,,,9.1233,0,9.2838,0,50,,-0.1123,-0.1054,-0.0069,0
2023-09-14,8.63,8.70,8.56,8.68,8.53,8.61,,,,9.1233,0,9.2614,0,60,,-0.0934,-0.1030,0.0096,0
2023-09-15,8.47,8.69,8.47,8.57,8.52,8.61,,,,9.1233,0,9.2394,0,4,,-0.0862,-0.0996,0.0134,0
2023-09-18,8.57,8.82,8.57,8.81,8.51,8.61,,,,9.1233,0,9.2178,0,11,,-0.0606,-0.0918,0.0313,0
2023-09-19,8.76,8.81,8.70,8.81,8.57,8.62,,,,9.1233,0,9.1966,0,5,,-0.0398,-0.0814,0.0416,0
2023-09-20,8.64,8.75,8.45,8.73,8.58,8.61,,,,9.1233,0,9.1759,0,38,,-0.0294,-0.0710,0.0416,0
2023-09-21,8.60,8.71,8.57,8.67,8.61,8.61,,,,9.1233,0,9.1556,0,5,,-0.0257,-0.0620,0.0363,0
2023-09-22,8.67,8.76,8.67,8.67,8.64,8.60,,,,9.1233,0,9.1357,0,5,,-0.0225,-0.0541,0.0316,0
2023-09-25,8.67,9.07,8.67,9.01,8.70,8.62,,,,9.1233,0,9.1162,0,11,,0.0073,-0.0418,0.0491,0
2023-09-26,8.97,8.97,8.57,8.67,8.71,8.62,,,,9.1233,0,9.0971,0,8,,0.0035,-0.0327,0.0362,0
2023-09-27,8.57,8.63,8.47,8.63,8.72,8.62,8.77,,,9.1233,0,9.0783,0,88,21,-0.0027,-0.0267,0.0241,0
2023-09-28,8.41,8.47,8.41,8.47,8.70,8.62,8.76,,,9.1233,0,9.0600,0,27,21,-0.0202,-0.0254,0.0052,0
2023-09-29,8.57,8.65,8.57,8.65,8.71,8.61,8.75,,,9.1233,0,9.0420,0,6,21,-0.0194,-0.0242,0.0048,0
2023-10-02,8.52,8.57,8.25,8.25,8.65,8.58,8.74,,,9.1233,0,9.0243,0,38,22,-0.0503,-0.0294,-0.0209,0
2023-10-03,8.26,8.27,8.11,8.14,8.59,8.58,8.73,,,8.9239,0,9.0071,0,27,22,-0.0827,-0.0401,-0.0426,0
2023-10-04,8.10,8.10,7.82,7.82,8.50,8.54,8.70,,,8.7170,0,8.9712,0,45,23,-0.1326,-0.0586,-0.0740,0
2023-10-05,7.82,7.94,7.58,7.78,8.41,8.51,8.68,,,8.5497,0,8.9022,0,52,24,-0.1734,-0.0816,-0.0918,0
2023-10-06,7.78,8.28,7.74,8.24,8.37,8.50,8.67,,,8.5497,0,8.7966,0,12,24,-0.1668,-0.0986,-0.0682,0
2023-10-09,7.73,8.97,7.73,8.50,8.31,8.51,8.66,,,8.5497,0,7.5825,1,2,24,-0.1390,-0.1067,-0.0323,0
2023-10-10,8.42,8.47,8.32,8.37,8.28,8.50,8.64,,,8.5497,0,7.6102,1,10,24,-0.1260,-0.1106,-0.0155,0
2023-10-11,8.37,8.37,8.27,8.27,8.25,8.49,8.63,,,8.5497,0,7.6373,1,15,24,-0.1224,-0.1129,-0.0095,0
2023-10-12,8.29,8.29,7.37,8.01,8.20,8.45,8.61,,,8.5497,0,8.9674,0,117,26,-0.1388,-0.1181,-0.0207,0
2023-10-13,8.20,8.37,8.02,8.14,8.15,8.43,8.59,,,8.5497,0,8.9355,0,14,27,-0.1397,-0.1224,-0.0173,0
2023-10-16,8.17,8.27,8.07,8.07,8.13,8.39,8.58,,,8.5497,0,8.9043,0,16,27,-0.1444,-0.1268,-0.0176,0
2023-10-17,7.97,8.30,7.97,8.04,8.12,8.36,8.56,,,8.5497,0,8.8737,0,25,27,-0.1488,-0.1312,-0.0176,0
2023-10-18,8.12,8.17,8.03,8.17,8.16,8.33,8.55,,,8.5497,0,8.8437,0,2,27,-0.1403,-0.1330,-0.0072,0
2023-10-19,8.29,8.32,7.93,8.29,8.21,8.31,8.54,,,8.5497,0,8.8143,0,26,27,-0.1224,-0.1309,0.0085,0
