Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,35.93,36.45,35.55,35.55,,,,,,,0,35.5491,1,14661,,,,,0
2023-07-18,35.69,36.55,35.57,35.86,,,,,,,0,35.5491,1,22341,,,,,0
2023-07-19,35.93,36.82,35.91,36.78,,,,,,,0,35.5491,1,20576,,,,,0
2023-07-20,36.05,36.22,35.17,35.43,,,,,,,0,36.8184,0,17803,,,,,0
2023-07-21,35.67,36.07,35.52,35.92,,,,,,,0,36.8184,0,19264,,,,,0
2023-07-24,35.74,36.79,35.56,36.60,,,,,,,0,35.1665,1,18355,,,,,0
2023-07-25,36.56,37.42,36.30,37.39,,,,,,,0,35.1989,1,28935,,,,,0
2023-07-26,37.16,37.43,36.88,37.15,,,,,,,0,35.2876,1,20963,,,,,0
2023-07-27,37.29,37.42,36.31,36.33,,,,,,,0,35.4164,1,22661,,,,,0
2023-07-28,36.72,37.01,36.45,36.89,36.39,,,,,39.6724,0,35.5375,1,14824,,,,,0
2023-07-31,36.80,37.01,36.49,36.78,36.51,,,,,39.5508,0,35.6513,1,16532,,,,,0
2023-08-01,36.81,36.91,36.31,36.83,36.61,,,,,39.3126,0,35.7583,1,13661,,,,,0
2023-08-02,36.73,37.32,36.69,37.29,36.66,,,,,39.3126,0,35.8589,1,16212,,,,,0
2023-08-03,37.80,39.35,36.48,38.55,36.97,,,,,39.3126,0,35.9534,1,36477,,,,,0
2023-08-04,38.27,38.34,35.83,36.23,37.00,,,,,39.3126,0,39.3476,0,27430,,,,,0
2023-08-07,36.14,36.95,36.14,36.80,37.02,,,,,39.3126,0,39.3476,0,21986,,,,,0
2023-08-08,36.57,36.72,36.13,36.51,36.94,,,,,39.3126,0,39.2772,0,22623,,,,,0
2023-08-09,36.41,36.98,36.40,36.61,36.88,,,,,39.3126,0,39.2083,0,11596,,,,,0
2023-08-10,36.64,37.48,36.46,36.56,36.91,,,,,39.3126,0,39.1407,0,11109,,,,,0
2023-08-11,36.31,36.87,36.31,36.54,36.87,36.63,,,,39.3126,0,39.0745,0,8597,,,,,0
2023-08-14,36.62,36.62,35.96,36.16,36.81,36.66,,,,39.2661,0,39.0096,0,11940,,,,,0
2023-08-15,36.14,36.15,35.47,35.74,36.70,36.65,,,,38.6905,0,38.9460,0,13107,,,,,0
2023-08-16,35.80,36.18,35.14,35.24,36.49,36.58,,,,38.5710,0,38.8067,0,10018,,,,,0
2023-08-17,35.40,35.50,34.35,34.55,36.09,36.53,,,,37.8917,0,38.5866,0,14556,,,,,0
2023-08-18,34.52,35.10,34.49,34.64,35.93,36.47,,,,37.6449,0,38.2481,0,11812,,,,,0
2023-08-21,34.52,34.59,34.09,34.22,35.68,36.35,,,,37.0722,0,37.9366,0,10983,,,,,0
2023-08-22,34.07,34.50,34.07,34.31,35.46,36.20,,,,36.8747,0,37.5522,0,10668,,,,,0
2023-08-23,34.58,35.03,34.57,34.94,35.29,36.09,,,,36.8747,0,37.1338,0,11816,,,,,0
2023-08-24,34.93,35.29,34.82,35.13,35.15,36.03,,,,36.8747,0,36.7656,0,14958,,,,,0
2023-08-25,35.01,35.30,34.62,35.03,35.00,35.93,,,,36.8747,0,36.4415,0,12640,,,,,0
2023-08-28,35.16,35.64,34.85,35.54,34.93,35.87,,,,36.8747,0,36.1563,0,12174,,,,,0
2023-08-29,35.64,36.09,35.40,35.94,34.95,35.83,,,,36.8747,0,34.0652,1,10298,,,,,0
2023-08-30,35.82,36.39,35.82,36.33,35.06,35.78,,,,36.8747,0,34.1057,1,8693,,,,,0
2023-08-31,36.12,36.56,35.90,35.99,35.21,35.65,,,,36.8747,0,34.1970,1,20479,,-0.3200,-0.5987,0.2787,0
2023-09-01,36.29,36.68,35.97,36.51,35.39,35.66,,,,36.8747,0,34.3386,1,18136,,-0.2237,-0.5237,0.3000,0
2023-09-05,36.14,36.24,35.30,35.60,35.53,35.60,,,,36.8747,0,34.5258,1,14478,,-0.2186,-0.4627,0.2440,0
2023-09-06,35.68,35.75,35.19,35.51,35.65,35.55,,,,36.8747,0,34.6980,1,8130,,-0.2189,-0.4139,0.1950,0
2023-09-07,35.68,36.32,35.56,36.00,35.76,35.52,,,,36.8747,0,34.8564,1,13401,,-0.1778,-0.3667,0.1889,0
2023-09-08,35.84,36.51,35.58,35.95,35.84,35.49,,,,36.8747,0,35.0022,1,14688,,-0.1473,-0.3228,0.1755,0
2023-09-11,36.20,36.33,35.67,35.83,35.92,35.46,,,,36.8747,0,35.1363,1,10921,,-0.1314,-0.2845,0.1531,0
2023-09-12,35.88,36.09,35.52,35.69,35.93,35.43,,,,36.8747,0,35.2597,1,14981,,-0.1287,-0.2534,0.1247,0
2023-09-13,35.79,36.05,35.64,35.76,35.92,35.44,,,,36.8747,0,35.3732,1,13264,,-0.1198,-0.2267,0.1068,0
2023-09-14,35.97,36.21,35.95,36.07,35.89,35.48,,,,36.8747,0,35.4776,1,12651,,-0.0861,-0.1986,0.1124,0
2023-09-15,36.11,36.56,36.01,36.40,35.93,35.57,,,,36.8747,0,35.5737,1,48256,,-0.0326,-0.1654,0.1328,0
2023-09-18,36.52,37.02,36.32,36.83,35.96,35.68,,,,36.8747,0,35.6620,1,23735,,0.0441,-0.1235,0.1676,0
2023-09-19,36.81,36.83,36.03,36.08,36.01,35.77,,,,36.8747,0,35.7978,1,15235,,0.0439,-0.0900,0.1339,0
2023-09-20,36.43,36.57,35.82,35.86,36.05,35.85,,,,36.8747,0,37.0200,0,13368,,0.0253,-0.0669,0.0922,0
2023-09-21,35.78,36.43,35.61,36.33,36.08,35.92,,,,36.8747,0,36.9960,0,16745,,0.0478,-0.0440,0.0918,0
2023-09-22,36.35,36.54,35.67,35.67,36.05,35.95,,,,36.8747,0,36.9404,0,12951,,0.0126,-0.0327,0.0453,0
2023-09-25,35.60,36.05,35.22,35.46,36.01,35.97,36.04,,,36.8747,0,36.8870,0,18224,16598,-0.0323,-0.0326,0.0003,0
2023-09-26,35.18,35.46,34.44,34.52,35.90,35.92,36.02,,,36.8747,0,36.7870,0,16438,16634,-0.1419,-0.0545,-0.0875,0
2023-09-27,34.59,35.10,34.50,34.68,35.79,35.85,35.99,,,36.8747,0,36.5995,0,15496,16497,-0.2135,-0.0863,-0.1272,0
2023-09-28,34.72,34.98,34.66,34.81,35.66,35.78,35.95,,,36.8747,0,36.4270,0,19786,16481,-0.2566,-0.1203,-0.1363,0
2023-09-29,34.96,35.23,34.41,34.63,35.49,35.71,35.94,,,36.8747,0,36.2683,0,21762,16560,-0.3017,-0.1566,-0.1451,0
2023-10-02,34.58,34.58,33.97,34.11,35.21,35.59,35.90,,,36.4191,0,36.0821,0,12001,16415,-0.3754,-0.2004,-0.1751,0
2023-10-03,34.17,34.67,33.92,34.25,35.03,35.52,35.85,,,36.4191,0,35.8292,0,16309,16374,-0.4177,-0.2438,-0.1739,0
2023-10-04,34.21,34.24,33.62,34.05,34.85,35.45,35.79,,,36.0519,0,35.5617,0,11364,16023,-0.4618,-0.2874,-0.1743,0
2023-10-05,33.86,33.98,33.31,33.36,34.55,35.32,35.71,,,35.7805,0,35.2508,0,12264,15849,-0.5463,-0.3392,-0.2071,0
2023-10-06,33.20,33.54,32.50,33.29,34.31,35.18,35.65,,,35.2561,0,34.9014,0,11654,15628,-0.6116,-0.3937,-0.2179,0
2023-10-09,33.04,33.17,32.71,32.82,34.05,35.03,35.57,,,35.1228,0,34.4219,0,8484,15502,-0.6931,-0.4536,-0.2396,0
2023-10-10,33.01,33.41,33.00,33.08,33.91,34.90,35.50,,,35.1228,0,34.0383,0,8111,15333,-0.7282,-0.5085,-0.2197,0
2023-10-11,32.93,33.31,32.57,32.78,33.72,34.75,35.42,,,35.0894,0,33.7314,0,11257,15285,-0.7720,-0.5612,-0.2108,0
2023-10-12,32.43,32.78,31.59,32.38,33.47,34.57,35.32,,,34.4799,0,33.4858,0,12728,15216,-0.8290,-0.6148,-0.2142,0
2023-10-13,32.37,32.79,32.30,32.56,33.27,34.38,35.20,,,34.4799,0,33.3096,0,11746,14721,-0.8499,-0.6618,-0.1881,0
2023-10-16,32.88,33.12,32.59,33.00,33.16,34.19,35.13,,,34.4799,0,31.5855,1,9995,14372,-0.8215,-0.6937,-0.1278,0
2023-10-17,32.92,33.63,32.92,33.47,33.08,34.05,35.07,,,34.4799,0,31.6162,1,13066,14194,-0.7525,-0.7055,-0.0470,0
2023-10-18,33.60,33.79,33.30,33.49,33.02,33.94,35.01,,,34.4799,0,31.6967,1,11258,13967,-0.6884,-0.7021,0.0137,0
2023-10-19,33.52,33.59,33.14,33.20,33.01,33.78,34.94,,,34.4799,0,31.8222,1,11008,13955,-0.6535,-0.6924,0.0389,0
2023-10-20,33.43,33.43,32.75,32.80,32.96,33.64,34.86,,,34.4799,0,31.9401,1,12814,13989,-0.6501,-0.6839,0.0338,0
2023-10-23,32.71,33.04,32.34,32.35,32.91,33.48,34.78,,,34.4799,0,32.0509,1,11498,14047,-0.6759,-0.6823,0.0064,0
2023-10-24,32.53,33.07,32.53,33.01,32.90,33.41,34.72,,,34.4799,0,32.1551,1,9470,13997,-0.6361,-0.6731,0.0370,0
2023-10-25,32.79,32.91,32.46,32.56,32.88,33.30,34.65,,,34.4799,0,32.2530,1,8708,13909,-0.6336,-0.6652,0.0316,0
2023-10-26,32.76,32.76,32.23,32.49,32.89,33.18,34.60,,,34.4524,0,33.7874,0,7659,13862,-0.6303,-0.6582,0.0279,0
2023-10-27,32.37,32.42,31.77,32.13,32.85,33.06,34.55,,,34.0720,0,33.7563,0,12050,13812,-0.6490,-0.6564,0.0074,0
2023-10-30,32.42,32.68,31.98,32.55,32.80,32.98,34.51,,,34.0720,0,33.6770,0,16894,13914,-0.6226,-0.6496,0.0270,0
2023-10-31,32.68,32.96,32.46,32.70,32.73,32.90,34.48,,,34.0720,0,33.6008,0,11643,13927,-0.5828,-0.6362,0.0534,0
2023-11-01,32.55,32.77,32.17,32.75,32.65,32.84,34.44,,,34.0720,0,33.5277,0,17136,14056,-0.5413,-0.6173,0.0759,0
2023-11-02,33.08,33.73,32.99,33.56,32.69,32.85,34.42,,,34.0720,0,31.7729,1,19551,14211,-0.4376,-0.5813,0.1437,0
2023-11-03,34.03,34.45,33.73,33.90,32.80,32.88,34.39,,,34.0720,0,31.8121,1,17710,14266,-0.3245,-0.5300,0.2055,0
2023-11-06,33.82,33.96,33.46,33.68,32.93,32.92,34.37,,,34.0720,0,31.9177,1,11357,14240,-0.2493,-0.4738,0.2245,0
2023-11-07,33.80,33.80,33.35,33.58,32.99,32.95,34.33,,,34.0720,0,32.0191,1,9942,14196,-0.1958,-0.4182,0.2224,0
2023-11-08,33.62,33.68,32.78,32.88,33.02,32.95,34.27,,,34.0720,0,32.1165,1,13190,14254,-0.2077,-0.3761,0.1684,0
2023-11-09,34.53,34.53,31.65,32.31,33.00,32.95,34.18,,,34.0720,0,34.4527,0,19329,14466,-0.2602,-0.3529,0.0927,0
2023-11-10,32.55,32.55,31.79,32.06,33.00,32.92,34.11,,,34.0720,0,34.5276,0,13089,14319,-0.3179,-0.3459,0.0280,0
2023-11-13,31.77,32.41,31.67,31.98,32.94,32.87,34.02,,,34.0720,0,34.5276,0,10434,14165,-0.3662,-0.3500,-0.0162,0
2023-11-14,32.65,33.54,32.58,33.40,33.01,32.87,33.97,,,34.0720,0,34.4701,0,13661,14148,-0.2862,-0.3372,0.0510,0
2023-11-15,33.23,33.83,33.23,33.82,33.12,32.89,33.94,,,34.0720,0,34.4137,0,14418,14274,-0.1866,-0.3071,0.1205,0
2023-11-16,33.58,33.81,33.02,33.11,33.07,32.88,33.88,,,34.0720,0,34.3585,0,16387,14334,-0.1633,-0.2783,0.1150,0
2023-11-17,33.36,33.39,32.80,32.89,32.97,32.89,33.82,,,34.0720,0,34.3043,0,14100,14322,-0.1611,-0.2549,0.0938,0
2023-11-20,32.76,32.87,32.29,32.72,32.88,32.90,33.76,,,34.0720,0,34.2512,0,9180,14287,-0.1710,-0.2381,0.0671,0
2023-11-21,32.62,32.66,32.10,32.38,32.76,32.87,33.69,,,34.0720,0,34.1992,0,9293,14173,-0.2038,-0.2313,0.0275,0
