Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,22.05,22.47,21.91,22.37,,,,,,,0,22.4650,0,2114,,,,,0
2023-07-14,22.07,22.15,21.14,21.74,,,,,,,0,22.4650,0,4435,,,,,0
2023-07-17,21.22,21.78,21.22,21.74,,,,,,,0,22.4650,0,1909,,,,,0
2023-07-18,21.62,22.18,21.44,21.89,,,,,,,0,22.4384,0,2548,,,,,0
2023-07-19,21.65,21.82,21.38,21.76,,,,,,,0,22.4123,0,1954,,,,,0
2023-07-20,21.90,22.28,21.60,21.86,,,,,,,0,22.3868,0,2977,,,,,0
2023-07-21,21.73,21.82,21.23,21.55,,,,,,,0,22.3617,0,2295,,,,,0
2023-07-24,21.41,22.12,21.39,21.90,,,,,,,0,22.3372,0,2107,,,,,0
2023-07-25,21.97,23.30,21.97,22.79,,,,,,,0,21.1350,1,6696,,,,,0
2023-07-26,22.57,22.69,21.97,22.60,22.02,,,,,24.6892,0,21.1783,1,2531,,,,,0
2023-07-27,22.59,23.13,22.09,22.66,22.05,,,,,24.6892,0,21.2207,1,4049,,,,,0
2023-07-28,22.76,23.34,22.74,23.24,22.20,,,,,24.6892,0,21.2623,1,3170,,,,,0
2023-07-31,23.27,24.38,23.27,24.03,22.43,,,,,24.6892,0,21.3454,1,8761,,,,,0
2023-08-01,23.79,24.01,23.21,23.48,22.59,,,,,24.6892,0,21.5275,1,4062,,,,,0
2023-08-02,22.91,23.22,22.46,22.62,22.67,,,,,24.6892,0,21.6987,1,2601,,,,,0
2023-08-03,22.20,22.46,21.63,21.96,22.68,,,,,24.6377,0,24.3800,0,4449,,,,,0
2023-08-04,21.80,22.51,21.70,21.72,22.70,,,,,24.6377,0,24.3250,0,3866,,,,,0
2023-08-07,21.67,21.72,21.26,21.43,22.65,,,,,23.9468,0,24.2711,0,1432,,,,,0
2023-08-08,20.95,21.41,20.30,21.37,22.51,,,,,23.4041,0,24.1507,0,4221,,,,,0
2023-08-09,21.29,21.46,21.02,21.25,22.38,22.20,,,,23.4041,0,23.9193,0,1853,,,,,0
2023-08-10,21.35,21.52,20.93,21.11,22.22,22.14,,,,23.4041,0,23.7019,0,1984,,,,,0
2023-08-11,20.69,21.22,20.69,21.15,22.01,22.11,,,,23.2403,0,23.4974,0,1153,,,,,0
2023-08-14,21.00,21.05,20.74,20.89,21.70,22.06,,,,23.0738,0,23.3053,0,2313,,,,,0
2023-08-15,20.59,20.59,19.75,20.00,21.35,21.97,,,,22.4752,0,23.1247,0,4732,,,,,0
2023-08-16,19.81,19.91,19.48,19.64,21.05,21.86,,,,21.9256,0,22.8547,0,4321,,,,,0
2023-08-17,19.77,19.99,19.60,19.65,20.82,21.75,,,,21.9196,0,22.5172,0,2250,,,,,0
2023-08-18,19.27,19.79,19.04,19.78,20.63,21.66,,,,21.5521,0,22.2135,0,2781,,,,,0
2023-08-21,19.65,20.71,19.65,20.54,20.54,21.60,,,,21.5521,0,21.8327,0,2266,,,,,0
2023-08-22,20.55,20.81,20.48,20.64,20.46,21.49,,,,21.5521,0,21.4976,0,2735,,,,,0
2023-08-23,20.59,21.29,20.57,21.25,20.46,21.42,,,,21.5521,0,19.0400,1,3239,,,,,0
2023-08-24,21.17,21.22,20.54,20.55,20.41,21.31,,,,21.5521,0,19.0850,1,2895,,,,,0
2023-08-25,20.62,20.86,20.14,20.65,20.36,21.19,,,,21.5521,0,19.1291,1,2567,,,,,0
2023-08-28,20.68,21.05,20.68,20.89,20.36,21.03,,,,21.5521,0,19.1723,1,1813,,,,,0
2023-08-29,20.71,21.51,20.67,21.51,20.51,20.93,,,,21.5521,0,19.2147,1,3177,,-0.4650,-0.7303,0.2653,0
2023-08-30,21.40,22.11,21.38,21.51,20.70,20.87,,,,21.5521,0,19.3065,1,2766,,-0.3788,-0.6600,0.2812,0
2023-08-31,20.95,20.99,20.13,20.68,20.80,20.81,,,,21.5521,0,19.4747,1,5453,,-0.3732,-0.6026,0.2294,0
2023-09-01,20.95,20.98,20.11,20.35,20.86,20.74,,,,21.5521,0,19.6328,1,3050,,-0.3909,-0.5603,0.1694,0
2023-09-05,20.20,20.35,19.91,20.22,20.82,20.68,,,,21.5521,0,19.7814,1,2159,,-0.4106,-0.5304,0.1197,0
2023-09-06,20.05,20.25,19.47,19.78,20.74,20.60,,,,21.5521,0,22.1100,0,5006,,-0.4566,-0.5156,0.0590,0
2023-09-07,19.40,19.46,19.04,19.17,20.53,20.50,,,,21.4872,0,22.0571,0,2063,,-0.5360,-0.5197,-0.0163,0
2023-09-08,18.98,19.10,18.55,18.60,20.34,20.37,,,,21.0245,0,21.9364,0,2381,,-0.6376,-0.5433,-0.0943,0
2023-09-11,18.90,19.39,18.81,19.15,20.19,20.27,,,,21.0245,0,21.7332,0,2949,,-0.6660,-0.5678,-0.0982,0
2023-09-12,18.92,19.11,18.71,18.81,19.98,20.17,,,,21.0245,0,21.5422,0,2205,,-0.7078,-0.5958,-0.1120,0
2023-09-13,18.54,18.87,18.17,18.35,19.66,20.09,,,,20.6430,0,21.3627,0,5666,,-0.7692,-0.6305,-0.1387,0
2023-09-14,18.48,18.69,18.31,18.52,19.36,20.03,,,,20.5247,0,21.1073,0,4611,,-0.7950,-0.6634,-0.1316,0
2023-09-15,18.34,18.99,18.17,18.82,19.18,19.99,,,,20.5247,0,20.8723,0,4054,,-0.7822,-0.6872,-0.0951,0
2023-09-18,18.78,19.16,18.68,19.01,19.04,19.95,,,,20.5247,0,20.6561,0,2945,,-0.7481,-0.6994,-0.0488,0
2023-09-19,18.94,19.08,18.17,18.53,18.87,19.85,,,,20.5247,0,20.4572,0,3054,,-0.7512,-0.7097,-0.0415,0
2023-09-20,18.62,18.99,18.36,18.36,18.73,19.74,,,,20.5247,0,20.2743,0,2636,,-0.7586,-0.7195,-0.0391,0
2023-09-21,17.92,18.01,17.50,17.69,18.58,19.56,20.80,,,19.8641,0,20.1059,0,3777,3221,-0.8092,-0.7374,-0.0717,0
2023-09-22,17.64,18.02,17.62,17.64,18.49,19.41,20.70,,,19.8404,0,19.8448,0,3396,3246,-0.8436,-0.7587,-0.0849,0
2023-09-25,17.32,17.69,17.31,17.61,18.33,19.26,20.62,,,19.4324,0,19.6098,0,2911,3216,-0.8633,-0.7796,-0.0837,0
2023-09-26,17.25,17.38,16.76,16.94,18.15,19.06,20.52,,,19.0641,0,19.3339,0,1994,3217,-0.9224,-0.8081,-0.1142,0
2023-09-27,16.93,17.07,16.66,16.80,17.99,18.83,20.42,,,18.7827,0,18.9735,0,2874,3224,-0.9693,-0.8404,-0.1289,0
2023-09-28,16.67,17.12,16.65,17.08,17.85,18.61,20.33,,,18.7510,0,18.6034,0,2750,3240,-0.9727,-0.8668,-0.1059,0
2023-09-29,17.33,17.72,17.09,17.24,17.69,18.43,20.23,,,18.7510,0,18.2509,0,2502,3230,-0.9515,-0.8838,-0.0677,0
2023-10-02,16.90,17.05,16.15,16.25,17.41,18.23,20.13,,,18.6130,0,17.9618,0,3060,3246,-1.0030,-0.9076,-0.0954,0
2023-10-03,15.93,16.25,15.54,15.69,17.13,18.00,20.00,,,17.9197,0,17.7190,0,2482,3253,-1.0767,-0.9414,-0.1352,0
