Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,7.49,7.83,7.43,7.47,,,,,,,0,7.8300,0,1579,,,,,0
2023-07-14,7.47,7.52,7.17,7.22,,,,,,,0,7.8300,0,855,,,,,0
2023-07-17,7.24,7.53,7.20,7.27,,,,,,,0,7.8300,0,1011,,,,,0
2023-07-18,7.27,7.45,7.08,7.13,,,,,,,0,7.8168,0,683,,,,,0
2023-07-19,7.13,7.32,7.02,7.15,,,,,,,0,7.7873,0,1579,,,,,0
2023-07-20,7.15,7.51,7.00,7.34,,,,,,,0,7.7413,0,6343,,,,,0
2023-07-21,7.37,7.92,7.37,7.69,,,,,,,0,7.0000,1,2249,,,,,0
2023-07-24,7.67,7.68,7.20,7.37,,,,,,,0,7.0000,1,1179,,,,,0
2023-07-25,7.33,7.36,6.95,6.99,,,,,,,0,7.9200,0,3988,,,,,0
2023-07-26,6.99,7.42,6.99,7.23,7.29,,,,,8.4590,0,7.9006,0,986,,,,,0
2023-07-27,7.24,7.24,6.58,6.64,7.20,,,,,8.2366,0,7.8816,0,1131,,,,,0
2023-07-28,6.69,7.21,6.69,7.02,7.18,,,,,8.2366,0,7.8295,0,1572,,,,,0
2023-07-31,7.06,7.39,7.06,7.29,7.18,,,,,8.2366,0,7.7795,0,835,,,,,0
2023-08-01,7.23,7.29,6.99,7.05,7.18,,,,,8.2366,0,7.7316,0,685,,,,,0
2023-08-02,6.91,6.91,6.55,6.75,7.14,,,,,8.0460,0,7.6855,0,765,,,,,0
2023-08-03,6.69,6.81,6.54,6.55,7.06,,,,,7.9404,0,7.6174,0,768,,,,,0
2023-08-04,6.64,6.86,6.50,6.64,6.95,,,,,7.9268,0,7.5312,0,645,,,,,0
2023-08-07,6.57,6.72,6.25,6.33,6.85,,,,,7.7481,0,7.4281,0,867,,,,,0
2023-08-08,6.27,6.64,6.15,6.26,6.78,,,,,7.6788,0,7.2867,0,940,,,,,0
2023-08-09,6.26,6.54,6.23,6.49,6.70,6.99,,,,7.6334,0,7.1276,0,1010,,,,,0
2023-08-10,6.50,7.03,6.50,6.74,6.71,6.96,,,,7.6334,0,6.1500,1,842,,,,,0
2023-08-11,6.74,7.08,6.53,6.71,6.68,6.93,,,,7.6334,0,6.1676,1,1400,,,,,0
2023-08-14,6.70,6.88,6.31,6.77,6.63,6.91,,,,7.6334,0,6.2041,1,1466,,,,,0
2023-08-15,6.79,7.37,6.73,7.30,6.65,6.92,,,,7.6334,0,6.2391,1,1236,,,,,0
2023-08-16,7.24,7.27,6.97,7.23,6.70,6.92,,,,7.6334,0,6.3071,1,910,,,,,0
2023-08-17,7.17,7.34,6.73,7.08,6.75,6.91,,,,7.6334,0,6.3710,1,1004,,,,,0
2023-08-18,7.00,7.30,7.00,7.19,6.81,6.88,,,,7.6334,0,6.4311,1,965,,,,,0
2023-08-21,7.17,7.46,6.80,7.27,6.90,6.88,,,,7.6334,0,6.4875,1,1091,,,,,0
2023-08-22,7.28,7.53,7.18,7.31,7.01,6.89,,,,7.6334,0,6.5653,1,837,,,,,0
2023-08-23,7.25,7.51,7.24,7.28,7.09,6.90,,,,7.6334,0,6.6613,1,594,,,,,0
2023-08-24,7.27,7.27,7.08,7.16,7.13,6.92,,,,7.6334,0,6.7477,1,418,,,,,0
2023-08-25,7.15,7.28,6.88,7.13,7.17,6.93,,,,7.6334,0,6.8254,1,721,,,,,0
2023-08-28,7.13,7.22,6.75,6.91,7.19,6.91,,,,7.6334,0,7.5250,0,799,,,,,0
2023-08-29,6.92,7.13,6.75,6.77,7.13,6.89,,,,7.6334,0,7.5095,0,412,,-0.0126,-0.0041,-0.0085,0
2023-08-30,6.75,6.84,6.07,6.18,7.03,6.86,,,,7.6334,0,7.4943,0,1003,,-0.0793,-0.0191,-0.0602,0
2023-08-31,6.28,6.38,6.08,6.25,6.94,6.85,,,,7.5411,0,7.4373,0,708,,-0.1250,-0.0403,-0.0847,0
2023-09-01,6.30,6.49,6.24,6.45,6.87,6.84,,,,7.5411,0,7.3826,0,630,,-0.1435,-0.0609,-0.0826,0
2023-09-05,6.42,6.56,6.27,6.53,6.80,6.85,,,,7.5411,0,7.3301,0,1072,,-0.1500,-0.0787,-0.0712,0
2023-09-06,6.57,6.57,5.93,6.49,6.71,6.86,,,,7.5389,0,7.2797,0,914,,-0.1565,-0.0943,-0.0622,0
2023-09-07,6.50,6.57,6.22,6.49,6.64,6.86,,,,7.5389,0,7.1984,0,702,,-0.1598,-0.1074,-0.0524,0
2023-09-08,6.49,6.49,6.19,6.27,6.55,6.84,,,,7.5389,0,7.1220,0,487,,-0.1782,-0.1216,-0.0566,0
2023-09-11,6.50,6.66,6.31,6.54,6.49,6.83,,,,7.5389,0,7.0502,0,484,,-0.1690,-0.1310,-0.0379,0
2023-09-12,6.64,6.64,6.45,6.58,6.45,6.82,,,,7.5389,0,6.9827,0,495,,-0.1566,-0.1362,-0.0205,0
2023-09-13,6.59,6.59,6.33,6.37,6.41,6.77,,,,7.5389,0,6.9192,0,3023,,-0.1620,-0.1413,-0.0206,0
2023-09-14,6.46,6.75,6.41,6.73,6.47,6.75,,,,7.5389,0,6.8596,0,1044,,-0.1356,-0.1402,0.0046,0
2023-09-15,6.73,6.94,6.14,6.42,6.49,6.72,,,,7.5389,0,5.9250,1,1517,,-0.1381,-0.1397,0.0017,0
2023-09-18,6.41,6.52,6.13,6.33,6.47,6.67,,,,7.5389,0,5.9453,1,884,,-0.1456,-0.1409,-0.0047,0
2023-09-19,6.30,6.44,6.11,6.17,6.44,6.62,,,,7.4915,0,5.9652,1,818,,-0.1626,-0.1453,-0.0174,0
2023-09-20,6.26,6.39,6.07,6.20,6.41,6.56,,,,7.4218,0,5.9847,1,436,,-0.1717,-0.1506,-0.0212,0
2023-09-21,6.08,6.39,6.05,6.15,6.38,6.51,6.82,,,7.3924,0,6.0038,1,637,1144,-0.1809,-0.1566,-0.0243,0
2023-09-22,6.15,6.15,5.90,5.99,6.35,6.45,6.79,,,7.1552,0,6.9400,0,659,1126,-0.1988,-0.1651,-0.0337,0
2023-09-25,5.90,6.13,5.78,5.92,6.29,6.39,6.76,,,7.0771,0,6.9192,0,669,1122,-0.2161,-0.1753,-0.0408,0
2023-09-26,5.90,6.42,5.90,6.11,6.24,6.35,6.74,,,7.0771,0,6.8736,0,648,1115,-0.2121,-0.1826,-0.0294,0
2023-09-27,6.11,6.26,5.76,6.10,6.21,6.31,6.72,,,7.0771,0,6.8299,0,754,1116,-0.2073,-0.1876,-0.0197,0
2023-09-28,6.03,6.11,5.78,5.89,6.13,6.30,6.69,,,7.0771,0,6.7657,0,543,1096,-0.2179,-0.1936,-0.0243,0
2023-09-29,5.88,5.88,5.49,5.73,6.06,6.27,6.66,,,6.8669,0,6.7054,0,659,982,-0.2365,-0.2022,-0.0343,0
2023-10-02,5.73,5.85,5.60,5.77,6.00,6.24,6.62,,,6.8637,0,6.6081,0,658,950,-0.2452,-0.2108,-0.0344,0
2023-10-03,5.80,5.93,5.64,5.82,5.97,6.20,6.59,,,6.8637,0,6.5187,0,978,946,-0.2453,-0.2177,-0.0276,0
2023-10-04,5.98,6.13,5.85,6.01,5.95,6.18,6.57,,,6.8637,0,6.4364,0,1003,886,-0.2273,-0.2196,-0.0077,0
2023-10-05,6.15,7.00,6.05,6.76,6.01,6.19,6.56,,,6.8637,0,5.4900,1,1565,898,-0.1509,-0.2059,0.0550,0
