Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,91.11,92.40,90.96,92.18,,,,,,,0,90.9567,1,9427,,,,,0
2023-07-18,92.06,94.12,92.06,93.92,,,,,,,0,90.9567,1,18558,,,,,0
2023-07-19,94.20,94.68,93.47,94.27,,,,,,,0,90.9567,1,13801,,,,,0
2023-07-20,94.23,94.34,93.35,93.97,,,,,,,0,91.1058,1,12548,,,,,0
2023-07-21,94.33,94.33,93.30,93.87,,,,,,,0,91.2489,1,13703,,,,,0
2023-07-24,93.71,94.30,93.17,93.18,,,,,,,0,91.3863,1,11126,,,,,0
2023-07-25,92.93,93.74,92.56,93.26,,,,,,,0,91.5182,1,9112,,,,,0
2023-07-26,92.90,94.25,92.70,93.77,,,,,,,0,91.6448,1,20689,,,,,0
2023-07-27,96.31,98.89,93.30,94.05,,,,,,,0,91.7664,1,31316,,,,,0
2023-07-28,94.71,94.71,91.00,91.90,93.44,,,,,98.8234,0,98.8928,0,18760,,,,,0
2023-07-31,91.89,93.25,91.36,91.77,93.40,,,,,98.2438,0,98.8928,0,24620,,,,,0
2023-08-01,91.47,94.29,90.58,94.09,93.41,,,,,98.2438,0,98.7348,0,19518,,,,,0
2023-08-02,93.44,94.23,92.88,93.52,93.34,,,,,98.2438,0,98.4087,0,11545,,,,,0
2023-08-03,93.09,95.17,92.44,95.11,93.45,,,,,98.2438,0,98.0956,0,20886,,,,,0
2023-08-04,95.19,96.55,94.39,96.16,93.68,,,,,98.2438,0,97.7950,0,31959,,,,,0
2023-08-07,96.24,97.21,95.37,95.77,93.94,,,,,98.2438,0,97.5064,0,43406,,,,,0
2023-08-08,95.25,95.25,91.09,93.24,93.94,,,,,98.2438,0,97.2294,0,13263,,,,,0
