Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,6.56,6.56,6.46,6.51,,,,,,,0,6.5639,0,25,,,,,0
2023-07-21,6.52,6.52,6.28,6.28,,,,,,,0,6.5639,0,288,,,,,0
2023-07-24,6.28,6.54,6.28,6.36,,,,,,,0,6.5639,0,96,,,,,0
2023-07-25,6.31,6.44,6.27,6.29,,,,,,,0,6.5582,0,84,,,,,0
2023-07-26,6.32,6.50,6.32,6.44,,,,,,,0,6.5466,0,84,,,,,0
2023-07-27,6.30,6.50,6.30,6.47,,,,,,,0,6.5355,0,20,,,,,0
2023-07-28,6.46,6.48,6.26,6.43,,,,,,,0,6.5248,0,15,,,,,0
2023-07-31,6.36,6.48,6.28,6.38,,,,,,,0,6.5089,0,37,,,,,0
2023-08-01,6.48,6.64,6.39,6.46,,,,,,,0,6.2593,1,80,,,,,0
2023-08-02,6.39,6.39,6.39,6.39,6.40,,,,,6.9729,0,6.2668,1,8,,,,,0
2023-08-03,6.30,6.30,6.30,6.30,6.38,,,,,6.8498,0,6.2743,1,3,,,,,0
2023-08-04,6.40,6.41,6.39,6.41,6.39,,,,,6.8498,0,6.2815,1,6,,,,,0
2023-08-07,6.23,6.28,6.23,6.28,6.38,,,,,6.7856,0,6.6378,0,10,,,,,0
2023-08-08,6.28,6.28,6.19,6.19,6.37,,,,,6.7371,0,6.6296,0,9,,,,,0
2023-08-09,6.16,6.44,6.10,6.44,6.37,,,,,6.7371,0,6.6119,0,14,,,,,0
2023-08-10,6.28,6.46,6.28,6.39,6.37,,,,,6.7371,0,6.5813,0,24,,,,,0
2023-08-11,6.28,6.46,6.17,6.37,6.36,,,,,6.7371,0,6.5526,0,26,,,,,0
2023-08-14,6.37,6.37,6.18,6.18,6.34,,,,,6.7371,0,6.5256,0,17,,,,,0
2023-08-15,6.19,6.29,6.03,6.05,6.30,,,,,6.7371,0,6.5002,0,43,,,,,0
