Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,25.74,26.25,25.44,25.80,,,,,,,0,26.2500,0,426,,,,,0
2023-07-20,25.94,26.00,25.26,25.63,,,,,,,0,26.2500,0,566,,,,,0
2023-07-21,25.75,25.95,25.14,25.44,,,,,,,0,26.2500,0,888,,,,,0
2023-07-24,25.28,26.50,25.28,26.38,,,,,,,0,25.1400,1,1467,,,,,0
2023-07-25,26.11,26.50,25.92,26.33,,,,,,,0,25.1400,1,1090,,,,,0
2023-07-26,26.13,26.76,26.10,26.55,,,,,,,0,25.1672,1,836,,,,,0
2023-07-27,26.62,26.84,26.12,26.24,,,,,,,0,25.2309,1,1120,,,,,0
2023-07-28,26.46,27.16,26.44,26.95,,,,,,,0,25.3275,1,930,,,,,0
2023-07-31,27.06,27.47,26.80,27.21,,,,,,,0,25.4741,1,1265,,,,,0
2023-08-01,27.07,27.50,26.72,27.48,26.40,,,,,29.4830,0,25.6737,1,1146,,,,,0
2023-08-02,27.12,27.52,26.87,27.21,26.54,,,,,29.4830,0,25.8928,1,1763,,,,,0
2023-08-03,27.08,27.84,26.90,27.00,26.68,,,,,29.4830,0,26.1206,1,2468,,,,,0
2023-08-04,27.33,28.73,25.01,25.20,26.65,,,,,29.4830,0,27.8400,0,4183,,,,,0
2023-08-07,25.17,25.45,24.38,24.59,26.48,,,,,28.1679,0,28.7300,0,1704,,,,,0
2023-08-08,24.22,25.70,23.60,24.57,26.30,,,,,28.1679,0,28.7300,0,2398,,,,,0
2023-08-09,24.78,26.56,24.08,24.74,26.12,,,,,28.1679,0,28.4222,0,1457,,,,,0
2023-08-10,25.12,25.12,24.30,24.42,25.94,,,,,28.1679,0,28.1329,0,608,,,,,0
2023-08-11,24.33,25.19,24.33,25.16,25.76,,,,,28.1679,0,27.8609,0,845,,,,,0
2023-08-14,25.00,25.19,24.60,24.88,25.52,,,,,28.1679,0,27.6052,0,684,,,,,0
2023-08-15,24.67,24.67,24.00,24.04,25.18,25.79,,,,27.7355,0,27.3649,0,553,,,,,0
2023-08-16,24.56,24.56,23.37,23.50,24.81,25.68,,,,27.3824,0,27.1390,0,938,,,,,0
2023-08-17,23.66,23.91,23.27,23.55,24.46,25.57,,,,26.8577,0,26.8375,0,893,,,,,0
2023-08-18,23.24,24.42,23.20,24.39,24.38,25.52,,,,26.8577,0,26.4808,0,1288,,,,,0
2023-08-21,24.44,25.42,23.72,23.94,24.32,25.40,,,,26.8577,0,26.0871,0,699,,,,,0
2023-08-22,24.05,24.70,23.25,23.29,24.19,25.25,,,,26.8577,0,25.7406,0,985,,,,,0
2023-08-23,23.26,23.66,23.26,23.55,24.07,25.10,,,,26.7953,0,25.4357,0,650,,,,,0
