Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,201.00,201.50,198.53,199.53,,,,,,,0,201.5000,0,64787,,,,,0
2023-07-14,198.78,200.72,196.31,198.97,,,,,,,0,201.5000,0,63611,,,,,0
2023-07-17,197.77,201.75,197.07,200.81,,,,,,,0,196.3100,1,77332,,,,,0
2023-07-18,200.79,202.22,198.29,201.06,,,,,,,0,196.3100,1,96549,,,,,0
2023-07-19,201.89,205.58,200.73,204.16,,,,,,,0,196.5464,1,111961,,,,,0
2023-07-20,204.56,204.56,199.04,199.29,,,,,,,0,197.0884,1,68018,,,,,0
2023-07-21,200.87,201.73,199.94,200.87,,,,,,,0,197.5979,1,57931,,,,,0
2023-07-24,199.27,199.30,194.02,196.99,,,,,,,0,205.5800,0,163640,,,,,0
2023-07-25,195.74,198.10,194.23,195.03,,,,,,,0,205.3488,0,73565,,,,,0
2023-07-26,196.23,200.51,196.23,200.11,199.68,,,,,211.8700,0,205.1222,0,94112,,,,,0
2023-07-27,200.74,205.59,199.24,200.28,199.76,,,,,211.8700,0,194.0200,1,111736,,,,,0
2023-07-28,202.19,207.55,201.80,207.45,200.60,,,,,211.8700,0,194.2514,1,147601,,,,,0
2023-07-31,208.00,209.12,205.94,208.34,201.36,,,,,211.8700,0,194.7833,1,105608,,,,,0
2023-08-01,208.32,208.38,204.47,207.07,201.96,,,,,211.8700,0,195.6435,1,93202,,,,,0
2023-08-02,205.00,205.62,200.12,200.29,201.57,,,,,211.8700,0,196.4521,1,92874,,,,,0
2023-08-03,200.29,203.08,197.58,198.80,201.52,,,,,211.8700,0,197.2122,1,88446,,,,,0
2023-08-04,199.21,199.92,196.91,198.06,201.24,,,,,211.8700,0,209.1200,0,66112,,,,,0
2023-08-07,198.73,199.54,194.07,195.68,201.11,,,,,211.3296,0,208.8758,0,123513,,,,,0
2023-08-08,194.01,194.99,189.57,192.52,200.86,,,,,207.1852,0,208.2836,0,117649,,,,,0
2023-08-09,192.34,195.53,192.15,194.90,200.34,200.01,,,,207.1852,0,207.1608,0,78467,,,,,0
2023-08-10,196.59,198.05,194.18,195.11,199.82,199.79,,,,207.1852,0,206.1053,0,64894,,,,,0
2023-08-11,194.26,195.15,192.01,192.80,198.36,199.48,,,,207.1852,0,205.1132,0,63354,,,,,0
2023-08-14,193.83,196.75,193.09,196.31,197.15,199.26,,,,207.1852,0,204.1806,0,78445,,,,,0
2023-08-15,195.25,196.32,192.90,196.07,196.05,199.01,,,,207.1852,0,203.3040,0,84898,,,,,0
2023-08-16,198.33,198.33,194.29,194.43,195.47,198.52,,,,207.1852,0,202.4799,0,122608,,,,,0
2023-08-17,195.31,195.37,188.30,189.15,194.50,198.01,,,,205.7133,0,201.7053,0,107986,,,,,0
2023-08-18,187.86,195.65,187.58,194.25,194.12,197.68,,,,205.7133,0,200.6329,0,103904,,,,,0
2023-08-21,194.75,195.25,191.34,193.11,193.86,197.49,,,,205.7133,0,199.3276,0,69906,,,,,0
2023-08-22,190.27,190.27,184.48,187.36,193.35,197.10,,,,203.0980,0,198.1529,0,125438,,,,,0
2023-08-23,187.14,187.77,184.57,187.08,192.57,196.45,,,,201.2807,0,196.5121,0,111369,,,,,0
2023-08-24,185.50,185.64,173.88,175.10,190.57,195.19,,,,197.3196,0,195.0683,0,262720,,,,,0
2023-08-25,176.10,179.77,174.02,177.70,189.06,193.71,,,,194.4237,0,192.1019,0,186194,,,,,0
2023-08-28,177.97,179.75,176.28,179.18,187.34,192.25,,,,194.4237,0,189.5508,0,182513,,,,,0
