Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,31.10,31.24,30.69,31.00,,,,,,,0,31.2400,0,31859,,,,,0
2023-07-14,31.00,31.00,30.06,30.23,,,,,,,0,31.2400,0,28229,,,,,0
2023-07-17,30.21,30.55,29.94,30.54,,,,,,,0,31.2400,0,59409,,,,,0
2023-07-18,30.64,31.60,30.64,31.56,,,,,,,0,29.9400,1,40119,,,,,0
2023-07-19,31.55,31.75,30.98,31.29,,,,,,,0,29.9400,1,57933,,,,,0
2023-07-20,31.47,31.53,30.57,30.73,,,,,,,0,30.0124,1,34451,,,,,0
2023-07-21,31.02,31.12,30.30,30.36,,,,,,,0,30.0819,1,38961,,,,,0
2023-07-24,30.32,30.90,30.11,30.71,,,,,,,0,31.7500,0,31555,,,,,0
2023-07-25,30.66,30.87,30.53,30.76,,,,,,,0,31.7172,0,24888,,,,,0
2023-07-26,30.66,31.11,30.66,30.79,30.80,,,,,33.0720,0,31.6851,0,33201,,,,,0
2023-07-27,31.11,31.11,30.09,30.24,30.72,,,,,32.8743,0,31.6536,0,21827,,,,,0
2023-07-28,30.47,31.07,30.38,30.64,30.76,,,,,32.8743,0,31.5910,0,29972,,,,,0
2023-07-31,30.84,31.29,30.84,30.98,30.81,,,,,32.8743,0,31.5310,0,28130,,,,,0
2023-08-01,30.78,31.43,30.73,31.23,30.77,,,,,32.8743,0,31.4733,0,34800,,,,,0
2023-08-02,30.84,31.21,30.65,31.08,30.75,,,,,32.8743,0,31.4300,0,29287,,,,,0
2023-08-03,31.00,31.46,30.73,31.10,30.79,,,,,32.8743,0,30.0900,1,72510,,,,,0
