Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,142.92,144.42,141.34,144.18,,,,,,,0,141.3444,1,81035,,,,,0
2023-07-19,143.91,144.94,143.53,144.26,,,,,,,0,141.3444,1,47282,,,,,0
2023-07-20,144.16,144.94,142.74,142.75,,,,,,,0,141.3444,1,49681,,,,,0
2023-07-21,141.89,143.23,141.76,142.38,,,,,,,0,141.4163,1,57898,,,,,0
2023-07-24,142.38,142.83,140.88,142.30,,,,,,,0,144.9421,0,26941,,,,,0
2023-07-25,142.84,144.63,142.17,144.08,,,,,,,0,144.8609,0,44051,,,,,0
2023-07-26,143.70,144.10,142.10,143.29,,,,,,,0,144.7812,0,45932,,,,,0
2023-07-27,142.77,142.82,138.97,139.06,,,,,,,0,144.7031,0,59893,,,,,0
2023-07-28,139.96,140.70,138.56,140.14,,,,,,,0,144.4739,0,34056,,,,,0
2023-07-31,140.88,143.28,140.82,141.81,142.43,,,,,149.2955,0,144.1192,0,44583,,,,,0
2023-08-01,139.45,139.74,137.95,138.78,141.88,,,,,146.5250,0,143.7859,0,47212,,,,,0
2023-08-02,138.16,138.36,134.28,134.53,140.91,,,,,144.5794,0,143.3191,0,44341,,,,,0
2023-08-03,134.53,135.86,133.71,134.82,140.12,,,,,142.8664,0,142.4147,0,38018,,,,,0
2023-08-04,135.16,136.78,135.16,136.09,139.49,,,,,142.8664,0,141.3703,0,45403,,,,,0
2023-08-07,135.95,136.25,134.20,134.86,138.75,,,,,142.8664,0,140.4512,0,33813,,,,,0
2023-08-08,133.32,135.05,132.15,134.12,137.75,,,,,141.3937,0,139.6424,0,45103,,,,,0
2023-08-09,134.19,136.21,133.51,135.85,137.01,,,,,141.3937,0,138.5928,0,60327,,,,,0
2023-08-10,137.15,138.41,135.30,136.01,136.70,,,,,141.3937,0,132.1457,1,44563,,,,,0
2023-08-11,135.16,139.12,135.16,138.89,136.58,,,,,141.3937,0,132.2709,1,54293,,,,,0
