Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,2.55,2.61,2.54,2.56,,,,,,,0,2.6100,0,301,,,,,0
2023-07-20,2.57,2.57,2.50,2.54,,,,,,,0,2.6100,0,425,,,,,0
2023-07-21,2.57,2.76,2.55,2.71,,,,,,,0,2.5000,1,1829,,,,,0
2023-07-24,2.72,2.92,2.70,2.87,,,,,,,0,2.5000,1,951,,,,,0
2023-07-25,2.84,2.87,2.68,2.71,,,,,,,0,2.5168,1,495,,,,,0
2023-07-26,2.71,2.77,2.69,2.76,,,,,,,0,2.5329,1,419,,,,,0
2023-07-27,2.74,2.84,2.67,2.69,,,,,,,0,2.5484,1,745,,,,,0
2023-07-28,2.72,2.81,2.70,2.78,,,,,,,0,2.5633,1,520,,,,,0
2023-07-31,2.77,2.82,2.77,2.78,,,,,,,0,2.5775,1,581,,,,,0
2023-08-01,2.75,2.77,2.64,2.72,2.71,,,,,3.1040,0,2.5912,1,787,,,,,0
2023-08-02,2.70,2.71,2.61,2.62,2.72,,,,,3.0521,0,2.6044,1,452,,,,,0
2023-08-03,2.61,2.70,2.60,2.68,2.73,,,,,3.0329,0,2.9200,0,407,,,,,0
2023-08-04,2.69,2.70,2.56,2.57,2.72,,,,,3.0166,0,2.9136,0,581,,,,,0
2023-08-07,2.57,2.66,2.53,2.65,2.70,,,,,2.9819,0,2.8995,0,560,,,,,0
2023-08-08,2.63,2.63,2.41,2.51,2.68,,,,,2.9402,0,2.8773,0,801,,,,,0
2023-08-09,2.48,2.53,2.30,2.41,2.64,,,,,2.8622,0,2.8399,0,1145,,,,,0
2023-08-10,2.12,2.26,1.90,2.25,2.60,,,,,2.6355,0,2.7859,0,4125,,,,,0
2023-08-11,2.18,2.22,1.97,2.13,2.53,,,,,2.6355,0,2.6796,0,1615,,,,,0
2023-08-14,2.13,2.13,2.00,2.10,2.46,,,,,2.6296,0,2.5861,0,1039,,,,,0
2023-08-15,2.05,2.09,1.98,2.00,2.39,2.55,,,,2.5791,0,2.5037,0,948,,,,,0
2023-08-16,2.02,2.11,1.99,1.99,2.33,2.52,,,,2.5757,0,2.4313,0,786,,,,,0
2023-08-17,1.97,2.06,1.96,2.00,2.26,2.50,,,,2.5131,0,2.3675,0,653,,,,,0
2023-08-18,1.99,2.03,1.97,2.00,2.20,2.46,,,,2.4708,0,2.3114,0,487,,,,,0
2023-08-21,1.97,2.11,1.95,2.09,2.15,2.42,,,,2.4708,0,2.2621,0,2212,,,,,0
2023-08-22,2.11,2.12,2.05,2.09,2.11,2.39,,,,2.4708,0,2.2186,0,884,,,,,0
2023-08-23,2.10,2.13,2.05,2.09,2.07,2.36,,,,2.4708,0,2.1804,0,1161,,,,,0
2023-08-24,2.10,2.14,1.99,2.00,2.05,2.32,,,,2.4708,0,2.1467,0,449,,,,,0
2023-08-25,2.00,2.06,1.99,2.02,2.04,2.28,,,,2.4307,0,2.1400,0,581,,,,,0
2023-08-28,2.03,2.09,1.98,1.99,2.03,2.25,,,,2.4307,0,2.1400,0,561,,,,,0
2023-08-29,1.99,2.14,1.99,2.09,2.04,2.21,,,,2.4307,0,1.9000,1,860,,,,,0
2023-08-30,2.08,2.15,2.04,2.13,2.05,2.19,,,,2.4307,0,1.9048,1,764,,,,,0
2023-08-31,2.16,2.16,2.06,2.12,2.06,2.16,,,,2.4307,0,1.9146,1,730,,,,,0
2023-09-01,2.15,2.29,2.15,2.19,2.08,2.14,,,,2.4307,0,1.9293,1,657,,,,,0
2023-09-05,2.19,2.19,2.07,2.12,2.08,2.12,,,,2.4307,0,1.9582,1,513,,-0.1569,-0.2184,0.0615,0
