Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,29.31,29.93,28.69,29.19,,,,,,,0,28.6900,1,25798,,,,,0
2023-07-17,29.78,30.82,29.59,30.40,,,,,,,0,28.6900,1,68658,,,,,0
2023-07-18,30.44,30.94,30.24,30.44,,,,,,,0,28.6900,1,21390,,,,,0
2023-07-19,30.74,30.85,29.50,29.80,,,,,,,0,28.7800,1,27893,,,,,0
2023-07-20,29.50,29.70,28.91,29.19,,,,,,,0,28.8664,1,27955,,,,,0
2023-07-21,29.44,29.89,28.89,28.94,,,,,,,0,30.9400,0,16629,,,,,0
2023-07-24,29.00,29.12,28.30,28.97,,,,,,,0,30.8990,0,18596,,,,,0
2023-07-25,29.42,29.91,29.18,29.62,,,,,,,0,30.7950,0,15767,,,,,0
2023-07-26,29.42,29.78,28.88,29.00,,,,,,,0,30.6952,0,15483,,,,,0
2023-07-27,29.67,29.94,28.92,28.94,29.45,,,,,32.5770,0,30.5994,0,31345,,,,,0
2023-07-28,29.42,29.73,28.89,29.66,29.50,,,,,32.3943,0,30.5075,0,15767,,,,,0
2023-07-31,29.67,30.84,29.67,30.77,29.53,,,,,32.3943,0,28.3000,1,25585,,,,,0
2023-08-01,30.48,30.75,29.50,29.62,29.45,,,,,32.3943,0,28.3508,1,78066,,,,,0
2023-08-02,29.06,29.06,28.16,28.37,29.31,,,,,31.9253,0,30.8400,0,36620,,,,,0
2023-08-03,29.10,30.81,28.86,29.33,29.32,,,,,31.9253,0,28.1560,1,31102,,,,,0
2023-08-04,29.74,30.29,29.57,29.62,29.39,,,,,31.9253,0,28.1560,1,31148,,,,,0
2023-08-07,28.78,29.43,27.61,29.25,29.42,,,,,31.9253,0,30.8100,0,59179,,,,,0
2023-08-08,28.66,28.95,27.54,28.20,29.28,,,,,31.9253,0,30.7460,0,37137,,,,,0
2023-08-09,28.35,28.38,27.31,27.36,29.11,,,,,31.7652,0,30.6178,0,16583,,,,,0
2023-08-10,27.56,27.74,26.57,26.67,28.89,29.17,,,,31.0342,0,30.4193,0,17424,,,,,0
2023-08-11,26.42,26.64,26.20,26.55,28.57,29.04,,,,30.0522,0,30.1114,0,19121,,,,,0
2023-08-14,26.54,26.81,26.23,26.68,28.17,28.85,,,,29.9630,0,29.7202,0,16880,,,,,0
2023-08-15,26.38,26.65,26.16,26.50,27.85,28.65,,,,29.6597,0,29.3682,0,12410,,,,,0
2023-08-16,26.39,27.03,26.17,27.02,27.72,28.51,,,,29.6597,0,28.9832,0,28814,,,,,0
2023-08-17,27.00,27.06,26.54,26.75,27.46,28.39,,,,29.6597,0,28.6444,0,23182,,,,,0
2023-08-18,26.00,27.00,25.32,26.90,27.19,28.29,,,,29.3821,0,28.3463,0,41598,,,,,0
2023-08-21,26.90,27.27,26.72,27.00,26.96,28.19,,,,29.3821,0,27.9226,0,27386,,,,,0
2023-08-22,27.05,27.40,26.99,27.20,26.86,28.07,,,,29.3821,0,27.5582,0,14878,,,,,0
2023-08-23,27.23,27.32,26.96,27.17,26.84,27.98,,,,29.3821,0,27.4000,0,23543,,,,,0
2023-08-24,27.33,27.50,26.73,26.74,26.85,27.87,,,,29.3821,0,25.3200,1,16611,,,,,0
2023-08-25,26.73,26.99,26.42,26.75,26.87,27.72,,,,29.2737,0,25.3636,1,9673,,,,,0
2023-08-28,26.82,27.27,26.73,26.96,26.90,27.53,,,,29.2737,0,25.4063,1,15327,,,,,0
2023-08-29,26.92,27.45,26.80,27.39,26.99,27.42,,,,29.2737,0,25.4482,1,17751,,,,,0
