Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,17.87,18.90,17.83,18.85,,,,,,,0,17.8300,1,56906,,,,,0
2023-07-19,19.20,19.98,19.04,19.21,,,,,,,0,17.8300,1,60606,,,,,0
2023-07-20,18.83,19.05,17.56,17.65,,,,,,,0,19.9800,0,47989,,,,,0
2023-07-21,17.86,18.13,17.13,17.19,,,,,,,0,19.9800,0,43745,,,,,0
2023-07-24,17.35,17.49,17.02,17.49,,,,,,,0,19.8660,0,42690,,,,,0
2023-07-25,17.64,17.80,17.25,17.30,,,,,,,0,19.6952,0,28654,,,,,0
2023-07-26,17.18,17.53,17.09,17.45,,,,,,,0,19.5347,0,22622,,,,,0
2023-07-27,17.89,18.00,16.75,16.94,,,,,,,0,19.3838,0,28442,,,,,0
2023-07-28,17.48,17.92,17.39,17.67,,,,,,,0,19.1731,0,30046,,,,,0
2023-07-31,17.80,18.51,17.80,18.37,17.81,,,,,20.9705,0,18.9793,0,52307,,,,,0
2023-08-01,18.14,18.30,17.87,17.94,17.72,,,,,20.7664,0,18.8009,0,49016,,,,,0
2023-08-02,17.32,17.32,16.26,16.45,17.45,,,,,19.7096,0,18.6369,0,57728,,,,,0
2023-08-03,18.35,20.58,18.00,20.24,17.70,,,,,15.4234,1,16.2600,1,210541,,,,,0
2023-08-04,20.43,21.19,20.24,20.98,18.08,,,,,16.9501,1,16.2600,1,117077,,,,,0
2023-08-07,21.10,21.10,19.43,20.74,18.41,,,,,16.9501,1,16.4572,1,76549,,,,,0
2023-08-08,20.30,21.36,19.73,20.91,18.77,,,,,16.9501,1,16.6465,1,86580,,,,,0
2023-08-09,20.97,21.54,20.24,20.38,19.06,,,,,16.9501,1,16.9293,1,102556,,,,,0
2023-08-10,20.69,20.93,19.21,19.31,19.30,,,,,16.9501,1,17.2982,1,65731,,,,,0
