Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,34.00,34.18,33.76,34.04,,,,,,,0,33.7600,1,13316,,,,,0
2023-07-17,34.08,34.43,34.08,34.26,,,,,,,0,33.7600,1,17284,,,,,0
2023-07-18,34.26,34.57,34.17,34.56,,,,,,,0,33.7600,1,18573,,,,,0
2023-07-19,34.58,34.98,34.56,34.70,,,,,,,0,33.7924,1,31334,,,,,0
2023-07-20,34.63,34.78,34.04,34.35,,,,,,,0,33.8637,1,40530,,,,,0
2023-07-21,34.58,35.01,34.38,34.40,,,,,,,0,33.9306,1,16660,,,,,0
2023-07-24,34.39,34.52,33.78,34.00,,,,,,,0,35.0100,0,24232,,,,,0
2023-07-25,34.02,34.67,34.02,34.29,,,,,,,0,35.0100,0,13085,,,,,0
2023-07-26,34.20,34.58,34.14,34.49,,,,,,,0,34.9854,0,11492,,,,,0
2023-07-27,34.62,34.80,34.12,34.33,34.34,,,,,36.1280,0,34.9613,0,12503,,,,,0
2023-07-28,34.49,34.80,34.34,34.53,34.39,,,,,36.1280,0,34.9377,0,10597,,,,,0
2023-07-31,34.53,34.96,34.52,34.92,34.46,,,,,36.1280,0,33.7800,1,13514,,,,,0
2023-08-01,34.77,34.96,34.43,34.93,34.49,,,,,36.1280,0,33.8036,1,16340,,,,,0
2023-08-02,37.20,38.97,36.73,36.93,34.72,,,,,35.1908,1,33.8267,1,70381,,,,,0
2023-08-03,37.11,37.47,36.80,36.90,34.97,,,,,35.1908,1,34.0325,1,25970,,,,,0
2023-08-04,37.32,37.56,36.67,37.00,35.23,,,,,35.1908,1,34.2300,1,28642,,,,,0
2023-08-07,37.21,37.50,36.48,36.53,35.49,,,,,35.1908,1,34.4196,1,23540,,,,,0
2023-08-08,36.44,36.49,35.35,35.58,35.61,,,,,35.1908,1,34.6016,1,47592,,,,,0
2023-08-09,35.51,35.54,34.39,34.50,35.62,,,,,37.7852,0,38.9700,0,35104,,,,,0
2023-08-10,34.68,34.84,34.34,34.47,35.63,34.99,,,,37.2782,0,38.8784,0,27138,,,,,0
2023-08-11,34.26,34.92,34.03,34.56,35.63,35.01,,,,37.1614,0,38.6969,0,22284,,,,,0
2023-08-14,34.46,34.86,34.24,34.71,35.61,35.03,,,,37.1537,0,38.4169,0,26081,,,,,0
2023-08-15,34.61,35.30,34.29,34.33,35.55,35.02,,,,37.1537,0,38.1536,0,20399,,,,,0
