Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,69.15,69.19,68.23,69.07,,,,,,,0,68.2345,1,788,,,,,0
2023-07-20,69.11,69.43,68.28,68.47,,,,,,,0,68.2345,1,1949,,,,,0
2023-07-21,68.67,68.67,67.16,67.30,,,,,,,0,69.4322,0,1574,,,,,0
2023-07-24,67.26,68.32,66.83,67.67,,,,,,,0,69.4322,0,1084,,,,,0
2023-07-25,67.70,68.99,67.70,68.33,,,,,,,0,69.3281,0,795,,,,,0
2023-07-26,68.56,68.56,67.55,67.72,,,,,,,0,69.2281,0,655,,,,,0
2023-07-27,68.24,69.22,68.24,68.43,,,,,,,0,66.8285,1,702,,,,,0
2023-07-28,69.07,69.71,68.63,68.63,,,,,,,0,66.8762,1,585,,,,,0
2023-07-31,68.87,69.15,68.11,68.63,,,,,,,0,66.9896,1,783,,,,,0
2023-08-01,68.73,69.33,68.37,68.95,68.32,,,,,72.5141,0,67.0984,1,572,,,,,0
2023-08-02,69.13,69.30,67.99,68.16,68.23,,,,,72.3370,0,67.2029,1,1382,,,,,0
2023-08-03,68.45,69.46,67.48,68.97,68.28,,,,,72.3370,0,67.3031,1,1216,,,,,0
2023-08-04,69.55,69.55,68.28,68.53,68.40,,,,,72.3370,0,67.3994,1,750,,,,,0
2023-08-07,68.36,69.48,68.36,68.69,68.50,,,,,72.3370,0,67.4794,1,807,,,,,0
2023-08-08,67.94,67.94,66.92,66.95,68.37,,,,,71.4274,0,69.7099,0,532,,,,,0
2023-08-09,67.43,67.64,67.16,67.42,68.34,,,,,71.2027,0,69.6540,0,971,,,,,0
2023-08-10,67.84,67.97,66.94,67.50,68.24,,,,,71.1858,0,69.5993,0,1167,,,,,0
2023-08-11,67.05,67.19,66.57,66.66,68.05,,,,,70.5183,0,69.5456,0,914,,,,,0
2023-08-14,66.29,66.29,65.24,65.54,67.74,,,,,69.4663,0,69.4265,0,702,,,,,0
2023-08-15,65.01,65.27,64.88,65.01,67.34,67.83,,,,68.6041,0,69.1753,0,629,,,,,0
2023-08-16,65.01,65.34,64.09,64.16,66.94,67.58,,,,68.2686,0,68.8313,0,946,,,,,0
2023-08-17,64.16,65.37,63.53,63.85,66.43,67.35,,,,68.2005,0,68.3568,0,787,,,,,0
2023-08-18,63.01,63.99,62.82,63.37,65.91,67.16,,,,67.1312,0,67.7776,0,1241,,,,,0
2023-08-21,63.53,63.90,62.43,62.71,65.31,66.91,,,,66.9625,0,67.0834,0,845,,,,,0
2023-08-22,62.49,62.71,62.15,62.19,64.84,66.60,,,,66.0118,0,66.3386,0,1032,,,,,0
2023-08-23,61.88,62.51,61.88,62.30,64.33,66.33,,,,65.6065,0,65.5847,0,689,,,,,0
2023-08-24,62.01,63.83,62.01,63.52,63.93,66.09,,,,65.6065,0,64.8441,0,1237,,,,,0
2023-08-25,63.42,64.84,63.42,64.68,63.73,65.89,,,,65.6065,0,61.8815,1,514,,,,,0
2023-08-28,64.66,65.91,64.66,65.00,63.68,65.71,,,,65.6065,0,61.9407,1,509,,,,,0
2023-08-29,64.72,66.06,64.72,65.92,63.77,65.56,,,,61.6676,1,62.0994,1,699,,,,,0
2023-08-30,65.66,66.52,65.66,65.88,63.94,65.44,,,,62.4784,1,62.3373,1,797,,,,,0
2023-08-31,66.39,66.39,63.43,64.68,64.02,65.23,,,,62.4784,1,62.6723,1,3577,,,,,0
2023-09-01,65.73,65.96,65.10,65.51,64.24,65.08,,,,62.4784,1,62.9805,1,1910,,,,,0
2023-09-05,65.21,65.21,61.90,63.29,64.30,64.81,,,,62.4784,1,66.5247,0,1619,,-1.1669,-1.6475,0.4806,0
2023-09-06,62.94,63.54,62.16,62.64,64.34,64.59,,,,62.4784,1,66.4322,0,1155,,-1.2437,-1.5667,0.3230,0
2023-09-07,62.91,62.91,61.40,61.64,64.28,64.30,,,,66.8585,0,66.3416,0,1300,,-1.3693,-1.5272,0.1579,0
2023-09-08,61.64,61.76,61.19,61.63,64.09,64.01,,,,65.8748,0,66.1441,0,959,,-1.4528,-1.5123,0.0595,0
2023-09-11,61.99,62.06,60.88,61.34,63.75,63.74,,,,65.7888,0,65.8466,0,1230,,-1.5245,-1.5148,-0.0098,0
2023-09-12,61.33,62.21,61.33,62.01,63.45,63.57,,,,65.7888,0,65.4496,0,1229,,-1.5100,-1.5138,0.0038,0
2023-09-13,61.95,61.95,60.73,60.89,62.95,63.36,,,,65.4564,0,65.0843,0,3375,,-1.5708,-1.5252,-0.0456,0
2023-09-14,61.56,62.38,60.78,61.40,62.50,63.22,,,,65.4564,0,64.6486,0,3197,,-1.5599,-1.5322,-0.0277,0
2023-09-15,61.23,61.49,60.03,60.30,62.07,63.04,,,,64.9638,0,64.2564,0,4597,,-1.6211,-1.5499,-0.0711,0
2023-09-18,60.15,61.58,60.15,60.58,61.57,62.91,,,,64.9638,0,63.7495,0,2623,,-1.6281,-1.5656,-0.0626,0
2023-09-19,60.81,61.26,60.43,60.47,61.29,62.79,,,,64.8826,0,63.3034,0,2301,,-1.6242,-1.5773,-0.0469,0
2023-09-20,60.92,61.40,60.43,60.44,61.07,62.71,,,,64.8412,0,62.9108,0,998,,-1.6054,-1.5829,-0.0225,0
2023-09-21,60.34,60.60,60.08,60.08,60.92,62.60,,,,64.0316,0,62.5654,0,568,,-1.6004,-1.5864,-0.0140,0
2023-09-22,60.51,60.51,59.25,59.36,60.69,62.39,,,,63.5781,0,62.2613,0,798,,-1.6357,-1.5963,-0.0394,0
2023-09-25,59.03,59.77,58.97,58.97,60.45,62.10,,,,62.9386,0,61.8399,0,1075,,-1.6762,-1.6123,-0.0639,0
2023-09-26,59.07,59.07,57.84,57.84,60.03,61.74,,,,62.0332,0,61.3807,0,1140,,-1.7791,-1.6456,-0.1335,0
2023-09-27,58.27,59.15,58.27,58.93,59.84,61.40,64.44,,,62.0332,0,60.7430,0,1041,1251,-1.7520,-1.6669,-0.0851,0
2023-09-28,59.23,59.82,58.93,59.58,59.66,61.08,64.25,,,62.0332,0,60.2200,0,821,1252,-1.6596,-1.6654,0.0058,0
2023-09-29,59.77,59.77,58.20,58.42,59.47,60.77,64.05,,,62.0332,0,59.8213,0,1171,1236,-1.6608,-1.6645,0.0037,0
2023-10-02,58.35,59.63,58.35,59.29,59.34,60.46,63.89,,,62.0332,0,59.8213,0,1297,1231,-1.5727,-1.6462,0.0734,0
