Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,24.79,24.83,24.46,24.55,,,,,,,0,24.8326,0,872,,,,,0
2023-07-14,24.47,24.80,24.38,24.74,,,,,,,0,24.8326,0,761,,,,,0
2023-07-17,24.73,25.08,24.73,24.87,,,,,,,0,24.3822,1,859,,,,,0
2023-07-18,24.80,25.14,24.66,24.91,,,,,,,0,24.3822,1,730,,,,,0
2023-07-19,24.95,24.95,24.57,24.59,,,,,,,0,24.4125,1,658,,,,,0
2023-07-20,24.63,24.82,24.39,24.73,,,,,,,0,25.1388,0,736,,,,,0
2023-07-21,24.89,24.89,24.58,24.63,,,,,,,0,25.1239,0,771,,,,,0
2023-07-24,24.65,25.43,24.65,25.35,,,,,,,0,24.3912,1,1219,,,,,0
2023-07-25,25.18,25.63,25.07,25.57,,,,,,,0,24.4120,1,1326,,,,,0
2023-07-26,25.57,26.32,25.57,26.17,25.01,,,,,27.3933,0,24.4605,1,1638,,,,,0
2023-07-27,26.27,26.51,25.99,26.07,25.16,,,,,27.3933,0,24.5720,1,1838,,,,,0
2023-07-28,26.27,26.38,25.17,25.54,25.24,,,,,27.3933,0,24.7269,1,1679,,,,,0
2023-07-31,25.50,25.90,25.50,25.67,25.32,,,,,27.3298,0,24.8693,1,1077,,,,,0
2023-08-01,25.62,26.26,25.62,26.09,25.44,,,,,27.3298,0,25.0004,1,1060,,,,,0
2023-08-02,27.02,27.60,25.69,26.71,25.65,,,,,27.3298,0,25.1210,1,4513,,,,,0
2023-08-03,26.62,28.49,26.36,28.43,26.02,,,,,24.9289,1,25.3687,1,3563,,,,,0
2023-08-04,28.35,28.93,28.16,28.67,26.43,,,,,26.0632,1,25.6883,1,2508,,,,,0
2023-08-07,28.89,29.92,28.83,29.87,26.88,,,,,26.7688,1,26.1422,1,1837,,,,,0
2023-08-08,29.87,30.13,29.59,30.03,27.32,,,,,27.3493,1,26.7469,1,2901,,,,,0
2023-08-09,29.95,30.25,29.26,29.62,27.67,26.34,,,,27.3493,1,27.3556,1,2704,,,,,0
2023-08-10,29.62,29.91,29.09,29.48,28.01,26.59,,,,27.3493,1,27.9337,1,1741,,,,,0
2023-08-11,29.46,30.03,29.46,29.72,28.43,26.84,,,,27.3493,1,28.3961,1,3818,,,,,0
2023-08-14,29.65,30.41,29.65,30.35,28.90,27.11,,,,27.5884,1,28.7661,1,1249,,,,,0
2023-08-15,30.26,30.51,30.20,30.40,29.33,27.38,,,,28.0594,1,29.0956,1,1127,,,,,0
2023-08-16,30.40,30.72,30.29,30.29,29.69,27.67,,,,28.3080,1,29.3791,1,2309,,,,,0
2023-08-17,30.25,30.40,29.67,29.78,29.82,27.92,,,,28.3080,1,29.6477,1,1426,,,,,0
2023-08-18,29.53,30.06,29.49,29.92,29.95,28.19,,,,28.3080,1,30.7218,0,1221,,,,,0
2023-08-21,29.85,30.02,29.64,29.96,29.95,28.42,,,,28.3080,1,30.6972,0,912,,,,,0
2023-08-22,30.01,30.02,29.28,29.58,29.91,28.62,,,,28.3080,1,30.6730,0,803,,,,,0
2023-08-23,29.50,29.72,29.43,29.59,29.91,28.79,,,,28.3080,1,30.6173,0,816,,,,,0
2023-08-24,29.54,29.75,29.36,29.44,29.90,28.96,,,,28.3080,1,30.5639,0,854,,,,,0
2023-08-25,29.48,29.64,29.12,29.44,29.87,29.15,,,,28.3080,1,30.5125,0,660,,,,,0
2023-08-28,29.50,29.78,29.44,29.48,29.79,29.34,,,,28.3080,1,30.4288,0,794,,,,,0
2023-08-29,29.43,30.15,29.32,29.87,29.73,29.53,,,,28.3080,1,30.3502,0,1252,,1.2053,1.5988,-0.3935,0
2023-08-30,29.83,30.06,29.72,30.06,29.71,29.70,,,,28.3080,1,30.2762,0,876,,1.1589,1.5108,-0.3519,0
2023-08-31,30.12,30.69,29.63,30.67,29.80,29.81,,,,28.3080,1,29.1178,1,2961,,1.1578,1.4402,-0.2824,0
2023-09-01,30.67,31.36,30.57,31.17,29.93,29.94,,,,29.0205,1,29.1493,1,2518,,1.1842,1.3890,-0.2048,0
2023-09-05,31.15,31.15,30.40,30.82,30.01,29.98,,,,29.0205,1,29.2376,1,2228,,1.1632,1.3439,-0.1806,0
2023-09-06,30.89,31.06,30.58,30.75,30.13,30.02,,,,29.0205,1,29.3223,1,1503,,1.1277,1.3006,-0.1729,0
2023-09-07,30.79,30.85,29.72,30.23,30.19,30.05,,,,29.0205,1,29.4037,1,1952,,1.0459,1.2497,-0.2038,0
2023-09-08,30.11,30.71,29.29,29.36,30.19,30.04,,,,29.0205,1,31.3562,0,1782,,0.9004,1.1798,-0.2794,0
2023-09-11,29.37,29.54,28.80,28.84,30.13,30.00,,,,31.4594,0,31.3149,0,2266,,0.7343,1.0907,-0.3565,0
2023-09-12,28.65,28.95,28.47,28.66,30.04,29.92,,,,30.9080,0,31.2143,0,1496,,0.5820,0.9890,-0.4070,0
2023-09-13,28.55,28.71,28.19,28.35,29.89,29.81,,,,30.5890,0,31.0493,0,1730,,0.4307,0.8773,-0.4466,0
2023-09-14,28.42,28.73,28.42,28.67,29.75,29.73,,,,30.5890,0,30.8209,0,1883,,0.3334,0.7685,-0.4352,0
2023-09-15,28.63,28.95,28.56,28.60,29.55,29.67,,,,30.5890,0,30.6107,0,9553,,0.2475,0.6643,-0.4168,0
2023-09-18,28.70,29.60,28.70,29.43,29.37,29.65,,,,30.5890,0,30.4173,0,1484,,0.2439,0.5802,-0.3363,0
2023-09-19,29.39,29.85,29.39,29.50,29.24,29.63,,,,30.5890,0,30.2394,0,1276,,0.2434,0.5129,-0.2695,0
2023-09-20,29.68,29.85,29.34,29.37,29.10,29.62,,,,30.5890,0,30.0757,0,1303,,0.2300,0.4563,-0.2263,0
2023-09-21,29.23,29.69,29.05,29.65,29.04,29.62,28.37,,,30.5890,0,29.9251,0,1201,1765,0.2394,0.4129,-0.1735,0
