Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,69.47,70.45,69.28,70.20,,,,,,,0,69.2770,1,383882,,,,,0
2023-07-18,70.26,71.45,70.13,70.87,,,,,,,0,69.2770,1,410256,,,,,0
2023-07-19,70.76,72.12,70.76,71.54,,,,,,,0,69.2770,1,422562,,,,,0
2023-07-20,72.09,73.19,72.07,72.43,,,,,,,0,69.3908,1,483317,,,,,0
2023-07-21,72.86,73.51,72.48,73.06,,,,,,,0,69.6188,1,1208342,,,,,0
2023-07-24,72.32,72.65,69.09,70.36,,,,,,,0,73.5083,0,880160,,,,,0
2023-07-25,69.78,70.81,69.64,69.97,,,,,,,0,73.5083,0,409195,,,,,0
2023-07-26,69.56,70.11,69.41,69.94,,,,,,,0,73.4198,0,312596,,,,,0
2023-07-27,70.07,70.93,69.22,69.32,,,,,,,0,73.3332,0,478845,,,,,0
2023-07-28,69.24,70.06,69.17,69.64,70.73,,,,,74.1190,0,73.2483,0,386337,,,,,0
2023-07-31,69.47,69.67,68.72,68.99,70.61,,,,,73.5342,0,73.1650,0,461370,,,,,0
2023-08-01,68.94,69.20,68.04,68.57,70.38,,,,,72.8774,0,72.9874,0,304635,,,,,0
2023-08-02,68.86,69.15,68.27,68.57,70.09,,,,,72.8019,0,72.6908,0,403026,,,,,0
2023-08-03,68.61,68.70,68.11,68.43,69.69,,,,,72.2614,0,72.4121,0,434124,,,,,0
2023-08-04,70.11,72.61,69.99,71.29,69.51,,,,,72.2614,0,68.0448,1,713030,,,,,0
2023-08-07,70.97,73.36,70.62,73.09,69.78,,,,,66.9137,1,68.1082,1,551097,,,,,0
2023-08-08,73.11,73.32,71.38,72.56,70.04,,,,,67.1976,1,68.3184,1,444164,,,,,0
2023-08-09,73.00,73.78,72.51,72.64,70.31,,,,,68.1295,1,68.5202,1,364878,,,,,0
2023-08-10,72.83,73.47,72.44,72.48,70.63,,,,,68.1310,1,68.8358,1,302096,,,,,0
2023-08-11,72.48,72.60,72.00,72.48,70.91,70.82,,,,68.1310,1,69.1325,1,270688,,,,,0
2023-08-14,72.54,72.86,72.05,72.35,71.25,70.93,,,,68.1408,1,69.4113,1,294008,,,,,0
2023-08-15,72.15,72.67,71.54,72.16,71.61,70.99,,,,68.1408,1,69.6734,1,302521,,,,,0
2023-08-16,71.69,72.98,70.59,70.67,71.82,70.95,,,,68.1408,1,69.9198,1,566639,,,,,0
2023-08-17,70.66,70.77,69.31,69.31,71.90,70.80,,,,68.1408,1,73.7801,0,439202,,,,,0
2023-08-18,69.36,69.50,68.59,68.75,71.65,70.58,,,,68.1408,1,73.6908,0,491991,,,,,0
2023-08-21,68.56,69.10,68.44,68.81,71.22,70.50,,,,68.1408,1,73.4867,0,406978,,,,,0
2023-08-22,68.58,69.54,68.28,69.18,70.88,70.46,,,,68.1408,1,73.1841,0,346240,,,,,0
2023-08-23,70.94,71.56,69.73,69.80,70.60,70.45,,,,68.1408,1,72.7918,0,571853,,,,,0
2023-08-24,69.99,70.80,69.12,69.16,70.27,70.45,,,,68.1408,1,72.4309,0,365918,,,,,0
2023-08-25,69.41,69.94,68.92,69.64,69.98,70.45,,,,68.1408,1,72.0988,0,290016,,,,,0
2023-08-28,70.03,70.21,69.43,69.80,69.73,70.49,,,,68.1408,1,71.7934,0,214441,,,,,0
2023-08-29,69.99,70.90,69.81,70.86,69.60,70.60,,,,68.1408,1,71.5123,0,325064,,,,,0
2023-08-30,70.87,71.13,70.25,70.36,69.57,70.69,,,,68.1408,1,71.2538,0,256115,,,,,0
2023-08-31,70.02,70.14,69.08,69.30,69.57,70.73,,,,68.1408,1,71.1254,0,703616,,-0.2754,-0.2926,0.0171,0
2023-09-01,69.97,70.14,69.29,69.45,69.64,70.64,,,,68.1408,1,71.1254,0,229413,,-0.3004,-0.2941,-0.0063,0
2023-09-05,69.72,69.77,68.07,68.10,69.57,70.39,,,,72.7993,0,70.8978,0,454387,,-0.4243,-0.3202,-0.1041,0
2023-09-06,68.06,68.08,66.37,67.27,69.37,70.13,,,,71.2361,0,70.6152,0,427162,,-0.5830,-0.3727,-0.2103,0
2023-09-07,67.61,67.74,66.79,66.99,69.09,69.85,,,,71.1566,0,70.1056,0,486976,,-0.7223,-0.4426,-0.2797,0
2023-09-08,68.97,69.40,68.00,68.86,69.06,69.67,,,,71.1566,0,69.6571,0,508835,,-0.6744,-0.4890,-0.1854,0
2023-09-11,68.91,69.92,68.86,69.80,69.08,69.53,,,,71.1566,0,66.3686,1,620465,,-0.5540,-0.5020,-0.0520,0
2023-09-12,69.76,69.97,69.11,69.59,69.06,69.39,,,,71.1566,0,66.4396,1,321116,,-0.4707,-0.4957,0.0250,0
2023-09-13,69.77,70.25,69.69,70.05,68.98,69.29,,,,71.1566,0,66.5810,1,340759,,-0.3632,-0.4692,0.1060,0
2023-09-14,70.26,71.12,70.21,70.78,69.02,69.29,,,,71.1566,0,66.8009,1,342272,,-0.2165,-0.4187,0.2022,0
2023-09-15,70.64,70.82,69.00,69.23,69.01,69.29,,,,71.1566,0,67.1463,1,843350,,-0.2224,-0.3794,0.1570,0
2023-09-18,69.41,69.67,68.75,69.19,68.99,69.31,,,,71.1566,0,67.4640,1,252404,,-0.2281,-0.3492,0.1210,0
2023-09-19,68.98,69.65,68.86,69.32,69.11,69.34,,,,71.1566,0,67.7563,1,303285,,-0.2191,-0.3232,0.1041,0
2023-09-20,69.52,69.89,69.29,69.37,69.32,69.35,,,,71.1566,0,68.0252,1,365930,,-0.2059,-0.2997,0.0938,0
2023-09-21,69.42,69.66,68.82,68.87,69.51,69.30,,,,71.1566,0,68.2726,1,396793,,-0.2333,-0.2864,0.0531,0
2023-09-22,68.40,69.18,68.03,68.63,69.48,69.27,,,,71.1566,0,71.1176,0,326429,,-0.2711,-0.2833,0.0123,0
2023-09-25,68.39,68.56,68.19,68.46,69.35,69.21,70.01,,,71.1566,0,71.0558,0,290767,434191,-0.3108,-0.2888,-0.0219,0
2023-09-26,68.99,69.78,68.91,69.10,69.30,69.18,69.99,,,71.1566,0,70.9952,0,426284,435039,-0.2872,-0.2885,0.0013,0
2023-09-27,69.23,69.59,68.75,69.12,69.21,69.09,69.95,,,71.1566,0,70.9358,0,335676,433547,-0.2640,-0.2836,0.0196,0
2023-09-28,69.34,69.58,68.81,69.00,69.03,69.02,69.90,,,71.1566,0,70.8775,0,262680,430350,-0.2523,-0.2774,0.0250,0
2023-09-29,69.09,69.31,68.24,68.56,68.96,68.99,69.83,,,71.1566,0,70.8205,0,313242,426948,-0.2753,-0.2769,0.0016,0
2023-10-02,68.62,68.66,66.94,67.80,68.82,68.91,69.72,,,71.1019,0,70.7646,0,339282,409567,-0.3515,-0.2919,-0.0597,0
2023-10-03,66.98,67.59,66.67,67.04,68.60,68.85,69.65,,,70.4411,0,70.6115,0,445137,400867,-0.4678,-0.3270,-0.1407,0
2023-10-04,67.06,68.46,67.02,68.38,68.50,68.91,69.62,,,70.4411,0,70.3750,0,351846,399720,-0.4463,-0.3509,-0.0954,0
2023-10-05,68.32,68.65,67.84,68.35,68.45,68.98,69.59,,,70.4411,0,70.1528,0,357208,400612,-0.4272,-0.3662,-0.0611,0
2023-10-06,68.13,68.63,67.62,68.38,68.42,68.95,69.57,,,70.4411,0,69.9439,0,346435,397964,-0.4045,-0.3738,-0.0307,0
2023-10-09,68.42,68.93,67.92,68.67,68.44,68.90,69.55,,,70.4411,0,69.7475,0,254754,395332,-0.3588,-0.3708,0.0120,0
2023-10-10,68.67,69.96,68.42,69.51,68.48,68.89,69.56,,,70.4411,0,66.6711,1,382896,393762,-0.2524,-0.3471,0.0947,0
2023-10-11,69.76,70.46,69.54,70.41,68.61,68.91,69.60,,,70.4411,0,66.7368,1,341248,394495,-0.0940,-0.2965,0.2025,0
2023-10-12,70.34,70.55,69.80,70.23,68.73,68.88,69.63,,,70.4411,0,66.8856,1,309949,392633,0.0166,-0.2339,0.2505,0
2023-10-13,70.62,71.24,70.42,71.04,68.98,68.97,69.69,,,67.6207,1,67.1055,1,438862,392728,0.1681,-0.1535,0.3216,0
2023-10-16,71.13,72.68,71.03,72.46,69.45,69.14,69.71,,,68.4695,1,67.4360,1,551089,389489,0.3979,-0.0432,0.4411,0
2023-10-17,72.45,74.17,71.92,73.63,70.11,69.35,69.72,,,69.3267,1,67.9606,1,853265,395532,0.6669,0.0988,0.5681,0
2023-10-18,73.62,73.84,72.76,72.89,70.56,69.53,69.73,,,69.6312,1,68.7062,1,540314,397455,0.8109,0.2412,0.5697,0
2023-10-19,72.34,73.08,71.58,71.77,70.90,69.67,69.71,,,69.6312,1,69.3622,1,436393,398886,0.8248,0.3579,0.4668,0
2023-10-20,72.04,72.36,71.13,71.18,71.18,69.80,69.68,,,69.6312,1,69.9396,1,403292,400910,0.7795,0.4422,0.3372,0
2023-10-23,71.09,71.34,70.61,70.96,71.41,69.93,69.65,,,69.6312,1,70.4477,1,314095,401778,0.7176,0.4973,0.2203,0
2023-10-24,70.99,71.86,70.71,71.50,71.61,70.05,69.64,,,69.6312,1,70.6053,1,423948,404377,0.7040,0.5387,0.1653,0
2023-10-25,71.28,71.91,70.84,71.72,71.74,70.18,69.63,,,69.6312,1,70.6053,1,403552,406397,0.7028,0.5715,0.1313,0
2023-10-26,71.83,72.23,71.04,71.82,71.90,70.32,69.65,,,69.6312,1,70.7059,1,363526,402335,0.7020,0.5976,0.1044,0
2023-10-27,71.72,71.82,69.84,70.10,71.80,70.39,69.67,,,69.6312,1,74.1735,0,462616,402803,0.5560,0.5893,-0.0332,0
2023-10-30,70.38,71.36,70.36,71.15,71.67,70.56,69.71,,,69.6312,1,74.0867,0,370247,400368,0.5193,0.5753,-0.0560,0
2023-10-31,70.99,72.01,70.87,71.86,71.50,70.80,69.77,,,69.6312,1,74.0017,0,367889,399587,0.5408,0.5684,-0.0276,0
2023-11-01,72.28,73.58,72.11,73.37,71.54,71.05,69.86,,,69.6312,1,73.9184,0,436723,401396,0.6720,0.5891,0.0828,0
2023-11-02,73.02,74.39,72.87,74.32,71.80,71.35,69.95,,,69.6674,1,69.8367,1,500872,399977,0.8429,0.6399,0.2031,0
2023-11-03,75.02,75.56,74.58,74.65,72.15,71.66,70.06,,,71.1313,1,69.9278,1,574394,404146,0.9936,0.7106,0.2829,0
2023-11-06,74.72,75.01,73.87,74.24,72.47,71.94,70.15,,,71.1313,1,70.1533,1,539565,409137,1.0674,0.7820,0.2854,0
2023-11-07,74.17,74.43,73.49,73.75,72.70,72.15,70.23,,,71.1313,1,70.3697,1,613361,417116,1.0744,0.8405,0.2340,0
2023-11-08,70.90,71.60,68.70,71.27,72.65,72.20,70.24,,,71.1313,1,75.5642,0,1020763,431030,0.8699,0.8463,0.0235,0
2023-11-09,70.93,71.10,68.36,68.60,72.33,72.12,70.20,,,75.0294,0,75.4269,0,665740,439222,0.4866,0.7744,-0.2878,0
2023-11-10,69.04,69.56,68.49,69.46,72.27,72.04,70.21,,,74.1162,0,75.1444,0,451473,434179,0.2493,0.6694,-0.4200,0
2023-11-13,68.96,69.21,68.20,68.56,72.01,71.84,70.19,,,73.6658,0,74.8732,0,355356,436698,-0.0116,0.5332,-0.5448,0
2023-11-14,68.91,69.28,68.21,68.36,71.66,71.58,70.19,,,73.5277,0,74.4727,0,413530,435881,-0.2313,0.3803,-0.6116,0
2023-11-15,67.92,69.04,67.81,68.66,71.19,71.37,70.22,,,73.0996,0,74.0963,0,532942,437997,-0.3774,0.2288,-0.6061,0
2023-11-16,69.10,69.67,67.70,68.18,70.57,71.19,70.24,,,73.0996,0,73.5930,0,508279,438423,-0.5255,0.0779,-0.6034,0
2023-11-17,68.52,69.09,68.23,69.03,70.01,71.08,70.25,,,73.0996,0,73.0033,0,594131,440128,-0.5677,-0.0512,-0.5165,0
2023-11-20,68.83,69.63,68.68,69.53,69.54,71.01,70.24,,,73.0996,0,72.4726,0,532927,438378,-0.5541,-0.1518,-0.4023,0
