Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,10.85,10.92,10.77,10.89,,,,,,,0,10.7728,1,7094,,,,,0
2023-07-20,11.00,11.03,10.83,10.99,,,,,,,0,10.7728,1,8023,,,,,0
2023-07-21,10.98,10.98,10.63,10.75,,,,,,,0,11.0293,0,12680,,,,,0
2023-07-24,10.71,10.92,10.68,10.74,,,,,,,0,11.0293,0,8620,,,,,0
2023-07-25,10.91,11.21,10.82,11.01,,,,,,,0,10.6325,1,12758,,,,,0
2023-07-26,10.95,11.22,10.95,11.19,,,,,,,0,10.6441,1,6810,,,,,0
2023-07-27,11.23,11.29,11.07,11.12,,,,,,,0,10.6672,1,7830,,,,,0
2023-07-28,11.19,11.67,11.19,11.62,,,,,,,0,10.7048,1,8999,,,,,0
2023-07-31,11.67,11.75,11.51,11.62,,,,,,,0,10.7821,1,7859,,,,,0
2023-08-01,11.54,11.54,11.37,11.52,11.15,,,,,12.3435,0,10.8789,1,7163,,,,,0
2023-08-02,11.36,11.47,11.19,11.28,11.18,,,,,12.2233,0,10.9661,1,8840,,,,,0
2023-08-03,11.29,11.72,11.25,11.68,11.25,,,,,12.2233,0,11.0446,1,11569,,,,,0
2023-08-04,11.89,12.02,11.10,11.17,11.30,,,,,12.2233,0,11.7507,0,20433,,,,,0
2023-08-07,10.98,11.29,10.97,11.23,11.34,,,,,12.2233,0,12.0232,0,12325,,,,,0
2023-08-08,11.02,11.20,10.87,11.18,11.36,,,,,12.1441,0,12.0232,0,9623,,,,,0
2023-08-09,11.19,11.55,11.15,11.51,11.39,,,,,12.1441,0,11.9539,0,10074,,,,,0
2023-08-10,11.53,11.57,11.31,11.43,11.42,,,,,12.1441,0,11.8888,0,9082,,,,,0
2023-08-11,11.41,11.62,11.34,11.45,11.41,,,,,12.1441,0,11.8276,0,8122,,,,,0
2023-08-14,11.33,11.43,11.13,11.29,11.37,,,,,12.1441,0,11.7701,0,13110,,,,,0
2023-08-15,11.03,11.41,10.99,11.29,11.35,11.25,,,,12.1441,0,11.7160,0,9011,,,,,0
2023-08-16,11.30,11.58,11.30,11.37,11.36,11.27,,,,12.1441,0,11.6652,0,9152,,,,,0
2023-08-17,11.47,11.54,11.42,11.51,11.34,11.30,,,,12.1441,0,11.6174,0,8367,,,,,0
2023-08-18,11.33,11.47,11.20,11.40,11.36,11.33,,,,12.1441,0,11.5774,0,10682,,,,,0
2023-08-21,11.33,11.37,11.12,11.18,11.36,11.35,,,,12.1441,0,11.5393,0,8453,,,,,0
2023-08-22,11.23,11.31,11.13,11.15,11.36,11.36,,,,12.1441,0,11.4991,0,7367,,,,,0
2023-08-23,11.11,11.30,11.01,11.26,11.33,11.36,,,,12.0797,0,11.4613,0,10553,,,,,0
2023-08-24,11.20,11.21,10.90,10.91,11.28,11.35,,,,11.9978,0,11.4258,0,10280,,,,,0
2023-08-25,10.93,10.97,10.82,10.83,11.22,11.31,,,,11.7873,0,11.3924,0,8732,,,,,0
2023-08-28,10.96,11.17,10.85,11.03,11.19,11.28,,,,11.7873,0,11.3462,0,6692,,,,,0
2023-08-29,11.16,11.29,11.12,11.23,11.19,11.27,,,,11.7873,0,11.3038,0,7536,,,,,0
2023-08-30,11.16,11.20,11.06,11.14,11.16,11.26,,,,11.7873,0,11.2939,0,5393,,,,,0
2023-08-31,11.15,11.28,11.07,11.08,11.12,11.23,,,,11.7873,0,11.2939,0,6331,,,,,0
2023-09-01,11.15,11.21,11.12,11.19,11.10,11.23,,,,11.7873,0,11.2777,0,5860,,,,,0
2023-09-05,11.18,11.25,10.98,10.98,11.08,11.22,,,,11.7873,0,11.2777,0,5522,,-0.0433,-0.0265,-0.0168,0
2023-09-06,11.03,11.19,10.98,11.01,11.07,11.21,,,,11.7873,0,11.2452,0,7103,,-0.0492,-0.0311,-0.0182,0
2023-09-07,10.98,11.09,10.80,10.84,11.02,11.18,,,,11.7322,0,11.2452,0,11234,,-0.0669,-0.0382,-0.0287,0
2023-09-08,10.79,11.25,10.79,11.20,11.05,11.17,,,,11.7322,0,10.7996,1,7423,,-0.0515,-0.0409,-0.0107,0
2023-09-11,11.26,11.27,10.97,11.02,11.07,11.14,,,,11.7322,0,10.7915,1,6096,,-0.0531,-0.0433,-0.0098,0
2023-09-12,11.05,11.14,10.89,10.89,11.06,11.12,,,,11.7322,0,10.7915,1,6994,,-0.0641,-0.0475,-0.0166,0
2023-09-13,10.89,10.96,10.79,10.85,11.02,11.10,,,,11.6840,0,11.2696,0,7939,,-0.0752,-0.0530,-0.0222,0
2023-09-14,10.94,11.27,10.94,11.22,11.03,11.10,,,,11.6840,0,10.7875,1,10034,,-0.0534,-0.0531,-0.0002,0
2023-09-15,11.20,11.31,11.06,11.11,11.03,11.08,,,,11.6840,0,10.7875,1,12421,,-0.0446,-0.0514,0.0068,0
2023-09-18,10.94,10.97,10.51,10.78,10.99,11.04,,,,11.6808,0,11.3101,0,17501,,-0.0638,-0.0539,-0.0099,0
2023-09-19,10.85,11.02,10.81,10.82,10.97,11.03,,,,11.6808,0,11.3101,0,7946,,-0.0749,-0.0581,-0.0168,0
2023-09-20,10.83,10.88,10.74,10.81,10.95,11.01,,,,11.6808,0,11.2941,0,6709,,-0.0833,-0.0631,-0.0202,0
2023-09-21,10.73,10.78,10.63,10.75,10.94,10.98,,,,11.5421,0,11.2785,0,7634,,-0.0935,-0.0692,-0.0243,0
2023-09-22,10.77,11.03,10.75,10.92,10.92,10.98,,,,11.5421,0,11.2631,0,7471,,-0.0869,-0.0728,-0.0141,0
2023-09-25,10.82,11.12,10.82,11.09,10.92,11.00,,,,11.5421,0,11.2481,0,6117,,-0.0671,-0.0716,0.0045,0
2023-09-26,11.03,11.29,11.03,11.20,10.95,11.01,,,,11.5421,0,10.5120,1,7638,,-0.0425,-0.0658,0.0233,0
2023-09-27,11.25,11.47,11.20,11.27,11.00,11.01,11.14,,,11.5421,0,10.5275,1,9151,9007,-0.0168,-0.0560,0.0392,0
2023-09-28,11.22,11.28,11.09,11.24,11.00,11.01,11.15,,,11.5421,0,10.5653,1,6698,8999,0.0008,-0.0446,0.0455,0
2023-09-29,11.31,11.36,11.27,11.33,11.02,11.02,11.15,,,11.5421,0,10.6016,1,6058,8960,0.0224,-0.0312,0.0537,0
2023-10-02,11.34,11.62,11.33,11.50,11.09,11.04,11.17,,,11.5421,0,10.6364,1,22156,9149,0.0527,-0.0144,0.0671,0
2023-10-03,11.50,11.59,11.16,11.24,11.14,11.05,11.18,,,11.5421,0,10.6953,1,10989,9197,0.0544,-0.0007,0.0551,0
2023-10-04,11.12,11.29,11.05,11.23,11.18,11.06,11.18,,,11.5421,0,10.7506,1,8349,9109,0.0545,0.0104,0.0442,0
2023-10-05,11.26,11.63,11.25,11.59,11.26,11.10,11.19,,,10.7043,1,10.8027,1,7986,9132,0.0831,0.0249,0.0582,0
2023-10-06,11.59,11.84,11.55,11.81,11.35,11.13,11.20,,,10.8364,1,10.8692,1,8273,9141,0.1220,0.0443,0.0776,0
2023-10-09,11.81,11.92,11.71,11.85,11.43,11.17,11.21,,,10.9801,1,10.9659,1,8829,9138,0.1543,0.0663,0.0879,0
2023-10-10,11.84,11.94,11.72,11.75,11.48,11.22,11.21,,,11.0182,1,11.0802,1,6698,9114,0.1694,0.0869,0.0825,0
2023-10-11,11.66,11.74,11.55,11.73,11.53,11.26,11.22,,,11.0182,1,11.2009,1,4477,9061,0.1780,0.1052,0.0729,0
2023-10-12,11.74,11.78,11.52,11.60,11.56,11.28,11.22,,,11.0182,1,11.3048,1,5598,8996,0.1724,0.1186,0.0538,0
2023-10-13,11.70,11.74,11.52,11.68,11.60,11.31,11.22,,,11.0182,1,11.3941,1,5526,8875,0.1726,0.1294,0.0432,0
2023-10-16,11.62,11.69,11.48,11.56,11.60,11.35,11.23,,,11.0182,1,11.4709,1,7031,8607,0.1610,0.1357,0.0253,0
2023-10-17,11.62,11.88,11.62,11.84,11.66,11.40,11.24,,,11.0182,1,11.4802,1,10676,8574,0.1721,0.1430,0.0291,0
2023-10-18,11.69,11.78,11.55,11.68,11.71,11.44,11.25,,,11.0182,1,11.4802,1,5194,8485,0.1665,0.1477,0.0188,0
2023-10-19,11.59,11.76,11.51,11.60,11.71,11.49,11.25,,,11.0182,1,11.9428,0,8097,8446,0.1538,0.1489,0.0049,0
2023-10-20,11.59,11.68,11.37,11.50,11.68,11.52,11.26,,,11.0182,1,11.9342,0,8602,8436,0.1343,0.1460,-0.0117,0
2023-10-23,11.42,11.42,11.08,11.09,11.60,11.52,11.25,,,11.0182,1,11.9115,0,6894,8412,0.0845,0.1337,-0.0491,0
2023-10-24,11.12,11.42,11.10,11.34,11.56,11.52,11.25,,,11.0182,1,11.8618,0,6930,8288,0.0646,0.1199,-0.0552,0
2023-10-25,11.21,11.22,11.03,11.12,11.50,11.52,11.25,,,11.0182,1,11.8151,0,7764,8263,0.0309,0.1021,-0.0712,0
2023-10-26,11.06,11.06,10.74,10.89,11.43,11.50,11.24,,,11.7974,0,11.7520,0,10112,8282,-0.0147,0.0787,-0.0934,0
2023-10-27,10.89,10.92,10.63,10.65,11.33,11.46,11.22,,,11.6715,0,11.6507,0,7545,8266,-0.0690,0.0492,-0.1182,0
2023-10-30,10.77,10.87,10.47,10.68,11.24,11.42,11.21,,,11.5989,0,11.5282,0,8017,8213,-0.1088,0.0176,-0.1264,0
2023-10-31,10.71,10.89,10.61,10.67,11.12,11.39,11.20,,,11.5989,0,11.3802,0,6787,8179,-0.1394,-0.0138,-0.1256,0
2023-11-01,10.70,10.70,10.43,10.52,11.01,11.36,11.18,,,11.4736,0,11.2530,0,9115,8214,-0.1734,-0.0457,-0.1277,0
