Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,8.60,8.86,8.52,8.77,,,,,,,0,8.8621,0,671,,,,,0
2023-07-14,8.71,8.72,8.47,8.64,,,,,,,0,8.8621,0,1451,,,,,0
2023-07-17,8.47,8.76,8.47,8.57,,,,,,,0,8.8621,0,1275,,,,,0
2023-07-18,8.51,8.76,8.51,8.70,,,,,,,0,8.8465,0,707,,,,,0
2023-07-19,8.64,8.78,8.28,8.38,,,,,,,0,8.8315,0,845,,,,,0
2023-07-20,8.43,8.67,8.32,8.62,,,,,,,0,8.7983,0,1187,,,,,0
2023-07-21,8.70,8.83,8.61,8.72,,,,,,,0,8.2795,1,1150,,,,,0
2023-07-24,8.69,8.91,8.65,8.70,,,,,,,0,8.2904,1,1649,,,,,0
2023-07-25,8.44,8.64,8.36,8.52,,,,,,,0,8.3154,1,2002,,,,,0
2023-07-26,8.53,8.74,8.50,8.70,8.63,,,,,9.5422,0,8.3393,1,1407,,,,,0
2023-07-27,8.73,8.91,8.59,8.67,8.62,,,,,9.5422,0,8.3577,1,1600,,,,,0
2023-07-28,8.72,8.72,8.58,8.68,8.62,,,,,9.5302,0,8.3800,1,621,,,,,0
2023-07-31,8.78,8.91,8.55,8.79,8.65,,,,,9.5302,0,8.4014,1,2253,,,,,0
2023-08-01,8.71,8.82,8.65,8.72,8.65,,,,,9.5302,0,8.4219,1,1042,,,,,0
2023-08-02,8.64,8.64,8.24,8.35,8.65,,,,,9.3525,0,8.9143,0,1042,,,,,0
2023-08-03,8.33,8.41,8.13,8.15,8.60,,,,,9.1791,0,8.9008,0,1059,,,,,0
2023-08-04,8.17,8.44,8.08,8.34,8.56,,,,,9.1791,0,8.8700,0,1577,,,,,0
2023-08-07,8.38,8.51,8.26,8.49,8.54,,,,,9.1791,0,8.8226,0,1848,,,,,0
2023-08-08,8.31,8.48,8.13,8.46,8.54,,,,,9.1791,0,8.7780,0,1396,,,,,0
2023-08-09,8.45,8.80,8.43,8.58,8.52,8.58,,,,9.1791,0,8.0794,1,4545,,,,,0
2023-08-10,8.73,8.77,8.36,8.59,8.52,8.57,,,,9.1791,0,8.0939,1,1608,,,,,0
2023-08-11,8.58,8.95,8.58,8.79,8.53,8.58,,,,9.1791,0,8.1080,1,2274,,,,,0
2023-08-14,8.74,8.74,8.31,8.63,8.51,8.58,,,,9.1791,0,8.1417,1,1970,,,,,0
2023-08-15,8.49,8.53,8.27,8.30,8.47,8.56,,,,9.1791,0,8.1740,1,976,,,,,0
2023-08-16,8.31,8.54,8.22,8.35,8.47,8.56,,,,9.1791,0,8.2050,1,1217,,,,,0
2023-08-17,8.45,8.65,8.45,8.51,8.50,8.55,,,,9.1791,0,8.2186,1,2305,,,,,0
2023-08-18,8.44,8.52,8.22,8.37,8.51,8.53,,,,9.1791,0,8.2186,1,1423,,,,,0
2023-08-21,8.43,8.58,7.96,8.33,8.49,8.52,,,,9.1791,0,8.9491,0,9428,,,,,0
2023-08-22,8.42,8.52,8.23,8.27,8.47,8.50,,,,9.1791,0,8.9293,0,2311,,,,,0
2023-08-23,8.22,8.35,8.11,8.25,8.44,8.48,,,,9.1791,0,8.9099,0,1684,,,,,0
