Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,5.91,5.96,5.77,5.79,,,,,,,0,5.9600,0,504,,,,,0
2023-07-20,5.77,5.77,5.58,5.59,,,,,,,0,5.9600,0,627,,,,,0
2023-07-21,5.67,5.67,5.44,5.46,,,,,,,0,5.9600,0,498,,,,,0
2023-07-24,5.44,5.91,5.44,5.86,,,,,,,0,5.9392,0,1191,,,,,0
2023-07-25,5.84,5.85,5.61,5.75,,,,,,,0,5.9192,0,528,,,,,0
2023-07-26,5.74,5.82,5.70,5.74,,,,,,,0,5.9100,0,349,,,,,0
2023-07-27,5.80,5.83,5.70,5.76,,,,,,,0,5.8912,0,425,,,,,0
2023-07-28,5.78,5.92,5.76,5.88,,,,,,,0,5.4400,1,390,,,,,0
2023-07-31,5.87,5.97,5.83,5.90,,,,,,,0,5.4496,1,361,,,,,0
2023-08-01,5.89,5.91,5.74,5.76,5.75,,,,,6.4486,0,5.4703,1,602,,,,,0
2023-08-02,5.83,5.83,5.63,5.79,5.75,,,,,6.3508,0,5.4902,1,724,,,,,0
2023-08-03,5.80,5.82,5.71,5.75,5.77,,,,,6.3508,0,5.5094,1,289,,,,,0
2023-08-04,5.76,5.77,5.63,5.66,5.79,,,,,6.2735,0,5.5277,1,551,,,,,0
2023-08-07,5.71,5.82,5.58,5.78,5.78,,,,,6.2735,0,5.5453,1,768,,,,,0
2023-08-08,5.93,5.99,5.71,5.84,5.79,,,,,6.2735,0,5.5622,1,1386,,,,,0
2023-08-09,5.10,5.38,5.06,5.17,5.73,,,,,6.0075,0,5.9900,0,1667,,,,,0
2023-08-10,5.16,5.29,5.04,5.06,5.66,,,,,5.9474,0,5.9900,0,914,,,,,0
2023-08-11,5.02,5.02,4.63,4.72,5.54,,,,,5.6581,0,5.9520,0,973,,,,,0
2023-08-14,4.69,4.75,4.49,4.69,5.42,,,,,5.4478,0,5.8727,0,776,,,,,0
2023-08-15,5.71,5.83,5.06,5.09,5.36,5.55,,,,5.4478,0,4.4900,1,5108,,,,,0
2023-08-16,5.10,5.31,4.87,5.24,5.30,5.52,,,,5.4478,0,4.4900,1,1427,,,,,0
2023-08-17,5.18,5.45,5.01,5.06,5.23,5.50,,,,5.4478,0,4.5168,1,845,,,,,0
2023-08-18,5.00,5.37,5.00,5.22,5.19,5.49,,,,5.4478,0,4.5431,1,1222,,,,,0
2023-08-21,5.25,5.53,5.22,5.48,5.16,5.47,,,,4.3826,1,4.5688,1,1175,,,,,0
2023-08-22,5.53,5.55,5.27,5.47,5.12,5.45,,,,4.3826,1,4.5940,1,776,,,,,0
2023-08-23,5.53,5.66,5.27,5.58,5.16,5.45,,,,4.3826,1,4.6187,1,1107,,,,,0
2023-08-24,5.55,5.55,5.27,5.34,5.19,5.42,,,,4.3826,1,4.6430,1,945,,,,,0
2023-08-25,5.33,5.44,5.16,5.29,5.25,5.39,,,,4.3826,1,4.6667,1,534,,,,,0
2023-08-28,5.47,5.63,5.28,5.42,5.32,5.37,,,,4.4021,1,4.6900,1,1269,,,,,0
2023-08-29,5.41,5.54,5.26,5.37,5.35,5.35,,,,4.4021,1,4.7128,1,1197,,,,,0
2023-08-30,5.27,5.41,5.12,5.14,5.34,5.32,,,,4.4021,1,4.7351,1,1483,,,,,0
2023-08-31,5.20,5.34,5.02,5.14,5.34,5.29,,,,4.4021,1,4.7570,1,5837,,,,,0
2023-09-01,5.16,5.22,5.05,5.14,5.34,5.26,,,,4.4021,1,4.7785,1,1015,,,,,0
2023-09-05,5.14,5.42,5.09,5.29,5.32,5.24,,,,4.4021,1,4.7995,1,10190,,-0.1163,-0.1272,0.0109,0
2023-09-06,5.40,5.60,5.21,5.42,5.31,5.22,,,,4.4219,1,4.8201,1,5927,,-0.0960,-0.1210,0.0250,0
2023-09-07,5.54,6.21,5.34,6.00,5.35,5.26,,,,4.6292,1,4.8403,1,14764,,-0.0327,-0.1033,0.0706,0
2023-09-08,5.94,6.05,5.82,5.88,5.41,5.30,,,,4.8346,1,4.8951,1,1855,,0.0076,-0.0811,0.0888,0
2023-09-11,5.86,5.97,5.84,5.95,5.47,5.36,,,,4.8761,1,4.9477,1,1060,,0.0448,-0.0559,0.1007,0
2023-09-12,5.93,5.97,5.77,5.83,5.52,5.42,,,,4.8840,1,4.9982,1,731,,0.0638,-0.0320,0.0958,0
2023-09-13,5.76,5.84,5.44,5.82,5.56,5.45,,,,4.8840,1,5.0467,1,2166,,0.0771,-0.0102,0.0873,0
2023-09-14,5.83,6.07,5.83,6.03,5.65,5.49,,,,4.9670,1,5.0932,1,2893,,0.1035,0.0126,0.0909,0
2023-09-15,5.99,6.34,5.98,6.34,5.77,5.56,,,,5.1673,1,5.1379,1,3854,,0.1477,0.0396,0.1081,0
2023-09-18,6.25,6.25,5.91,5.95,5.85,5.59,,,,5.1673,1,5.2100,1,1222,,0.1495,0.0616,0.0879,0
