Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,15.75,16.20,15.75,16.05,,,,,,,0,16.2000,0,2014,,,,,0
2023-07-19,15.90,16.20,15.60,16.05,,,,,,,0,16.2000,0,2409,,,,,0
2023-07-20,16.05,16.20,15.60,15.75,,,,,,,0,16.2000,0,2622,,,,,0
2023-07-21,16.05,16.35,15.90,16.35,,,,,,,0,15.6000,1,2756,,,,,0
2023-07-24,16.65,16.95,16.20,16.35,,,,,,,0,15.6000,1,2161,,,,,0
2023-07-25,16.20,16.50,15.75,16.05,,,,,,,0,15.6540,1,4791,,,,,0
2023-07-26,16.20,16.35,15.75,15.90,,,,,,,0,15.7058,1,2323,,,,,0
2023-07-27,15.90,16.20,15.75,15.75,,,,,,,0,15.7500,1,1947,,,,,0
2023-07-28,16.05,16.35,15.90,16.20,,,,,,,0,15.7500,1,2415,,,,,0
2023-07-31,15.90,16.35,15.90,16.20,16.06,,,,,17.8800,0,15.7500,1,2183,,,,,0
2023-08-01,15.90,16.95,15.90,16.95,16.16,,,,,17.8800,0,15.7980,1,3907,,,,,0
2023-08-02,16.50,17.25,16.20,16.80,16.23,,,,,17.8800,0,15.8441,1,4608,,,,,0
2023-08-03,16.95,18.30,16.95,17.55,16.41,,,,,17.8800,0,15.9000,1,6646,,,,,0
2023-08-04,18.15,19.35,17.55,17.70,16.55,,,,,17.8800,0,16.0920,1,8196,,,,,0
2023-08-07,17.70,18.00,17.10,17.25,16.64,,,,,17.8800,0,16.4178,1,3807,,,,,0
2023-08-08,17.25,18.75,16.95,18.75,16.91,,,,,15.8688,1,16.7110,1,6568,,,,,0
2023-08-09,18.75,18.90,18.15,18.15,17.13,,,,,15.8688,1,16.9500,1,3250,,,,,0
2023-08-10,18.30,18.75,18.00,18.30,17.39,,,,,15.8688,1,16.9500,1,2908,,,,,0
2023-08-11,18.45,18.60,18.15,18.30,17.59,,,,,15.8688,1,17.1900,1,2302,,,,,0
2023-08-14,18.15,18.15,17.10,17.10,17.68,16.87,,,,15.8688,1,19.3500,0,2204,,,,,0
2023-08-15,16.95,17.10,16.05,16.65,17.65,16.90,,,,15.8688,1,19.3050,0,4553,,,,,0
2023-08-16,16.95,17.10,16.20,16.35,17.61,16.92,,,,15.8688,1,19.1748,0,2209,,,,,0
2023-08-17,16.65,16.80,16.35,16.50,17.50,16.96,,,,15.8688,1,19.0498,0,2686,,,,,0
2023-08-18,16.35,16.65,16.05,16.20,17.35,16.95,,,,15.8688,1,18.9298,0,2324,,,,,0
2023-08-21,16.05,16.50,15.90,16.05,17.23,16.93,,,,15.8688,1,18.8146,0,1946,,,,,0
2023-08-22,15.90,16.35,15.60,15.90,16.95,16.93,,,,15.8688,1,18.6397,0,2042,,,,,0
2023-08-23,16.05,16.20,15.90,15.90,16.72,16.93,,,,15.8688,1,18.3966,0,2141,,,,,0
2023-08-24,16.05,16.05,15.75,15.90,16.48,16.93,,,,15.8688,1,18.1728,0,2195,,,,,0
2023-08-25,15.90,16.35,15.75,15.75,16.23,16.91,,,,18.0444,0,17.9670,0,2378,,,,,0
2023-08-28,16.05,16.20,15.90,15.90,16.11,16.90,,,,18.0444,0,17.7777,0,1552,,,,,0
2023-08-29,19.65,21.90,18.45,19.65,16.41,17.03,,,,16.5444,1,15.6000,1,54195,,,,,0
2023-08-30,21.45,22.80,20.40,21.00,16.87,17.24,,,,17.3875,1,15.7260,1,36254,,,,,0
2023-08-31,21.45,22.65,20.40,21.60,17.38,17.44,,,,17.3875,1,16.0090,1,21567,,,,,0
2023-09-01,22.50,22.65,21.45,22.20,17.98,17.67,,,,17.6704,1,16.2806,1,20507,,0.9661,0.1406,0.8255,0
2023-09-05,22.50,24.00,22.20,22.80,18.66,17.95,,,,18.6183,1,16.5414,1,21570,,1.2206,0.3566,0.8640,0
2023-09-06,23.40,23.70,22.50,22.65,19.33,18.14,,,,18.7065,1,16.9889,1,14848,,1.3942,0.5641,0.8300,0
2023-09-07,22.50,22.65,20.85,22.20,19.96,18.34,,,,18.7065,1,17.4096,1,14900,,1.4783,0.7470,0.7314,0
2023-09-08,22.20,22.50,21.75,21.75,20.55,18.52,,,,18.7065,1,17.8050,1,6102,,1.4915,0.8959,0.5956,0
2023-09-11,21.75,22.80,21.45,22.20,21.20,18.71,,,,18.7065,1,18.1767,1,8093,,1.5208,1.0208,0.4999,0
2023-09-12,22.50,24.75,21.45,21.60,21.77,18.94,,,,18.7065,1,18.5261,1,21939,,1.4785,1.1124,0.3661,0
2023-09-13,21.00,22.05,20.85,21.30,21.93,19.17,,,,18.7065,1,19.0240,1,7549,,1.4046,1.1708,0.2337,0
2023-09-14,21.30,22.20,20.70,21.00,21.93,19.40,,,,18.7065,1,19.4821,1,7143,,1.3067,1.1980,0.1087,0
2023-09-15,21.00,21.45,20.25,20.55,21.83,19.60,,,,18.7065,1,19.9035,1,9321,,1.1793,1.1942,-0.0150,0
2023-09-18,20.25,21.15,20.25,20.70,21.68,19.83,,,,18.7065,1,20.2500,1,3731,,1.0779,1.1710,-0.0930,0
2023-09-19,20.55,20.70,19.80,19.80,21.38,20.02,,,,18.7065,1,24.7500,0,4847,,0.9145,1.1197,-0.2052,0
2023-09-20,19.80,19.95,19.05,19.50,21.06,20.20,,,,18.7065,1,24.6510,0,4861,,0.7520,1.0462,-0.2941,0
2023-09-21,19.35,19.35,18.15,18.60,20.70,20.33,,,,22.8088,0,24.4270,0,5428,,0.5444,0.9458,-0.4014,0
2023-09-22,18.90,18.90,18.30,18.90,20.41,20.48,,,,22.4329,0,24.0503,0,4072,,0.3995,0.8365,-0.4371,0
2023-09-25,18.60,19.35,18.60,19.35,20.13,20.66,,,,22.4329,0,23.6963,0,3557,,0.3173,0.7327,-0.4154,0
2023-09-26,19.05,19.35,18.60,18.60,19.83,20.80,18.29,,,22.4329,0,23.3635,0,3633,7363,0.1894,0.6240,-0.4346,0
2023-09-27,18.60,19.20,18.15,18.30,19.53,20.73,18.34,,,22.1690,0,23.0507,0,5131,7426,0.0632,0.5119,-0.4487,0
2023-09-28,18.15,18.60,18.15,18.45,19.28,20.60,18.38,,,21.6546,0,22.7567,0,3089,7439,-0.0245,0.4046,-0.4291,0
2023-09-29,18.75,19.80,18.45,19.65,19.19,20.51,18.46,,,21.6546,0,22.4803,0,7614,7539,0.0028,0.3242,-0.3214,0
2023-10-02,19.50,19.80,18.30,18.30,18.94,20.31,18.50,,,21.6546,0,22.2205,0,8447,7653,-0.0835,0.2427,-0.3262,0
2023-10-03,18.60,19.35,18.15,18.90,18.85,20.11,18.55,,,21.6546,0,21.9762,0,6699,7744,-0.1023,0.1737,-0.2760,0
2023-10-04,19.20,20.25,19.20,19.80,18.88,19.97,18.63,,,21.6546,0,21.7467,0,11084,7869,-0.0441,0.1301,-0.1742,0
2023-10-05,19.80,20.40,19.80,20.25,19.05,19.87,18.71,,,21.6546,0,21.5309,0,6769,7958,0.0379,0.1117,-0.0738,0
2023-10-06,20.10,20.85,19.65,20.55,19.21,19.81,18.81,,,21.6546,0,21.3280,0,7373,8067,0.1256,0.1145,0.0112,0
2023-10-09,19.65,21.45,19.65,21.00,19.38,19.75,18.91,,,21.6546,0,18.1500,1,6067,8140,0.2289,0.1373,0.0915,0
2023-10-10,21.15,21.30,20.70,20.70,19.59,19.71,19.00,,,21.6546,0,18.2160,1,4884,8194,0.2832,0.1665,0.1167,0
