Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,5.94,6.41,5.94,6.30,,,,,,,0,5.9400,1,3015,,,,,0
2023-07-19,6.34,6.54,6.29,6.43,,,,,,,0,5.9400,1,3234,,,,,0
2023-07-20,6.50,6.50,6.22,6.33,,,,,,,0,5.9400,1,1762,,,,,0
2023-07-21,6.35,6.50,6.19,6.47,,,,,,,0,5.9520,1,2498,,,,,0
2023-07-24,6.49,6.91,6.49,6.82,,,,,,,0,5.9638,1,2740,,,,,0
2023-07-25,6.83,6.83,6.58,6.68,,,,,,,0,6.0016,1,2423,,,,,0
2023-07-26,6.63,6.74,6.52,6.70,,,,,,,0,6.0379,1,2046,,,,,0
2023-07-27,6.80,7.02,6.59,6.69,,,,,,,0,6.0728,1,3676,,,,,0
2023-07-28,6.71,6.93,6.60,6.89,,,,,,,0,6.1297,1,2828,,,,,0
2023-07-31,6.98,7.25,6.97,7.09,6.64,,,,,8.1120,0,6.1831,1,2976,,,,,0
2023-08-01,7.12,7.16,6.80,6.98,6.71,,,,,7.9898,0,6.2684,1,3005,,,,,0
2023-08-02,6.70,6.79,6.26,6.59,6.72,,,,,7.6498,0,7.2500,0,5837,,,,,0
2023-08-03,6.55,6.85,6.45,6.66,6.76,,,,,7.6498,0,7.2302,0,3778,,,,,0
2023-08-04,6.69,6.95,6.69,6.82,6.79,,,,,7.6498,0,7.2108,0,2318,,,,,0
2023-08-07,6.77,6.90,6.64,6.73,6.78,,,,,7.6498,0,7.1918,0,1320,,,,,0
2023-08-08,6.57,6.90,6.44,6.89,6.80,,,,,7.6498,0,7.1731,0,2400,,,,,0
2023-08-09,6.93,7.17,6.89,6.92,6.83,,,,,7.6498,0,6.2600,1,2480,,,,,0
2023-08-10,7.01,7.03,6.77,6.82,6.84,,,,,7.6498,0,6.2782,1,1326,,,,,0
2023-08-11,6.78,6.92,6.78,6.85,6.84,,,,,7.6498,0,6.2960,1,1435,,,,,0
2023-08-14,6.72,6.75,6.55,6.69,6.80,6.72,,,,7.6266,0,6.3135,1,1946,,,,,0
2023-08-15,6.62,6.69,6.43,6.50,6.75,6.73,,,,7.5170,0,6.3306,1,1544,,,,,0
2023-08-16,6.45,6.64,6.27,6.32,6.72,6.72,,,,7.4273,0,7.1700,0,1790,,,,,0
2023-08-17,6.29,6.53,6.29,6.52,6.71,6.73,,,,7.3571,0,7.1520,0,2780,,,,,0
2023-08-18,6.49,6.60,6.42,6.52,6.68,6.73,,,,7.3571,0,7.1344,0,2141,,,,,0
2023-08-21,6.59,6.66,6.32,6.43,6.65,6.71,,,,7.3571,0,7.1171,0,1436,,,,,0
2023-08-22,6.40,6.40,6.24,6.33,6.59,6.70,,,,7.2029,0,7.1001,0,1393,,,,,0
2023-08-23,6.20,6.33,6.07,6.28,6.53,6.68,,,,7.0726,0,7.0657,0,2054,,,,,0
2023-08-24,6.22,6.24,6.09,6.11,6.46,6.65,,,,7.0074,0,7.0060,0,1015,,,,,0
2023-08-25,6.17,6.26,6.06,6.08,6.38,6.61,,,,6.9781,0,6.9498,0,857,,,,,0
2023-08-28,6.11,6.32,6.11,6.18,6.33,6.56,,,,6.9781,0,6.8786,0,1093,,,,,0
2023-08-29,6.13,6.22,6.06,6.20,6.30,6.52,,,,6.9155,0,6.8131,0,1120,,,,,0
2023-08-30,6.22,6.49,6.21,6.36,6.30,6.51,,,,6.9155,0,6.7529,0,1605,,,,,0
2023-08-31,6.44,6.61,6.38,6.42,6.29,6.50,,,,6.9155,0,6.6975,0,1462,,,,,0
2023-09-01,6.56,6.70,6.49,6.54,6.29,6.48,,,,6.9155,0,6.0600,1,2793,,-0.1070,-0.1364,0.0294,0
2023-09-05,6.50,6.81,6.50,6.58,6.31,6.48,,,,6.9155,0,6.0728,1,2353,,-0.0831,-0.1258,0.0426,0
2023-09-06,6.60,6.70,6.51,6.59,6.33,6.46,,,,6.9155,0,6.1023,1,1191,,-0.0627,-0.1131,0.0505,0
2023-09-07,6.56,6.64,6.33,6.33,6.34,6.43,,,,6.9155,0,6.1306,1,1083,,-0.0667,-0.1039,0.0372,0
2023-09-08,6.40,6.40,6.28,6.33,6.36,6.41,,,,6.9155,0,6.1578,1,1678,,-0.0691,-0.0969,0.0278,0
2023-09-11,6.34,6.44,6.19,6.22,6.37,6.38,,,,6.9155,0,6.1839,1,1396,,-0.0789,-0.0933,0.0144,0
2023-09-12,6.28,6.49,6.28,6.43,6.40,6.36,,,,6.9155,0,6.1900,1,1828,,-0.0690,-0.0884,0.0195,0
2023-09-13,6.46,6.50,6.24,6.32,6.41,6.35,,,,6.9155,0,6.1900,1,1407,,-0.0692,-0.0846,0.0154,0
2023-09-14,6.44,6.71,6.44,6.69,6.44,6.37,,,,6.9155,0,6.2148,1,1921,,-0.0391,-0.0755,0.0364,0
2023-09-15,6.69,6.73,6.55,6.57,6.46,6.38,,,,6.9155,0,6.2386,1,1422,,-0.0246,-0.0653,0.0407,0
2023-09-18,6.58,6.81,6.50,6.71,6.48,6.38,,,,6.9155,0,6.2615,1,2010,,-0.0018,-0.0526,0.0508,0
2023-09-19,6.86,7.03,6.66,6.70,6.49,6.40,,,,6.9155,0,6.2834,1,3185,,0.0153,-0.0390,0.0543,0
2023-09-20,6.64,6.88,6.64,6.71,6.50,6.42,,,,6.9155,0,6.3282,1,1859,,0.0293,-0.0253,0.0547,0
2023-09-21,6.70,6.74,6.42,6.46,6.51,6.43,,,,6.9155,0,6.3703,1,1780,,0.0200,-0.0163,0.0363,0
2023-09-22,6.57,6.69,6.48,6.49,6.53,6.45,,,,6.9155,0,6.4099,1,1586,,0.0149,-0.0100,0.0249,0
2023-09-25,6.43,6.61,6.43,6.59,6.57,6.47,,,,6.9155,0,6.4200,1,1387,,0.0187,-0.0043,0.0230,0
2023-09-26,6.50,6.62,6.38,6.43,6.57,6.48,6.55,,,6.9155,0,7.0300,0,1755,2079,0.0087,-0.0017,0.0104,0
2023-09-27,6.60,7.04,6.58,7.04,6.64,6.53,6.56,,,6.0236,1,6.3800,1,3702,2093,0.0494,0.0085,0.0409,0
2023-09-28,7.01,7.14,6.94,7.05,6.68,6.56,6.57,,,6.1845,1,6.3800,1,2833,2085,0.0816,0.0231,0.0584,0
2023-09-29,7.12,7.21,6.88,6.94,6.71,6.59,6.59,,,6.1845,1,6.4104,1,2565,2101,0.0970,0.0379,0.0591,0
2023-10-02,6.89,6.90,6.31,6.46,6.69,6.58,6.59,,,6.1845,1,7.2100,0,2913,2109,0.0698,0.0443,0.0255,0
2023-10-03,6.35,6.55,6.30,6.55,6.67,6.58,6.58,,,6.1845,1,7.2100,0,1757,2090,0.0548,0.0464,0.0084,0
2023-10-04,6.43,6.44,5.91,6.04,6.61,6.55,6.57,,,7.2210,0,7.1736,0,3620,2114,0.0017,0.0375,-0.0357,0
2023-10-05,5.91,6.12,5.89,5.97,6.56,6.53,6.55,,,7.0154,0,7.0978,0,2143,2116,-0.0454,0.0209,-0.0663,0
2023-10-06,6.02,6.16,5.89,6.09,6.52,6.52,6.54,,,7.0154,0,7.0012,0,1411,2070,-0.0723,0.0022,-0.0745,0
2023-10-09,6.33,6.71,6.30,6.48,6.51,6.54,6.53,,,7.0154,0,6.9123,0,3552,2085,-0.0614,-0.0105,-0.0509,0
2023-10-10,6.55,6.84,6.55,6.81,6.54,6.56,6.53,,,7.0154,0,5.8900,1,2901,2083,-0.0258,-0.0136,-0.0123,0
2023-10-11,6.76,6.79,6.56,6.71,6.51,6.57,6.52,,,7.0154,0,5.9090,1,1283,2049,-0.0057,-0.0120,0.0063,0
2023-10-12,6.80,6.80,6.45,6.55,6.46,6.57,6.52,,,7.0154,0,5.9276,1,1292,1958,-0.0026,-0.0101,0.0075,0
2023-10-13,6.73,6.96,6.68,6.77,6.44,6.58,6.52,,,7.0154,0,5.9459,1,3420,1951,0.0175,-0.0046,0.0220,0
2023-10-16,6.82,6.82,6.58,6.71,6.47,6.58,6.52,,,7.0154,0,5.9864,1,1791,1940,0.0281,0.0020,0.0262,0
2023-10-17,6.64,6.96,6.61,6.88,6.50,6.59,6.52,,,7.0154,0,6.0254,1,1856,1951,0.0498,0.0115,0.0382,0
2023-10-18,6.94,6.94,6.70,6.78,6.58,6.59,6.52,,,7.0154,0,6.0628,1,2368,1950,0.0582,0.0209,0.0373,0
2023-10-19,6.81,6.81,6.62,6.69,6.65,6.60,6.52,,,7.0154,0,6.0987,1,1797,1937,0.0569,0.0281,0.0288,0
2023-10-20,6.63,6.70,6.49,6.55,6.69,6.60,6.51,,,7.0154,0,6.1331,1,2457,1959,0.0441,0.0313,0.0128,0
2023-10-23,6.39,6.51,6.14,6.15,6.66,6.58,6.50,,,7.0154,0,6.9600,0,2253,1976,0.0016,0.0253,-0.0237,0
2023-10-24,6.15,6.19,5.98,6.14,6.59,6.57,6.49,,,7.0076,0,6.9436,0,2117,1979,-0.0324,0.0138,-0.0462,0
2023-10-25,6.06,6.32,6.04,6.28,6.55,6.53,6.48,,,7.0076,0,6.9051,0,1889,1986,-0.0476,0.0015,-0.0491,0
2023-10-26,6.20,6.20,5.97,6.04,6.50,6.48,6.48,,,7.0009,0,6.8681,0,2744,2005,-0.0781,-0.0144,-0.0637,0
2023-10-27,6.12,6.21,5.97,6.18,6.44,6.44,6.47,,,6.9863,0,6.8142,0,2011,1990,-0.0899,-0.0295,-0.0604,0
2023-10-30,6.20,6.33,5.97,6.07,6.38,6.42,6.46,,,6.9863,0,6.7635,0,1705,1981,-0.1069,-0.0450,-0.0619,0
2023-10-31,6.09,6.29,5.97,6.12,6.30,6.40,6.45,,,6.9863,0,6.7159,0,1651,1985,-0.1150,-0.0590,-0.0560,0
2023-11-01,6.47,6.80,6.36,6.51,6.27,6.42,6.46,,,6.9863,0,5.9700,1,4867,2055,-0.0890,-0.0650,-0.0240,0
2023-11-02,6.63,7.09,6.62,7.06,6.31,6.48,6.47,,,5.8196,1,5.9700,1,7958,2173,-0.0237,-0.0567,0.0331,0
2023-11-03,7.08,7.17,6.81,6.94,6.35,6.52,6.49,,,5.8900,1,6.0148,1,3968,2232,0.0182,-0.0417,0.0599,0
2023-11-06,6.96,7.02,6.79,6.83,6.42,6.54,6.50,,,5.8900,1,6.0841,1,1830,2251,0.0420,-0.0250,0.0670,0
2023-11-07,6.70,6.70,6.27,6.31,6.43,6.51,6.51,,,5.8900,1,6.1493,1,3455,2299,0.0187,-0.0162,0.0350,0
2023-11-08,6.21,6.31,6.05,6.08,6.41,6.48,6.51,,,5.8900,1,7.1700,0,2557,2327,-0.0181,-0.0166,-0.0015,0
2023-11-09,6.23,6.44,6.04,6.09,6.42,6.46,6.50,,,5.8900,1,7.1476,0,3547,2366,-0.0459,-0.0225,-0.0235,0
2023-11-10,6.19,6.28,6.04,6.21,6.42,6.43,6.50,,,5.8900,1,7.1033,0,1513,2367,-0.0577,-0.0295,-0.0281,0
