Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,13.95,14.16,13.85,14.11,,,,,,,0,13.8544,1,3340,,,,,0
2023-07-14,14.24,14.24,13.83,13.89,,,,,,,0,14.2387,0,2632,,,,,0
2023-07-17,13.86,14.26,13.85,14.11,,,,,,,0,13.8287,1,1361,,,,,0
2023-07-18,14.12,14.58,14.08,14.50,,,,,,,0,13.8287,1,3469,,,,,0
2023-07-19,14.62,14.87,14.50,14.77,,,,,,,0,13.8458,1,3090,,,,,0
2023-07-20,14.78,14.79,14.49,14.70,,,,,,,0,13.9073,1,2559,,,,,0
2023-07-21,14.85,14.85,14.55,14.57,,,,,,,0,13.9651,1,2373,,,,,0
2023-07-24,14.60,15.20,14.60,15.16,,,,,,,0,14.0195,1,2306,,,,,0
2023-07-25,15.19,15.45,15.15,15.19,,,,,,,0,14.1142,1,3835,,,,,0
2023-07-26,15.42,16.10,15.33,15.80,14.68,,,,,17.0489,0,14.2480,1,5713,,,,,0
2023-07-27,15.91,16.36,15.85,15.93,14.86,,,,,17.0489,0,14.4703,1,3874,,,,,0
2023-07-28,16.13,16.45,15.90,16.28,15.10,,,,,17.0489,0,14.7344,1,2806,,,,,0
2023-07-31,16.25,16.34,15.92,16.23,15.31,,,,,17.0489,0,15.0091,1,3614,,,,,0
2023-08-01,16.05,16.21,15.82,16.08,15.47,,,,,17.0489,0,15.2398,1,3062,,,,,0
2023-08-02,15.86,16.09,15.78,16.04,15.60,,,,,17.0489,0,15.4336,1,2184,,,,,0
2023-08-03,15.96,16.28,15.80,16.23,15.75,,,,,17.0489,0,15.5964,1,2504,,,,,0
2023-08-04,16.19,16.58,16.12,16.50,15.94,,,,,17.0489,0,15.7331,1,2922,,,,,0
2023-08-07,16.44,16.97,16.42,16.92,16.12,,,,,17.0489,0,15.8018,1,3224,,,,,0
2023-08-08,16.60,16.77,16.19,16.70,16.27,,,,,17.0489,0,16.0361,1,2451,,,,,0
2023-08-09,16.68,16.68,16.39,16.51,16.34,15.51,,,,17.0489,0,16.1856,1,3452,,,,,0
2023-08-10,16.59,16.73,16.33,16.45,16.39,15.63,,,,17.0489,0,16.1856,1,4298,,,,,0
2023-08-11,16.45,16.55,16.40,16.53,16.42,15.76,,,,17.0489,0,16.3328,1,1939,,,,,0
2023-08-14,16.44,16.51,16.11,16.14,16.41,15.86,,,,17.0489,0,16.9733,0,3629,,,,,0
2023-08-15,15.98,16.20,15.57,15.60,16.36,15.92,,,,17.0489,0,16.9560,0,3781,,,,,0
2023-08-16,15.57,15.77,15.41,15.46,16.31,15.95,,,,16.9104,0,16.9006,0,2449,,,,,0
2023-08-17,15.57,15.68,15.41,15.49,16.23,15.99,,,,16.8180,0,16.8109,0,1548,,,,,0
2023-08-18,15.31,15.65,15.31,15.47,16.13,16.04,,,,16.7271,0,16.7267,0,6113,,,,,0
2023-08-21,15.56,15.64,15.18,15.20,15.96,16.04,,,,16.6708,0,16.6135,0,1963,,,,,0
2023-08-22,15.21,15.52,14.77,14.78,15.76,16.02,,,,16.5041,0,16.4703,0,2108,,,,,0
2023-08-23,14.86,15.11,14.71,14.97,15.61,15.98,,,,16.2524,0,16.2668,0,1500,,,,,0
2023-08-24,14.92,15.27,14.83,15.02,15.47,15.93,,,,16.2524,0,16.0482,0,2105,,,,,0
2023-08-25,15.07,15.15,14.64,14.86,15.30,15.86,,,,16.2524,0,15.8603,0,1114,,,,,0
