Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,37.55,39.48,37.30,39.21,,,,,,,0,37.3000,1,57345,,,,,0
2023-07-14,39.14,39.28,37.69,38.22,,,,,,,0,37.3000,1,31596,,,,,0
2023-07-17,38.74,41.56,38.36,40.27,,,,,,,0,37.3000,1,105830,,,,,0
2023-07-18,40.28,42.32,40.10,41.70,,,,,,,0,37.4704,1,70961,,,,,0
2023-07-19,41.82,42.46,41.27,41.99,,,,,,,0,37.7614,1,60533,,,,,0
2023-07-20,42.01,42.73,41.38,42.57,,,,,,,0,38.1373,1,50633,,,,,0
2023-07-21,43.05,43.32,42.40,42.89,,,,,,,0,38.5965,1,48384,,,,,0
2023-07-24,42.72,43.41,42.48,42.76,,,,,,,0,39.1634,1,55900,,,,,0
2023-07-25,42.58,43.49,42.41,42.81,,,,,,,0,39.7579,1,47228,,,,,0
2023-07-26,42.80,44.10,42.28,43.75,41.62,,,,,48.1760,0,40.3550,1,44087,,,,,0
2023-07-27,43.91,44.16,43.18,43.51,42.05,,,,,48.1760,0,41.0291,1,46395,,,,,0
2023-07-28,43.60,44.24,43.16,43.66,42.59,,,,,48.1760,0,41.6553,1,44018,,,,,0
2023-07-31,43.68,43.99,42.56,42.96,42.86,,,,,47.8685,0,42.1722,1,50491,,,,,0
2023-08-01,43.07,43.65,42.22,42.28,42.92,,,,,47.4982,0,44.2400,0,37164,,,,,0
2023-08-02,42.03,42.91,41.62,42.85,43.00,,,,,46.7589,0,44.1996,0,43776,,,,,0
2023-08-03,42.82,43.36,41.87,42.10,42.96,,,,,46.7589,0,44.0964,0,40467,,,,,0
2023-08-04,42.12,43.12,41.94,42.41,42.91,,,,,46.7589,0,43.9974,0,29594,,,,,0
2023-08-07,42.64,42.64,41.65,42.01,42.83,,,,,46.3987,0,43.9023,0,54239,,,,,0
2023-08-08,42.01,43.60,41.91,43.31,42.88,,,,,46.3987,0,43.8110,0,62739,,,,,0
2023-08-09,42.42,44.79,41.51,42.63,42.77,42.19,,,,46.3987,0,41.6200,1,54976,,,,,0
2023-08-10,42.88,45.00,42.87,44.03,42.82,42.44,,,,46.3987,0,41.5100,1,41089,,,,,0
2023-08-11,43.80,44.03,43.35,43.75,42.83,42.71,,,,46.3987,0,41.5100,1,40854,,,,,0
2023-08-14,43.72,44.24,43.25,43.86,42.92,42.89,,,,46.3987,0,41.6496,1,27548,,,,,0
2023-08-15,43.92,44.12,43.43,44.02,43.10,43.01,,,,46.3987,0,41.7836,1,29806,,,,,0
2023-08-16,43.89,43.89,43.01,43.29,43.14,43.07,,,,46.3987,0,41.9123,1,26892,,,,,0
2023-08-17,43.29,43.44,42.47,42.48,43.18,43.07,,,,46.3987,0,42.0358,1,36269,,,,,0
2023-08-18,42.17,43.92,41.93,43.26,43.26,43.09,,,,46.3987,0,45.0000,0,33994,,,,,0
2023-08-21,43.24,43.39,42.35,42.62,43.33,43.08,,,,46.3987,0,44.9386,0,29612,,,,,0
2023-08-22,42.56,43.05,42.14,42.70,43.26,43.07,,,,46.3987,0,44.8784,0,32601,,,,,0
2023-08-23,42.81,43.18,41.94,41.96,43.20,42.98,,,,46.3987,0,44.8195,0,29481,,,,,0
2023-08-24,41.76,42.36,41.61,42.24,43.02,42.92,,,,45.8049,0,44.7617,0,33885,,,,,0
2023-08-25,42.43,42.89,42.36,42.69,42.91,42.87,,,,45.8049,0,44.6356,0,27202,,,,,0
2023-08-28,42.75,43.13,42.30,42.44,42.77,42.85,,,,45.8049,0,44.5146,0,17685,,,,,0
2023-08-29,42.54,43.26,42.26,43.10,42.68,42.89,,,,45.8049,0,44.3984,0,25843,,0.1806,0.3280,-0.1474,0
