Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,16.15,16.72,15.58,16.00,,,,,,,0,16.7200,0,825,,,,,0
2023-07-19,15.92,16.04,15.43,16.04,,,,,,,0,16.7200,0,845,,,,,0
2023-07-20,15.73,16.15,14.02,15.20,,,,,,,0,16.7200,0,1207,,,,,0
2023-07-21,15.20,15.20,14.44,15.16,,,,,,,0,16.6121,0,550,,,,,0
2023-07-24,15.12,15.43,14.48,15.35,,,,,,,0,16.5085,0,551,,,,,0
2023-07-25,15.39,15.96,15.01,15.58,,,,,,,0,16.4090,0,933,,,,,0
2023-07-26,15.77,15.88,14.44,15.01,,,,,,,0,16.3135,0,854,,,,,0
2023-07-27,15.20,15.20,14.25,14.78,,,,,,,0,16.2219,0,561,,,,,0
2023-07-28,14.90,14.90,14.25,14.86,,,,,,,0,16.1339,0,487,,,,,0
2023-07-31,14.63,15.20,14.25,15.20,15.32,,,,,17.8828,0,16.0494,0,1190,,,,,0
2023-08-01,12.24,12.73,10.56,12.05,14.92,,,,,15.8798,0,15.9683,0,4398,,,,,0
2023-08-02,11.67,11.78,10.45,11.02,14.42,,,,,15.4033,0,15.6441,0,1801,,,,,0
2023-08-03,10.91,11.67,10.56,11.67,14.07,,,,,15.3051,0,15.2285,0,1229,,,,,0
2023-08-04,11.70,13.68,11.63,12.92,13.84,,,,,15.3051,0,14.8462,0,1569,,,,,0
2023-08-07,13.07,14.06,12.73,13.60,13.67,,,,,15.3051,0,14.4945,0,1050,,,,,0
2023-08-08,13.68,13.68,12.54,13.19,13.43,,,,,15.3051,0,14.1710,0,603,,,,,0
2023-08-09,13.11,13.57,12.73,13.22,13.25,,,,,15.3051,0,14.0600,0,680,,,,,0
2023-08-10,13.68,13.68,12.81,13.30,13.10,,,,,15.3051,0,13.7712,0,555,,,,,0
2023-08-11,13.07,13.26,11.86,12.43,12.86,,,,,15.3051,0,13.6800,0,733,,,,,0
2023-08-14,12.77,13.30,12.27,12.92,12.63,13.97,,,,15.3051,0,13.6800,0,670,,,,,0
2023-08-15,12.88,12.92,11.86,12.27,12.65,13.79,,,,15.3051,0,13.4216,0,866,,,,,0
2023-08-16,12.27,12.35,11.44,12.27,12.78,13.60,,,,15.3051,0,13.3000,0,761,,,,,0
2023-08-17,12.65,12.65,11.82,12.46,12.86,13.46,,,,15.3051,0,13.0720,0,504,,,,,0
2023-08-18,12.20,12.27,11.44,12.16,12.78,13.31,,,,15.3051,0,12.8622,0,720,,,,,0
2023-08-21,12.08,12.35,11.40,11.89,12.61,13.14,,,,15.3051,0,12.6693,0,622,,,,,0
2023-08-22,11.67,11.78,11.40,11.78,12.47,12.95,,,,14.8590,0,12.4917,0,552,,,,,0
2023-08-23,11.59,11.97,11.40,11.63,12.31,12.78,,,,14.7981,0,12.3500,0,586,,,,,0
2023-08-24,11.44,11.89,11.17,11.63,12.14,12.62,,,,14.5514,0,12.1980,0,712,,,,,0
2023-08-25,11.51,11.63,11.21,11.40,12.04,12.45,,,,14.2610,0,12.0582,0,465,,,,,0
2023-08-28,11.02,12.54,11.02,11.97,11.95,12.29,,,,14.2610,0,10.4500,1,1174,,,,,0
2023-08-29,12.08,12.35,11.13,11.74,11.89,12.27,,,,14.2610,0,10.4918,1,799,,,,,0
2023-08-30,11.74,11.78,11.40,11.74,11.84,12.31,,,,14.2610,0,10.5328,1,295,,,,,0
2023-08-31,11.74,11.82,11.40,11.82,11.78,12.32,,,,14.2610,0,10.5729,1,440,,,,,0
2023-09-01,11.78,11.97,11.44,11.82,11.74,12.26,,,,14.2610,0,10.6123,1,658,,-0.7520,-0.9025,0.1506,0
2023-09-05,12.16,12.27,11.78,12.16,11.77,12.19,,,,14.2610,0,10.6508,1,909,,-0.6806,-0.8581,0.1776,0
2023-09-06,11.93,12.08,11.82,11.89,11.78,12.13,,,,14.2610,0,10.6886,1,484,,-0.6381,-0.8141,0.1760,0
2023-09-07,11.82,12.16,11.63,12.12,11.83,12.07,,,,14.1673,0,10.7256,1,478,,-0.5794,-0.7672,0.1878,0
2023-09-08,12.16,12.54,11.78,12.54,11.92,12.03,,,,14.1673,0,10.7619,1,747,,-0.4934,-0.7124,0.2190,0
2023-09-11,12.54,12.65,11.78,12.54,12.03,12.04,,,,14.1673,0,10.7975,1,501,,-0.4204,-0.6540,0.2336,0
2023-09-12,12.43,12.54,12.01,12.54,12.09,12.02,,,,14.1673,0,10.8717,1,454,,-0.3585,-0.5949,0.2364,0
2023-09-13,12.50,12.73,12.16,12.54,12.17,12.03,,,,14.1673,0,10.9430,1,573,,-0.3059,-0.5371,0.2313,0
2023-09-14,12.54,12.65,11.40,12.54,12.25,12.05,,,,14.1673,0,11.0502,1,6808,,-0.2611,-0.4819,0.2208,0
2023-09-15,12.54,12.73,12.20,12.54,12.32,12.05,,,,14.1673,0,11.1510,1,629,,-0.2231,-0.4302,0.2070,0
2023-09-18,12.92,17.86,12.88,17.48,12.89,12.32,,,,11.7340,1,11.2458,1,9757,,0.2033,-0.3035,0.5068,0
2023-09-19,17.29,17.44,14.44,16.72,13.35,12.56,,,,11.7557,1,11.7749,1,4439,,0.4744,-0.1479,0.6223,0
2023-09-20,16.72,19.00,16.00,16.19,13.77,12.78,,,,12.8316,1,12.2617,1,4858,,0.6390,0.0095,0.6295,0
2023-09-21,17.10,18.62,16.76,18.62,14.42,13.13,,,,12.8316,1,12.9355,1,3892,,0.9547,0.1985,0.7561,0
2023-09-22,19.00,22.04,18.66,20.90,15.26,13.59,,,,14.8858,1,13.5420,1,8681,,1.3730,0.4334,0.9396,0
2023-09-25,21.28,24.70,21.17,23.94,16.40,14.22,,,,16.8761,1,14.5617,1,8525,,1.9276,0.7322,1.1953,0
2023-09-26,25.54,27.17,19.57,22.04,17.35,14.72,13.87,,,16.8761,1,15.9811,1,8680,1817,2.1886,1.0235,1.1651,0
2023-09-27,22.34,23.56,19.00,20.79,18.18,15.17,13.96,,,16.8761,1,17.7713,1,3647,1874,2.2681,1.2724,0.9956,0
2023-09-28,20.56,20.60,18.28,18.54,18.78,15.51,14.01,,,16.8761,1,27.1700,0,2365,1904,2.1257,1.4431,0.6826,0
2023-09-29,18.62,20.71,18.24,20.18,19.54,15.93,14.11,,,16.8761,1,26.9922,0,2129,1923,2.1202,1.5785,0.5417,0
2023-10-02,20.90,22.80,19.80,21.66,19.96,16.42,14.24,,,16.8761,1,26.6421,0,3263,1977,2.2100,1.7048,0.5052,0
2023-10-03,22.04,22.15,19.95,20.48,20.33,16.84,14.35,,,16.8761,1,26.3060,0,1744,2001,2.1612,1.7961,0.3651,0
2023-10-04,20.52,20.90,19.00,19.84,20.70,17.24,14.43,,,16.8761,1,25.9834,0,1486,2012,2.0468,1.8462,0.2006,0
2023-10-05,19.61,20.52,19.08,20.33,20.87,17.65,14.54,,,16.8761,1,25.6736,0,731,2009,1.9732,1.8716,0.1016,0
2023-10-06,20.18,21.51,19.95,21.43,20.92,18.09,14.67,,,16.8761,1,25.3763,0,1245,2023,1.9810,1.8935,0.0875,0
2023-10-09,21.85,25.46,21.70,23.48,20.88,18.64,14.84,,,16.8761,1,18.2400,1,6324,2140,2.1283,1.9405,0.1878,0
2023-10-10,24.70,24.70,22.80,24.13,21.09,19.22,15.02,,,16.8761,1,18.3844,1,2419,2164,2.2709,2.0065,0.2643,0
2023-10-11,25.08,25.84,23.67,24.02,21.41,19.79,15.26,,,17.3581,1,18.5259,1,2650,2129,2.3477,2.0748,0.2729,0
2023-10-12,23.94,24.70,21.01,22.80,21.83,20.31,15.50,,,17.3581,1,18.8185,1,2800,2149,2.2841,2.1166,0.1674,0
2023-10-13,22.80,22.80,20.90,21.89,22.01,20.77,15.70,,,17.3581,1,19.0993,1,1425,2153,2.1354,2.1204,0.0150,0
2023-10-16,21.58,21.85,20.90,21.74,22.01,20.99,15.88,,,17.3581,1,19.3690,1,1131,2144,1.9825,2.0928,-0.1103,0
2023-10-17,21.55,21.55,19.42,20.37,22.00,21.17,16.01,,,17.3581,1,25.8400,0,1365,2151,1.7310,2.0205,-0.2894,0
2023-10-18,20.14,20.14,19.00,19.23,21.94,21.32,16.13,,,17.3581,1,25.7116,0,1508,2169,1.4233,1.9010,-0.4777,0
2023-10-19,19.23,19.72,18.81,19.34,21.84,21.36,16.26,,,17.3581,1,25.4431,0,1026,2176,1.1751,1.7558,-0.5808,0
2023-10-20,19.27,19.57,17.75,18.43,21.54,21.23,16.36,,,17.3581,1,25.0451,0,1693,2198,0.8945,1.5836,-0.6891,0
2023-10-23,18.77,18.81,17.48,18.35,21.03,20.95,16.48,,,17.3581,1,24.4612,0,765,2199,0.6584,1.3985,-0.7402,0
2023-10-24,18.39,18.43,15.96,16.76,20.29,20.69,16.55,,,23.3903,0,23.7631,0,1708,2220,0.3385,1.1865,-0.8480,0
2023-10-25,17.48,20.14,17.29,18.58,19.75,20.58,16.68,,,23.3903,0,22.8267,0,2136,2245,0.2296,0.9951,-0.7655,0
2023-10-26,19.53,21.28,19.38,20.94,19.56,20.70,16.85,,,23.3903,0,22.0027,0,1974,2270,0.3296,0.8620,-0.5324,0
2023-10-27,21.28,23.56,20.90,23.52,19.73,20.87,17.07,,,15.3653,1,15.9600,1,4129,2342,0.6103,0.8117,-0.2014,0
2023-10-30,23.75,25.04,20.67,23.03,19.85,20.93,17.29,,,15.3678,1,16.1120,1,3018,2388,0.7839,0.8061,-0.0222,0
2023-10-31,25.65,28.04,23.37,24.59,20.28,21.14,17.55,,,17.4619,1,16.4692,1,11103,2598,1.0353,0.8520,0.1833,0
2023-11-01,24.93,24.93,21.55,21.70,20.52,21.23,17.74,,,17.4619,1,17.1637,1,3480,2656,0.9900,0.8796,0.1104,0
2023-11-02,23.56,23.56,21.66,22.38,20.83,21.34,17.96,,,17.4619,1,17.8165,1,1507,2675,0.9978,0.9032,0.0946,0
2023-11-03,22.42,22.99,21.77,22.65,21.25,21.40,18.18,,,17.4619,1,18.4302,1,1333,2687,1.0138,0.9253,0.0885,0
2023-11-06,21.24,22.31,19.84,21.66,21.58,21.30,18.38,,,17.4619,1,19.0070,1,2182,2721,0.9359,0.9275,0.0085,0
2023-11-07,21.58,21.62,20.25,20.75,21.98,21.14,18.56,,,17.4619,1,19.5492,1,1520,2728,0.7915,0.9003,-0.1087,0
2023-11-08,20.52,20.60,19.08,19.61,22.08,20.92,18.72,,,17.4619,1,28.0440,0,1613,2745,0.5784,0.8359,-0.2575,0
2023-11-09,18.96,19.76,18.81,19.19,21.91,20.73,18.87,,,17.4619,1,27.8646,0,1379,2766,0.3715,0.7430,-0.3715,0
2023-11-10,16.83,17.48,15.16,16.26,21.18,20.45,18.96,,,23.6060,0,27.5025,0,5679,2871,-0.0282,0.5888,-0.6170,0
2023-11-13,17.33,18.58,16.34,17.94,20.67,20.26,19.08,,,23.6060,0,26.7620,0,2601,2910,-0.2077,0.4295,-0.6372,0
2023-11-14,17.90,18.24,16.34,17.48,19.96,20.12,19.18,,,23.6060,0,26.0660,0,2389,2939,-0.3823,0.2671,-0.6495,0
2023-11-15,17.52,17.82,16.72,17.29,19.52,20.02,19.29,,,23.6060,0,25.4118,0,1174,2953,-0.5300,0.1077,-0.6377,0
2023-11-16,17.18,18.05,16.53,17.06,18.99,19.91,19.39,,,23.6060,0,24.7968,0,1757,2979,-0.6578,-0.0454,-0.6124,0
2023-11-17,16.72,17.14,16.38,17.10,18.43,19.84,19.48,,,22.8377,0,24.2187,0,1577,2995,-0.7474,-0.1858,-0.5616,0
2023-11-20,17.44,17.48,16.91,17.18,17.99,19.78,19.57,,,22.8377,0,23.6753,0,1270,3011,-0.8030,-0.3092,-0.4938,0
2023-11-21,17.48,17.86,17.14,17.75,17.69,19.83,19.68,,,22.7941,0,23.1645,0,1114,3024,-0.7920,-0.4058,-0.3862,0
2023-11-22,17.59,17.78,17.06,17.48,17.47,19.78,19.78,,,22.4052,0,22.6844,0,1073,3034,-0.7955,-0.4837,-0.3118,0
2023-11-24,17.48,17.86,17.48,17.56,17.31,19.61,19.88,,,22.2679,0,22.2330,0,591,2910,-0.7832,-0.5436,-0.2395,0
2023-11-27,17.86,18.66,17.71,18.43,17.53,19.35,20.00,,,22.2679,0,21.8088,0,2222,2942,-0.6948,-0.5739,-0.1210,0
2023-11-28,18.73,21.66,18.43,19.30,17.66,19.17,20.03,,,22.2679,0,15.1620,1,3151,2809,-0.5480,-0.5687,0.0207,0
2023-11-29,19.76,20.25,17.67,18.20,17.73,18.85,20.06,,,22.2679,0,15.2920,1,3163,2784,-0.5146,-0.5579,0.0433,0
2023-11-30,18.62,18.62,16.49,17.10,17.72,18.62,20.08,,,22.2679,0,15.4193,1,3365,2754,-0.5705,-0.5604,-0.0101,0
2023-12-01,16.95,17.48,16.42,17.48,17.76,18.37,20.06,,,22.1080,0,15.5441,1,2013,2716,-0.5775,-0.5638,-0.0137,0
2023-12-04,17.10,17.29,16.38,16.99,17.75,18.09,19.98,,,21.8086,0,15.6665,1,1639,2576,-0.6158,-0.5742,-0.0416,0
2023-12-05,16.72,16.80,15.35,16.53,17.68,17.83,19.83,,,21.0414,0,21.6600,0,2443,2454,-0.6751,-0.5944,-0.0807,0
2023-12-06,16.07,16.45,15.58,16.34,17.54,17.61,19.72,,,20.7726,0,21.5338,0,1040,2301,-0.7291,-0.6213,-0.1078,0
2023-12-07,16.00,16.30,15.20,15.77,17.37,17.42,19.62,,,20.3731,0,21.4102,0,1224,2253,-0.8085,-0.6588,-0.1498,0
2023-12-08,15.58,15.92,15.24,15.73,17.19,17.25,19.56,,,19.9451,0,21.1618,0,1173,2229,-0.8646,-0.6999,-0.1647,0
2023-12-11,15.92,16.11,14.82,15.31,16.88,17.20,19.46,,,19.7821,0,20.9233,0,1709,2220,-0.9320,-0.7464,-0.1857,0
2023-12-12,14.90,15.58,14.82,15.24,16.47,17.07,19.33,,,19.3125,0,20.5571,0,1042,2176,-0.9803,-0.7931,-0.1871,0
2023-12-13,15.12,15.50,14.82,14.86,16.13,16.93,19.22,,,19.0685,0,20.2129,0,1643,2174,-1.0372,-0.8420,-0.1953,0
2023-12-14,15.01,15.77,14.78,15.77,16.00,16.86,19.14,,,19.0685,0,19.8893,0,1379,2172,-0.9973,-0.8730,-0.1243,0
2023-12-15,15.77,16.34,15.05,16.07,15.86,16.81,19.06,,,19.0685,0,19.4807,0,1610,2189,-0.9304,-0.8845,-0.0459,0
2023-12-18,15.77,16.34,15.24,15.62,15.72,16.74,18.94,,,19.0685,0,19.1048,0,1129,2187,-0.9037,-0.8883,-0.0154,0
2023-12-19,15.31,15.62,15.01,15.20,15.59,16.64,18.77,,,18.8870,0,18.7590,0,1098,2083,-0.9059,-0.8918,-0.0140,0
2023-12-20,15.20,15.39,14.44,14.82,15.44,16.49,18.59,,,18.4157,0,18.4408,0,1671,2068,-0.9276,-0.8990,-0.0286,0
2023-12-21,15.01,15.20,14.36,14.59,15.32,16.35,18.40,,,18.1834,0,18.0408,0,679,2028,-0.9522,-0.9096,-0.0425,0
2023-12-22,14.67,15.58,14.59,15.58,15.31,16.25,18.25,,,18.1834,0,17.5996,0,1509,2002,-0.8818,-0.9040,0.0223,0
2023-12-26,15.88,15.88,15.24,15.47,15.32,16.10,18.13,,,18.1834,0,17.2113,0,684,1988,-0.8257,-0.8884,0.0627,0
2023-12-27,15.58,15.58,15.01,15.54,15.35,15.91,18.00,,,18.1834,0,16.8696,0,762,1980,-0.7662,-0.8639,0.0977,0
2023-12-28,15.31,15.39,15.09,15.35,15.40,15.77,17.90,,,18.1334,0,16.5689,0,679,1967,-0.7261,-0.8364,0.1103,0
2023-12-29,15.31,15.58,14.82,15.58,15.38,15.69,17.83,,,18.0339,0,16.3043,0,721,1951,-0.6682,-0.8027,0.1345,0
2024-01-02,15.58,15.77,14.86,15.20,15.29,15.58,17.75,,,18.0339,0,16.0715,0,1151,1953,-0.6455,-0.7713,0.1258,0
2024-01-03,15.20,15.20,14.59,14.59,15.19,15.46,17.67,,,17.6201,0,15.8666,0,1080,1941,-0.6689,-0.7508,0.0819,0
2024-01-04,14.71,15.20,14.59,15.20,15.19,15.39,17.61,,,17.5301,0,15.7700,0,1155,1949,-0.6311,-0.7269,0.0958,0
2024-01-05,15.20,15.77,15.20,15.39,15.25,15.34,17.58,,,17.5301,0,14.3640,1,961,1934,-0.5791,-0.6973,0.1182,0
2024-01-08,15.20,15.39,14.44,14.90,15.28,15.30,17.51,,,17.4875,0,14.3921,1,1833,1928,-0.5712,-0.6721,0.1009,0
2024-01-09,15.05,15.58,14.67,15.58,15.28,15.29,17.40,,,17.4875,0,14.4197,1,1793,1924,-0.5040,-0.6385,0.1345,0
2024-01-10,15.58,16.91,15.58,16.91,15.42,15.37,17.27,,,17.4875,0,14.4400,1,2754,1897,-0.3394,-0.5787,0.2392,0
2024-01-11,16.72,17.10,15.81,15.96,15.47,15.41,17.12,,,17.4875,0,14.5388,1,1311,1863,-0.2824,-0.5194,0.2370,0
2024-01-12,15.96,16.00,14.52,15.39,15.47,15.44,16.94,,,17.4875,0,17.1000,0,2457,1690,-0.2800,-0.4715,0.1915,0
2024-01-16,15.20,15.20,14.48,14.48,15.36,15.37,16.80,,,17.4875,0,17.1000,0,1217,1644,-0.3477,-0.4468,0.0991,0
2024-01-17,14.59,15.20,14.06,14.48,15.29,15.29,16.64,,,17.4875,0,16.9951,0,1130,1637,-0.3968,-0.4368,0.0400,0
2024-01-18,14.78,14.97,12.84,13.68,15.20,15.19,16.46,,,17.2657,0,16.8190,0,1810,1646,-0.4943,-0.4483,-0.0460,0
2024-01-19,14.44,14.82,13.11,13.91,15.07,15.13,16.30,,,17.2657,0,16.5010,0,1527,1633,-0.5470,-0.4680,-0.0789,0
2024-01-22,14.02,14.44,13.72,14.44,14.97,15.11,16.18,,,17.2657,0,16.2085,0,1112,1625,-0.5395,-0.4823,-0.0572,0
2024-01-23,14.44,14.78,14.29,14.48,14.93,15.10,16.07,,,17.2657,0,15.9393,0,1167,1616,-0.5245,-0.4908,-0.0337,0
