Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,1.69,1.73,1.65,1.68,,,,,,,0,1.6550,1,808,,,,,0
2023-07-18,1.70,1.73,1.67,1.70,,,,,,,0,1.6550,1,615,,,,,0
2023-07-19,1.69,1.73,1.69,1.71,,,,,,,0,1.6550,1,992,,,,,0
2023-07-20,1.72,1.72,1.56,1.59,,,,,,,0,1.7300,0,1232,,,,,0
2023-07-21,1.60,1.60,1.51,1.55,,,,,,,0,1.7300,0,1702,,,,,0
2023-07-24,1.54,1.56,1.50,1.53,,,,,,,0,1.7212,0,1018,,,,,0
2023-07-25,1.54,1.55,1.51,1.52,,,,,,,0,1.7079,0,941,,,,,0
2023-07-26,1.51,1.56,1.51,1.55,,,,,,,0,1.6955,0,602,,,,,0
2023-07-27,1.57,1.57,1.46,1.46,,,,,,,0,1.6837,0,1006,,,,,0
2023-07-28,1.47,1.51,1.47,1.49,1.58,,,,,1.7080,0,1.6658,0,737,,,,,0
2023-07-31,1.50,1.54,1.50,1.51,1.56,,,,,1.7080,0,1.6494,0,817,,,,,0
2023-08-01,1.47,1.51,1.45,1.48,1.54,,,,,1.6886,0,1.6342,0,1196,,,,,0
2023-08-02,1.48,1.49,1.42,1.47,1.51,,,,,1.6664,0,1.6153,0,1078,,,,,0
2023-08-03,1.47,1.50,1.42,1.42,1.50,,,,,1.6664,0,1.5919,0,839,,,,,0
2023-08-04,1.43,1.45,1.41,1.41,1.48,,,,,1.6306,0,1.5712,0,904,,,,,0
2023-08-07,1.41,1.43,1.35,1.39,1.47,,,,,1.6008,0,1.5487,0,1271,,,,,0
2023-08-08,1.37,1.41,1.35,1.41,1.46,,,,,1.5855,0,1.5169,0,1410,,,,,0
2023-08-09,1.47,1.56,1.35,1.39,1.44,,,,,1.5855,0,1.3500,1,1916,,,,,0
2023-08-10,1.40,1.45,1.36,1.38,1.43,,,,,1.5855,0,1.3500,1,1040,,,,,0
2023-08-11,1.38,1.43,1.35,1.41,1.43,1.50,,,,1.5855,0,1.3500,1,895,,,,,0
2023-08-14,1.38,1.46,1.37,1.45,1.42,1.49,,,,1.5855,0,1.3500,1,1025,,,,,0
2023-08-15,1.42,1.45,1.39,1.42,1.41,1.48,,,,1.5855,0,1.3500,1,698,,,,,0
2023-08-16,1.43,1.48,1.39,1.46,1.41,1.46,,,,1.5855,0,1.3542,1,1414,,,,,0
2023-08-17,1.44,1.47,1.39,1.41,1.41,1.46,,,,1.5855,0,1.3583,1,921,,,,,0
2023-08-18,1.40,1.42,1.37,1.39,1.41,1.45,,,,1.5855,0,1.3623,1,1022,,,,,0
2023-08-21,1.38,1.43,1.30,1.42,1.41,1.44,,,,1.5855,0,1.5600,0,1568,,,,,0
2023-08-22,1.41,1.47,1.37,1.47,1.42,1.44,,,,1.5855,0,1.5548,0,1324,,,,,0
2023-08-23,1.46,1.46,1.39,1.42,1.42,1.43,,,,1.5855,0,1.5497,0,503,,,,,0
2023-08-24,1.40,1.46,1.40,1.43,1.43,1.43,,,,1.5855,0,1.5447,0,1222,,,,,0
2023-08-25,1.41,1.46,1.41,1.43,1.43,1.43,,,,1.5855,0,1.5398,0,462,,,,,0
2023-08-28,1.43,1.47,1.41,1.44,1.43,1.42,,,,1.5855,0,1.5350,0,431,,,,,0
2023-08-29,1.42,1.51,1.41,1.48,1.43,1.42,,,,1.5855,0,1.5303,0,859,,,,,0
2023-08-30,1.47,1.51,1.43,1.47,1.44,1.42,,,,1.5855,0,1.5257,0,495,,,,,0
2023-08-31,1.48,1.51,1.46,1.48,1.44,1.43,,,,1.5855,0,1.5212,0,361,,-0.0202,-0.0376,0.0174,0
2023-09-01,1.48,1.54,1.48,1.49,1.45,1.43,,,,1.5855,0,1.3000,1,528,,-0.0156,-0.0332,0.0176,0
2023-09-05,1.48,1.48,1.40,1.45,1.46,1.43,,,,1.5855,0,1.3048,1,752,,-0.0150,-0.0295,0.0146,0
