Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,4.29,4.35,4.18,4.25,,,,,,,0,4.1800,1,290,,,,,0
2023-07-20,4.25,4.43,4.18,4.43,,,,,,,0,4.1800,1,207,,,,,0
2023-07-21,4.45,4.50,4.31,4.40,,,,,,,0,4.1800,1,235,,,,,0
2023-07-24,4.45,4.56,4.33,4.46,,,,,,,0,4.1800,1,318,,,,,0
2023-07-25,4.50,4.86,4.37,4.65,,,,,,,0,4.2028,1,612,,,,,0
2023-07-26,4.65,4.72,4.51,4.59,,,,,,,0,4.2554,1,237,,,,,0
2023-07-27,4.62,4.72,4.54,4.60,,,,,,,0,4.3037,1,670,,,,,0
2023-07-28,4.73,4.81,4.50,4.76,,,,,,,0,4.3482,1,1113,,,,,0
2023-07-31,4.77,4.82,4.50,4.51,,,,,,,0,4.3892,1,451,,,,,0
2023-08-01,4.50,4.73,4.50,4.63,4.53,,,,,5.3887,0,4.4269,1,353,,,,,0
2023-08-02,4.59,4.68,4.50,4.55,4.56,,,,,5.3403,0,4.4615,1,246,,,,,0
2023-08-03,4.53,4.83,4.46,4.47,4.56,,,,,5.3403,0,4.8600,0,250,,,,,0
2023-08-04,4.43,4.63,4.43,4.50,4.57,,,,,5.2977,0,4.8520,0,178,,,,,0
2023-08-07,4.55,4.59,4.38,4.52,4.58,,,,,5.2421,0,4.8351,0,438,,,,,0
2023-08-08,4.44,4.49,4.25,4.42,4.56,,,,,5.1306,0,4.8078,0,834,,,,,0
2023-08-09,5.00,5.29,4.75,4.88,4.58,,,,,5.1306,0,4.2500,1,1291,,,,,0
2023-08-10,4.87,5.33,4.86,5.28,4.65,,,,,4.1030,1,4.2500,1,1775,,,,,0
2023-08-11,5.25,5.34,5.13,5.25,4.70,,,,,4.2752,1,4.2932,1,1277,,,,,0
2023-08-14,5.30,5.91,5.30,5.81,4.83,,,,,4.5454,1,4.3560,1,3703,,,,,0
2023-08-15,5.81,6.09,5.60,5.84,4.95,4.74,,,,4.7444,1,4.4803,1,3289,,,,,0
2023-08-16,5.87,6.01,5.61,5.67,5.06,4.81,,,,4.7444,1,4.6413,1,1483,,,,,0
2023-08-17,5.68,5.70,5.27,5.37,5.15,4.86,,,,4.7444,1,4.7862,1,1084,,,,,0
2023-08-18,5.33,5.47,5.19,5.32,5.24,4.90,,,,4.7444,1,4.9165,1,920,,,,,0
2023-08-21,5.33,5.47,5.24,5.32,5.32,4.95,,,,4.7444,1,5.0339,1,1855,,,,,0
2023-08-22,5.36,5.43,5.19,5.26,5.40,4.98,,,,4.7444,1,5.1395,1,717,,,,,0
2023-08-23,5.28,5.37,5.14,5.21,5.43,5.01,,,,4.7444,1,6.0900,0,560,,,,,0
2023-08-24,5.20,5.38,5.20,5.33,5.44,5.05,,,,4.7444,1,6.0710,0,840,,,,,0
2023-08-25,5.24,5.28,5.12,5.17,5.43,5.07,,,,4.7444,1,6.0524,0,648,,,,,0
2023-08-28,5.20,5.25,4.68,4.82,5.33,5.08,,,,4.7444,1,6.0151,0,1444,,,,,0
2023-08-29,4.74,5.04,4.70,4.86,5.23,5.09,,,,4.7444,1,5.9347,0,977,,,,,0
2023-08-30,4.88,5.34,4.88,5.29,5.20,5.13,,,,4.7444,1,5.8591,0,1998,,,,,0
2023-08-31,5.35,5.36,5.15,5.31,5.19,5.17,,,,4.7444,1,5.7881,0,896,,,,,0
2023-09-01,5.29,5.46,5.22,5.30,5.19,5.21,,,,4.7444,1,5.7213,0,1066,,,,,0
2023-09-05,5.29,5.29,4.68,4.79,5.13,5.23,,,,4.7444,1,5.6585,0,1220,,0.1465,0.2391,-0.0927,0
2023-09-06,4.83,4.93,4.53,4.57,5.07,5.23,,,,5.8057,0,5.5995,0,944,,0.0909,0.2095,-0.1186,0
2023-09-07,4.52,4.54,4.28,4.51,5.00,5.21,,,,5.4661,0,5.5138,0,2139,,0.0416,0.1759,-0.1343,0
2023-09-08,4.56,4.76,4.43,4.73,4.94,5.19,,,,5.4661,0,5.3904,0,1218,,0.0200,0.1447,-0.1247,0
2023-09-11,4.72,4.74,4.46,4.60,4.88,5.15,,,,5.4661,0,5.2794,0,1372,,-0.0075,0.1143,-0.1218,0
