Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,32.70,32.76,32.47,32.54,,,,,,,0,32.4667,1,50660,,,,,0
2023-07-17,32.71,32.85,32.68,32.84,,,,,,,0,32.4667,1,57006,,,,,0
2023-07-18,32.68,33.07,32.66,33.02,,,,,,,0,32.4667,1,69198,,,,,0
2023-07-19,32.88,32.98,32.80,32.89,,,,,,,0,32.4909,1,63832,,,,,0
2023-07-20,33.27,33.43,33.19,33.38,,,,,,,0,32.5141,1,62365,,,,,0
2023-07-21,33.52,33.52,33.35,33.35,,,,,,,0,32.5688,1,45606,,,,,0
2023-07-24,33.14,33.44,33.14,33.35,,,,,,,0,32.6451,1,44800,,,,,0
2023-07-25,33.50,33.60,33.42,33.49,,,,,,,0,32.7153,1,55306,,,,,0
2023-07-26,33.51,33.90,33.51,33.79,,,,,,,0,32.8033,1,62903,,,,,0
2023-07-27,33.43,33.52,33.22,33.23,33.19,,,,,34.4169,0,32.9352,1,68491,,,,,0
2023-07-28,33.69,33.73,33.56,33.64,33.30,,,,,34.4169,0,33.0511,1,50982,,,,,0
2023-07-31,33.82,33.90,33.60,33.68,33.38,,,,,34.4169,0,33.1532,1,59704,,,,,0
2023-08-01,34.00,34.24,33.74,34.03,33.48,,,,,34.4169,0,33.2430,1,89768,,,,,0
2023-08-02,33.13,33.18,32.68,32.78,33.47,,,,,34.3537,0,34.2404,0,94441,,,,,0
2023-08-03,32.76,33.06,32.68,33.05,33.44,,,,,34.2722,0,34.2404,0,69117,,,,,0
2023-08-04,32.92,33.14,32.81,32.89,33.39,,,,,34.2722,0,34.2091,0,68442,,,,,0
2023-08-07,33.38,33.50,33.17,33.47,33.41,,,,,34.2722,0,34.1784,0,80898,,,,,0
2023-08-08,32.76,33.01,32.56,32.98,33.36,,,,,34.2722,0,34.1484,0,62322,,,,,0
2023-08-09,32.82,33.08,32.79,32.89,33.26,,,,,34.2722,0,34.0847,0,73275,,,,,0
2023-08-10,33.04,33.29,32.88,32.96,33.24,33.21,,,,34.2722,0,34.0235,0,61051,,,,,0
