Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,4.89,4.89,4.76,4.86,,,,,,,0,4.8941,0,94,,,,,0
2023-07-14,4.80,4.80,4.61,4.62,,,,,,,0,4.8941,0,130,,,,,0
2023-07-17,4.64,4.76,4.50,4.72,,,,,,,0,4.8941,0,312,,,,,0
2023-07-18,4.69,4.84,4.67,4.78,,,,,,,0,4.8783,0,185,,,,,0
2023-07-19,4.79,4.79,4.60,4.70,,,,,,,0,4.8631,0,130,,,,,0
2023-07-20,4.81,5.08,4.73,4.94,,,,,,,0,4.4982,1,325,,,,,0
2023-07-21,4.92,4.96,4.84,4.94,,,,,,,0,4.5098,1,210,,,,,0
2023-07-24,4.84,4.86,4.75,4.81,,,,,,,0,4.5212,1,141,,,,,0
2023-07-25,4.74,5.01,4.74,4.97,,,,,,,0,4.5324,1,185,,,,,0
2023-07-26,4.95,4.95,4.85,4.90,4.82,,,,,5.5305,0,4.5433,1,151,,,,,0
2023-07-27,4.99,4.99,4.87,4.94,4.83,,,,,5.5284,0,4.5541,1,192,,,,,0
2023-07-28,4.87,5.05,4.86,5.05,4.87,,,,,5.5284,0,4.5646,1,667,,,,,0
2023-07-31,5.10,5.18,5.04,5.08,4.91,,,,,5.5284,0,4.5749,1,1548,,,,,0
2023-08-01,5.04,5.04,4.92,4.94,4.93,,,,,5.5284,0,4.5991,1,217,,,,,0
2023-08-02,4.89,5.05,4.88,4.99,4.96,,,,,5.5265,0,4.6223,1,135,,,,,0
2023-08-03,5.07,5.12,5.05,5.10,4.97,,,,,5.5265,0,4.6447,1,131,,,,,0
2023-08-04,5.14,5.25,5.05,5.08,4.99,,,,,5.5265,0,4.6661,1,204,,,,,0
2023-08-07,5.19,5.19,5.07,5.14,5.02,,,,,5.5265,0,4.7010,1,113,,,,,0
2023-08-08,5.05,5.05,4.92,4.98,5.02,,,,,5.5265,0,4.7338,1,390,,,,,0
2023-08-09,5.10,5.10,4.89,4.95,5.02,4.92,,,,5.5265,0,4.7647,1,1308,,,,,0
2023-08-10,4.89,4.95,4.63,4.74,5.00,4.92,,,,5.3849,0,5.2479,0,759,,,,,0
2023-08-11,4.78,4.79,4.64,4.79,4.98,4.93,,,,5.2961,0,5.2356,0,177,,,,,0
2023-08-14,4.73,4.85,4.72,4.85,4.96,4.93,,,,5.2961,0,5.2236,0,138,,,,,0
2023-08-15,4.81,4.81,4.68,4.71,4.93,4.93,,,,5.2961,0,5.2117,0,205,,,,,0
2023-08-16,4.71,4.76,4.64,4.73,4.91,4.93,,,,5.2370,0,5.2002,0,120,,,,,0
2023-08-17,4.68,4.80,4.63,4.77,4.87,4.92,,,,5.2370,0,5.1888,0,281,,,,,0
2023-08-18,4.63,4.73,4.62,4.67,4.83,4.91,,,,5.2008,0,5.1666,0,601,,,,,0
2023-08-21,4.60,4.60,4.25,4.35,4.75,4.89,,,,5.0235,0,5.1336,0,847,,,,,0
2023-08-22,4.35,4.44,4.24,4.25,4.68,4.85,,,,4.9360,0,5.0632,0,402,,,,,0
2023-08-23,4.24,4.44,4.24,4.29,4.61,4.82,,,,4.9360,0,4.9806,0,336,,,,,0
