Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-08-11,28.75,31.70,28.27,29.99,,,,,,,0,28.2700,1,34036,,,,,0
2025-08-12,29.91,30.31,28.41,29.90,,,,,,,0,28.2700,1,18717,,,,,0
2025-08-13,30.21,33.50,29.58,33.24,,,,,,,0,28.2700,1,37428,,,,,0
2025-08-14,33.79,36.68,32.85,33.69,,,,,,,0,28.4080,1,76001,,,,,0
2025-08-15,34.00,34.80,30.01,31.17,,,,,,,0,28.9043,1,21813,,,,,0
2025-08-18,31.17,32.00,29.11,29.97,,,,,,,0,36.6800,0,16163,,,,,0
2025-08-19,29.78,31.32,28.63,30.67,,,,,,,0,36.5286,0,10725,,,,,0
2025-08-20,30.51,31.13,28.70,29.31,,,,,,,0,36.2127,0,7067,,,,,0
2025-08-21,29.52,29.74,28.87,28.93,,,,,,,0,35.9093,0,7279,,,,,0
2025-08-22,29.17,29.83,28.73,29.17,30.60,,,,,37.6351,0,35.6182,0,7350,,,,,0
2025-08-25,29.36,30.98,29.36,29.84,30.59,,,,,37.6351,0,35.3386,0,9322,,,,,0
2025-08-26,29.84,31.40,29.75,31.38,30.74,,,,,37.6351,0,35.0703,0,16399,,,,,0
2025-08-27,31.38,36.25,31.05,34.76,30.89,,,,,37.6351,0,28.6300,1,21002,,,,,0
2025-08-28,35.37,35.99,31.46,32.14,30.73,,,,,37.6351,0,28.7824,1,12232,,,,,0
2025-08-29,32.01,32.44,30.41,31.50,30.77,,,,,37.6351,0,28.9318,1,6854,,,,,0
2025-09-02,30.51,33.24,30.49,31.16,30.89,,,,,37.6351,0,29.0781,1,8201,,,,,0
2025-09-03,31.28,32.13,29.40,31.28,30.95,,,,,37.6351,0,29.2216,1,10132,,,,,0
2025-09-04,31.23,34.98,31.03,34.08,31.42,,,,,37.6351,0,29.3621,1,15267,,,,,0
2025-09-05,34.44,35.90,30.78,31.07,31.64,,,,,37.6351,0,29.4000,1,13736,,,,,0
