Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,18.80,19.50,18.35,19.00,,,,,,,0,18.3500,1,45827,,,,,0
2023-07-19,19.20,20.00,18.80,19.10,,,,,,,0,18.3500,1,46529,,,,,0
2023-07-20,19.25,19.60,18.00,18.05,,,,,,,0,20.0000,0,41048,,,,,0
2023-07-21,18.30,18.60,17.15,18.15,,,,,,,0,20.0000,0,40127,,,,,0
2023-07-24,17.45,17.60,16.86,17.35,,,,,,,0,19.8860,0,29081,,,,,0
2023-07-25,17.30,18.10,17.20,17.25,,,,,,,0,19.7044,0,36111,,,,,0
2023-07-26,17.30,17.90,17.05,17.90,,,,,,,0,19.5338,0,36293,,,,,0
2023-07-27,18.25,18.30,16.35,16.50,,,,,,,0,19.3733,0,37165,,,,,0
2023-07-28,16.90,17.75,16.52,17.40,,,,,,,0,19.1315,0,33632,,,,,0
2023-07-31,17.55,18.20,17.25,17.80,17.85,,,,,21.5020,0,18.9090,0,37017,,,,,0
2023-08-01,17.25,17.30,16.15,16.95,17.64,,,,,20.6193,0,18.7042,0,41880,,,,,0
2023-08-02,16.95,17.39,16.15,16.35,17.37,,,,,20.6193,0,18.4488,0,27977,,,,,0
2023-08-03,16.05,16.65,16.05,16.25,17.19,,,,,20.0192,0,18.2189,0,14567,,,,,0
2023-08-04,16.50,16.50,15.48,15.55,16.93,,,,,19.5973,0,17.9587,0,21219,,,,,0
2023-08-07,15.40,15.45,14.43,15.15,16.71,,,,,18.5238,0,17.6110,0,28201,,,,,0
2023-08-08,15.80,16.55,15.10,16.35,16.62,,,,,18.5238,0,17.1012,0,34751,,,,,0
2023-08-09,16.65,16.75,15.25,15.30,16.36,,,,,18.5238,0,14.4250,1,47689,,,,,0
2023-08-10,15.50,16.22,15.20,15.25,16.24,,,,,18.5238,0,14.4715,1,29184,,,,,0
2023-08-11,15.00,15.50,14.70,14.85,15.98,,,,,18.5238,0,14.5171,1,21640,,,,,0
2023-08-14,14.15,14.35,13.30,13.90,15.59,16.72,,,,17.4838,0,16.7500,0,22368,,,,,0
2023-08-15,13.95,14.35,13.13,13.18,15.21,16.43,,,,17.3979,0,16.6810,0,20121,,,,,0
2023-08-16,12.77,13.24,12.45,12.85,14.86,16.12,,,,16.3804,0,16.5388,0,31029,,,,,0
2023-08-17,12.50,12.60,12.00,12.10,14.45,15.82,,,,15.7346,0,16.2934,0,22194,,,,,0
2023-08-18,11.35,12.20,11.25,12.00,14.09,15.51,,,,15.1011,0,15.9500,0,24348,,,,,0
2023-08-21,12.00,12.20,11.70,11.95,13.77,15.24,,,,15.1011,0,15.4800,0,16745,,,,,0
2023-08-22,12.10,12.35,11.43,11.60,13.30,14.96,,,,15.0346,0,15.0570,0,12328,,,,,0
2023-08-23,11.65,12.73,11.50,12.40,13.01,14.68,,,,15.0346,0,14.6763,0,21014,,,,,0
2023-08-24,12.55,12.55,11.25,11.30,12.61,14.42,,,,15.0346,0,14.3336,0,14627,,,,,0
2023-08-25,11.35,11.60,10.85,11.35,12.26,14.12,,,,14.3929,0,14.0253,0,14558,,,,,0
2023-08-28,11.45,11.60,11.25,11.40,12.01,13.80,,,,14.3812,0,13.6442,0,14564,,,,,0
2023-08-29,11.35,13.70,11.25,13.30,12.03,13.62,,,,14.3812,0,10.8500,1,35467,,,,,0
2023-08-30,13.20,13.25,12.70,13.20,12.06,13.46,,,,14.3812,0,10.9070,1,21679,,,,,0
2023-08-31,13.15,13.30,12.05,12.15,12.06,13.26,,,,14.3812,0,10.9629,1,25364,,,,,0
2023-09-01,12.20,12.40,11.50,11.85,12.05,13.07,,,,14.3812,0,11.0176,1,20911,,-1.5423,-1.9302,0.3880,0
2023-09-05,11.70,11.75,11.35,11.40,11.99,12.88,,,,14.3812,0,11.0713,1,15953,,-1.5178,-1.8478,0.3300,0
2023-09-06,11.45,11.75,11.05,11.40,11.97,12.64,,,,14.3602,0,13.7000,0,17894,,-1.4813,-1.7745,0.2932,0
2023-09-07,11.25,11.60,10.95,11.45,11.88,12.44,,,,14.1342,0,13.6470,0,16928,,-1.4319,-1.7059,0.2741,0
2023-09-08,11.40,11.50,10.95,11.15,11.86,12.24,,,,13.9633,0,13.5391,0,14213,,-1.4007,-1.6449,0.2442,0
2023-09-11,11.10,11.21,10.60,10.70,11.80,12.03,,,,13.5524,0,13.4356,0,17493,,-1.3963,-1.5952,0.1989,0
2023-09-12,11.00,11.75,10.60,10.70,11.73,11.87,,,,13.5524,0,13.2654,0,31433,,-1.3769,-1.5515,0.1746,0
2023-09-13,10.80,11.05,10.35,10.50,11.45,11.74,,,,13.3649,0,13.1055,0,17393,,-1.3619,-1.5136,0.1517,0
2023-09-14,11.00,11.35,10.68,10.80,11.21,11.63,,,,13.3649,0,12.8851,0,18436,,-1.3108,-1.4730,0.1623,0
2023-09-15,10.80,10.85,10.35,10.50,11.04,11.55,,,,13.1381,0,12.6823,0,13042,,-1.2797,-1.4344,0.1547,0
2023-09-18,11.00,11.35,10.63,10.75,10.93,11.49,,,,13.1381,0,12.4957,0,18549,,-1.2208,-1.3916,0.1708,0
2023-09-19,10.85,10.95,10.20,10.45,10.84,11.42,,,,13.0854,0,12.3240,0,20400,,-1.1847,-1.3503,0.1656,0
2023-09-20,10.30,10.57,10.00,10.00,10.70,11.34,,,,12.7193,0,12.1116,0,14721,,-1.1788,-1.3160,0.1372,0
2023-09-21,9.75,10.05,9.60,9.90,10.54,11.21,,,,12.1486,0,11.8582,0,15724,,-1.1687,-1.2865,0.1178,0
2023-09-22,10.00,10.10,9.45,9.50,10.38,11.12,,,,12.0613,0,11.5421,0,16878,,-1.1794,-1.2651,0.0857,0
2023-09-25,9.40,9.85,9.30,9.60,10.27,11.03,,,,11.7976,0,11.2073,0,12461,,-1.1664,-1.2454,0.0790,0
2023-09-26,9.50,9.80,9.21,9.25,10.13,10.93,13.46,,,11.6784,0,10.8640,0,8608,24748,-1.1708,-1.2304,0.0596,0
2023-09-27,9.60,9.70,9.30,9.60,10.04,10.74,13.27,,,11.5933,0,10.5332,0,12612,24083,-1.1330,-1.2109,0.0780,0
2023-09-28,9.60,10.32,9.30,9.95,9.95,10.58,13.09,,,11.5933,0,9.2100,1,19373,23540,-1.0625,-1.1813,0.1187,0
2023-09-29,10.00,10.32,9.60,9.75,9.88,10.46,12.92,,,11.5933,0,9.2323,1,12578,22971,-1.0112,-1.1472,0.1361,0
2023-10-02,10.50,11.15,9.85,10.00,9.80,10.37,12.76,,,11.5933,0,9.2542,1,24193,22652,-0.9395,-1.1057,0.1662,0
