Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,37.92,37.95,36.51,36.97,,,,,,,0,36.5100,1,16644,,,,,0
2023-07-14,38.01,38.19,37.03,37.75,,,,,,,0,36.5100,1,12310,,,,,0
2023-07-17,37.61,38.82,37.53,38.52,,,,,,,0,36.5100,1,9538,,,,,0
2023-07-18,37.09,38.60,36.53,36.85,,,,,,,0,38.8200,0,12308,,,,,0
2023-07-19,36.80,38.19,36.52,38.06,,,,,,,0,38.8200,0,8594,,,,,0
2023-07-20,38.25,38.87,37.28,38.23,,,,,,,0,36.5200,1,9829,,,,,0
2023-07-21,38.48,39.02,38.11,38.88,,,,,,,0,36.5200,1,10043,,,,,0
2023-07-24,39.00,39.75,38.14,38.96,,,,,,,0,36.6200,1,12939,,,,,0
2023-07-25,38.80,39.10,38.43,38.52,,,,,,,0,36.8078,1,8359,,,,,0
2023-07-26,38.58,39.64,38.26,39.47,38.22,,,,,43.1050,0,36.9843,1,22865,,,,,0
2023-07-27,41.50,42.88,40.53,40.71,38.60,,,,,43.1050,0,37.1503,1,28517,,,,,0
2023-07-28,38.03,39.71,37.29,39.08,38.73,,,,,43.1050,0,42.8800,0,25074,,,,,0
2023-07-31,38.89,40.51,38.28,40.33,38.91,,,,,43.1050,0,42.8800,0,16858,,,,,0
2023-08-01,40.06,40.23,38.86,39.31,39.16,,,,,43.1050,0,42.7682,0,11125,,,,,0
2023-08-02,38.82,39.20,38.46,38.53,39.20,,,,,43.1050,0,42.6586,0,5171,,,,,0
2023-08-03,38.17,38.36,36.02,36.30,39.01,,,,,42.5028,0,42.5513,0,13638,,,,,0
2023-08-04,36.16,37.39,35.55,37.19,38.84,,,,,41.8035,0,42.2900,0,7951,,,,,0
2023-08-07,37.17,37.55,36.61,37.17,38.66,,,,,41.8035,0,41.8856,0,6237,,,,,0
2023-08-08,36.71,36.87,35.93,36.85,38.49,,,,,41.3459,0,41.5055,0,4779,,,,,0
2023-08-09,36.57,36.57,35.67,35.93,38.14,38.18,,,,40.9253,0,41.1481,0,6568,,,,,0
2023-08-10,36.16,36.93,35.51,35.56,37.63,38.11,,,,40.9253,0,40.8123,0,4797,,,,,0
2023-08-11,35.49,35.73,35.20,35.62,37.28,38.00,,,,39.8997,0,40.3881,0,5097,,,,,0
2023-08-14,35.38,35.94,34.90,35.75,36.82,37.86,,,,39.7233,0,39.8693,0,6678,,,,,0
2023-08-15,35.57,35.57,33.78,33.88,36.28,37.72,,,,39.1389,0,39.2730,0,7626,,,,,0
2023-08-16,33.89,34.49,33.35,33.36,35.76,37.48,,,,38.2795,0,38.5039,0,4917,,,,,0
2023-08-17,33.49,33.64,32.92,32.99,35.43,37.22,,,,37.4196,0,37.6793,0,5364,,,,,0
2023-08-18,32.62,33.59,32.61,33.29,35.04,36.94,,,,37.1196,0,36.8226,0,5942,,,,,0
2023-08-21,33.29,33.42,32.86,32.93,34.62,36.64,,,,36.9257,0,35.9801,0,3965,,,,,0
2023-08-22,32.85,32.85,32.15,32.28,34.16,36.33,,,,36.1411,0,35.3061,0,4035,,,,,0
2023-08-23,32.32,33.45,32.12,33.43,33.91,36.02,,,,36.1411,0,34.6749,0,5787,,,,,0
2023-08-24,33.14,33.46,32.45,32.63,33.62,35.62,,,,36.1411,0,34.1639,0,7015,,,,,0
2023-08-25,32.93,33.50,32.42,33.34,33.39,35.33,,,,36.1411,0,33.7551,0,8828,,,,,0
2023-08-28,33.45,33.91,33.45,33.78,33.19,35.01,,,,36.1411,0,32.1200,1,3949,,,,,0
2023-08-29,33.85,35.03,33.51,34.72,33.28,34.78,,,,36.1411,0,32.1558,1,6239,,-1.5096,-1.8478,0.3382,0
2023-08-30,33.22,34.28,32.90,33.07,33.25,34.50,,,,36.1411,0,32.2708,1,7953,,-1.4728,-1.7728,0.3000,0
2023-08-31,33.15,33.92,33.02,33.27,33.27,34.35,,,,36.1411,0,32.3811,1,6727,,-1.4113,-1.7005,0.2892,0
2023-09-01,33.59,34.24,33.12,34.16,33.36,34.20,,,,36.1411,0,32.4871,1,4745,,-1.2760,-1.6156,0.3396,0
