Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,74.82,74.82,73.08,73.86,,,,,,,0,73.0790,1,169499,,,,,0
2023-07-18,73.80,76.53,73.79,76.49,,,,,,,0,73.0790,1,179773,,,,,0
2023-07-19,77.17,78.39,77.01,78.13,,,,,,,0,73.0790,1,228385,,,,,0
2023-07-20,77.86,78.02,76.76,77.53,,,,,,,0,73.2916,1,253777,,,,,0
2023-07-21,77.07,78.45,75.60,78.06,,,,,,,0,73.4957,1,179802,,,,,0
2023-07-24,78.26,79.43,78.06,78.96,,,,,,,0,73.7930,1,243660,,,,,0
2023-07-25,79.26,81.38,78.80,80.87,,,,,,,0,74.2437,1,275601,,,,,0
2023-07-26,80.99,82.42,80.40,80.91,,,,,,,0,74.9570,1,177187,,,,,0
2023-07-27,81.13,81.54,77.90,78.21,,,,,,,0,75.8524,1,152262,,,,,0
2023-07-28,79.37,79.78,78.66,79.26,78.23,,,,,85.7535,0,76.6403,1,194922,,,,,0
2023-07-31,79.91,80.53,77.93,78.63,78.70,,,,,85.7535,0,77.3337,1,412541,,,,,0
2023-08-01,78.32,78.78,77.75,78.36,78.89,,,,,84.5645,0,82.4183,0,110350,,,,,0
2023-08-02,77.46,77.46,76.37,76.52,78.73,,,,,83.1790,0,82.3250,0,119936,,,,,0
2023-08-03,76.33,76.56,74.48,74.49,78.43,,,,,81.7875,0,82.0868,0,175518,,,,,0
2023-08-04,74.73,75.98,74.73,74.81,78.10,,,,,81.4399,0,81.6305,0,135804,,,,,0
2023-08-07,74.42,74.93,74.05,74.66,77.67,,,,,80.2293,0,81.2016,0,213769,,,,,0
2023-08-08,58.24,62.75,57.88,60.20,75.60,,,,,70.5141,0,80.6299,0,719129,,,,,0
2023-08-09,60.07,60.43,58.36,59.27,73.44,,,,,69.1959,0,78.3545,0,389039,,,,,0
2023-08-10,59.17,60.38,58.76,58.79,71.50,,,,,68.8729,0,76.3066,0,175724,,,,,0
2023-08-11,58.56,59.82,58.55,59.73,69.54,73.89,,,,67.9404,0,74.4635,0,160791,,,,,0
2023-08-14,59.20,60.39,59.13,60.38,67.72,73.21,,,,67.9404,0,72.8048,0,154895,,,,,0
2023-08-15,59.54,60.32,59.37,60.01,65.88,72.39,,,,67.5792,0,71.3119,0,195639,,,,,0
2023-08-16,59.68,59.83,58.82,58.86,64.12,71.42,,,,66.6424,0,69.9683,0,138455,,,,,0
2023-08-17,59.12,59.32,58.35,58.38,62.51,70.47,,,,65.7081,0,68.7590,0,117348,,,,,0
2023-08-18,58.03,59.20,57.72,59.19,60.95,69.52,,,,65.0949,0,67.6707,0,153474,,,,,0
2023-08-21,59.18,60.12,58.86,60.00,59.48,68.58,,,,65.0949,0,66.4764,0,110983,,,,,0
2023-08-22,60.47,62.35,60.44,62.25,59.69,67.64,,,,65.0949,0,65.4254,0,203509,,,,,0
2023-08-23,62.23,63.29,62.22,62.46,60.00,66.72,,,,65.0949,0,64.5005,0,145819,,,,,0
2023-08-24,61.52,62.54,60.04,60.77,60.20,65.85,,,,65.0949,0,63.6866,0,96352,,,,,0
2023-08-25,61.20,61.90,60.81,61.37,60.37,64.96,,,,65.0949,0,63.2936,0,82226,,,,,0
2023-08-28,61.88,62.22,61.33,61.71,60.50,64.11,,,,65.0949,0,62.6246,0,66397,,,,,0
2023-08-29,62.05,64.11,61.99,64.06,60.91,63.39,,,,65.0949,0,57.7179,1,120059,,,,,0
2023-08-30,64.15,65.35,63.97,64.86,61.51,62.81,,,,65.0949,0,57.8458,1,110249,,,,,0
