Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,7.82,7.95,7.69,7.77,,,,,,,0,7.9500,0,455,,,,,0
2023-07-18,7.66,7.89,7.54,7.75,,,,,,,0,7.9500,0,709,,,,,0
2023-07-19,7.72,8.04,7.59,7.68,,,,,,,0,7.5400,1,521,,,,,0
2023-07-20,7.56,7.75,7.25,7.30,,,,,,,0,8.0400,0,672,,,,,0
2023-07-21,7.30,7.39,7.09,7.12,,,,,,,0,8.0400,0,1059,,,,,0
2023-07-24,7.23,7.43,7.14,7.27,,,,,,,0,8.0020,0,226,,,,,0
2023-07-25,7.18,7.24,6.98,7.04,,,,,,,0,7.9655,0,373,,,,,0
2023-07-26,7.04,7.49,7.04,7.40,,,,,,,0,7.9064,0,394,,,,,0
2023-07-27,7.40,7.46,7.12,7.12,,,,,,,0,7.8508,0,201,,,,,0
2023-07-28,7.16,7.53,7.16,7.46,7.39,,,,,8.4454,0,7.7986,0,192,,,,,0
2023-07-31,7.54,7.62,7.15,7.16,7.33,,,,,8.4454,0,7.7494,0,198,,,,,0
2023-08-01,7.23,7.43,7.11,7.25,7.28,,,,,8.3883,0,7.7033,0,223,,,,,0
2023-08-02,7.18,7.24,6.72,7.10,7.22,,,,,8.1449,0,7.6599,0,499,,,,,0
2023-08-03,7.23,7.32,7.05,7.20,7.21,,,,,8.1449,0,7.5845,0,210,,,,,0
2023-08-04,7.30,7.36,7.10,7.27,7.23,,,,,8.1449,0,7.5151,0,75,,,,,0
2023-08-07,7.18,7.29,7.05,7.26,7.23,,,,,8.1449,0,7.4512,0,129,,,,,0
2023-08-08,7.18,7.39,7.06,7.19,7.24,,,,,8.1449,0,7.3925,0,304,,,,,0
2023-08-09,7.01,7.38,7.01,7.04,7.20,,,,,8.1449,0,7.3900,0,375,,,,,0
2023-08-10,7.09,7.39,6.84,7.05,7.20,,,,,8.1449,0,6.7170,1,632,,,,,0
2023-08-11,7.04,7.29,7.04,7.26,7.18,7.28,,,,8.1449,0,6.7306,1,114,,,,,0
2023-08-14,7.19,7.30,7.13,7.13,7.18,7.25,,,,8.1449,0,6.7438,1,77,,,,,0
2023-08-15,7.23,7.55,7.12,7.45,7.19,7.24,,,,8.1449,0,6.7569,1,125,,,,,0
2023-08-16,7.40,7.54,7.23,7.30,7.22,7.22,,,,8.1449,0,6.7887,1,82,,,,,0
2023-08-17,7.21,7.43,6.90,7.00,7.20,7.20,,,,8.1449,0,6.8192,1,234,,,,,0
2023-08-18,7.00,7.24,7.00,7.07,7.18,7.20,,,,8.1449,0,6.8485,1,156,,,,,0
2023-08-21,7.07,7.33,7.06,7.08,7.16,7.19,,,,8.1449,0,6.8767,1,158,,,,,0
2023-08-22,7.09,7.39,6.95,7.02,7.14,7.19,,,,8.1449,0,6.9037,1,343,,,,,0
2023-08-23,7.02,7.32,6.91,7.09,7.15,7.18,,,,8.1449,0,7.5520,0,121,,,,,0
2023-08-24,7.11,7.12,6.93,7.03,7.14,7.17,,,,8.0530,0,7.5392,0,18,,,,,0
2023-08-25,6.91,6.97,6.21,6.26,7.04,7.11,,,,7.7612,0,7.5266,0,431,,,,,0
2023-08-28,6.21,6.49,6.20,6.21,6.95,7.06,,,,7.4885,0,7.4739,0,366,,,,,0
2023-08-29,6.21,6.45,6.21,6.28,6.83,7.01,,,,7.4298,0,7.3975,0,95,,,,,0
2023-08-30,6.36,6.49,6.14,6.27,6.73,6.97,,,,7.4098,0,7.3256,0,498,,,,,0
2023-08-31,6.37,6.45,6.19,6.45,6.68,6.94,,,,7.3833,0,7.2308,0,297,,-0.2602,-0.1631,-0.0971,0
