Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-05-29,11.68,12.53,11.64,12.51,,,,,,,0,11.6352,1,3628,,,,,0
2024-05-30,13.85,15.99,13.85,15.86,,,,,,,0,11.6352,1,11508,,,,,0
2024-05-31,15.97,16.50,15.25,16.25,,,,,,,0,11.6352,1,8842,,,,,0
2024-06-03,16.50,18.19,16.31,18.02,,,,,,,0,11.8298,1,9754,,,,,0
2024-06-04,18.45,18.63,16.98,17.21,,,,,,,0,12.2114,1,8011,,,,,0
2024-06-05,18.33,18.95,16.80,16.89,,,,,,,0,12.7249,1,10281,,,,,0
2024-06-06,16.74,16.74,16.09,16.24,,,,,,,0,13.3474,1,6613,,,,,0
2024-06-07,16.15,17.20,16.15,16.65,,,,,,,0,13.9077,1,5726,,,,,0
2024-06-10,17.28,17.39,16.48,16.59,,,,,,,0,14.4119,1,4594,,,,,0
2024-06-11,16.48,16.89,16.48,16.84,16.31,,,,,21.0469,0,14.8657,1,6813,,,,,0
2024-06-12,16.53,16.72,16.25,16.52,16.71,,,,,20.5877,0,15.2741,1,5651,,,,,0
2024-06-13,16.40,16.74,16.34,16.59,16.78,,,,,20.3525,0,15.6417,1,3542,,,,,0
2024-06-14,16.44,16.65,15.65,15.70,16.72,,,,,19.8812,0,18.9500,0,3046,,,,,0
2024-06-17,15.64,15.76,13.86,14.19,16.34,,,,,18.7381,0,18.8840,0,4075,,,,,0
2024-06-18,14.14,14.68,13.85,14.57,16.08,,,,,18.0493,0,18.6830,0,1597,,,,,0
2024-06-20,14.46,14.64,13.67,14.49,15.84,,,,,17.8519,0,18.3931,0,3046,,,,,0
2024-06-21,14.53,15.68,14.53,15.14,15.73,,,,,17.8519,0,18.0152,0,12659,,,,,0
2024-06-24,15.11,16.00,14.92,15.47,15.61,,,,,17.8519,0,17.6676,0,2239,,,,,0
2024-06-25,15.42,15.85,15.06,15.09,15.46,,,,,17.8519,0,17.3478,0,1135,,,,,0
2024-06-26,15.02,15.30,14.53,14.62,15.24,15.77,,,,17.8519,0,17.0536,0,2364,,,,,0
2024-06-27,14.54,14.91,13.91,14.06,14.99,15.85,,,,17.7623,0,16.7829,0,3761,,,,,0
2024-06-28,14.04,14.78,13.75,14.17,14.75,15.76,,,,17.5910,0,16.5339,0,11673,,,,,0
2024-07-01,13.97,14.52,13.70,13.74,14.55,15.64,,,,17.3454,0,16.3047,0,3288,,,,,0
2024-07-02,13.78,14.30,13.33,13.56,14.49,15.42,,,,17.0201,0,16.0940,0,2358,,,,,0
2024-07-03,13.55,13.85,12.94,13.44,14.38,15.23,,,,16.5536,0,15.8176,0,1097,,,,,0
2024-07-05,13.23,13.87,12.61,12.89,14.22,15.03,,,,16.4585,0,15.4729,0,2859,,,,,0
2024-07-08,12.92,14.32,12.92,13.61,14.07,14.90,,,,16.4585,0,15.0721,0,1865,,,,,0
2024-07-09,13.47,13.56,12.90,13.02,13.82,14.72,,,,16.4361,0,14.7274,0,2410,,,,,0
2024-07-10,12.99,13.11,12.84,12.97,13.61,14.53,,,,15.9407,0,14.4309,0,1237,,,,,0
2024-07-11,13.22,13.40,13.00,13.25,13.47,14.35,,,,15.9407,0,14.1760,0,1053,,,,,0
2024-07-12,13.38,13.60,12.80,13.29,13.39,14.19,,,,15.9407,0,13.9568,0,708,,,,,0
2024-07-15,13.50,14.01,13.14,13.86,13.36,14.06,,,,15.9407,0,12.6100,1,2370,,,,,0
2024-07-16,13.76,14.50,13.76,14.41,13.43,13.99,,,,15.9407,0,12.6380,1,2801,,,,,0
2024-07-17,14.20,14.47,13.54,13.91,13.46,13.98,,,,15.9407,0,12.7125,1,1088,,-0.7053,-0.9691,0.2637,0
2024-07-18,13.80,13.86,12.96,12.98,13.42,13.90,,,,15.9407,0,12.7840,1,2416,,-0.7186,-0.9190,0.2003,0
2024-07-19,13.01,13.02,12.84,12.88,13.42,13.82,,,,15.4284,0,14.5000,0,641,,-0.7289,-0.8810,0.1521,0
2024-07-22,12.86,13.56,12.76,13.49,13.41,13.74,,,,15.4284,0,14.4668,0,820,,-0.6799,-0.8408,0.1608,0
2024-07-23,13.34,14.37,13.14,14.25,13.53,13.67,,,,15.4284,0,14.3984,0,1723,,-0.5732,-0.7872,0.2140,0
2024-07-24,13.99,14.48,13.15,13.45,13.58,13.59,,,,15.4284,0,12.7560,1,1510,,-0.5469,-0.7392,0.1923,0
2024-07-25,13.44,13.77,13.24,13.43,13.59,13.53,,,,15.4284,0,12.7905,1,483,,-0.5216,-0.6957,0.1741,0
2024-07-26,13.53,13.79,13.26,13.73,13.64,13.52,,,,15.4284,0,12.8243,1,345,,-0.4719,-0.6509,0.1790,0
2024-07-29,13.83,14.39,13.69,14.30,13.68,13.52,,,,15.4284,0,12.8574,1,878,,-0.3822,-0.5972,0.2150,0
2024-07-30,14.43,14.50,13.87,14.28,13.67,13.55,,,,15.4284,0,12.8898,1,1231,,-0.3091,-0.5395,0.2305,0
2024-07-31,14.23,14.69,13.62,14.51,13.73,13.60,,,,15.4284,0,12.9542,1,1779,,-0.2299,-0.4776,0.2477,0
2024-08-01,14.60,14.96,14.50,14.57,13.89,13.65,,,,15.4284,0,13.0584,1,949,,-0.1605,-0.4142,0.2537,0
2024-08-02,14.21,14.37,13.82,14.23,14.02,13.72,,,,15.4284,0,13.2105,1,690,,-0.1314,-0.3577,0.2262,0
2024-08-05,13.67,13.88,12.39,12.44,13.92,13.66,,,,15.4284,0,14.9600,0,1396,,-0.2500,-0.3361,0.0862,0
2024-08-06,12.65,13.87,11.64,11.87,13.68,13.60,,,,15.4284,0,14.9086,0,3468,,-0.3854,-0.3460,-0.0394,0
2024-08-07,12.10,12.10,11.41,11.46,13.48,13.53,,,,14.7449,0,14.7779,0,1310,,-0.5199,-0.3808,-0.1391,0
2024-08-08,12.00,12.00,11.31,11.44,13.28,13.44,14.38,,,14.5529,0,14.5758,0,987,3486,-0.6209,-0.4288,-0.1921,0
2024-08-09,11.41,11.46,10.99,11.04,13.01,13.33,14.35,,,13.9751,0,14.3145,0,822,3430,-0.7249,-0.4880,-0.2369,0
2024-08-12,11.48,11.72,10.80,11.25,12.71,13.20,14.26,,,13.9751,0,13.9826,0,962,3219,-0.7813,-0.5467,-0.2346,0
2024-08-13,11.24,11.62,11.01,11.30,12.41,13.04,14.16,,,13.9720,0,13.6007,0,635,3055,-0.8126,-0.5999,-0.2128,0
2024-08-14,11.27,11.60,11.16,11.29,12.09,12.91,14.02,,,13.8993,0,13.2646,0,532,2871,-0.8287,-0.6456,-0.1831,0
2024-08-15,11.53,12.41,11.47,12.40,11.87,12.88,13.93,,,13.8993,0,12.9688,0,617,2723,-0.7437,-0.6652,-0.0785,0
2024-08-16,12.38,12.56,12.08,12.46,11.69,12.86,13.84,,,13.8993,0,12.7086,0,502,2527,-0.6635,-0.6649,0.0014,0
2024-08-19,13.08,13.08,12.54,12.95,11.75,12.83,13.77,,,13.8993,0,10.8000,1,882,2413,-0.5540,-0.6427,0.0887,0
2024-08-20,12.94,13.14,12.55,12.91,11.85,12.77,13.70,,,13.8993,0,10.8456,1,1026,2319,-0.4650,-0.6072,0.1421,0
2024-08-21,13.00,13.22,12.82,13.05,12.01,12.75,13.63,,,13.8993,0,10.9374,1,709,2241,-0.3789,-0.5615,0.1826,0
2024-08-22,13.00,13.08,12.68,12.99,12.16,12.72,13.55,,,13.8993,0,11.0743,1,451,2114,-0.3119,-0.5116,0.1997,0
2024-08-23,13.92,14.35,12.93,13.34,12.39,12.70,13.49,,,13.8993,0,11.2031,1,3759,2076,-0.2279,-0.4548,0.2270,0
2024-08-26,13.49,14.08,13.34,13.93,12.66,12.69,13.43,,,11.3715,1,11.4548,1,1684,2039,-0.1124,-0.3864,0.2739,0
2024-08-27,14.29,14.34,13.78,14.19,12.95,12.68,13.40,,,11.7914,1,11.6864,1,1366,2005,0.0001,-0.3091,0.3091,0
2024-08-28,14.21,14.21,13.69,13.96,13.22,12.65,13.40,,,11.7914,1,11.8995,1,1132,1946,0.0698,-0.2333,0.3031,0
2024-08-29,14.09,14.24,13.90,13.91,13.37,12.62,13.39,,,11.9890,1,12.0956,1,855,1931,0.1197,-0.1627,0.2824,0
2024-08-30,14.06,14.67,13.95,14.56,13.58,12.64,13.39,,,12.2068,1,12.2759,1,2130,1913,0.2093,-0.0883,0.2976,0
2024-09-03,14.65,16.49,14.65,15.95,13.88,12.81,13.40,,,13.0981,1,12.5153,1,4630,1753,0.3880,0.0070,0.3810,0
2024-09-04,16.17,16.30,15.56,16.04,14.19,13.02,13.41,,,13.4793,1,12.9923,1,1885,1745,0.5307,0.1117,0.4190,0
2024-09-05,15.98,16.09,15.67,16.04,14.49,13.25,13.43,,,13.5506,1,13.4120,1,1251,1748,0.6365,0.2167,0.4198,0
2024-09-06,16.09,16.34,15.05,15.06,14.70,13.43,13.44,,,13.5506,1,13.7814,1,1797,1736,0.6340,0.3001,0.3338,0
2024-09-09,15.24,15.73,15.01,15.20,14.88,13.64,13.46,,,13.5506,1,14.1064,1,1920,1700,0.6359,0.3673,0.2686,0
2024-09-10,15.18,15.29,15.00,15.18,15.01,13.84,13.49,,,13.5506,1,14.3924,1,1104,1488,0.6286,0.4196,0.2090,0
2024-09-11,15.50,15.63,14.98,15.00,15.09,14.02,13.51,,,13.5506,1,14.6441,1,1655,1456,0.6013,0.4559,0.1454,0
2024-09-12,14.96,15.35,14.51,15.08,15.20,14.21,13.54,,,13.5506,1,16.4900,0,2619,1461,0.5795,0.4806,0.0989,0
2024-09-13,15.36,16.57,15.24,16.41,15.45,14.41,13.60,,,13.5506,1,14.5100,1,2740,1494,0.6619,0.5169,0.1450,0
2024-09-16,16.43,17.74,16.35,17.43,15.74,14.66,13.69,,,14.3750,1,14.5100,1,3263,1502,0.8003,0.5736,0.2267,0
2024-09-17,17.66,17.79,17.09,17.22,15.87,14.87,13.76,,,14.8270,1,14.6392,1,1443,1493,0.8828,0.6354,0.2474,0
2024-09-18,17.13,17.48,16.99,16.99,15.96,15.08,13.84,,,14.8270,1,14.8282,1,1227,1470,0.9191,0.6922,0.2269,0
2024-09-19,17.22,17.60,16.77,17.49,16.11,15.30,13.93,,,14.8270,1,15.0060,1,983,1465,0.9769,0.7491,0.2278,0
2024-09-20,17.39,17.39,16.23,16.28,16.23,15.46,13.99,,,14.8270,1,15.1730,1,4917,1542,0.9146,0.7822,0.1324,0
2024-09-23,16.34,16.50,15.62,15.67,16.28,15.58,14.04,,,14.8270,1,15.3300,1,1877,1565,0.8066,0.7871,0.0195,0
2024-09-24,15.63,15.90,15.42,15.50,16.31,15.66,14.07,,,14.8270,1,17.7900,0,1615,1550,0.6993,0.7695,-0.0702,0
2024-09-25,15.59,15.59,15.15,15.42,16.35,15.72,14.09,,,14.8270,1,17.7426,0,2089,1536,0.6009,0.7358,-0.1349,0
2024-09-26,15.57,15.89,15.31,15.33,16.37,15.79,14.12,,,14.8270,1,17.6389,0,1286,1540,0.5097,0.6906,-0.1809,0
2024-09-27,15.33,16.09,15.16,15.52,16.29,15.87,14.17,,,14.8270,1,17.5393,0,860,1509,0.4477,0.6420,-0.1943,0
2024-09-30,15.55,16.01,15.42,15.66,16.11,15.92,14.23,,,14.8270,1,17.4438,0,1651,1529,0.4051,0.5946,-0.1895,0
2024-10-01,15.56,15.66,15.11,15.45,15.93,15.90,14.27,,,14.8270,1,17.3520,0,2710,1567,0.3504,0.5458,-0.1954,0
2024-10-02,15.45,15.91,15.36,15.40,15.77,15.87,14.29,,,14.8270,1,17.2175,0,1460,1561,0.2995,0.4965,-0.1970,0
2024-10-03,15.28,15.29,14.80,14.88,15.51,15.81,14.32,,,14.8270,1,17.0910,0,1295,1557,0.2148,0.4402,-0.2254,0
2024-10-04,15.06,15.06,14.67,14.76,15.36,15.79,14.35,,,16.9126,0,16.9078,0,787,1563,0.1364,0.3794,-0.2430,0
2024-10-07,14.77,15.48,14.71,15.27,15.32,15.80,14.38,,,16.9126,0,16.6840,0,1017,1577,0.1141,0.3264,-0.2123,0
2024-10-08,15.56,16.35,15.50,15.99,15.37,15.84,14.41,,,16.9126,0,16.4826,0,2824,1616,0.1528,0.2916,-0.1389,0
2024-10-09,16.00,16.20,15.45,15.67,15.39,15.87,14.44,,,16.9126,0,16.3500,0,1672,1624,0.1558,0.2645,-0.1087,0
2024-10-10,15.66,15.77,15.37,15.58,15.42,15.90,14.46,,,16.9126,0,16.3500,0,1307,1615,0.1492,0.2414,-0.0922,0
2024-10-11,15.50,15.64,15.31,15.64,15.43,15.86,14.48,,,16.9126,0,16.2000,0,1309,1622,0.1471,0.2226,-0.0754,0
2024-10-14,15.65,15.80,15.49,15.50,15.41,15.76,14.51,,,16.9126,0,16.0470,0,803,1624,0.1327,0.2046,-0.0719,0
2024-10-15,15.55,16.20,15.45,15.74,15.44,15.69,14.57,,,16.9126,0,14.6700,1,1119,1619,0.1390,0.1915,-0.0525,0
2024-10-16,16.02,16.13,15.63,16.05,15.51,15.64,14.66,,,16.9126,0,14.7006,1,1467,1579,0.1670,0.1866,-0.0195,0
2024-10-17,16.12,17.02,15.85,16.17,15.64,15.57,14.75,,,16.9126,0,14.7306,1,1345,1580,0.1967,0.1886,0.0081,0
2024-10-18,16.21,16.25,15.82,16.00,15.76,15.56,14.84,,,16.9126,0,14.8222,1,613,1572,0.2041,0.1917,0.0124,0
2024-10-21,15.84,15.93,15.50,15.50,15.78,15.55,14.93,,,16.9126,0,14.9102,1,315,1562,0.1678,0.1869,-0.0192,0
2024-10-22,15.50,16.00,15.31,15.80,15.76,15.57,15.02,,,16.9126,0,14.9947,1,447,1552,0.1613,0.1818,-0.0205,0
2024-10-23,15.66,15.87,15.32,15.76,15.77,15.58,15.11,,,16.9126,0,15.0758,1,530,1550,0.1512,0.1757,-0.0245,0
2024-10-24,15.71,15.89,15.30,15.37,15.75,15.59,15.19,,,16.9126,0,15.1536,1,327,1545,0.1104,0.1626,-0.0522,0
2024-10-25,15.57,15.78,15.34,15.37,15.73,15.58,15.25,,,16.9126,0,15.2284,1,409,1541,0.0772,0.1455,-0.0683,0
2024-10-28,15.64,16.31,15.64,16.00,15.78,15.59,15.32,,,16.9126,0,15.3000,1,746,1546,0.1006,0.1366,-0.0360,0
2024-10-29,16.00,16.43,15.94,16.10,15.81,15.63,15.39,,,16.9126,0,15.3400,1,596,1540,0.1257,0.1344,-0.0086,0
2024-10-30,16.14,16.43,16.02,16.29,15.84,15.67,15.45,,,16.9126,0,15.4073,1,805,1536,0.1592,0.1393,0.0198,0
2024-10-31,16.32,16.34,16.00,16.03,15.82,15.73,15.51,,,16.9126,0,15.4719,1,564,1533,0.1628,0.1440,0.0188,0
2024-11-01,16.25,16.49,15.65,15.80,15.80,15.78,15.57,,,16.9126,0,15.5339,1,615,1536,0.1454,0.1443,0.0011,0
2024-11-04,15.66,15.85,15.41,15.55,15.81,15.80,15.61,,,16.9126,0,17.0220,0,445,1470,0.1102,0.1375,-0.0273,0
2024-11-05,15.61,15.71,15.24,15.71,15.80,15.78,15.65,,,16.9126,0,16.9898,0,534,1447,0.0942,0.1288,-0.0347,0
2024-11-06,16.79,16.79,15.58,16.05,15.83,15.80,15.69,,,16.9126,0,16.9198,0,1525,1450,0.1076,0.1246,-0.0170,0
2024-11-07,16.16,16.68,16.16,16.26,15.92,15.83,15.73,,,16.9126,0,16.8527,0,1115,1450,0.1337,0.1264,0.0073,0
