Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,56.81,57.02,56.14,56.16,,,,,,,0,56.1432,1,40280,,,,,0
2023-07-19,56.13,57.12,56.06,56.88,,,,,,,0,57.1214,0,38066,,,,,0
2023-07-20,57.22,57.64,56.95,57.17,,,,,,,0,56.0585,1,39622,,,,,0
2023-07-21,57.54,57.76,56.67,57.35,,,,,,,0,56.0585,1,42533,,,,,0
2023-07-24,57.30,57.30,56.29,56.40,,,,,,,0,56.1266,1,54684,,,,,0
2023-07-25,52.03,52.20,47.13,47.57,,,,,,,0,57.7610,0,224565,,,,,0
2023-07-26,47.57,48.31,47.04,47.93,,,,,,,0,57.5484,0,97395,,,,,0
2023-07-27,48.38,49.96,47.86,49.25,,,,,,,0,57.1280,0,78184,,,,,0
2023-07-28,50.11,51.19,49.95,50.89,,,,,,,0,56.7244,0,64292,,,,,0
2023-07-31,50.73,50.82,48.99,49.43,52.90,,,,,56.3012,0,56.3370,0,72482,,,,,0
2023-08-01,49.11,49.30,48.50,48.91,52.18,,,,,54.9300,0,55.9650,0,53534,,,,,0
2023-08-02,48.54,48.72,47.47,47.88,51.28,,,,,53.9589,0,55.6080,0,55767,,,,,0
2023-08-03,47.65,47.88,46.77,47.04,50.26,,,,,52.9371,0,55.2652,0,43264,,,,,0
2023-08-04,47.09,47.97,46.74,46.75,49.20,,,,,52.7738,0,54.7552,0,45794,,,,,0
2023-08-07,46.81,47.02,46.52,46.90,48.25,,,,,51.7982,0,54.1138,0,33910,,,,,0
2023-08-08,46.52,46.96,46.26,46.59,48.16,,,,,51.3471,0,53.3545,0,34750,,,,,0
