Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,82.63,84.33,82.63,83.34,,,,,,,0,82.6300,1,14026,,,,,0
2023-07-14,83.00,84.47,82.97,83.74,,,,,,,0,82.6300,1,16028,,,,,0
2023-07-17,83.26,84.07,82.69,82.92,,,,,,,0,82.6300,1,20075,,,,,0
2023-07-18,83.11,84.21,82.30,83.76,,,,,,,0,84.4700,0,13452,,,,,0
2023-07-19,83.74,84.87,82.82,84.21,,,,,,,0,82.3000,1,17019,,,,,0
2023-07-20,84.24,86.78,84.20,85.87,,,,,,,0,82.3000,1,29471,,,,,0
2023-07-21,86.10,86.86,85.39,86.05,,,,,,,0,82.4792,1,28095,,,,,0
2023-07-24,86.03,86.99,85.96,86.35,,,,,,,0,82.7421,1,18470,,,,,0
2023-07-25,85.64,86.50,85.29,85.76,,,,,,,0,83.0819,1,11277,,,,,0
2023-07-26,85.75,87.32,85.75,86.99,84.90,,,,,91.4550,0,83.3945,1,12535,,,,,0
2023-07-27,91.92,96.17,90.64,93.24,85.89,,,,,86.2230,1,83.7871,1,80718,,,,,0
2023-07-28,95.20,95.20,91.47,91.75,86.69,,,,,86.2230,1,85.2730,1,47820,,,,,0
2023-07-31,91.80,92.94,90.62,92.48,87.65,,,,,86.2230,1,86.5807,1,47304,,,,,0
2023-08-01,92.18,93.84,92.01,92.63,88.53,,,,,86.2230,1,87.7314,1,21601,,,,,0
2023-08-02,92.18,92.88,91.80,92.37,89.35,,,,,86.2230,1,88.7440,1,27268,,,,,0
2023-08-03,91.65,91.87,89.90,90.21,89.78,,,,,86.2230,1,89.6351,1,32458,,,,,0
2023-08-04,89.98,91.63,89.94,90.90,90.27,,,,,86.2230,1,89.9000,1,28943,,,,,0
2023-08-07,91.50,92.25,90.80,91.57,90.79,,,,,86.2230,1,89.9000,1,15384,,,,,0
2023-08-08,90.68,90.68,88.80,88.87,91.10,,,,,86.2230,1,96.1700,0,20102,,,,,0
2023-08-09,88.80,89.66,88.28,88.66,91.27,88.08,,,,86.2230,1,96.0226,0,16641,,,,,0
2023-08-10,88.79,90.25,88.78,89.90,90.93,88.41,,,,86.2230,1,95.7129,0,14069,,,,,0
2023-08-11,89.25,90.36,89.25,89.70,90.73,88.71,,,,86.2230,1,95.4156,0,13482,,,,,0
2023-08-14,89.18,90.44,88.75,89.74,90.46,89.05,,,,86.2230,1,95.1302,0,16243,,,,,0
2023-08-15,89.44,90.25,88.50,89.42,90.13,89.33,,,,86.2230,1,94.8561,0,14745,,,,,0
2023-08-16,89.19,89.49,87.38,87.41,89.64,89.49,,,,86.2230,1,94.5931,0,20830,,,,,0
2023-08-17,87.64,87.64,86.35,86.92,89.31,89.55,,,,86.2230,1,94.1603,0,15567,,,,,0
2023-08-18,86.67,87.08,83.61,83.83,88.60,89.44,,,,91.4976,0,93.5355,0,29835,,,,,0
2023-08-21,84.65,85.22,84.00,84.47,87.89,89.34,,,,90.5644,0,92.5429,0,23373,,,,,0
2023-08-22,84.68,84.85,83.20,83.90,87.40,89.25,,,,89.8789,0,91.6496,0,23031,,,,,0
2023-08-23,83.90,85.08,83.67,84.12,86.94,89.10,,,,89.8789,0,90.6357,0,27364,,,,,0
2023-08-24,83.76,84.29,81.92,82.39,86.19,88.56,,,,88.9384,0,89.7434,0,24915,,,,,0
2023-08-25,82.75,82.93,81.48,82.33,85.45,88.09,,,,87.8900,0,88.6481,0,25407,,,,,0
2023-08-28,82.44,83.37,81.56,82.02,84.68,87.57,,,,87.8900,0,87.5012,0,20013,,,,,0
2023-08-29,82.34,83.66,81.94,83.46,84.09,87.11,,,,87.8900,0,86.5378,0,15958,,-1.3262,-0.5834,-0.7428,0
2023-08-30,82.96,85.23,82.96,85.14,83.86,86.75,,,,87.8900,0,85.7286,0,20314,,-1.1861,-0.7039,-0.4822,0
2023-08-31,85.11,86.30,85.01,85.31,83.70,86.50,,,,87.8900,0,81.4800,1,22505,,-1.0492,-0.7730,-0.2762,0
2023-09-01,85.79,85.99,84.98,85.01,83.82,86.21,,,,87.8900,0,81.5764,1,16177,,-0.9539,-0.8092,-0.1448,0
2023-09-05,83.52,83.97,80.72,81.28,83.50,85.69,,,,87.8900,0,86.3000,0,21490,,-1.1660,-0.8805,-0.2855,0
2023-09-06,82.08,82.15,80.19,80.74,83.18,85.29,,,,87.2031,0,86.1884,0,13863,,-1.3619,-0.9768,-0.3851,0
2023-09-07,81.53,81.53,80.09,80.56,82.82,84.88,,,,86.6718,0,85.9485,0,17272,,-1.5143,-1.0843,-0.4300,0
2023-09-08,80.61,80.82,79.65,80.48,82.63,84.41,,,,85.8616,0,85.5970,0,10406,,-1.6227,-1.1920,-0.4308,0
2023-09-11,81.00,83.10,80.50,81.91,82.59,84.02,,,,85.8616,0,85.1212,0,15538,,-1.5752,-1.2686,-0.3065,0
2023-09-12,80.70,81.66,80.70,80.95,82.48,83.58,,,,85.8616,0,84.6835,0,10062,,-1.5965,-1.3342,-0.2623,0
2023-09-13,80.45,81.44,80.45,81.17,82.25,83.17,,,,85.8616,0,84.2808,0,11648,,-1.5775,-1.3829,-0.1947,0
2023-09-14,81.41,82.40,80.92,82.00,81.94,82.90,,,,85.8616,0,83.9104,0,14981,,-1.4784,-1.4020,-0.0765,0
2023-09-15,81.68,81.78,80.36,81.32,81.54,82.62,,,,85.8616,0,83.5695,0,45360,,-1.4382,-1.4092,-0.0290,0
2023-09-18,81.56,82.11,80.94,81.18,81.16,82.49,,,,85.8616,0,83.2560,0,10537,,-1.4015,-1.4077,0.0062,0
2023-09-19,81.36,81.39,80.48,81.08,81.14,82.32,,,,85.7642,0,82.9675,0,10086,,-1.3647,-1.3991,0.0344,0
2023-09-20,81.51,81.74,79.82,79.89,81.05,82.12,,,,85.7023,0,82.7021,0,8780,,-1.4152,-1.4023,-0.0129,0
2023-09-21,79.30,79.78,78.67,78.87,80.89,81.85,85.36,,,84.0210,0,82.4579,0,14481,21340,-1.5201,-1.4259,-0.0942,0
2023-09-22,78.91,80.28,78.45,78.98,80.74,81.68,85.28,,,84.0210,0,82.0791,0,19808,21456,-1.5761,-1.4559,-0.1202,0
2023-09-25,78.54,79.25,78.13,78.66,80.41,81.50,85.17,,,83.4049,0,81.6436,0,10713,21350,-1.6276,-1.4903,-0.1374,0
2023-09-26,78.53,79.18,77.99,78.50,80.17,81.32,85.09,,,83.1854,0,81.1517,0,13117,21211,-1.6622,-1.5246,-0.1375,0
2023-09-27,78.85,79.19,78.42,78.52,79.90,81.08,84.98,,,83.1764,0,80.6459,0,10600,21154,-1.6687,-1.5535,-0.1152,0
2023-09-28,78.73,80.51,78.73,79.84,79.68,80.81,84.89,,,83.1764,0,77.9900,1,17996,21173,-1.5495,-1.5527,0.0032,0
2023-09-29,80.07,80.07,78.19,78.43,79.40,80.47,84.75,,,83.1764,0,78.0404,1,14180,20867,-1.5509,-1.5523,0.0014,0
2023-10-02,77.99,78.60,77.23,78.04,79.08,80.12,84.59,,,82.5039,0,80.5100,0,12627,20558,-1.5655,-1.5550,-0.0105,0
2023-10-03,78.04,78.19,77.00,77.99,78.77,79.96,84.42,,,82.0820,0,80.4444,0,13750,20464,-1.5630,-1.5566,-0.0065,0
2023-10-04,78.11,78.11,76.67,77.78,78.56,79.81,84.26,,,81.8603,0,80.3066,0,9870,20435,-1.5601,-1.5573,-0.0028,0
2023-10-05,77.61,78.82,77.00,78.36,78.51,79.70,84.09,,,81.8603,0,80.0884,0,13164,20448,-1.4937,-1.5446,0.0509,0
2023-10-06,78.11,79.59,78.01,79.01,78.51,79.62,83.80,,,81.8603,0,79.8833,0,20171,19237,-1.3728,-1.5102,0.1374,0
2023-10-09,78.41,79.63,77.82,79.16,78.56,79.49,83.55,,,81.8603,0,79.6905,0,8146,18444,-1.2505,-1.4583,0.2078,0
2023-10-10,79.33,80.86,79.33,80.81,78.79,79.48,83.32,,,81.8603,0,76.6700,1,14732,17792,-1.0088,-1.3684,0.3596,0
2023-10-11,80.56,81.30,75.89,77.31,78.67,79.29,83.01,,,81.8603,0,80.8600,0,29927,17959,-1.0871,-1.3121,0.2250,0
2023-10-12,77.19,77.85,75.35,75.44,78.23,78.96,82.67,,,81.8603,0,81.3000,0,22647,17866,-1.2853,-1.3067,0.0215,0
2023-10-13,75.18,77.65,74.88,75.26,77.92,78.66,82.37,,,81.8603,0,81.3000,0,9061,17398,-1.4402,-1.3334,-0.1068,0
2023-10-16,75.91,76.69,75.00,76.09,77.72,78.40,82.08,,,81.8603,0,80.9148,0,12289,17065,-1.4790,-1.3626,-0.1165,0
2023-10-17,75.95,78.26,75.95,76.87,77.61,78.19,81.78,,,81.8603,0,80.5527,0,11454,16987,-1.4303,-1.3761,-0.0542,0
2023-10-18,76.47,76.47,74.08,74.53,77.28,77.92,81.49,,,81.7076,0,80.2124,0,18319,16951,-1.5626,-1.4134,-0.1492,0
2023-10-19,74.29,74.46,72.35,72.61,76.71,77.61,81.17,,,79.8484,0,79.7218,0,26815,17154,-1.8015,-1.4910,-0.3105,0
2023-10-20,72.90,73.21,71.83,72.00,76.01,77.26,80.82,,,78.7330,0,78.9846,0,17842,17230,-2.0168,-1.5962,-0.4207,0
2023-10-23,72.19,73.11,71.28,71.34,75.23,76.89,80.45,,,78.3357,0,78.1260,0,24441,17449,-2.2152,-1.7200,-0.4952,0
2023-10-24,71.98,72.28,71.34,71.97,74.34,76.57,80.09,,,77.6187,0,77.1676,0,17827,17481,-2.2951,-1.8350,-0.4601,0
2023-10-25,71.30,72.25,69.40,69.42,73.55,76.11,79.69,,,76.9078,0,76.3433,0,36362,17913,-2.5350,-1.9750,-0.5600,0
2023-10-26,73.40,82.23,73.40,80.24,74.03,76.13,79.55,,,68.4975,1,69.4000,1,70419,18905,-1.8310,-1.9462,0.1153,0
2023-10-27,80.30,80.82,78.02,78.89,74.40,76.16,79.39,,,70.1942,1,69.4000,1,29907,19192,-1.3661,-1.8302,0.4641,0
2023-10-30,79.95,80.90,79.23,80.40,74.83,76.27,79.32,,,71.1588,1,69.6566,1,30295,19201,-0.8660,-1.6374,0.7714,0
2023-10-31,80.74,82.06,79.68,81.17,75.26,76.43,79.25,,,72.1404,1,69.9081,1,28856,19310,-0.4028,-1.3904,0.9877,0
2023-11-01,81.48,83.03,80.93,82.42,76.05,76.66,79.22,,,73.4934,1,70.1545,1,23374,19317,0.0644,-1.0995,1.1639,0
