Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,168.49,168.49,165.86,167.01,,,,,,,0,165.8600,1,137382,,,,,0
2023-07-17,167.07,170.92,166.19,170.43,,,,,,,0,165.8600,1,191291,,,,,0
2023-07-18,169.36,170.09,168.29,169.89,,,,,,,0,165.8600,1,131325,,,,,0
2023-07-19,170.44,172.72,169.68,172.58,,,,,,,0,165.9612,1,187370,,,,,0
2023-07-20,171.20,171.40,166.92,167.40,,,,,,,0,166.2316,1,147948,,,,,0
2023-07-21,168.08,169.06,167.68,168.32,,,,,,,0,166.4911,1,86331,,,,,0
2023-07-24,168.98,169.38,167.79,168.29,,,,,,,0,166.7402,1,97288,,,,,0
2023-07-25,168.70,170.32,168.03,169.15,,,,,,,0,166.9794,1,136149,,,,,0
2023-07-26,168.52,169.62,167.88,169.00,,,,,,,0,167.2091,1,151779,,,,,0
2023-07-27,169.38,170.60,165.67,166.07,168.81,,,,,177.2589,0,172.7200,0,153980,,,,,0
2023-07-28,166.45,167.16,161.66,162.69,168.38,,,,,174.2715,0,172.5790,0,296942,,,,,0
2023-07-31,161.47,162.40,160.25,161.08,167.45,,,,,170.9324,0,172.1422,0,227316,,,,,0
2023-08-01,161.00,162.63,160.30,161.07,166.57,,,,,170.8066,0,171.4287,0,159057,,,,,0
2023-08-02,160.00,161.34,158.57,159.86,165.29,,,,,169.1957,0,170.7580,0,182320,,,,,0
2023-08-03,158.72,159.37,157.17,158.57,164.41,,,,,167.3936,0,169.7829,0,123875,,,,,0
2023-08-04,158.59,160.31,157.76,158.71,163.45,,,,,167.3936,0,168.5217,0,145299,,,,,0
2023-08-07,158.59,159.84,158.18,159.13,162.53,,,,,167.3936,0,167.3865,0,126158,,,,,0
2023-08-08,158.61,159.21,155.93,156.91,161.31,,,,,166.2730,0,166.3648,0,141046,,,,,0
2023-08-09,157.00,157.36,155.60,156.67,160.08,,,,,164.8381,0,165.1127,0,135943,,,,,0
2023-08-10,157.59,159.51,156.80,157.52,159.22,164.02,,,,164.8381,0,163.7802,0,147297,,,,,0
2023-08-11,156.34,157.10,155.58,156.54,158.61,163.49,,,,164.4617,0,162.6343,0,138976,,,,,0
2023-08-14,150.44,157.32,149.88,157.04,158.20,162.82,,,,163.1405,0,161.5056,0,281651,,,,,0
2023-08-15,156.77,156.77,152.45,152.87,157.38,161.97,,,,163.1405,0,159.4121,0,149323,,,,,0
2023-08-16,152.08,153.62,150.67,150.80,156.48,160.88,,,,161.9991,0,157.6954,0,175441,,,,,0
2023-08-17,151.89,151.89,149.89,150.05,155.62,160.02,,,,160.3587,0,156.7700,0,199822,,,,,0
2023-08-18,128.50,135.85,125.89,129.37,152.69,158.07,,,,146.6399,0,155.5289,0,1012644,,,,,0
2023-08-21,128.72,130.00,126.01,129.59,149.74,156.13,,,,143.3949,0,151.8900,0,462014,,,,,0
2023-08-22,129.79,131.49,128.14,128.67,146.91,154.11,,,,143.3949,0,146.6900,0,373478,,,,,0
2023-08-23,128.69,130.98,128.20,130.10,144.25,152.17,,,,143.3949,0,142.5300,0,263830,,,,,0
2023-08-24,130.24,130.43,127.53,127.70,141.27,150.25,,,,142.6339,0,139.2020,0,224816,,,,,0
2023-08-25,127.84,130.00,127.72,129.20,138.54,148.57,,,,141.8410,0,136.5396,0,177120,,,,,0
2023-08-28,130.02,130.40,128.99,129.26,135.76,146.98,,,,141.8026,0,134.4097,0,140583,,,,,0
2023-08-29,128.93,132.34,128.71,132.26,133.70,145.54,,,,141.8026,0,132.7057,0,169835,,,,,0
2023-08-30,131.56,133.36,131.39,132.58,131.88,144.18,,,,141.8026,0,125.8900,1,198234,,-10.5463,-10.6694,0.1231,0
2023-08-31,133.27,134.31,132.21,133.30,130.20,142.91,,,,141.8026,0,126.0394,1,319280,,-9.9859,-10.5327,0.5468,0
2023-09-01,134.48,134.99,132.54,133.88,130.65,141.67,,,,141.8026,0,126.3702,1,142823,,-9.3867,-10.3035,0.9168,0
2023-09-05,134.50,136.60,133.89,134.56,131.15,140.44,,,,141.8026,0,126.8874,1,225079,,-8.7561,-9.9941,1.2380,0
2023-09-06,134.00,134.35,133.26,133.98,131.68,139.30,,,,141.8026,0,127.6648,1,138817,,-8.2085,-9.6369,1.4285,0
2023-09-07,133.07,133.07,130.55,131.60,131.83,138.04,,,,141.5189,0,128.3800,1,193373,,-7.8758,-9.2847,1.4089,0
2023-09-08,131.46,132.63,131.13,132.30,132.29,136.78,,,,141.0670,0,129.0380,1,133319,,-7.4695,-8.9217,1.4522,0
2023-09-11,133.15,133.76,131.81,132.72,132.64,135.59,,,,141.0670,0,129.6434,1,174567,,-7.0325,-8.5438,1.5113,0
2023-09-12,132.60,133.73,131.64,131.65,132.88,134.32,,,,141.0670,0,130.2003,1,141985,,-6.6954,-8.1742,1.4787,0
2023-09-13,131.13,133.18,130.95,131.89,132.85,133.27,,,,140.4699,0,130.7127,1,126891,,-6.3359,-7.8065,1.4706,0
2023-09-14,133.00,133.74,132.53,133.12,132.90,132.39,,,,140.4699,0,130.9500,1,169608,,-5.8838,-7.4220,1.5381,0
2023-09-15,134.24,134.64,132.69,132.86,132.86,131.53,,,,140.4699,0,130.9500,1,475998,,-5.4834,-7.0342,1.5509,0
2023-09-18,131.46,133.07,131.02,132.75,132.74,131.70,,,,139.7633,0,136.6050,0,176903,,-5.1159,-6.6506,1.5347,0
2023-09-19,132.52,133.21,131.67,132.96,132.58,131.87,,,,139.7633,0,136.4933,0,152731,,-4.7529,-6.2710,1.5181,0
2023-09-20,133.83,133.90,132.13,132.54,132.44,132.06,,,,139.7633,0,136.3838,0,158664,,-4.4479,-5.9064,1.4585,0
2023-09-21,130.99,131.67,129.85,131.00,132.38,132.11,,,,138.0457,0,136.2766,0,246477,,-4.2811,-5.5813,1.3003,0
2023-09-22,131.37,132.48,130.79,130.98,132.25,132.27,146.77,,,138.0457,0,136.0195,0,169462,204397,-4.1032,-5.2857,1.1825,0
2023-09-25,130.20,131.19,129.84,130.79,132.05,132.35,146.04,,,137.2777,0,135.7727,0,124904,204147,-3.9322,-5.0150,1.0828,0
2023-09-26,129.80,130.51,129.69,130.03,131.89,132.39,145.24,,,136.5140,0,135.4167,0,154437,203410,-3.8141,-4.7748,0.9608,0
2023-09-27,130.65,131.30,129.90,130.40,131.74,132.29,144.45,,,136.5140,0,134.9586,0,167342,204130,-3.6485,-4.5496,0.9010,0
2023-09-28,130.73,133.77,130.04,132.64,131.69,132.30,143.65,,,136.5140,0,134.5371,0,155016,203483,-3.2986,-4.2994,1.0008,0
2023-09-29,134.00,134.19,131.80,132.31,131.64,132.25,142.95,,,136.5140,0,129.6900,1,145223,203429,-3.0131,-4.0421,1.0290,0
2023-10-02,131.91,132.78,131.35,131.70,131.53,132.14,142.21,,,136.5140,0,129.7800,1,117595,204054,-2.8038,-3.7944,0.9907,0
2023-10-03,131.16,132.15,130.27,131.30,131.37,131.98,141.47,,,136.5140,0,129.8682,1,142749,204963,-2.6397,-3.5635,0.9238,0
2023-10-04,130.72,131.42,128.68,130.37,131.15,131.80,140.70,,,136.5140,0,134.1900,0,180432,205849,-2.5553,-3.3619,0.8065,0
2023-10-05,130.28,130.66,127.59,129.28,130.98,131.68,139.90,,,135.9756,0,134.0798,0,186654,206547,-2.5470,-3.1989,0.6519,0
2023-10-06,129.03,131.99,128.61,131.06,130.99,131.62,139.20,,,135.9756,0,133.8202,0,109684,205661,-2.3695,-3.0330,0.6635,0
2023-10-09,130.73,131.68,130.08,131.16,131.02,131.54,138.57,,,135.9756,0,133.5710,0,95432,201630,-2.1954,-2.8655,0.6701,0
2023-10-10,131.50,133.36,131.27,132.31,131.25,131.57,138.00,,,135.9756,0,127.5900,1,96070,199006,-1.9423,-2.6808,0.7386,0
2023-10-11,132.50,133.20,131.99,132.92,131.50,131.62,137.44,,,135.9756,0,127.7054,1,133611,198497,-1.6731,-2.4793,0.8062,0
2023-10-12,133.27,133.27,129.67,129.74,131.21,131.45,136.83,,,135.9756,0,127.8184,1,138199,197614,-1.6969,-2.3228,0.6259,0
2023-10-13,129.61,129.91,127.75,128.93,130.88,131.26,136.24,,,135.7830,0,133.3590,0,122006,197577,-1.7608,-2.2104,0.4496,0
