Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,2.16,2.19,2.00,2.00,,,,,,,0,2.0000,1,1987,,,,,0
2023-07-17,2.06,2.15,2.02,2.11,,,,,,,0,2.0000,1,1596,,,,,0
2023-07-18,2.11,2.12,2.05,2.08,,,,,,,0,2.0000,1,1596,,,,,0
2023-07-19,2.10,2.32,2.10,2.14,,,,,,,0,2.0038,1,4985,,,,,0
2023-07-20,2.14,2.15,1.97,2.00,,,,,,,0,2.3200,0,3349,,,,,0
2023-07-21,2.02,2.05,1.94,2.03,,,,,,,0,2.3200,0,2478,,,,,0
2023-07-24,2.02,2.03,1.87,1.94,,,,,,,0,2.3048,0,2268,,,,,0
2023-07-25,1.95,1.97,1.85,1.86,,,,,,,0,2.2787,0,1431,,,,,0
2023-07-26,1.86,1.91,1.86,1.89,,,,,,,0,2.2444,0,1096,,,,,0
2023-07-27,1.91,1.95,1.79,1.80,1.98,,,,,2.2990,0,2.2129,0,1779,,,,,0
2023-07-28,1.84,1.87,1.78,1.87,1.97,,,,,2.2381,0,2.1706,0,1463,,,,,0
2023-07-31,1.87,1.93,1.85,1.91,1.95,,,,,2.2381,0,2.1237,0,1042,,,,,0
2023-08-01,1.91,1.97,1.85,1.92,1.94,,,,,2.2381,0,2.0825,0,1711,,,,,0
2023-08-02,1.87,1.88,1.78,1.85,1.91,,,,,2.2250,0,2.0462,0,1443,,,,,0
2023-08-03,1.83,1.90,1.81,1.86,1.89,,,,,2.2250,0,2.0142,0,719,,,,,0
2023-08-04,1.86,1.94,1.86,1.87,1.88,,,,,2.2250,0,1.9861,0,792,,,,,0
2023-08-07,1.85,1.88,1.75,1.80,1.86,,,,,2.1854,0,1.9614,0,1434,,,,,0
2023-08-08,1.80,1.80,1.73,1.76,1.85,,,,,2.1194,0,1.9400,0,764,,,,,0
