Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-01-19,81.38,84.43,79.83,84.43,,,,,,,0,84.4277,0,327306,,,,,0
2024-01-22,80.28,81.95,78.86,80.18,,,,,,,0,84.4277,0,92926,,,,,0
2024-01-23,80.18,80.92,80.03,80.06,,,,,,,0,84.4277,0,30967,,,,,0
2024-01-24,80.98,81.16,79.17,80.16,,,,,,,0,84.3163,0,34717,,,,,0
2024-01-25,80.06,80.41,79.17,79.80,,,,,,,0,84.2072,0,10940,,,,,0
2024-01-26,80.60,80.64,79.08,79.76,,,,,,,0,84.1002,0,23780,,,,,0
2024-01-29,78.56,81.81,78.30,81.38,,,,,,,0,83.9954,0,64325,,,,,0
2024-01-30,80.49,80.94,79.53,80.14,,,,,,,0,83.7674,0,21408,,,,,0
2024-01-31,80.03,81.81,80.03,80.45,,,,,,,0,83.5486,0,46777,,,,,0
2024-02-01,80.76,81.38,80.73,80.84,80.72,,,,,88.2330,0,83.3384,0,16816,,,,,0
2024-02-02,80.50,81.66,80.14,81.02,80.38,,,,,87.8179,0,83.1368,0,9551,,,,,0
2024-02-05,81.81,81.81,79.22,79.94,80.35,,,,,87.5204,0,82.9431,0,17992,,,,,0
2024-02-06,80.74,81.41,79.69,80.01,80.35,,,,,87.3682,0,82.7572,0,9040,,,,,0
2024-02-07,79.54,79.69,78.41,79.18,80.25,,,,,85.6710,0,82.5788,0,6102,,,,,0
2024-02-08,79.18,79.18,75.67,77.10,79.98,,,,,84.4303,0,82.4075,0,17064,,,,,0
2024-02-09,77.02,79.78,76.39,78.83,79.89,,,,,84.4303,0,82.0030,0,17429,,,,,0
2024-02-12,77.24,77.31,74.79,76.55,79.41,,,,,83.8575,0,81.6227,0,14245,,,,,0
2024-02-13,76.25,77.28,75.98,77.14,79.11,,,,,83.8575,0,81.0765,0,12382,,,,,0
2024-02-14,78.60,80.85,78.30,80.06,79.07,,,,,83.8575,0,74.7946,1,105478,,,,,0
2024-02-15,80.85,83.48,80.67,82.99,79.28,80.00,,,,83.8575,0,74.9157,1,109349,,,,,0
2024-02-16,83.36,84.59,82.90,84.06,79.59,79.98,,,,76.0101,1,75.2582,1,12097,,,,,0
2024-02-20,84.30,90.52,81.61,88.25,80.42,80.39,,,,76.4329,1,75.8178,1,28207,,,,,0
2024-02-21,87.09,88.41,87.09,87.88,81.20,80.78,,,,78.6892,1,76.9936,1,24233,,,,,0
2024-02-22,88.41,88.76,87.88,88.10,82.10,81.17,,,,79.8947,1,78.0754,1,7240,,,,,0
2024-02-23,89.25,93.24,89.25,91.03,83.49,81.73,,,,82.1224,1,79.0706,1,14869,,,,,0
2024-02-26,91.50,93.20,90.21,90.90,84.70,82.29,,,,82.5945,1,80.4878,1,21420,,,,,0
2024-02-27,91.06,92.05,89.74,91.69,86.21,82.81,,,,82.5945,1,81.7633,1,12945,,,,,0
2024-02-28,90.44,92.14,89.82,91.04,87.60,83.35,,,,82.5945,1,82.9112,1,13123,,,,,0
2024-02-29,91.78,93.28,90.66,91.48,88.74,83.90,,,,83.3588,1,83.9443,1,22888,,,,,0
2024-03-01,91.57,93.85,90.62,93.45,89.79,84.54,,,,83.5145,1,85.0643,1,19886,,,,,0
2024-03-04,93.59,96.04,91.81,93.77,90.76,85.17,,,,84.8073,1,86.2937,1,24068,,,,,0
2024-03-05,92.89,93.25,89.86,91.76,91.11,85.76,,,,84.8073,1,87.8524,1,26753,,,,,0
2024-03-06,91.40,97.41,91.03,96.00,91.92,86.56,,,,84.8073,1,89.1617,1,68233,,,,,0
2024-03-07,94.66,94.69,91.50,92.97,92.41,87.25,,,,84.8073,1,89.8600,1,24793,,4.1318,4.0167,0.1152,0
2024-03-08,92.29,95.53,92.15,93.53,92.66,88.07,,,,84.8073,1,91.0301,1,20679,,4.0181,4.0170,0.0011,0
2024-03-11,94.21,95.36,92.04,92.51,92.82,88.76,,,,84.8073,1,91.5007,1,21095,,3.8018,3.9739,-0.1721,0
2024-03-12,93.25,97.25,92.77,96.63,93.31,89.76,,,,84.8073,1,92.0374,1,36533,,3.9174,3.9626,-0.0452,0
2024-03-13,96.59,98.87,95.60,97.75,93.99,90.79,,,,86.4334,1,92.0374,1,30957,,4.0529,3.9807,0.0722,0
2024-03-14,98.53,101.29,97.70,101.05,94.94,91.84,,,,88.6959,1,92.7719,1,23020,,4.3763,4.0598,0.3165,0
2024-03-15,100.91,100.91,96.78,99.10,95.51,92.65,,,,88.6959,1,94.4760,1,25943,,4.4240,4.1326,0.2914,0
2024-03-18,97.74,101.05,97.73,100.33,96.16,93.46,,,,88.6959,1,95.8392,1,25764,,4.5093,4.2080,0.3013,0
2024-03-19,100.29,101.17,99.61,101.14,97.10,94.11,,,,90.1130,1,96.7791,1,16280,,4.5892,4.2842,0.3050,0
2024-03-20,100.63,105.32,100.25,104.71,97.97,94.95,,,,92.0104,1,97.6817,1,28520,,4.8845,4.4043,0.4802,0
2024-03-21,105.42,106.18,103.90,105.61,99.24,95.82,,,,94.6580,1,99.2096,1,50301,,5.1318,4.5498,0.5820,0
2024-03-22,105.53,108.48,104.71,107.23,100.61,96.63,,,,96.1158,1,100.2452,1,49731,,5.3961,4.7190,0.6771,0
2024-03-25,109.01,109.47,104.53,106.26,101.98,97.40,,,,96.1158,1,101.8912,1,53921,,5.4645,4.8681,0.5964,0
2024-03-26,106.78,109.33,106.78,108.99,103.22,98.27,,,,97.3156,1,103.4077,1,82808,,5.6734,5.0292,0.6442,0
2024-03-27,109.70,111.42,108.81,110.78,104.52,99.25,,,,99.6605,1,104.5251,1,58528,,5.9149,5.2063,0.7086,0
2024-03-28,110.85,113.53,109.50,113.17,105.73,100.34,,,,100.8973,1,105.9037,1,73917,,6.2276,5.4106,0.8170,0
