Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-09-11,19.00,20.25,16.50,17.30,,,,,,,0,20.2500,0,69885,,,,,0
2025-09-12,17.60,18.21,15.79,16.80,,,,,,,0,20.2500,0,7691,,,,,0
2025-09-15,16.84,17.50,16.06,16.71,,,,,,,0,20.2500,0,4995,,,,,0
2025-09-16,16.05,17.15,15.34,15.78,,,,,,,0,20.1609,0,3025,,,,,0
2025-09-17,16.37,17.10,15.05,16.31,,,,,,,0,19.9678,0,2673,,,,,0
2025-09-18,16.33,16.79,15.65,16.02,,,,,,,0,19.6728,0,2297,,,,,0
2025-09-19,16.49,16.49,14.97,15.88,,,,,,,0,19.3954,0,2082,,,,,0
2025-09-22,15.87,16.28,15.03,16.02,,,,,,,0,19.0414,0,1656,,,,,0
2025-09-23,16.02,16.02,14.30,14.90,,,,,,,0,18.7157,0,3208,,,,,0
2025-09-24,14.90,15.40,14.61,15.00,16.07,,,,,20.3726,0,18.2741,0,1332,,,,,0
2025-09-25,14.64,16.12,14.60,14.95,15.84,,,,,20.3726,0,17.8767,0,3237,,,,,0
2025-09-26,14.83,15.76,13.36,15.44,15.70,,,,,20.0379,0,17.5190,0,2030,,,,,0
2025-09-29,15.11,15.43,14.61,15.24,15.55,,,,,20.0379,0,17.0199,0,882,,,,,0
2025-09-30,15.14,16.01,13.40,15.79,15.55,,,,,20.0379,0,16.5807,0,3270,,,,,0
2025-10-01,15.94,16.75,14.36,15.76,15.50,,,,,20.0379,0,13.3600,1,7680,,,,,0
2025-10-02,15.78,16.29,14.90,15.46,15.44,,,,,20.0379,0,13.4000,1,6172,,,,,0
2025-10-03,15.40,15.67,14.79,15.05,15.36,,,,,20.0379,0,13.4670,1,3892,,,,,0
2025-10-06,15.32,16.56,14.65,15.14,15.27,,,,,20.0379,0,13.5327,1,4029,,,,,0
2025-10-07,15.15,16.19,14.85,16.01,15.38,,,,,20.0379,0,13.5970,1,3985,,,,,0
2025-10-08,16.00,16.30,14.92,15.04,15.39,15.73,,,,20.0379,0,13.6601,1,2109,,,,,0
2025-10-09,15.01,15.85,14.86,15.64,15.46,15.65,,,,20.0379,0,13.7219,1,4082,,,,,0
2025-10-10,15.53,16.08,14.87,15.44,15.46,15.58,,,,20.0379,0,13.7824,1,2458,,,,,0
2025-10-13,15.59,16.31,15.17,16.07,15.54,15.55,,,,20.0379,0,13.8418,1,2322,,,,,0
2025-10-14,15.96,16.34,15.06,15.62,15.52,15.54,,,,20.0379,0,13.8999,1,3118,,,,,0
2025-10-15,15.62,16.57,15.48,16.52,15.60,15.55,,,,20.0379,0,13.9569,1,1741,,,,,0
2025-10-16,16.76,16.76,15.33,16.40,15.69,15.57,,,,20.0379,0,14.0128,1,3118,,,,,0
2025-10-17,16.22,16.24,15.43,15.60,15.75,15.55,,,,20.0379,0,14.1227,1,1112,,,,,0
2025-10-20,15.60,16.15,15.55,16.00,15.83,15.55,,,,19.8278,0,14.2282,1,816,,,,,0
2025-10-21,16.00,16.30,15.48,16.00,15.83,15.61,,,,19.7192,0,14.3295,1,1552,,,,,0
2025-10-22,16.34,16.34,15.33,15.71,15.90,15.64,,,,19.5821,0,14.4267,1,963,,,,,0
2025-10-23,15.49,16.08,15.49,15.84,15.92,15.69,,,,19.3304,0,14.5200,1,577,,,,,0
2025-10-24,16.04,16.95,15.07,15.97,15.97,15.72,,,,19.3304,0,14.6096,1,1720,,,,,0
2025-10-27,16.00,16.71,15.51,16.70,16.04,15.79,,,,19.3304,0,14.7500,1,1286,,,,,0
2025-10-28,16.49,16.77,16.08,16.57,16.13,15.83,,,,19.3304,0,14.8820,1,1080,,0.1542,0.0763,0.0779,0
2025-10-29,16.42,16.90,15.46,15.65,16.04,15.82,,,,19.3304,0,15.0061,1,839,,0.1084,0.0827,0.0257,0
2025-10-30,15.47,16.95,15.05,16.28,16.03,15.86,,,,19.3304,0,16.9500,0,1429,,0.1215,0.0904,0.0310,0
2025-10-31,16.18,16.76,15.96,16.13,16.09,15.92,,,,19.3304,0,16.9500,0,827,,0.1184,0.0960,0.0224,0
2025-11-03,16.13,16.83,15.87,16.17,16.10,15.97,,,,19.3304,0,16.9500,0,1784,,0.1178,0.1004,0.0174,0
2025-11-04,15.93,16.55,15.85,16.50,16.15,15.99,,,,19.3304,0,16.9120,0,1904,,0.1424,0.1088,0.0336,0
2025-11-05,16.01,16.49,15.94,16.20,16.20,16.05,,,,19.3304,0,16.8748,0,849,,0.1360,0.1142,0.0218,0
2025-11-06,16.09,16.56,15.44,15.51,16.17,16.04,,,,19.3001,0,16.8383,0,1866,,0.0745,0.1063,-0.0318,0
2025-11-07,15.55,15.85,14.72,15.35,16.11,16.04,,,,18.5954,0,16.8025,0,2324,,0.0126,0.0876,-0.0749,0
2025-11-10,15.48,15.55,14.52,14.61,15.90,15.97,,,,18.3256,0,16.7190,0,1029,,-0.0950,0.0511,-0.1460,0
2025-11-11,14.51,16.53,14.32,15.98,15.84,15.98,,,,18.3256,0,16.5871,0,1518,,-0.0689,0.0271,-0.0960,0
2025-11-12,15.83,16.28,14.82,15.08,15.78,15.91,,,,18.3256,0,16.5300,0,1419,,-0.1195,-0.0023,-0.1173,0
2025-11-13,14.80,15.27,14.66,14.90,15.64,15.84,,,,18.3256,0,16.5300,0,1092,,-0.1722,-0.0362,-0.1359,0
2025-11-14,14.93,16.00,14.40,14.91,15.52,15.80,,,,18.3256,0,16.3530,0,3286,,-0.2107,-0.0711,-0.1395,0
2025-11-17,15.13,18.29,15.13,17.05,15.61,15.86,,,,18.3256,0,14.3170,1,6960,,-0.0677,-0.0704,0.0027,0
2025-11-18,17.00,17.25,15.45,15.92,15.55,15.85,,,,18.3256,0,14.3965,1,1781,,-0.0451,-0.0654,0.0203,0
