Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,5.78,5.82,5.70,5.82,,,,,,,0,5.6997,1,1403,,,,,0
2023-07-21,5.86,5.91,5.77,5.78,,,,,,,0,5.6997,1,1032,,,,,0
2023-07-24,5.76,5.89,5.76,5.83,,,,,,,0,5.6997,1,860,,,,,0
2023-07-25,5.83,5.83,5.52,5.52,,,,,,,0,5.9103,0,1137,,,,,0
2023-07-26,5.51,5.61,5.46,5.60,,,,,,,0,5.9025,0,813,,,,,0
2023-07-27,5.63,5.76,5.60,5.62,,,,,,,0,5.8846,0,810,,,,,0
2023-07-28,5.69,5.76,5.66,5.66,,,,,,,0,5.8674,0,866,,,,,0
2023-07-31,5.69,5.79,5.66,5.71,,,,,,,0,5.8510,0,1114,,,,,0
2023-08-01,5.65,5.68,5.55,5.66,,,,,,,0,5.8351,0,920,,,,,0
2023-08-02,5.58,5.65,5.56,5.60,5.68,,,,,6.0705,0,5.8199,0,1058,,,,,0
2023-08-03,5.58,5.68,5.53,5.59,5.66,,,,,6.0660,0,5.8053,0,1309,,,,,0
2023-08-04,5.60,5.68,5.45,5.46,5.63,,,,,6.0500,0,5.7913,0,1151,,,,,0
2023-08-07,5.47,5.60,5.38,5.59,5.60,,,,,5.9918,0,5.7707,0,1240,,,,,0
2023-08-08,5.50,5.71,5.50,5.71,5.62,,,,,5.9918,0,5.7395,0,1294,,,,,0
2023-08-09,5.86,6.69,5.86,6.65,5.72,,,,,5.5124,1,5.3804,1,7853,,,,,0
2023-08-10,6.65,6.68,6.28,6.32,5.79,,,,,5.6727,1,5.4067,1,3393,,,,,0
2023-08-11,6.29,6.40,6.20,6.33,5.86,,,,,5.6727,1,5.4324,1,3013,,,,,0
2023-08-14,6.32,6.34,6.21,6.25,5.92,,,,,5.6727,1,5.4575,1,3065,,,,,0
2023-08-15,6.20,6.34,6.16,6.22,5.97,,,,,5.6727,1,5.4822,1,1954,,,,,0
2023-08-16,6.20,6.26,6.17,6.18,6.03,5.85,,,,5.6727,1,5.5064,1,1369,,,,,0
2023-08-17,6.18,6.25,6.07,6.08,6.08,5.87,,,,5.6727,1,5.5301,1,1402,,,,,0
2023-08-18,6.00,6.09,5.87,5.88,6.12,5.87,,,,5.6727,1,5.5533,1,1367,,,,,0
2023-08-21,5.82,5.93,5.82,5.87,6.15,5.88,,,,5.6727,1,5.5761,1,2163,,,,,0
2023-08-22,5.86,6.00,5.84,5.89,6.17,5.89,,,,5.6727,1,5.5984,1,4093,,,,,0
2023-08-23,5.92,5.96,5.85,5.88,6.09,5.91,,,,5.6727,1,5.6203,1,1561,,,,,0
2023-08-24,5.82,5.98,5.82,5.92,6.05,5.92,,,,5.6727,1,5.6417,1,1570,,,,,0
2023-08-25,5.92,5.96,5.80,5.86,6.00,5.93,,,,5.6727,1,5.6627,1,1028,,,,,0
2023-08-28,5.88,6.09,5.88,6.04,5.98,5.95,,,,5.6727,1,5.6833,1,1820,,,,,0
2023-08-29,6.06,6.34,6.06,6.28,5.99,5.98,,,,5.6727,1,5.7034,1,2432,,,,,0
2023-08-30,6.25,6.30,6.18,6.23,5.99,6.01,,,,5.6727,1,5.7232,1,1647,,,,,0
2023-08-31,6.22,6.25,6.07,6.07,5.99,6.04,,,,5.6727,1,5.7426,1,3015,,,,,0
2023-09-01,6.11,6.11,5.92,5.94,6.00,6.06,,,,5.6727,1,5.7616,1,2161,,,,,0
2023-09-05,5.92,5.92,5.67,5.70,5.98,6.06,,,,5.6727,1,6.6916,0,2298,,,,,0
2023-09-06,5.73,5.76,5.62,5.71,5.96,6.07,,,,5.6727,1,6.6712,0,3340,,0.0291,0.0820,-0.0529,0
2023-09-07,5.70,5.71,5.40,5.42,5.92,6.00,,,,6.1741,0,6.6292,0,5163,,-0.0144,0.0627,-0.0771,0
2023-09-08,5.43,5.57,5.37,5.54,5.88,5.96,,,,6.0898,0,6.5553,0,1169,,-0.0386,0.0425,-0.0811,0
2023-09-11,5.58,5.73,5.58,5.70,5.86,5.93,,,,6.0898,0,6.4602,0,1517,,-0.0446,0.0251,-0.0697,0
2023-09-12,5.71,5.88,5.71,5.86,5.85,5.91,,,,6.0898,0,6.3728,0,1753,,-0.0364,0.0128,-0.0492,0
2023-09-13,5.91,6.03,5.82,6.03,5.82,5.90,,,,6.0898,0,6.2923,0,2282,,-0.0160,0.0070,-0.0230,0
2023-09-14,6.08,6.27,6.07,6.09,5.81,5.90,,,,5.5480,1,5.3668,1,2124,,0.0056,0.0067,-0.0011,0
2023-09-15,6.12,6.15,5.69,5.75,5.77,5.88,,,,5.5480,1,5.3849,1,5954,,-0.0046,0.0045,-0.0091,0
2023-09-18,5.84,5.84,5.59,5.60,5.74,5.87,,,,5.5480,1,5.4026,1,2538,,-0.0245,-0.0013,-0.0232,0
2023-09-19,5.60,5.72,5.60,5.62,5.73,5.86,,,,5.5480,1,5.4200,1,919,,-0.0387,-0.0088,-0.0299,0
2023-09-20,5.67,5.77,5.63,5.63,5.72,5.84,,,,5.5480,1,5.4370,1,1124,,-0.0483,-0.0167,-0.0316,0
