Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,5.69,5.79,5.57,5.78,,,,,,,0,5.7948,0,6697,,,,,0
2023-07-14,5.75,5.75,5.54,5.55,,,,,,,0,5.7948,0,5153,,,,,0
2023-07-17,5.52,5.67,5.48,5.49,,,,,,,0,5.7948,0,6650,,,,,0
2023-07-18,5.50,5.76,5.47,5.62,,,,,,,0,5.7821,0,4766,,,,,0
2023-07-19,5.62,5.77,5.62,5.69,,,,,,,0,5.4688,1,6003,,,,,0
2023-07-20,5.71,5.75,5.63,5.74,,,,,,,0,5.4688,1,5461,,,,,0
2023-07-21,5.77,5.83,5.70,5.71,,,,,,,0,5.4749,1,5847,,,,,0
2023-07-24,5.71,5.82,5.71,5.77,,,,,,,0,5.4890,1,6098,,,,,0
2023-07-25,5.75,5.75,5.45,5.46,,,,,,,0,5.8288,0,6369,,,,,0
2023-07-26,5.43,5.55,5.39,5.54,5.64,,,,,6.0577,0,5.8220,0,5506,,,,,0
2023-07-27,5.59,5.69,5.53,5.54,5.61,,,,,6.0577,0,5.8046,0,4399,,,,,0
2023-07-28,5.60,5.69,5.58,5.60,5.62,,,,,6.0577,0,5.7879,0,3775,,,,,0
2023-07-31,5.60,5.73,5.59,5.65,5.63,,,,,6.0577,0,5.7719,0,6778,,,,,0
2023-08-01,5.64,5.64,5.49,5.60,5.63,,,,,6.0577,0,5.7565,0,4124,,,,,0
2023-08-02,5.53,5.59,5.49,5.54,5.61,,,,,6.0577,0,5.7417,0,4918,,,,,0
2023-08-03,5.54,5.62,5.47,5.53,5.59,,,,,6.0577,0,5.7276,0,5125,,,,,0
2023-08-04,5.53,5.62,5.37,5.38,5.56,,,,,6.0372,0,5.7139,0,5193,,,,,0
2023-08-07,5.37,5.53,5.30,5.52,5.54,,,,,5.9709,0,5.6933,0,4820,,,,,0
2023-08-08,5.41,5.65,5.41,5.64,5.55,,,,,5.9709,0,5.6618,0,6499,,,,,0
2023-08-09,5.71,6.61,5.71,6.57,5.66,5.65,,,,5.3517,1,5.2989,1,27042,,,,,0
2023-08-10,6.57,6.60,6.19,6.25,5.73,5.67,,,,5.5443,1,5.3252,1,13826,,,,,0
2023-08-11,6.18,6.33,6.12,6.28,5.80,5.71,,,,5.5443,1,5.3510,1,12636,,,,,0
2023-08-14,6.20,6.28,6.15,6.20,5.85,5.74,,,,5.5443,1,5.3762,1,13537,,,,,0
2023-08-15,6.12,6.28,6.10,6.16,5.91,5.77,,,,5.5443,1,5.4010,1,9025,,,,,0
2023-08-16,6.12,6.21,6.07,6.13,5.97,5.79,,,,5.5443,1,5.4252,1,7723,,,,,0
2023-08-17,6.18,6.20,6.02,6.04,6.02,5.81,,,,5.5443,1,5.4490,1,5752,,,,,0
2023-08-18,5.96,6.06,5.84,5.84,6.06,5.81,,,,5.5443,1,5.4723,1,6344,,,,,0
2023-08-21,5.82,5.90,5.79,5.84,6.10,5.82,,,,5.5443,1,5.4951,1,12146,,,,,0
2023-08-22,5.84,5.99,5.84,5.88,6.12,5.84,,,,5.5443,1,5.5175,1,9091,,,,,0
2023-08-23,5.88,5.95,5.84,5.88,6.05,5.85,,,,5.5443,1,5.5394,1,4570,,,,,0
2023-08-24,5.84,5.97,5.83,5.90,6.02,5.87,,,,5.5443,1,5.5609,1,4247,,,,,0
2023-08-25,5.88,5.98,5.80,5.86,5.97,5.89,,,,5.5443,1,5.5819,1,3600,,,,,0
2023-08-28,5.91,6.10,5.91,6.04,5.96,5.90,,,,5.5443,1,5.6025,1,7344,,,,,0
2023-08-29,6.09,6.33,6.06,6.27,5.97,5.94,,,,5.5626,1,5.6228,1,6797,,0.1313,0.1533,-0.0220,0
2023-08-30,6.25,6.31,6.19,6.23,5.98,5.97,,,,5.6399,1,5.6426,1,5307,,0.1408,0.1508,-0.0100,0
2023-08-31,6.21,6.26,6.08,6.09,5.98,6.00,,,,5.6399,1,5.6620,1,6561,,0.1354,0.1477,-0.0124,0
2023-09-01,6.10,6.14,5.93,5.94,5.99,6.03,,,,5.6399,1,5.6810,1,4598,,0.1181,0.1418,-0.0237,0
2023-09-05,5.87,5.89,5.67,5.69,5.98,6.04,,,,5.6399,1,6.6135,0,8839,,0.0833,0.1301,-0.0468,0
2023-09-06,5.60,5.76,5.60,5.73,5.96,6.04,,,,5.6399,1,6.5946,0,8945,,0.0582,0.1157,-0.0575,0
2023-09-07,5.71,5.72,5.39,5.41,5.92,5.98,,,,6.2040,0,6.5550,0,7868,,0.0119,0.0950,-0.0830,0
2023-09-08,5.39,5.58,5.36,5.54,5.88,5.95,,,,6.1235,0,6.4850,0,7586,,-0.0142,0.0731,-0.0873,0
2023-09-11,5.57,5.74,5.57,5.70,5.86,5.92,,,,6.1235,0,6.3950,0,8642,,-0.0214,0.0542,-0.0757,0
2023-09-12,5.72,5.88,5.70,5.86,5.85,5.90,,,,6.1235,0,6.3122,0,6446,,-0.0139,0.0406,-0.0545,0
2023-09-13,5.91,6.03,5.81,6.01,5.82,5.90,,,,6.1235,0,6.2360,0,8151,,0.0041,0.0333,-0.0292,0
2023-09-14,6.06,6.26,6.06,6.09,5.81,5.89,,,,6.1235,0,5.3601,1,14464,,0.0241,0.0315,-0.0074,0
2023-09-15,6.07,6.14,5.71,5.76,5.77,5.88,,,,6.1235,0,5.3781,1,18026,,0.0135,0.0279,-0.0144,0
2023-09-18,5.79,5.79,5.58,5.60,5.74,5.87,,,,6.1235,0,5.3958,1,6228,,-0.0080,0.0207,-0.0287,0
2023-09-19,5.60,5.71,5.60,5.61,5.73,5.85,,,,6.1235,0,5.4132,1,4239,,-0.0236,0.0118,-0.0355,0
2023-09-20,5.67,5.76,5.61,5.62,5.72,5.84,,,,6.1235,0,5.4302,1,4435,,-0.0351,0.0024,-0.0375,0
2023-09-21,5.57,5.66,5.54,5.58,5.74,5.83,5.80,,,6.1235,0,5.4469,1,4047,7445,-0.0469,-0.0074,-0.0395,0
2023-09-22,5.59,5.65,5.49,5.50,5.73,5.81,5.79,,,6.1235,0,5.4632,1,5707,7425,-0.0616,-0.0183,-0.0433,0
2023-09-25,5.46,5.56,5.41,5.47,5.71,5.79,5.79,,,6.0725,0,6.2636,0,5281,7428,-0.0751,-0.0296,-0.0455,0
2023-09-26,5.39,5.44,5.31,5.36,5.66,5.75,5.79,,,5.9524,0,6.2466,0,7556,7446,-0.0935,-0.0424,-0.0511,0
2023-09-27,5.50,5.59,5.38,5.48,5.61,5.71,5.79,,,5.9524,0,6.2090,0,4084,7432,-0.0977,-0.0535,-0.0442,0
2023-09-28,5.47,5.60,5.47,5.52,5.55,5.68,5.78,,,5.9524,0,6.1728,0,4638,7405,-0.0965,-0.0621,-0.0345,0
2023-09-29,5.52,5.60,5.52,5.54,5.53,5.65,5.78,,,5.9524,0,6.1382,0,4811,7392,-0.0924,-0.0681,-0.0243,0
2023-10-02,5.54,5.58,5.47,5.54,5.52,5.63,5.78,,,5.9524,0,6.1049,0,5641,7388,-0.0886,-0.0722,-0.0164,0
2023-10-03,5.50,5.52,5.16,5.20,5.48,5.61,5.76,,,5.9205,0,6.0729,0,5417,7374,-0.1112,-0.0800,-0.0312,0
2023-10-04,5.22,5.29,5.19,5.20,5.44,5.58,5.76,,,5.7952,0,6.0179,0,5521,7357,-0.1277,-0.0896,-0.0381,0
2023-10-05,5.18,5.31,5.17,5.26,5.41,5.57,5.75,,,5.7763,0,5.9662,0,7183,7391,-0.1342,-0.0985,-0.0357,0
2023-10-06,5.31,5.31,5.17,5.22,5.38,5.56,5.75,,,5.7664,0,5.9176,0,6976,7442,-0.1411,-0.1070,-0.0341,0
2023-10-09,5.22,5.37,5.20,5.31,5.36,5.54,5.74,,,5.7664,0,5.8719,0,4471,7456,-0.1378,-0.1132,-0.0246,0
2023-10-10,5.30,5.34,5.14,5.19,5.35,5.50,5.73,,,5.7664,0,5.8290,0,8894,7498,-0.1434,-0.1192,-0.0242,0
2023-10-11,5.19,5.24,5.12,5.17,5.32,5.46,5.72,,,5.6987,0,5.7741,0,5783,7532,-0.1478,-0.1249,-0.0229,0
2023-10-12,5.20,5.20,4.97,5.01,5.27,5.41,5.71,,,5.6214,0,5.7089,0,3985,7513,-0.1625,-0.1324,-0.0301,0
2023-10-13,5.01,5.14,5.01,5.05,5.22,5.37,5.70,,,5.5959,0,5.6206,0,4313,7497,-0.1690,-0.1398,-0.0292,0
2023-10-16,5.07,5.16,5.07,5.09,5.17,5.35,5.70,,,5.5959,0,5.5428,0,4693,7487,-0.1689,-0.1456,-0.0233,0
2023-10-17,5.25,5.25,4.99,5.01,5.15,5.32,5.69,,,5.5959,0,5.4744,0,5333,7497,-0.1728,-0.1510,-0.0218,0
2023-10-18,4.94,5.00,4.90,4.95,5.13,5.28,5.67,,,5.4602,0,5.4142,0,3916,7445,-0.1794,-0.1567,-0.0227,0
2023-10-19,4.97,4.97,4.81,4.83,5.08,5.25,5.64,,,5.3996,0,5.3420,0,10150,7107,-0.1917,-0.1637,-0.0280,0
2023-10-20,4.83,4.88,4.78,4.80,5.04,5.21,5.61,,,5.3163,0,5.2563,0,4658,6924,-0.2013,-0.1712,-0.0301,0
2023-10-23,4.77,4.84,4.75,4.77,4.99,5.18,5.58,,,5.2660,0,5.1698,0,6595,6803,-0.2092,-0.1788,-0.0304,0
2023-10-24,4.82,4.86,4.76,4.78,4.95,5.15,5.55,,,5.2596,0,5.0862,0,4887,6630,-0.2120,-0.1854,-0.0265,0
2023-10-25,4.71,4.73,4.61,4.62,4.89,5.10,5.52,,,5.1263,0,5.0194,0,4791,6546,-0.2247,-0.1933,-0.0314,0
2023-10-26,4.65,4.65,4.52,4.59,4.85,5.06,5.49,,,5.0372,0,4.9381,0,4975,6491,-0.2349,-0.2016,-0.0333,0
2023-10-27,4.55,4.59,4.49,4.57,4.80,5.01,5.46,,,4.9722,0,4.8547,0,5299,6482,-0.2412,-0.2095,-0.0317,0
2023-10-30,4.63,4.70,4.57,4.60,4.75,4.96,5.44,,,4.9722,0,4.7825,0,3639,6427,-0.2413,-0.2159,-0.0254,0
2023-10-31,4.59,4.69,4.53,4.65,4.72,4.93,5.41,,,4.9722,0,4.7248,0,6152,6308,-0.2343,-0.2196,-0.0147,0
2023-11-01,4.63,4.63,4.55,4.59,4.68,4.90,5.39,,,4.9722,0,4.7011,0,4292,6212,-0.2309,-0.2218,-0.0091,0
2023-11-02,4.65,4.70,4.54,4.59,4.66,4.87,5.36,,,4.9722,0,4.4939,1,7055,6261,-0.2257,-0.2226,-0.0031,0
2023-11-03,4.69,4.80,4.60,4.68,4.64,4.84,5.34,,,4.9722,0,4.4980,1,6492,6306,-0.2120,-0.2205,0.0085,0
2023-11-06,4.71,4.85,4.61,4.61,4.63,4.81,5.31,,,4.9722,0,4.5102,1,8106,6396,-0.2043,-0.2173,0.0130,0
2023-11-07,4.61,4.61,4.44,4.47,4.60,4.77,5.28,,,4.9722,0,4.8505,0,6781,6385,-0.2073,-0.2153,0.0080,0
2023-11-08,4.50,4.54,4.46,4.50,4.59,4.74,5.24,,,4.9603,0,4.8505,0,5412,6357,-0.2045,-0.2131,0.0086,0
2023-11-09,4.50,4.52,4.35,4.37,4.56,4.71,5.21,,,4.8949,0,4.8423,0,7906,6409,-0.2109,-0.2127,0.0018,0
2023-11-10,4.54,5.03,4.50,4.95,4.60,4.70,5.18,,,4.2558,1,4.3512,1,16659,6611,-0.1674,-0.2036,0.0362,0
2023-11-13,4.84,4.97,4.83,4.84,4.63,4.69,5.16,,,4.3071,1,4.3512,1,8883,6697,-0.1396,-0.1908,0.0512,0
2023-11-14,5.03,5.07,4.82,4.88,4.65,4.68,5.15,,,4.3402,1,4.3647,1,8155,6683,-0.1135,-0.1753,0.0619,0
2023-11-15,4.86,5.05,4.86,4.88,4.68,4.68,5.13,,,4.3474,1,4.3931,1,8483,6674,-0.0917,-0.1586,0.0669,0
2023-11-16,4.88,4.88,4.69,4.76,4.69,4.68,5.12,,,4.3474,1,4.4204,1,5785,6632,-0.0828,-0.1435,0.0606,0
2023-11-17,4.82,4.84,4.71,4.76,4.70,4.67,5.10,,,4.3474,1,4.4466,1,5519,6591,-0.0749,-0.1298,0.0548,0
2023-11-20,4.75,4.85,4.74,4.79,4.72,4.67,5.08,,,4.3474,1,4.4717,1,5359,6525,-0.0657,-0.1170,0.0512,0
2023-11-21,4.75,4.76,4.59,4.63,4.74,4.67,5.06,,,4.3474,1,4.4958,1,4055,6478,-0.0708,-0.1077,0.0369,0
2023-11-22,4.68,4.75,4.61,4.67,4.75,4.67,5.03,,,4.3474,1,4.5190,1,3653,6388,-0.0707,-0.1003,0.0296,0
2023-11-24,4.67,4.79,4.67,4.78,4.79,4.68,5.00,,,4.3474,1,4.5412,1,1768,6134,-0.0606,-0.0924,0.0318,0
2023-11-27,4.71,4.76,4.62,4.67,4.77,4.68,4.98,,,4.3474,1,4.5626,1,3774,5849,-0.0606,-0.0860,0.0254,0
2023-11-28,4.68,4.79,4.61,4.74,4.76,4.69,4.97,,,4.3474,1,4.5830,1,5961,5843,-0.0546,-0.0797,0.0252,0
2023-11-29,4.76,4.85,4.74,4.78,4.75,4.70,4.95,,,4.3474,1,4.6027,1,5862,5876,-0.0460,-0.0730,0.0270,0
2023-11-30,4.78,4.80,4.59,4.64,4.72,4.70,4.93,,,4.3474,1,5.0747,0,7000,5927,-0.0501,-0.0684,0.0183,0
2023-12-01,4.59,4.90,4.52,4.88,4.73,4.71,4.92,,,4.3474,1,5.0651,0,10280,6052,-0.0337,-0.0615,0.0277,0
2023-12-04,4.86,5.01,4.84,4.93,4.75,4.73,4.90,,,4.3546,1,5.0435,0,7217,6082,-0.0168,-0.0525,0.0358,0
2023-12-05,4.88,4.88,4.66,4.66,4.74,4.73,4.89,,,4.3546,1,5.0227,0,5264,6082,-0.0244,-0.0469,0.0225,0
2023-12-06,4.68,4.72,4.64,4.68,4.74,4.74,4.87,,,4.3546,1,5.0136,0,5484,6040,-0.0285,-0.0432,0.0147,0
2023-12-07,4.69,4.89,4.66,4.79,4.76,4.75,4.86,,,4.3546,1,4.9940,0,7236,6103,-0.0227,-0.0391,0.0164,0
2023-12-08,4.79,4.90,4.76,4.86,4.76,4.78,4.85,,,4.3546,1,4.9752,0,4549,6101,-0.0120,-0.0337,0.0217,0
2023-12-11,4.85,4.90,4.74,4.82,4.78,4.77,4.83,,,4.3546,1,4.9572,0,5508,6115,-0.0072,-0.0284,0.0212,0
2023-12-12,4.78,4.78,4.59,4.60,4.76,4.76,4.81,,,4.3546,1,4.9399,0,4686,6096,-0.0207,-0.0269,0.0061,0
2023-12-13,4.60,4.76,4.48,4.76,4.76,4.75,4.80,,,4.3546,1,4.9233,0,7862,6145,-0.0186,-0.0252,0.0066,0
2023-12-14,4.85,5.04,4.84,4.89,4.79,4.75,4.80,,,4.3546,1,4.4769,1,7163,6178,-0.0059,-0.0213,0.0154,0
2023-12-15,4.93,4.93,4.77,4.80,4.78,4.76,4.79,,,4.3546,1,4.4769,1,15235,6339,-0.0035,-0.0178,0.0143,0
2023-12-18,4.86,4.86,4.74,4.75,4.76,4.76,4.78,,,4.3546,1,4.4881,1,8642,6372,-0.0053,-0.0153,0.0100,0
2023-12-19,4.79,4.93,4.76,4.91,4.79,4.76,4.77,,,4.3546,1,4.4991,1,7446,6432,0.0063,-0.0110,0.0173,0
2023-12-20,4.93,4.94,4.82,4.82,4.80,4.77,4.76,,,4.3546,1,4.5099,1,7541,6405,0.0083,-0.0071,0.0154,0
2023-12-21,4.87,4.88,4.82,4.88,4.81,4.78,4.76,,,4.3546,1,4.5204,1,3278,6355,0.0146,-0.0028,0.0174,0
2023-12-22,4.88,4.99,4.87,4.90,4.81,4.79,4.76,,,4.4243,1,4.5308,1,5520,6385,0.0210,0.0020,0.0191,0
2023-12-26,4.93,4.97,4.84,4.95,4.83,4.80,4.75,,,4.4243,1,4.5409,1,3155,6362,0.0291,0.0074,0.0217,0
2023-12-27,4.90,4.98,4.86,4.93,4.86,4.81,4.75,,,4.4443,1,4.5508,1,3691,6342,0.0340,0.0127,0.0213,0
2023-12-28,4.91,4.98,4.90,4.97,4.88,4.82,4.75,,,4.4846,1,4.5605,1,3299,6302,0.0407,0.0183,0.0224,0
2023-12-29,4.97,4.99,4.91,4.99,4.89,4.84,4.75,,,4.5202,1,4.5701,1,4008,6303,0.0465,0.0240,0.0226,0
2024-01-02,4.93,5.07,4.87,5.02,4.91,4.85,4.76,,,4.5248,1,4.5794,1,9170,6284,0.0533,0.0298,0.0235,0
2024-01-03,4.99,4.99,4.82,4.82,4.92,4.84,4.76,,,4.5248,1,4.5992,1,5310,6297,0.0423,0.0323,0.0100,0
2024-01-04,4.88,4.88,4.76,4.81,4.91,4.85,4.76,,,4.5248,1,4.6183,1,4105,6247,0.0321,0.0323,-0.0002,0
2024-01-05,4.78,4.87,4.76,4.78,4.91,4.85,4.76,,,4.5248,1,4.6365,1,3566,6221,0.0210,0.0300,-0.0090,0
2024-01-08,4.77,4.88,4.76,4.88,4.91,4.86,4.76,,,4.5248,1,4.6540,1,3764,6200,0.0208,0.0282,-0.0074,0
2024-01-09,4.80,4.88,4.77,4.86,4.90,4.86,4.77,,,4.5248,1,4.6709,1,3677,6174,0.0188,0.0263,-0.0075,0
2024-01-10,4.84,4.89,4.82,4.84,4.89,4.86,4.77,,,4.5248,1,4.6870,1,4621,6161,0.0153,0.0241,-0.0088,0
2024-01-11,4.81,4.93,4.76,4.90,4.89,4.87,4.78,,,4.5248,1,4.7025,1,6150,6211,0.0168,0.0226,-0.0059,0
2024-01-12,4.98,5.02,4.88,4.88,4.88,4.88,4.78,,,4.5329,1,4.7174,1,2828,6144,0.0166,0.0214,-0.0048,0
2024-01-16,4.85,4.89,4.80,4.84,4.86,4.88,4.79,,,4.5329,1,4.7317,1,3838,6135,0.0131,0.0198,-0.0067,0
2024-01-17,4.76,4.90,4.76,4.81,4.84,4.88,4.79,,,4.5329,1,4.7454,1,4931,6093,0.0075,0.0173,-0.0098,0
2024-01-18,4.82,4.90,4.66,4.83,4.84,4.88,4.80,,,4.5329,1,5.0747,0,5149,6066,0.0046,0.0148,-0.0102,0
2024-01-19,4.86,4.90,4.78,4.90,4.85,4.88,4.80,,,4.5329,1,5.0664,0,4012,5984,0.0077,0.0134,-0.0056,0
2024-01-22,4.95,4.95,4.80,4.88,4.86,4.88,4.81,,,4.5329,1,5.0583,0,3584,5920,0.0084,0.0124,-0.0039,0
2024-01-23,4.96,5.03,4.93,5.00,4.88,4.89,4.82,,,4.5434,1,5.0504,0,8075,5973,0.0187,0.0136,0.0050,0
2024-01-24,5.07,5.07,4.80,4.82,4.87,4.89,4.83,,,4.5434,1,4.6603,1,3140,5878,0.0124,0.0134,-0.0010,0
2024-01-25,4.90,4.94,4.80,4.92,4.88,4.88,4.83,,,4.5434,1,4.6686,1,5195,5649,0.0149,0.0137,0.0012,0
2024-01-26,4.95,5.07,4.94,4.99,4.89,4.89,4.83,,,4.5434,1,4.6767,1,3406,5539,0.0221,0.0154,0.0067,0
2024-01-29,4.96,5.04,4.88,5.03,4.90,4.89,4.83,,,4.5434,1,4.6847,1,2743,5431,0.0308,0.0184,0.0123,0
2024-01-30,4.99,5.05,4.95,4.99,4.92,4.89,4.84,,,4.5491,1,4.6925,1,3826,5338,0.0340,0.0215,0.0124,0
2024-01-31,5.00,5.00,4.81,4.84,4.92,4.88,4.84,,,4.5491,1,4.7001,1,4743,5317,0.0241,0.0221,0.0021,0
2024-02-01,4.85,4.97,4.85,4.94,4.93,4.89,4.84,,,4.5491,1,4.7076,1,3317,5273,0.0243,0.0225,0.0018,0
2024-02-02,4.86,4.86,4.69,4.69,4.91,4.88,4.84,,,4.5491,1,5.0747,0,4791,5262,0.0046,0.0189,-0.0143,0
2024-02-05,4.63,4.63,4.40,4.49,4.87,4.87,4.84,,,5.0379,0,5.0671,0,7040,5321,-0.0271,0.0097,-0.0368,0
2024-02-06,4.46,4.57,4.46,4.52,4.82,4.85,4.83,,,5.0202,0,5.0405,0,5230,5353,-0.0494,-0.0021,-0.0473,0
2024-02-07,4.50,4.63,4.44,4.61,4.80,4.84,4.83,,,5.0202,0,5.0150,0,5869,5435,-0.0594,-0.0136,-0.0458,0
2024-02-08,4.60,4.67,4.50,4.66,4.77,4.83,4.83,,,5.0202,0,4.9905,0,7363,5507,-0.0621,-0.0233,-0.0389,0
2024-02-09,4.69,4.69,4.48,4.61,4.74,4.81,4.83,,,5.0202,0,4.9669,0,6080,5509,-0.0674,-0.0321,-0.0353,0
2024-02-12,4.62,4.82,4.62,4.78,4.71,4.81,4.83,,,5.0202,0,4.9444,0,6761,5527,-0.0577,-0.0372,-0.0205,0
2024-02-13,4.65,4.66,4.34,4.35,4.65,4.78,4.82,,,5.0202,0,4.9227,0,5677,5501,-0.0836,-0.0465,-0.0371,0
2024-02-14,4.40,4.49,4.36,4.44,4.61,4.76,4.81,5.18,,5.0185,0,4.8878,0,5504,5405,-0.0954,-0.0563,-0.0391,0
2024-02-15,4.46,4.61,4.46,4.61,4.58,4.75,4.81,5.17,,5.0185,0,4.8550,0,5184,5364,-0.0900,-0.0630,-0.0270,0
2024-02-16,4.57,4.61,4.48,4.57,4.56,4.74,4.80,5.16,,5.0185,0,4.8241,0,3574,5331,-0.0885,-0.0681,-0.0204,0
2024-02-20,4.50,4.65,4.48,4.65,4.58,4.72,4.80,5.16,,5.0185,0,4.7951,0,5607,5333,-0.0798,-0.0704,-0.0094,0
2024-02-21,4.63,4.63,4.43,4.45,4.57,4.70,4.80,5.15,,5.0185,0,4.7679,0,4332,5275,-0.0878,-0.0739,-0.0139,0
2024-02-22,4.44,4.45,4.36,4.44,4.56,4.68,4.79,5.14,,4.9453,0,4.7423,0,6023,5304,-0.0942,-0.0780,-0.0162,0
2024-02-23,4.45,4.46,4.04,4.12,4.50,4.64,4.77,5.13,,4.8609,0,4.7182,0,15591,5506,-0.1236,-0.0871,-0.0365,0
2024-02-26,4.08,4.34,4.08,4.21,4.46,4.60,4.77,5.12,,4.8358,0,4.6641,0,13416,5681,-0.1376,-0.0972,-0.0404,0
2024-02-27,4.26,4.41,4.22,4.37,4.42,4.57,4.76,5.11,,4.8358,0,4.6144,0,10591,5735,-0.1345,-0.1047,-0.0299,0
