Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,51.64,52.98,51.27,52.39,,,,,,,0,52.9800,0,71858,,,,,0
2023-07-18,51.03,52.20,50.02,52.10,,,,,,,0,52.9800,0,126150,,,,,0
2023-07-19,52.85,53.79,52.20,52.98,,,,,,,0,50.0200,1,75788,,,,,0
2023-07-20,51.93,52.83,50.74,52.46,,,,,,,0,50.0200,1,95440,,,,,0
2023-07-21,53.08,53.08,51.66,51.85,,,,,,,0,50.0955,1,45587,,,,,0
2023-07-24,52.17,52.58,51.66,51.89,,,,,,,0,50.1695,1,41413,,,,,0
2023-07-25,52.16,53.50,51.42,53.00,,,,,,,0,50.2420,1,87837,,,,,0
2023-07-26,53.36,53.36,52.34,52.79,,,,,,,0,50.3131,1,52246,,,,,0
2023-07-27,53.46,53.71,52.37,52.76,,,,,,,0,50.3827,1,62721,,,,,0
2023-07-28,53.27,53.75,52.27,52.36,52.46,,,,,57.8925,0,50.4509,1,57376,,,,,0
2023-07-31,52.29,52.97,51.78,52.36,52.45,,,,,57.1261,0,50.5178,1,45569,,,,,0
2023-08-01,51.55,51.73,50.83,51.44,52.39,,,,,56.0144,0,50.5834,1,83888,,,,,0
2023-08-02,50.55,50.96,50.37,50.51,52.14,,,,,55.2492,0,53.7950,0,49490,,,,,0
2023-08-03,50.25,51.09,49.92,50.96,51.99,,,,,54.9821,0,53.7264,0,55546,,,,,0
2023-08-04,51.32,52.86,50.57,52.40,52.05,,,,,54.9821,0,53.5739,0,68958,,,,,0
2023-08-07,52.30,52.58,52.01,52.36,52.09,,,,,54.9821,0,53.4276,0,36364,,,,,0
2023-08-08,51.93,53.23,51.64,52.46,52.04,,,,,54.9821,0,53.2871,0,90179,,,,,0
2023-08-09,52.40,52.50,50.13,50.32,51.79,,,,,54.9821,0,53.2290,0,69406,,,,,0
2023-08-10,50.50,51.08,49.81,49.91,51.51,,,,,54.9821,0,53.2290,0,56244,,,,,0
2023-08-11,49.25,49.79,48.57,49.53,51.22,51.84,,,,53.7461,0,53.0239,0,69471,,,,,0
2023-08-14,49.26,50.76,49.00,50.58,51.05,51.75,,,,53.7461,0,52.6676,0,63058,,,,,0
2023-08-15,50.15,51.98,49.89,51.34,51.04,51.71,,,,53.7461,0,52.3397,0,106366,,,,,0
2023-08-16,48.44,49.44,45.07,46.81,50.67,51.40,,,,53.4567,0,52.0382,0,286496,,,,,0
2023-08-17,48.85,49.00,44.75,46.20,50.19,51.09,,,,53.4567,0,51.9800,0,189827,,,,,0
2023-08-18,45.51,48.58,45.51,47.98,49.75,50.90,,,,53.4567,0,51.1124,0,129743,,,,,0
2023-08-21,47.82,48.95,47.64,48.66,49.38,50.74,,,,53.4567,0,50.3489,0,59258,,,,,0
2023-08-22,49.56,51.50,48.72,51.31,49.26,50.65,,,,53.4567,0,44.7500,1,120250,,,,,0
2023-08-23,51.54,53.60,51.10,53.18,49.55,50.67,,,,53.4567,0,44.8850,1,87359,,,,,0
2023-08-24,53.91,54.28,51.78,52.12,49.77,50.64,,,,53.4567,0,45.2338,1,117505,,,,,0
2023-08-25,52.30,52.47,51.50,51.59,49.98,50.60,,,,53.4567,0,45.7766,1,64173,,,,,0
2023-08-28,51.37,52.00,50.79,51.08,50.03,50.54,,,,53.4567,0,46.2868,1,75154,,,,,0
2023-08-29,51.32,53.55,51.08,52.97,50.19,50.61,,,,53.4567,0,46.7664,1,70095,,,,,0
2023-08-30,53.12,53.47,52.21,52.63,50.77,50.72,,,,53.4567,0,47.2172,1,50504,,,,,0
2023-08-31,53.55,54.66,53.48,54.13,51.57,50.88,,,,47.8997,1,47.6410,1,69920,,0.0324,-0.7413,0.7737,0
2023-09-01,54.35,54.40,53.58,53.89,52.16,50.95,,,,48.1907,1,48.2025,1,69426,,0.1999,-0.5531,0.7530,0
2023-09-05,53.11,53.72,52.59,52.97,52.59,50.98,,,,48.1907,1,48.7191,1,63188,,0.2555,-0.3913,0.6469,0
2023-09-06,52.79,53.06,52.15,52.33,52.69,50.98,,,,48.1907,1,49.1944,1,61760,,0.2451,-0.2640,0.5092,0
2023-09-07,50.92,51.56,49.76,49.83,52.35,50.95,,,,48.1907,1,49.6316,1,89076,,0.0348,-0.2043,0.2391,0
2023-09-08,50.00,50.13,49.35,49.66,52.11,50.94,,,,48.1907,1,54.6600,0,37975,,-0.1440,-0.1922,0.0482,0
2023-09-11,49.98,50.10,48.47,48.52,51.80,50.89,,,,48.1907,1,54.5538,0,68559,,-0.3734,-0.2285,-0.1449,0
2023-09-12,48.18,48.67,47.67,47.83,51.48,50.75,,,,53.1553,0,54.3104,0,41622,,-0.6039,-0.3035,-0.3003,0
2023-09-13,47.68,47.98,45.58,47.01,50.88,50.54,,,,51.9868,0,53.9120,0,87091,,-0.8430,-0.4114,-0.4316,0
2023-09-14,47.26,48.37,47.04,48.24,50.44,50.61,,,,51.9868,0,53.2455,0,52094,,-0.9226,-0.5137,-0.4089,0
2023-09-15,48.16,48.74,47.53,48.25,49.85,50.71,,,,51.9868,0,52.6322,0,80119,,-0.9737,-0.6057,-0.3680,0
2023-09-18,47.96,48.71,47.45,48.36,49.30,50.73,,,,51.9868,0,52.0680,0,48002,,-0.9938,-0.6833,-0.3105,0
2023-09-19,48.44,48.76,47.60,47.86,48.79,50.69,,,,51.9868,0,51.5490,0,55173,,-1.0381,-0.7543,-0.2839,0
2023-09-20,48.28,48.94,48.16,48.33,48.39,50.54,,,,51.9868,0,51.0715,0,41728,,-1.0235,-0.8081,-0.2154,0
2023-09-21,47.59,47.67,45.80,46.62,48.07,50.21,,,,51.5892,0,50.6322,0,59972,,-1.1369,-0.8739,-0.2630,0
2023-09-22,46.97,47.39,46.22,46.41,47.74,49.93,,,,51.5238,0,50.2280,0,54406,,-1.2294,-0.9450,-0.2845,0
2023-09-25,45.91,46.56,45.76,45.99,47.49,49.65,50.59,,,50.6452,0,49.8562,0,51141,75851,-1.3215,-1.0203,-0.3012,0
2023-09-26,45.70,45.80,44.58,44.80,47.19,49.33,50.44,,,49.6519,0,49.5141,0,82943,76073,-1.4734,-1.1109,-0.3625,0
2023-09-27,44.88,45.29,43.41,43.83,46.87,48.87,50.27,,,48.9297,0,49.0207,0,82567,75201,-1.6531,-1.2193,-0.4337,0
2023-09-28,44.03,45.30,43.89,44.95,46.54,48.49,50.11,,,48.9297,0,48.3474,0,61973,74925,-1.6857,-1.3126,-0.3731,0
