Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,444.92,454.76,444.77,453.39,,,,,,,0,444.7685,1,1217156,,,,,0
2023-07-21,454.94,456.54,451.58,451.65,,,,,,,0,444.7685,1,1028824,,,,,0
2023-07-24,451.61,455.17,447.38,448.99,,,,,,,0,444.7685,1,1006232,,,,,0
2023-07-25,447.47,450.56,446.33,447.25,,,,,,,0,445.0039,1,795113,,,,,0
2023-07-26,444.77,444.77,436.52,443.39,,,,,,,0,456.5378,0,888946,,,,,0
2023-07-27,443.13,448.37,442.08,444.76,,,,,,,0,456.1374,0,856974,,,,,0
2023-07-28,444.90,449.24,441.62,448.17,,,,,,,0,455.7450,0,659111,,,,,0
2023-07-31,448.70,448.70,440.66,444.33,,,,,,,0,455.3605,0,959191,,,,,0
2023-08-01,445.11,447.09,441.30,442.90,,,,,,,0,454.9836,0,787561,,,,,0
2023-08-02,444.99,451.26,441.17,444.26,446.91,,,,,468.8662,0,454.6143,0,1075572,,,,,0
2023-08-03,440.64,443.89,438.18,439.06,445.48,,,,,463.2443,0,454.2524,0,1084317,,,,,0
2023-08-04,439.14,442.30,436.84,439.38,444.25,,,,,461.1934,0,453.8977,0,840726,,,,,0
2023-08-07,443.06,444.77,440.45,443.87,443.74,,,,,461.1934,0,453.5501,0,1110861,,,,,0
2023-08-08,494.62,525.90,491.41,509.87,450.00,,,,,465.0733,1,436.5183,1,7873291,,,,,0
2023-08-09,508.67,520.56,505.27,514.40,457.10,,,,,469.1021,1,438.3060,1,2829328,,,,,0
2023-08-10,511.70,516.85,508.30,509.62,463.59,,,,,470.5796,1,440.0579,1,2141926,,,,,0
2023-08-11,511.94,519.85,508.31,516.40,470.41,,,,,472.8211,1,441.7748,1,1333537,,,,,0
2023-08-14,520.45,531.24,518.46,527.03,478.68,,,,,483.2653,1,443.4573,1,2141832,,,,,0
2023-08-15,526.76,536.13,522.90,535.47,487.94,,,,,488.1164,1,446.9687,1,1545185,,,,,0
2023-08-16,536.24,541.60,531.44,535.10,497.02,471.96,,,,496.2126,1,452.3184,1,1418640,,,,,0
2023-08-17,532.13,537.61,526.43,526.70,505.78,475.63,,,,496.2126,1,459.4606,1,1370979,,,,,0
2023-08-18,524.12,536.60,523.01,535.29,515.37,479.81,,,,496.2126,1,466.0314,1,1616668,,,,,0
2023-08-21,535.84,542.21,534.62,538.83,524.87,484.30,,,,500.3734,1,472.0766,1,1268085,,,,,0
2023-08-22,538.32,544.76,536.12,542.37,528.12,489.06,,,,503.6086,1,479.0903,1,1072218,,,,,0
2023-08-23,545.37,546.03,537.03,542.08,530.89,493.99,,,,505.6833,1,486.9707,1,1173843,,,,,0
2023-08-24,541.43,545.62,536.14,536.83,533.61,498.60,,,,505.7720,1,495.2396,1,973632,,,,,0
2023-08-25,538.42,544.76,535.92,542.36,536.21,503.31,,,,506.0934,1,502.3508,1,1022924,,,,,0
2023-08-28,538.91,544.89,538.90,542.62,537.76,508.22,,,,509.2752,1,508.4664,1,760920,,,,,0
2023-08-29,542.16,545.01,538.65,542.61,538.48,513.21,,,,510.5614,1,513.7258,1,942295,,,,,0
2023-08-30,543.69,546.38,535.89,536.82,538.65,517.83,,,,510.5614,1,518.2490,1,1200701,,,,,0
2023-08-31,535.87,546.04,531.93,542.90,540.27,523.03,,,,510.5614,1,522.7494,1,1686652,,,,,0
