Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,149.05,151.82,149.02,150.15,,,,,,,0,149.0208,1,253765,,,,,0
2023-07-18,150.70,153.64,150.52,153.55,,,,,,,0,149.0208,1,189804,,,,,0
2023-07-19,153.78,154.16,150.30,152.47,,,,,,,0,149.0208,1,207191,,,,,0
2023-07-20,152.57,153.63,151.14,151.88,,,,,,,0,149.2262,1,185741,,,,,0
2023-07-21,152.64,154.52,152.01,153.24,,,,,,,0,149.4234,1,125310,,,,,0
2023-07-24,154.03,156.45,153.21,154.57,,,,,,,0,149.7294,1,168708,,,,,0
2023-07-25,154.95,156.13,154.59,156.04,,,,,,,0,150.2672,1,169397,,,,,0
2023-07-26,155.32,157.50,154.48,154.94,,,,,,,0,150.7619,1,190125,,,,,0
2023-07-27,155.47,156.34,153.39,153.84,,,,,,,0,151.4355,1,155281,,,,,0
2023-07-28,153.84,154.58,151.94,154.53,153.52,,,,,161.8652,0,157.4978,0,191906,,,,,0
2023-07-31,155.15,157.37,155.02,156.81,154.19,,,,,161.8652,0,157.3866,0,212992,,,,,0
2023-08-01,156.18,156.55,154.76,155.25,154.36,,,,,161.8652,0,157.3719,0,159753,,,,,0
2023-08-02,153.52,154.98,152.00,154.17,154.53,,,,,161.8652,0,157.3719,0,193562,,,,,0
2023-08-03,151.42,160.04,150.47,159.69,155.31,,,,,161.8652,0,151.9369,1,380823,,,,,0
2023-08-04,159.35,161.39,157.95,158.17,155.80,,,,,161.8652,0,150.4740,1,198932,,,,,0
2023-08-07,158.88,159.18,156.56,157.02,156.05,,,,,161.8652,0,150.4740,1,171789,,,,,0
2023-08-08,156.11,159.01,154.90,158.48,156.29,,,,,161.8652,0,150.9108,1,206015,,,,,0
2023-08-09,160.25,165.66,160.25,162.60,157.06,,,,,151.4053,1,151.3300,1,414356,,,,,0
2023-08-10,162.91,163.54,160.60,162.09,157.88,,,,,151.4053,1,152.1899,1,269627,,,,,0
2023-08-11,160.97,162.47,160.82,162.19,158.65,156.08,,,,151.4053,1,152.9982,1,164772,,,,,0
2023-08-14,162.18,162.26,158.43,159.84,158.95,156.57,,,,151.4053,1,153.7580,1,216386,,,,,0
2023-08-15,159.26,159.51,156.69,157.68,159.19,156.78,,,,151.4053,1,154.4722,1,175333,,,,,0
2023-08-16,157.52,159.64,155.39,155.57,159.33,156.93,,,,151.4053,1,155.1436,1,171531,,,,,0
2023-08-17,156.88,159.39,156.69,158.68,159.23,157.27,,,,151.4053,1,155.3867,1,208698,,,,,0
2023-08-18,157.68,159.38,157.68,159.17,159.33,157.57,,,,151.4053,1,155.3867,1,164113,,,,,0
2023-08-21,159.90,160.24,157.99,159.40,159.57,157.81,,,,151.4053,1,156.0032,1,168529,,,,,0
2023-08-22,159.02,163.38,159.02,162.07,159.93,158.11,,,,151.4053,1,156.5827,1,286383,,,,,0
2023-08-23,161.21,161.75,158.81,161.61,159.83,158.44,,,,151.4053,1,157.1274,1,203087,,,,,0
2023-08-24,160.70,161.14,156.29,156.33,159.25,158.57,,,,151.4053,1,165.6616,0,295477,,,,,0
