Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,16.53,16.63,16.18,16.59,,,,,,,0,16.1800,1,932,,,,,0
2023-07-21,16.77,16.77,16.40,16.60,,,,,,,0,16.1800,1,1240,,,,,0
2023-07-24,16.59,16.97,16.38,16.95,,,,,,,0,16.1800,1,1095,,,,,0
2023-07-25,16.84,17.22,16.84,17.02,,,,,,,0,16.2116,1,1096,,,,,0
2023-07-26,16.98,17.27,16.66,17.16,,,,,,,0,16.2721,1,949,,,,,0
2023-07-27,17.07,17.47,16.80,16.95,,,,,,,0,16.3519,1,1995,,,,,0
2023-07-28,17.11,17.23,16.58,16.60,,,,,,,0,16.4637,1,850,,,,,0
2023-07-31,16.59,16.87,16.57,16.78,,,,,,,0,16.5644,1,1067,,,,,0
2023-08-01,16.67,16.91,16.59,16.87,,,,,,,0,16.5700,1,978,,,,,0
2023-08-02,16.73,16.91,16.56,16.65,16.82,,,,,18.1420,0,17.4700,0,1357,,,,,0
2023-08-03,17.06,18.54,16.61,18.29,16.99,,,,,15.7297,1,16.5600,1,3554,,,,,0
2023-08-04,18.09,18.30,17.37,18.00,17.13,,,,,15.8952,1,16.5600,1,2293,,,,,0
2023-08-07,17.95,17.98,17.21,17.88,17.22,,,,,15.8952,1,16.5996,1,1590,,,,,0
2023-08-08,17.68,18.38,17.17,18.33,17.35,,,,,15.8952,1,16.6384,1,1630,,,,,0
2023-08-09,18.26,18.59,18.13,18.57,17.49,,,,,16.2892,1,16.6764,1,1935,,,,,0
2023-08-10,18.57,18.85,17.70,17.93,17.59,,,,,16.2892,1,16.7530,1,1483,,,,,0
2023-08-11,17.80,18.04,17.78,17.82,17.71,,,,,16.2892,1,16.8788,1,1039,,,,,0
2023-08-14,17.70,18.26,17.62,18.23,17.86,,,,,16.2892,1,16.9971,1,1088,,,,,0
2023-08-15,18.23,18.82,18.23,18.58,18.03,,,,,16.5019,1,17.1083,1,2066,,,,,0
2023-08-16,18.52,18.87,18.52,18.70,18.23,17.53,,,,16.7692,1,17.2128,1,1821,,,,,0
2023-08-17,18.68,18.78,18.18,18.34,18.24,17.61,,,,16.7692,1,17.3453,1,1223,,,,,0
2023-08-18,18.13,18.58,18.13,18.22,18.26,17.69,,,,16.7692,1,17.4673,1,1079,,,,,0
2023-08-21,18.20,18.56,18.03,18.50,18.32,17.77,,,,16.7692,1,17.5795,1,2301,,,,,0
2023-08-22,18.49,18.65,18.12,18.20,18.31,17.83,,,,16.7692,1,17.6828,1,699,,,,,0
2023-08-23,18.11,18.50,18.11,18.34,18.29,17.89,,,,16.7692,1,17.7777,1,972,,,,,0
2023-08-24,18.24,18.38,17.54,17.60,18.25,17.92,,,,16.7692,1,18.8700,0,1339,,,,,0
2023-08-25,17.59,18.12,17.59,18.07,18.28,18.00,,,,16.7692,1,18.8434,0,1863,,,,,0
2023-08-28,18.13,18.34,18.08,18.22,18.28,18.07,,,,16.7692,1,18.8173,0,1600,,,,,0
2023-08-29,18.16,18.40,18.04,18.22,18.24,18.13,,,,16.7692,1,18.7918,0,2742,,,,,0
2023-08-30,18.15,18.70,17.98,18.66,18.24,18.23,,,,16.7692,1,18.7668,0,4047,,,,,0
2023-08-31,18.71,18.71,18.16,18.25,18.23,18.23,,,,16.7692,1,18.7422,0,3984,,,,,0
2023-09-01,18.34,18.35,17.76,17.89,18.19,18.23,,,,16.7692,1,18.7182,0,3107,,,,,0
2023-09-05,17.69,17.73,16.95,17.48,18.09,18.21,,,,16.7692,1,18.7100,0,4022,,,,,0
2023-09-06,17.58,17.58,17.19,17.22,17.99,18.15,,,,16.7692,1,18.6396,0,1293,,0.1264,0.3096,-0.1832,0
2023-09-07,17.13,17.13,16.80,16.92,17.85,18.07,,,,16.7692,1,18.5720,0,1985,,0.0366,0.2550,-0.2184,0
2023-09-08,16.89,16.91,16.53,16.81,17.77,18.01,,,,16.7692,1,18.4657,0,1256,,-0.0430,0.1954,-0.2384,0
2023-09-11,17.11,17.94,17.02,17.85,17.75,18.01,,,,16.7692,1,18.3108,0,1703,,-0.0219,0.1519,-0.1738,0
2023-09-12,17.79,18.15,17.60,17.91,17.72,18.00,,,,16.7692,1,18.1684,0,1572,,-0.0003,0.1215,-0.1218,0
2023-09-13,17.99,18.07,17.76,17.83,17.68,17.96,,,,16.7692,1,18.1500,0,1344,,0.0103,0.0992,-0.0890,0
2023-09-14,18.00,18.49,17.83,18.46,17.66,17.95,,,,16.7692,1,16.5300,1,1744,,0.0686,0.0931,-0.0245,0
2023-09-15,18.45,18.45,18.04,18.18,17.65,17.94,,,,16.7692,1,16.5692,1,15017,,0.0913,0.0928,-0.0015,0
2023-09-18,18.37,18.37,17.92,17.95,17.66,17.93,,,,16.7692,1,16.6076,1,1519,,0.0896,0.0921,-0.0025,0
2023-09-19,17.99,18.11,17.94,17.97,17.71,17.90,,,,16.7692,1,16.6453,1,1143,,0.0889,0.0915,-0.0026,0
2023-09-20,18.02,18.12,17.52,17.54,17.74,17.87,,,,16.7692,1,16.6822,1,2364,,0.0530,0.0838,-0.0308,0
