Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,43.04,43.38,42.83,43.13,,,,,,,0,42.8323,1,12902,,,,,0
2023-07-17,43.04,43.55,42.54,43.55,,,,,,,0,43.5462,0,22732,,,,,0
2023-07-18,43.76,43.97,42.75,42.96,,,,,,,0,42.5384,1,15922,,,,,0
2023-07-19,43.59,43.92,43.34,43.63,,,,,,,0,42.5384,1,19828,,,,,0
2023-07-20,43.55,43.67,42.96,43.50,,,,,,,0,42.5669,1,12541,,,,,0
2023-07-21,43.71,44.09,43.38,43.71,,,,,,,0,42.5949,1,11347,,,,,0
2023-07-24,43.59,44.22,43.42,44.18,,,,,,,0,42.6548,1,11725,,,,,0
2023-07-25,43.92,44.47,43.76,44.34,,,,,,,0,42.7486,1,12521,,,,,0
2023-07-26,44.47,45.06,44.47,44.93,,,,,,,0,42.8863,1,11844,,,,,0
2023-07-27,45.06,45.14,43.59,43.88,43.78,,,,,47.0483,0,43.1035,1,14475,,,,,0
2023-07-28,44.13,44.26,43.21,43.25,43.79,,,,,46.4651,0,45.1419,0,13512,,,,,0
2023-07-31,43.25,43.38,42.03,42.29,43.67,,,,,45.5664,0,45.1419,0,30036,,,,,0
2023-08-01,42.29,42.50,41.66,41.95,43.57,,,,,44.9024,0,45.0176,0,20180,,,,,0
2023-08-02,41.78,42.75,41.36,41.87,43.39,,,,,44.9024,0,44.8159,0,20623,,,,,0
2023-08-03,41.70,41.70,40.69,41.57,43.20,,,,,44.2106,0,44.5397,0,17180,,,,,0
2023-08-04,41.70,42.16,41.32,41.66,42.99,,,,,44.2106,0,44.1548,0,15122,,,,,0
2023-08-07,41.45,42.16,41.24,42.16,42.79,,,,,44.2106,0,43.8084,0,18903,,,,,0
2023-08-08,41.70,42.03,41.40,41.87,42.54,,,,,44.2106,0,43.4966,0,10269,,,,,0
2023-08-09,41.78,42.08,41.45,41.82,42.23,,,,,44.2106,0,43.2160,0,17206,,,,,0
2023-08-10,41.91,42.16,41.32,41.36,41.98,42.88,,,,44.2106,0,42.9635,0,13992,,,,,0
2023-08-11,41.03,41.45,40.98,41.45,41.80,42.80,,,,43.8327,0,42.7362,0,19946,,,,,0
2023-08-14,41.28,41.36,40.40,40.69,41.64,42.65,,,,43.5500,0,42.5316,0,20709,,,,,0
2023-08-15,40.19,40.52,40.06,40.35,41.48,42.52,,,,42.8840,0,42.2755,0,10798,,,,,0
2023-08-16,40.48,40.48,39.85,39.85,41.28,42.33,,,,42.6878,0,41.9654,0,17555,,,,,0
2023-08-17,39.77,40.10,39.39,39.47,41.07,42.13,,,,42.2298,0,41.6271,0,18267,,,,,0
2023-08-18,39.09,39.85,39.09,39.72,40.88,41.93,,,,41.9353,0,41.2242,0,10334,,,,,0
2023-08-21,39.56,39.60,39.01,39.26,40.59,41.69,,,,41.7352,0,40.7984,0,10003,,,,,0
2023-08-22,39.51,39.77,39.09,39.72,40.37,41.46,,,,41.7352,0,40.4409,0,10402,,,,,0
2023-08-23,39.89,41.07,39.81,41.03,40.29,41.26,,,,41.7352,0,39.0110,1,17472,,,,,0
2023-08-24,40.98,41.49,40.44,40.52,40.21,41.09,,,,41.7352,0,39.0521,1,22604,,,,,0
2023-08-25,40.77,40.94,40.23,40.40,40.10,40.95,,,,41.7352,0,39.1496,1,15877,,,,,0
