Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,75.42,77.13,75.22,76.86,,,,,,,0,75.2249,1,14777,,,,,0
2023-07-18,77.33,79.74,77.26,79.38,,,,,,,0,75.2249,1,18192,,,,,0
2023-07-19,79.56,80.40,78.17,79.55,,,,,,,0,75.2249,1,24554,,,,,0
2023-07-20,79.75,79.75,78.81,79.23,,,,,,,0,75.4317,1,13952,,,,,0
2023-07-21,80.27,90.96,80.14,85.21,,,,,,,0,75.6303,1,72166,,,,,0
2023-07-24,84.60,87.33,84.46,86.18,,,,,,,0,76.5501,1,26510,,,,,0
2023-07-25,85.97,88.37,85.97,87.31,,,,,,,0,77.4148,1,18209,,,,,0
2023-07-26,87.31,88.64,87.14,88.30,,,,,,,0,78.2275,1,15778,,,,,0
2023-07-27,88.87,89.43,87.41,88.12,,,,,,,0,78.9915,1,18259,,,,,0
2023-07-28,88.92,90.47,88.92,90.36,84.05,,,,,98.9385,0,79.7097,1,22460,,,,,0
2023-07-31,90.36,91.05,89.77,90.17,85.38,,,,,98.9385,0,80.3847,1,13570,,,,,0
2023-08-01,88.90,91.00,87.91,90.66,86.51,,,,,98.2115,0,81.2377,1,15514,,,,,0
2023-08-02,88.28,93.24,88.28,91.46,87.70,,,,,98.2115,0,82.0225,1,33065,,,,,0
2023-08-03,91.24,93.14,90.92,92.96,89.07,,,,,98.2115,0,83.1439,1,21912,,,,,0
2023-08-04,92.92,93.77,92.19,92.72,89.82,,,,,98.2115,0,84.1532,1,14520,,,,,0
2023-08-07,92.99,94.38,92.38,93.61,90.57,,,,,98.2115,0,85.3071,1,16545,,,,,0
2023-08-08,91.81,92.47,90.48,92.29,91.07,,,,,98.2115,0,86.5772,1,14214,,,,,0
2023-08-09,91.73,91.86,91.03,91.36,91.37,,,,,98.2115,0,87.6695,1,9767,,,,,0
2023-08-10,91.50,93.03,90.95,91.63,91.72,,,,,98.2115,0,88.6088,1,10856,,,,,0
2023-08-11,91.64,91.77,90.72,91.11,91.80,87.92,,,,98.2115,0,89.4166,1,11406,,,,,0
2023-08-14,90.54,92.41,89.03,92.28,92.01,88.69,,,,98.2115,0,94.3790,0,17291,,,,,0
2023-08-15,91.22,91.45,90.04,90.07,91.95,89.23,,,,98.2115,0,94.2720,0,16543,,,,,0
2023-08-16,90.03,90.85,87.68,87.85,91.59,89.64,,,,97.0182,0,94.1670,0,15772,,,,,0
2023-08-17,88.23,88.84,85.99,86.37,90.93,90.00,,,,95.2503,0,93.9076,0,21163,,,,,0
2023-08-18,85.37,86.89,85.25,85.55,90.21,90.02,,,,93.6118,0,93.4323,0,33192,,,,,0
2023-08-21,85.57,86.32,84.32,85.45,89.40,89.98,,,,92.7132,0,92.7777,0,26207,,,,,0
2023-08-22,85.57,85.61,83.29,84.02,88.57,89.82,,,,91.7970,0,91.9320,0,16750,,,,,0
2023-08-23,83.56,84.62,82.64,84.07,87.84,89.61,,,,90.8349,0,90.8955,0,31071,,,,,0
2023-08-24,83.70,84.35,83.24,83.50,87.03,89.37,,,,90.6128,0,89.7391,0,20234,,,,,0
2023-08-25,83.49,84.86,82.63,84.23,86.34,89.07,,,,90.5533,0,88.7447,0,9406,,,,,0
2023-08-28,84.69,85.68,84.37,84.46,85.56,88.78,,,,90.5533,0,87.7658,0,7886,,,,,0
2023-08-29,84.84,86.63,83.59,86.33,85.18,88.57,,,,90.5533,0,86.9435,0,8998,,,,,0
2023-08-30,85.83,87.22,85.83,86.67,85.07,88.33,,,,90.5533,0,82.6264,1,10153,,,,,0
