Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,14.05,14.14,13.90,14.07,,,,,,,0,13.8952,1,1502,,,,,0
2023-07-21,14.13,14.14,13.90,14.06,,,,,,,0,13.8952,1,2143,,,,,0
2023-07-24,14.19,14.54,14.06,14.09,,,,,,,0,13.8952,1,3524,,,,,0
2023-07-25,14.16,14.17,13.95,14.14,,,,,,,0,13.9047,1,2000,,,,,0
2023-07-26,14.20,14.33,14.05,14.27,,,,,,,0,13.9299,1,11090,,,,,0
2023-07-27,14.39,14.50,14.13,14.20,,,,,,,0,13.9518,1,3866,,,,,0
2023-07-28,14.20,14.51,14.20,14.44,,,,,,,0,13.9752,1,2667,,,,,0
2023-07-31,14.48,14.81,14.48,14.71,,,,,,,0,13.9976,1,4109,,,,,0
2023-08-01,14.64,14.87,14.53,14.84,,,,,,,0,14.0463,1,3372,,,,,0
2023-08-02,15.08,15.60,15.00,15.15,14.40,,,,,16.3830,0,14.1119,1,8282,,,,,0
2023-08-03,15.13,15.38,15.06,15.33,14.52,,,,,16.2879,0,14.2609,1,4515,,,,,0
2023-08-04,15.33,15.54,15.27,15.33,14.65,,,,,16.2879,0,14.3950,1,4628,,,,,0
2023-08-07,15.48,15.79,15.48,15.55,14.80,,,,,16.2879,0,14.5156,1,7852,,,,,0
2023-08-08,15.45,15.68,15.43,15.53,14.93,,,,,16.2879,0,14.6685,1,3976,,,,,0
2023-08-09,15.50,15.57,15.41,15.46,15.05,,,,,16.2879,0,14.8031,1,3018,,,,,0
2023-08-10,15.50,15.59,15.36,15.40,15.17,,,,,16.2879,0,14.9215,1,2304,,,,,0
2023-08-11,15.32,15.40,15.27,15.34,15.26,,,,,16.2387,0,15.0258,1,1568,,,,,0
2023-08-14,15.28,15.32,15.15,15.27,15.32,,,,,16.1014,0,15.1175,1,1787,,,,,0
2023-08-15,15.22,15.28,15.13,15.22,15.36,,,,,16.0316,0,15.7900,0,1656,,,,,0
2023-08-16,15.20,15.32,15.18,15.24,15.37,14.88,,,,16.0316,0,15.7768,0,1538,,,,,0
2023-08-17,15.25,15.30,14.93,15.21,15.35,14.94,,,,15.9336,0,15.7639,0,6446,,,,,0
2023-08-18,15.15,15.32,15.15,15.29,15.35,15.00,,,,15.9336,0,15.7306,0,3562,,,,,0
2023-08-21,15.29,15.31,14.74,14.74,15.27,15.03,,,,15.9042,0,15.6987,0,3505,,,,,0
2023-08-22,14.73,14.87,14.56,14.76,15.19,15.06,,,,15.5940,0,15.6414,0,2885,,,,,0
2023-08-23,14.84,14.85,14.64,14.77,15.12,15.09,,,,15.5940,0,15.5545,0,2238,,,,,0
2023-08-24,14.72,14.78,14.54,14.59,15.04,15.11,,,,15.5036,0,15.4745,0,2401,,,,,0
2023-08-25,14.66,14.71,14.52,14.55,14.97,15.11,,,,15.4286,0,15.3806,0,1777,,,,,0
2023-08-28,14.45,14.68,14.45,14.51,14.89,15.10,,,,15.3676,0,15.2769,0,1560,,,,,0
2023-08-29,14.50,14.51,14.35,14.45,14.81,15.08,,,,15.1982,0,15.1611,0,4514,,,,,0
2023-08-30,14.46,14.71,14.40,14.71,14.76,15.06,,,,15.1982,0,15.0307,0,3297,,,,,0
2023-08-31,14.73,14.91,14.34,14.38,14.68,15.02,,,,15.1982,0,14.9211,0,3302,,,,,0
2023-09-01,14.38,14.50,14.31,14.39,14.59,14.97,,,,15.1982,0,14.9140,0,1667,,,,,0
2023-09-05,14.29,14.46,14.19,14.34,14.55,14.91,,,,15.1706,0,14.9140,0,2977,,,,,0
2023-09-06,14.41,14.41,14.18,14.28,14.50,14.85,,,,15.1241,0,14.7700,0,3369,,-0.1241,-0.0442,-0.0798,0
2023-09-07,14.26,14.26,13.85,14.09,14.43,14.78,,,,14.9322,0,14.6511,0,4065,,-0.1519,-0.0658,-0.0861,0
2023-09-08,14.05,14.05,13.87,13.95,14.36,14.70,,,,14.8153,0,14.4916,0,2844,,-0.1833,-0.0893,-0.0940,0
2023-09-11,13.98,14.11,13.92,13.98,14.31,14.64,,,,14.8153,0,14.3639,0,1634,,-0.2035,-0.1121,-0.0914,0
2023-09-12,13.92,14.04,13.85,13.88,14.24,14.57,,,,14.7470,0,14.2618,0,3448,,-0.2246,-0.1346,-0.0900,0
2023-09-13,13.88,13.97,13.70,13.95,14.19,14.50,,,,14.6330,0,14.1802,0,2712,,-0.2333,-0.1543,-0.0789,0
2023-09-14,14.09,14.39,13.99,14.11,14.13,14.45,,,,14.6330,0,13.7019,1,3272,,-0.2245,-0.1684,-0.0562,0
2023-09-15,14.11,14.20,13.99,14.10,14.11,14.39,,,,14.6330,0,13.7019,1,6653,,-0.2159,-0.1779,-0.0380,0
2023-09-18,14.15,14.36,14.11,14.29,14.10,14.34,,,,14.6330,0,13.7157,1,1877,,-0.1916,-0.1806,-0.0110,0
2023-09-19,14.38,14.42,14.23,14.33,14.09,14.32,,,,14.6330,0,13.7293,1,2539,,-0.1673,-0.1780,0.0106,0
2023-09-20,14.36,14.46,14.29,14.31,14.10,14.30,,,,14.6330,0,13.7570,1,6262,,-0.1479,-0.1720,0.0240,0
2023-09-21,14.29,14.75,14.29,14.54,14.14,14.29,,,,14.6330,0,13.7991,1,3965,,-0.1129,-0.1602,0.0472,0
2023-09-22,14.55,14.68,14.39,14.39,14.19,14.28,,,,14.6330,0,13.8754,1,1430,,-0.0955,-0.1472,0.0517,0
2023-09-25,14.41,14.98,14.39,14.76,14.27,14.29,,,,13.7685,1,13.9456,1,3361,,-0.0514,-0.1281,0.0767,0
2023-09-26,14.74,14.90,14.60,14.67,14.34,14.29,,,,13.8256,1,14.0491,1,3182,,-0.0237,-0.1072,0.0835,0
2023-09-27,14.80,14.88,14.58,14.71,14.42,14.31,,,,13.8256,1,14.1422,1,2468,,0.0012,-0.0855,0.0867,0
2023-09-28,14.73,14.85,14.57,14.68,14.48,14.31,14.63,,,13.8256,1,14.2260,1,3241,3437,0.0185,-0.0647,0.0832,0
2023-09-29,14.72,14.75,14.57,14.68,14.53,14.32,14.64,,,13.8256,1,14.3014,1,2615,3459,0.0318,-0.0454,0.0772,0
2023-10-02,14.83,14.90,14.70,14.77,14.58,14.34,14.65,,,13.9442,1,14.3693,1,3618,3489,0.0494,-0.0264,0.0759,0
2023-10-03,14.70,14.88,14.59,14.68,14.62,14.36,14.66,,,13.9442,1,14.4304,1,2787,3474,0.0551,-0.0101,0.0653,0
2023-10-04,14.61,14.83,14.49,14.83,14.67,14.38,14.68,,,13.9442,1,14.4854,1,3505,3504,0.0711,0.0061,0.0649,0
2023-10-05,14.80,14.97,14.77,14.87,14.70,14.42,14.69,,,14.0265,1,14.4879,1,4649,3375,0.0857,0.0220,0.0637,0
2023-10-06,14.82,15.04,14.77,14.90,14.75,14.47,14.70,,,14.0646,1,14.4879,1,3836,3375,0.0993,0.0375,0.0618,0
2023-10-09,14.82,14.92,14.81,14.90,14.77,14.52,14.71,,,14.0766,1,14.5538,1,3206,3385,0.1088,0.0517,0.0570,0
2023-10-10,14.90,15.02,14.79,14.81,14.78,14.56,14.72,,,14.1253,1,14.6118,1,3775,3379,0.1074,0.0629,0.0445,0
2023-10-11,14.85,14.89,14.60,14.75,14.79,14.60,14.71,,,14.1253,1,15.0371,0,2555,3362,0.1006,0.0704,0.0302,0
2023-10-12,14.72,14.92,14.68,14.91,14.81,14.64,14.71,,,14.1253,1,15.0284,0,5286,3302,0.1069,0.0777,0.0292,0
2023-10-13,14.91,14.91,14.59,14.73,14.82,14.68,14.70,,,14.1253,1,15.0198,0,4388,3300,0.0963,0.0814,0.0149,0
2023-10-16,14.77,14.87,14.72,14.74,14.81,14.70,14.69,,,14.1253,1,15.0027,0,3466,3277,0.0877,0.0827,0.0050,0
2023-10-17,14.73,15.02,14.72,14.85,14.83,14.72,14.67,,,14.1253,1,14.5920,1,4779,3215,0.0882,0.0838,0.0044,0
2023-10-18,14.83,14.92,14.71,14.71,14.82,14.74,14.66,,,14.1253,1,14.6005,1,3973,3215,0.0763,0.0823,-0.0060,0
2023-10-19,14.75,14.92,14.59,14.67,14.80,14.75,14.64,,,14.1253,1,15.0181,0,2567,3206,0.0631,0.0785,-0.0154,0
2023-10-20,14.68,14.87,14.54,14.63,14.77,14.76,14.62,,,14.1253,1,15.0096,0,2418,3208,0.0490,0.0726,-0.0236,0
2023-10-23,14.58,14.75,14.51,14.58,14.74,14.75,14.61,,,14.1253,1,14.9910,0,2285,3223,0.0336,0.0648,-0.0312,0
2023-10-24,14.61,14.66,14.48,14.55,14.71,14.75,14.59,,,14.1253,1,14.9620,0,2642,3240,0.0189,0.0556,-0.0367,0
2023-10-25,14.56,14.63,14.37,14.46,14.68,14.74,14.58,,,14.1253,1,14.9233,0,2161,3250,-0.0004,0.0444,-0.0448,0
2023-10-26,14.41,14.51,14.31,14.51,14.64,14.73,14.56,,,14.1253,1,14.8684,0,2324,3266,-0.0117,0.0332,-0.0449,0
2023-10-27,14.46,14.51,14.30,14.39,14.61,14.71,14.55,,,14.1253,1,14.8011,0,2643,3190,-0.0295,0.0206,-0.0502,0
2023-10-30,14.45,14.70,14.45,14.59,14.59,14.70,14.53,,,14.1253,1,14.7308,0,2336,3165,-0.0273,0.0110,-0.0383,0
2023-10-31,14.54,14.79,14.54,14.72,14.58,14.71,14.53,,,14.1253,1,14.2985,1,2710,3149,-0.0154,0.0058,-0.0212,0
2023-11-01,14.28,14.70,14.28,14.50,14.56,14.69,14.53,,,14.1253,1,14.7909,0,4613,3184,-0.0233,-0.0001,-0.0232,0
2023-11-02,14.72,14.76,14.31,14.49,14.54,14.67,14.52,,,14.1253,1,14.7909,0,4786,3235,-0.0299,-0.0060,-0.0239,0
2023-11-03,14.73,14.88,14.56,14.74,14.55,14.66,14.53,,,14.1253,1,14.2795,1,5856,3304,-0.0144,-0.0077,-0.0067,0
2023-11-06,14.68,14.71,14.56,14.63,14.56,14.65,14.53,,,14.1253,1,14.2915,1,3203,3332,-0.0112,-0.0084,-0.0028,0
2023-11-07,14.56,14.57,14.37,14.47,14.55,14.63,14.53,,,14.1253,1,14.3032,1,2676,3355,-0.0213,-0.0110,-0.0103,0
2023-11-08,14.43,14.46,14.31,14.45,14.55,14.62,14.53,,,14.1253,1,14.8761,0,4703,3358,-0.0306,-0.0149,-0.0157,0
2023-11-09,14.44,14.49,14.22,14.25,14.52,14.58,14.52,,,14.1253,1,14.8647,0,15998,3613,-0.0533,-0.0226,-0.0307,0
2023-11-10,14.30,14.34,14.18,14.27,14.51,14.56,14.52,,,14.1253,1,14.8391,0,3774,3622,-0.0690,-0.0319,-0.0371,0
2023-11-13,14.19,14.23,14.09,14.22,14.47,14.53,14.51,,,14.1253,1,14.7998,0,3705,3663,-0.0843,-0.0424,-0.0419,0
2023-11-14,14.47,14.52,14.23,14.35,14.44,14.51,14.51,,,14.1253,1,14.7430,0,4595,3695,-0.0855,-0.0510,-0.0345,0
2023-11-15,14.30,14.57,14.30,14.50,14.44,14.50,14.52,,,14.1253,1,14.6908,0,4884,3725,-0.0734,-0.0555,-0.0179,0
2023-11-16,14.33,14.58,14.26,14.47,14.43,14.49,14.52,,,14.1253,1,14.6427,0,3285,3710,-0.0653,-0.0574,-0.0079,0
2023-11-17,14.54,14.54,14.25,14.32,14.39,14.47,14.53,,,14.1253,1,14.5985,0,3456,3722,-0.0703,-0.0600,-0.0103,0
2023-11-20,14.30,14.33,14.10,14.15,14.34,14.45,14.53,,,14.1253,1,14.5826,0,8150,3852,-0.0871,-0.0654,-0.0216,0
2023-11-21,14.01,14.03,13.54,13.80,14.28,14.41,14.53,,,14.6789,0,14.5447,0,11019,4004,-0.1271,-0.0778,-0.0494,0
2023-11-22,13.88,14.06,13.74,13.76,14.21,14.38,14.53,,,14.6789,0,14.4443,0,3349,4016,-0.1601,-0.0942,-0.0659,0
2023-11-24,13.77,13.77,13.45,13.69,14.15,14.34,14.52,,,14.5147,0,14.3540,0,2913,4009,-0.1894,-0.1133,-0.0761,0
2023-11-27,13.58,13.63,13.37,13.59,14.08,14.30,14.51,,,14.4073,0,14.2460,0,6842,4013,-0.2186,-0.1343,-0.0842,0
2023-11-28,13.59,13.61,13.36,13.48,14.01,14.24,14.49,,,14.3762,0,14.1232,0,11224,4200,-0.2473,-0.1569,-0.0904,0
2023-11-29,13.55,13.57,13.38,13.44,13.92,14.18,14.48,,,14.3344,0,14.0009,0,8060,4310,-0.2707,-0.1797,-0.0911,0
2023-11-30,13.47,13.47,13.03,13.24,13.79,14.11,14.46,,,14.1589,0,13.8982,0,9672,4379,-0.3020,-0.2041,-0.0978,0
2023-12-01,13.26,13.56,13.25,13.46,13.69,14.06,14.43,,,14.1589,0,13.7412,0,6645,4432,-0.3048,-0.2243,-0.0805,0
2023-12-04,13.43,13.78,13.43,13.73,13.63,14.01,14.42,,,14.1589,0,13.0261,1,7652,4557,-0.2823,-0.2359,-0.0464,0
2023-12-05,13.67,13.67,13.34,13.36,13.55,13.95,14.39,,,14.1589,0,13.0411,1,4962,4589,-0.2910,-0.2469,-0.0441,0
2023-12-06,13.44,13.51,13.13,13.23,13.50,13.89,14.36,,,14.1589,0,13.0558,1,4598,4617,-0.3052,-0.2586,-0.0466,0
2023-12-07,13.24,13.44,13.18,13.37,13.46,13.83,14.34,,,14.1589,0,13.0703,1,3472,4637,-0.3014,-0.2671,-0.0343,0
2023-12-08,13.32,13.44,13.27,13.39,13.43,13.79,14.31,,,14.1589,0,13.0844,1,4677,4666,-0.2935,-0.2724,-0.0211,0
2023-12-11,13.43,13.68,13.39,13.64,13.43,13.76,14.29,,,14.1589,0,13.0983,1,7770,4769,-0.2642,-0.2708,0.0065,0
2023-12-12,13.66,13.79,13.56,13.72,13.46,13.73,14.27,,,14.1589,0,13.1119,1,6924,4835,-0.2314,-0.2629,0.0315,0
2023-12-13,13.69,14.03,13.60,13.94,13.51,13.71,14.25,,,14.1589,0,13.1389,1,8901,4957,-0.1857,-0.2475,0.0618,0
2023-12-14,14.11,14.20,13.83,13.88,13.57,13.68,14.24,,,14.1589,0,13.1921,1,5007,4987,-0.1522,-0.2284,0.0762,0
2023-12-15,13.92,13.93,13.70,13.89,13.61,13.65,14.22,,,14.1589,0,13.2724,1,45124,5797,-0.1236,-0.2074,0.0839,0
2023-12-18,13.88,13.99,13.66,13.94,13.64,13.63,14.20,,,14.1589,0,13.3463,1,7203,5864,-0.0959,-0.1851,0.0892,0
2023-12-19,13.94,14.11,13.94,14.04,13.70,13.63,14.18,,,14.1589,0,13.4144,1,4483,5890,-0.0648,-0.1611,0.0963,0
2023-12-20,14.03,14.15,13.85,13.91,13.77,13.63,14.16,,,14.1589,0,13.4769,1,5640,5927,-0.0503,-0.1389,0.0886,0
2023-12-21,14.00,14.07,13.86,14.05,13.84,13.65,14.15,,,14.1589,0,13.5345,1,3910,5954,-0.0269,-0.1165,0.0896,0
2023-12-22,14.09,14.20,13.97,14.02,13.90,13.67,14.13,,,14.1589,0,13.5874,1,2911,5907,-0.0114,-0.0955,0.0841,0
2023-12-26,14.01,14.03,13.83,13.85,13.93,13.68,14.11,,,14.1589,0,13.6483,1,3069,5880,-0.0120,-0.0788,0.0668,0
2023-12-27,13.83,13.98,13.83,13.93,13.95,13.70,14.10,,,14.1589,0,13.7031,1,3660,5884,-0.0063,-0.0643,0.0580,0
2023-12-28,13.94,14.00,13.87,13.98,13.95,13.73,14.08,,,14.1589,0,13.7525,1,4210,5873,0.0021,-0.0510,0.0531,0
2023-12-29,13.92,13.97,13.83,13.87,13.95,13.76,14.06,,,14.1589,0,13.7969,1,3356,5860,0.0003,-0.0408,0.0410,0
2024-01-02,13.65,13.86,13.63,13.79,13.94,13.78,14.04,,,14.1589,0,14.1964,0,4673,5903,-0.0080,-0.0342,0.0262,0
2024-01-03,13.72,13.76,13.60,13.69,13.91,13.77,14.03,,,14.1589,0,14.1850,0,4166,5938,-0.0220,-0.0318,0.0098,0
2024-01-04,13.73,13.73,13.46,13.58,13.87,13.79,14.01,,,14.1589,0,14.1615,0,4672,5985,-0.0418,-0.0338,-0.0080,0
2024-01-05,13.56,13.56,13.46,13.49,13.83,13.80,13.98,,,14.1589,0,14.1196,0,3875,6010,-0.0636,-0.0397,-0.0239,0
2024-01-08,13.46,13.55,13.31,13.50,13.77,13.81,13.96,,,14.1067,0,14.0803,0,4353,6054,-0.0793,-0.0476,-0.0316,0
2024-01-09,13.45,13.47,13.24,13.30,13.70,13.80,13.94,,,14.0428,0,14.0188,0,5270,6113,-0.1066,-0.0594,-0.0472,0
2024-01-10,13.23,13.29,13.12,13.27,13.64,13.78,13.92,,,13.8807,0,13.9404,0,5029,6160,-0.1290,-0.0734,-0.0557,0
2024-01-11,13.22,13.24,13.04,13.12,13.56,13.75,13.89,,,13.8134,0,13.8421,0,4562,6205,-0.1573,-0.0901,-0.0672,0
2024-01-12,13.17,13.18,12.96,13.11,13.47,13.71,13.86,,,13.7446,0,13.7292,0,5865,6268,-0.1784,-0.1078,-0.0706,0
2024-01-16,13.02,13.10,12.74,12.79,13.36,13.66,13.82,,,13.6409,0,13.6061,0,5184,6279,-0.2187,-0.1300,-0.0887,0
2024-01-17,12.66,13.01,12.65,12.94,13.28,13.61,13.79,,,13.5842,0,13.4503,0,4344,6271,-0.2357,-0.1511,-0.0846,0
2024-01-18,12.94,12.97,12.74,12.93,13.20,13.56,13.76,,,13.5842,0,13.2912,0,4338,6240,-0.2470,-0.1703,-0.0767,0
2024-01-19,12.99,13.09,12.84,13.04,13.15,13.51,13.72,,,13.5842,0,13.1640,0,3736,6251,-0.2448,-0.1852,-0.0596,0
2024-01-22,13.10,13.19,13.00,13.15,13.12,13.47,13.70,,,13.5842,0,12.6550,1,3434,6266,-0.2311,-0.1944,-0.0367,0
2024-01-23,13.26,13.38,13.04,13.05,13.07,13.42,13.67,,,13.5842,0,12.6656,1,3238,6237,-0.2261,-0.2007,-0.0254,0
2024-01-24,13.12,13.12,12.74,12.85,13.03,13.36,13.64,,,13.5842,0,12.6941,1,4908,6015,-0.2348,-0.2075,-0.0272,0
2024-01-25,12.98,12.99,12.70,12.85,12.98,13.31,13.61,,,13.5842,0,13.3781,0,5689,6053,-0.2397,-0.2139,-0.0257,0
2024-01-26,12.89,13.09,12.89,13.04,12.97,13.27,13.59,,,13.5842,0,13.3646,0,4203,6063,-0.2256,-0.2163,-0.0093,0
2024-01-29,13.05,13.07,12.91,13.04,12.97,13.22,13.56,,,13.5842,0,13.3514,0,3706,6045,-0.2120,-0.2154,0.0034,0
