Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,39.96,41.03,39.86,40.73,,,,,,,0,39.8615,1,5760,,,,,0
2023-07-19,40.88,41.12,40.41,40.61,,,,,,,0,39.8615,1,4292,,,,,0
2023-07-20,40.87,40.94,40.23,40.59,,,,,,,0,39.8615,1,5748,,,,,0
2023-07-21,40.78,41.11,40.23,41.09,,,,,,,0,39.8867,1,7554,,,,,0
2023-07-24,41.11,41.62,40.78,40.91,,,,,,,0,39.9115,1,7607,,,,,0
2023-07-25,40.82,43.28,40.77,42.98,,,,,,,0,39.9797,1,19665,,,,,0
2023-07-26,42.62,43.02,41.44,41.76,,,,,,,0,40.1776,1,17244,,,,,0
2023-07-27,41.76,42.25,39.93,39.97,,,,,,,0,43.2782,0,19552,,,,,0
2023-07-28,40.26,41.82,40.19,41.73,,,,,,,0,43.2112,0,19171,,,,,0
2023-07-31,42.01,43.09,41.71,42.75,41.31,,,,,46.5858,0,43.1455,0,11981,,,,,0
2023-08-01,42.18,42.66,41.85,42.22,41.46,,,,,46.2906,0,43.0884,0,12450,,,,,0
2023-08-02,42.22,42.22,40.90,40.91,41.49,,,,,45.5850,0,43.0884,0,9463,,,,,0
2023-08-03,40.77,41.99,40.61,41.22,41.55,,,,,45.3387,0,43.0252,0,16269,,,,,0
2023-08-04,41.24,42.78,41.24,42.46,41.69,,,,,45.3387,0,42.9632,0,15435,,,,,0
2023-08-07,42.57,43.43,42.25,42.95,41.89,,,,,45.3387,0,39.9279,1,5738,,,,,0
2023-08-08,42.10,42.55,40.85,42.52,41.85,,,,,45.3387,0,39.9980,1,18153,,,,,0
2023-08-09,42.79,44.08,42.54,43.12,41.98,,,,,45.3387,0,40.0666,1,14842,,,,,0
2023-08-10,43.51,43.52,42.59,42.78,42.26,,,,,45.3387,0,40.2274,1,7022,,,,,0
2023-08-11,42.54,43.04,42.30,42.32,42.32,,,,,45.3387,0,40.3817,1,5957,,,,,0
2023-08-14,42.03,42.29,41.05,41.94,42.24,41.78,,,,45.3387,0,40.5298,1,11127,,,,,0
