Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,16.61,16.86,16.61,16.83,,,,,,,0,16.6080,1,48865,,,,,0
2023-07-14,16.84,16.89,16.71,16.71,,,,,,,0,16.6080,1,38569,,,,,0
2023-07-17,16.71,17.06,16.68,17.04,,,,,,,0,16.6080,1,72795,,,,,0
2023-07-18,16.99,17.19,16.99,17.09,,,,,,,0,16.6261,1,50257,,,,,0
2023-07-19,17.09,17.13,16.99,17.11,,,,,,,0,16.6601,1,39099,,,,,0
2023-07-20,17.16,17.25,17.10,17.24,,,,,,,0,16.6921,1,53721,,,,,0
2023-07-21,17.25,17.33,17.16,17.31,,,,,,,0,16.7371,1,51614,,,,,0
2023-07-24,17.28,17.51,17.28,17.44,,,,,,,0,16.7969,1,53506,,,,,0
2023-07-25,17.50,17.62,17.38,17.57,,,,,,,0,16.8827,1,46037,,,,,0
2023-07-26,17.44,17.66,17.44,17.62,17.20,,,,,18.2086,0,16.9857,1,60753,,,,,0
2023-07-27,17.62,17.79,17.57,17.61,17.27,,,,,18.2086,0,17.0940,1,75502,,,,,0
2023-07-28,17.72,17.79,17.57,17.62,17.36,,,,,18.2086,0,17.2187,1,60499,,,,,0
2023-07-31,17.66,17.84,17.65,17.72,17.43,,,,,18.2086,0,17.3323,1,75374,,,,,0
2023-08-01,17.60,17.68,17.44,17.53,17.48,,,,,18.2086,0,17.4338,1,81153,,,,,0
2023-08-02,17.33,17.36,17.06,17.09,17.47,,,,,17.9601,0,17.8399,0,106050,,,,,0
2023-08-03,16.95,17.07,16.87,17.03,17.45,,,,,17.7079,0,17.8243,0,100580,,,,,0
2023-08-04,17.09,17.42,17.02,17.19,17.44,,,,,17.7079,0,17.7859,0,105387,,,,,0
2023-08-07,17.25,17.46,17.25,17.37,17.44,,,,,17.7079,0,17.7491,0,19553,,,,,0
2023-08-08,17.12,17.24,17.00,17.24,17.40,,,,,17.7079,0,17.7137,0,97164,,,,,0
2023-08-09,17.24,17.28,17.02,17.07,17.35,17.27,,,,17.7079,0,17.6798,0,58597,,,,,0
2023-08-10,17.45,17.49,17.18,17.30,17.32,17.30,,,,17.7079,0,17.6472,0,65790,,,,,0
2023-08-11,17.26,17.41,17.23,17.25,17.28,17.32,,,,17.7079,0,17.6159,0,89339,,,,,0
2023-08-14,17.13,17.18,16.91,17.09,17.22,17.32,,,,17.7079,0,17.5859,0,49187,,,,,0
2023-08-15,16.98,17.01,16.63,16.64,17.13,17.30,,,,17.7079,0,17.5570,0,62838,,,,,0
2023-08-16,16.53,16.71,16.49,16.55,17.07,17.27,,,,17.4835,0,17.5012,0,47061,,,,,0
2023-08-17,16.65,16.70,16.41,16.47,17.02,17.24,,,,17.4318,0,17.4205,0,48429,,,,,0
2023-08-18,16.40,16.40,15.99,15.99,16.90,17.17,,,,17.1243,0,17.3197,0,71215,,,,,0
2023-08-21,16.04,16.10,15.81,15.86,16.75,17.09,,,,16.8839,0,17.1599,0,112478,,,,,0
2023-08-22,15.88,15.98,15.74,15.81,16.60,17.00,,,,16.7665,0,16.9710,0,69621,,,,,0
2023-08-23,15.84,16.09,15.78,16.04,16.50,16.92,,,,16.7665,0,16.7736,0,58805,,,,,0
2023-08-24,16.07,16.15,16.00,16.13,16.38,16.85,,,,16.7665,0,16.6079,0,50674,,,,,0
2023-08-25,16.14,16.24,15.93,16.09,16.27,16.77,,,,16.7665,0,16.4686,0,50193,,,,,0
2023-08-28,16.14,16.32,16.13,16.17,16.18,16.70,,,,16.7665,0,16.3517,0,49285,,,,,0
2023-08-29,16.22,16.54,16.19,16.54,16.17,16.65,,,,16.7665,0,15.7376,1,54203,,-0.3284,-0.3447,0.0164,0
