Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,7.74,7.87,7.68,7.77,,,,,,,0,7.6800,1,403,,,,,0
2023-07-21,7.84,7.91,7.70,7.80,,,,,,,0,7.6800,1,831,,,,,0
2023-07-24,7.80,7.92,7.71,7.77,,,,,,,0,7.6800,1,941,,,,,0
2023-07-25,7.61,7.75,7.59,7.74,,,,,,,0,7.9200,0,547,,,,,0
2023-07-26,7.69,7.80,7.58,7.69,,,,,,,0,7.9200,0,562,,,,,0
2023-07-27,7.76,7.76,7.40,7.47,,,,,,,0,7.9064,0,368,,,,,0
2023-07-28,7.60,7.60,7.35,7.40,,,,,,,0,7.8760,0,289,,,,,0
2023-07-31,7.40,7.76,7.36,7.74,,,,,,,0,7.8339,0,476,,,,,0
2023-08-01,7.76,7.83,7.71,7.79,,,,,,,0,7.3500,1,1028,,,,,0
2023-08-02,7.76,7.81,7.61,7.74,7.69,,,,,8.4120,0,7.3596,1,599,,,,,0
2023-08-03,7.00,7.43,5.97,6.12,7.53,,,,,7.8628,0,7.8300,0,2110,,,,,0
2023-08-04,6.10,6.13,5.48,5.59,7.30,,,,,7.0465,0,7.8100,0,964,,,,,0
2023-08-07,5.60,5.65,5.29,5.37,7.06,,,,,6.6954,0,7.7168,0,920,,,,,0
2023-08-08,5.40,5.41,5.15,5.32,6.82,,,,,6.4608,0,7.5712,0,975,,,,,0
2023-08-09,5.33,5.46,5.32,5.37,6.59,,,,,6.4608,0,7.3775,0,829,,,,,0
2023-08-10,5.40,5.55,5.35,5.50,6.39,,,,,6.4608,0,7.1993,0,768,,,,,0
2023-08-11,5.50,5.72,5.50,5.62,6.22,,,,,6.4608,0,7.0354,0,330,,,,,0
2023-08-14,5.65,5.78,5.55,5.71,6.01,,,,,6.4608,0,6.8845,0,477,,,,,0
2023-08-15,5.69,5.71,5.40,5.66,5.80,,,,,6.4608,0,6.7458,0,611,,,,,0
2023-08-16,5.67,5.95,5.67,5.81,5.61,6.65,,,,6.4608,0,6.6181,0,491,,,,,0
2023-08-17,5.85,5.85,5.57,5.63,5.56,6.54,,,,6.4608,0,6.5007,0,382,,,,,0
2023-08-18,5.57,5.77,5.57,5.70,5.57,6.44,,,,6.4608,0,6.3926,0,235,,,,,0
2023-08-21,5.67,5.67,5.51,5.64,5.60,6.33,,,,6.4608,0,6.2932,0,362,,,,,0
2023-08-22,5.65,5.66,5.50,5.62,5.63,6.22,,,,6.4232,0,6.2017,0,342,,,,,0
2023-08-23,5.56,5.70,5.56,5.60,5.65,6.12,,,,6.4232,0,6.1176,0,321,,,,,0
2023-08-24,5.60,5.70,5.47,5.49,5.65,6.02,,,,6.3748,0,6.0402,0,358,,,,,0
2023-08-25,5.55,5.55,5.37,5.45,5.63,5.92,,,,6.2248,0,5.9690,0,228,,,,,0
2023-08-28,5.45,5.48,5.40,5.42,5.60,5.81,,,,6.1523,0,5.9035,0,202,,,,,0
2023-08-29,5.40,5.52,5.40,5.50,5.59,5.69,,,,6.1371,0,5.8432,0,131,,,,,0
2023-08-30,5.55,5.55,5.43,5.47,5.55,5.58,,,,6.1354,0,5.7877,0,127,,,,,0
2023-08-31,5.47,5.47,5.29,5.34,5.52,5.54,,,,6.0148,0,5.7367,0,271,,,,,0
2023-09-01,5.39,5.56,5.35,5.38,5.49,5.53,,,,6.0148,0,5.6898,0,152,,,,,0
2023-09-05,5.38,5.53,5.10,5.26,5.45,5.52,,,,6.0148,0,5.6466,0,651,,,,,0
2023-09-06,5.19,5.41,5.10,5.33,5.42,5.52,,,,5.9804,0,5.5919,0,457,,-0.4612,-0.5456,0.0844,0
2023-09-07,5.32,5.33,5.13,5.22,5.39,5.52,,,,5.9428,0,5.5427,0,852,,-0.4475,-0.5260,0.0785,0
2023-09-08,5.27,5.31,5.08,5.24,5.36,5.50,,,,5.9055,0,5.4985,0,266,,-0.4301,-0.5068,0.0767,0
2023-09-11,5.29,5.42,5.24,5.32,5.35,5.49,,,,5.9055,0,5.4482,0,335,,-0.4052,-0.4865,0.0813,0
2023-09-12,5.30,5.48,5.30,5.40,5.35,5.47,,,,5.9055,0,5.0800,1,129,,-0.3747,-0.4641,0.0895,0
2023-09-13,5.44,5.57,5.37,5.44,5.34,5.46,,,,5.9055,0,5.0880,1,278,,-0.3433,-0.4400,0.0967,0
2023-09-14,5.51,5.69,5.37,5.58,5.35,5.45,,,,5.9055,0,5.1073,1,352,,-0.3036,-0.4127,0.1091,0
2023-09-15,5.57,5.85,5.49,5.63,5.38,5.45,,,,5.9055,0,5.1422,1,1696,,-0.2651,-0.3832,0.1181,0
2023-09-18,5.70,5.72,5.39,5.43,5.38,5.44,,,,5.9055,0,5.1989,1,216,,-0.2479,-0.3561,0.1083,0
2023-09-19,5.37,5.75,5.37,5.50,5.41,5.43,,,,5.9055,0,5.2510,1,351,,-0.2259,-0.3301,0.1041,0
2023-09-20,5.46,5.59,5.36,5.38,5.41,5.42,,,,5.9055,0,5.2989,1,264,,-0.2158,-0.3072,0.0915,0
2023-09-21,5.39,5.59,5.35,5.54,5.45,5.42,,,,5.9055,0,5.3430,1,211,,-0.1926,-0.2843,0.0917,0
2023-09-22,5.50,5.55,5.43,5.43,5.47,5.41,,,,5.9055,0,5.3500,1,453,,-0.1810,-0.2636,0.0827,0
2023-09-25,5.45,5.51,5.36,5.43,5.48,5.41,,,,5.9055,0,5.3500,1,446,,-0.1698,-0.2449,0.0750,0
2023-09-26,5.34,5.43,5.34,5.37,5.47,5.41,,,,5.9055,0,5.8500,0,264,,-0.1639,-0.2287,0.0647,0
2023-09-27,5.38,5.61,5.34,5.50,5.48,5.41,,,,5.9055,0,5.8398,0,188,,-0.1471,-0.2124,0.0653,0
2023-09-28,5.55,5.83,5.50,5.54,5.47,5.41,5.94,,,5.9055,0,5.3400,1,173,504,-0.1290,-0.1957,0.0667,0
2023-09-29,5.55,5.65,5.43,5.45,5.46,5.42,5.89,,,5.9055,0,5.3400,1,213,500,-0.1206,-0.1807,0.0601,0
2023-10-02,5.48,5.48,4.96,5.04,5.42,5.40,5.83,,,5.9055,0,5.8300,0,716,498,-0.1453,-0.1736,0.0283,0
2023-10-03,5.05,5.18,5.02,5.10,5.38,5.39,5.78,,,5.8610,0,5.8126,0,320,486,-0.1582,-0.1705,0.0123,0
2023-10-04,5.20,5.44,4.99,5.24,5.36,5.39,5.73,,,5.8610,0,5.7955,0,771,490,-0.1554,-0.1675,0.0121,0
2023-10-05,5.27,5.27,5.09,5.19,5.33,5.39,5.68,,,5.8610,0,5.7788,0,402,487,-0.1554,-0.1651,0.0097,0
2023-10-06,5.23,5.36,5.21,5.25,5.31,5.39,5.64,,,5.8610,0,5.7625,0,278,485,-0.1488,-0.1618,0.0130,0
2023-10-09,5.29,5.62,5.17,5.58,5.33,5.40,5.60,,,5.8610,0,5.7464,0,244,484,-0.1156,-0.1526,0.0369,0
2023-10-10,5.49,5.59,5.38,5.39,5.33,5.40,5.55,,,5.8610,0,5.7307,0,259,480,-0.1035,-0.1428,0.0393,0
2023-10-11,5.48,5.48,5.24,5.36,5.31,5.40,5.50,,,5.8610,0,5.7153,0,291,465,-0.0952,-0.1332,0.0381,0
2023-10-12,5.36,5.41,5.14,5.18,5.28,5.38,5.45,,,5.8610,0,5.7002,0,413,462,-0.1019,-0.1270,0.0250,0
2023-10-13,5.24,5.26,5.09,5.15,5.25,5.35,5.43,,,5.8610,0,5.6854,0,294,425,-0.1085,-0.1233,0.0148,0
2023-10-16,5.24,5.31,5.21,5.25,5.27,5.34,5.43,,,5.8610,0,5.6709,0,135,409,-0.1044,-0.1195,0.0151,0
2023-10-17,5.26,5.38,5.20,5.36,5.29,5.34,5.43,,,5.8610,0,5.6566,0,364,398,-0.0912,-0.1138,0.0226,0
2023-10-18,5.36,5.49,5.24,5.30,5.30,5.33,5.43,,,5.8610,0,5.6427,0,572,389,-0.0846,-0.1080,0.0234,0
