Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,10.62,10.68,10.41,10.44,,,,,,,0,10.6800,0,1537,,,,,0
2023-07-20,10.41,10.50,10.24,10.26,,,,,,,0,10.6800,0,2547,,,,,0
2023-07-21,10.35,10.62,10.35,10.42,,,,,,,0,10.6800,0,2556,,,,,0
2023-07-24,10.39,10.44,10.20,10.41,,,,,,,0,10.6712,0,2167,,,,,0
2023-07-25,10.40,10.54,10.37,10.39,,,,,,,0,10.6524,0,1997,,,,,0
2023-07-26,10.44,10.56,10.36,10.55,,,,,,,0,10.6343,0,1833,,,,,0
2023-07-27,10.57,10.57,10.11,10.17,,,,,,,0,10.6169,0,3670,,,,,0
2023-07-28,10.18,10.52,10.18,10.28,,,,,,,0,10.5865,0,2302,,,,,0
2023-07-31,10.24,10.40,10.19,10.21,,,,,,,0,10.5700,0,2335,,,,,0
2023-08-01,10.22,11.02,10.15,11.01,10.41,,,,,11.6020,0,10.1100,1,5951,,,,,0
2023-08-02,10.97,11.96,10.97,11.76,10.55,,,,,10.2527,1,10.1282,1,9033,,,,,0
2023-08-03,11.71,12.19,11.62,11.70,10.69,,,,,10.6429,1,10.1500,1,3818,,,,,0
2023-08-04,11.75,12.00,11.33,11.84,10.83,,,,,10.6429,1,10.2724,1,7355,,,,,0
2023-08-07,11.84,12.13,11.58,11.97,10.99,,,,,10.6429,1,10.3875,1,3662,,,,,0
2023-08-08,11.93,11.93,11.58,11.67,11.12,,,,,10.6429,1,10.4956,1,2168,,,,,0
2023-08-09,11.62,11.74,11.47,11.61,11.22,,,,,10.6429,1,10.5973,1,2766,,,,,0
2023-08-10,11.64,11.78,11.44,11.46,11.35,,,,,10.6429,1,10.6928,1,2420,,,,,0
2023-08-11,11.44,11.60,11.32,11.41,11.46,,,,,10.6429,1,10.7827,1,2144,,,,,0
2023-08-14,11.40,11.72,11.30,11.68,11.61,,,,,10.6429,1,10.8671,1,2649,,,,,0
2023-08-15,12.00,12.66,11.86,12.34,11.74,11.08,,,,10.8609,1,10.9465,1,17008,,,,,0
2023-08-16,12.36,12.41,11.20,11.25,11.69,11.12,,,,10.8609,1,11.0836,1,9152,,,,,0
2023-08-17,11.00,11.15,10.66,10.94,11.62,11.15,,,,10.8609,1,12.6600,0,4582,,,,,0
2023-08-18,10.89,11.19,10.80,11.01,11.53,11.18,,,,10.8609,1,12.6200,0,3759,,,,,0
2023-08-21,11.22,11.50,11.01,11.20,11.46,11.22,,,,10.8609,1,12.5808,0,5535,,,,,0
2023-08-22,11.41,11.45,10.91,11.13,11.40,11.26,,,,10.8609,1,12.5424,0,4553,,,,,0
2023-08-23,11.12,11.19,10.87,10.98,11.34,11.28,,,,10.8609,1,12.5047,0,2790,,,,,0
2023-08-24,10.98,10.99,10.72,10.73,11.27,11.31,,,,12.3042,0,12.4678,0,2066,,,,,0
2023-08-25,10.68,10.89,10.60,10.79,11.20,11.33,,,,12.1363,0,12.4317,0,2620,,,,,0
2023-08-28,10.80,11.12,10.80,11.04,11.14,11.38,,,,12.1363,0,12.3584,0,4020,,,,,0
2023-08-29,11.06,11.26,11.03,11.17,11.02,11.38,,,,12.1363,0,12.2881,0,2952,,,,,0
2023-08-30,11.15,11.41,11.10,11.24,11.02,11.36,,,,12.1363,0,12.2206,0,4789,,,,,0
2023-08-31,11.31,11.37,11.10,11.17,11.05,11.33,,,,12.1363,0,12.1557,0,3918,,,,,0
2023-09-01,11.25,11.46,11.23,11.35,11.08,11.31,,,,12.1363,0,12.0935,0,2467,,,,,0
2023-09-05,11.36,11.45,11.15,11.30,11.09,11.27,,,,12.1363,0,12.0338,0,3430,,0.0783,0.0736,0.0047,0
2023-09-06,13.53,13.98,12.61,12.90,11.27,11.33,,,,11.4607,1,10.6000,1,42325,,0.2095,0.1008,0.1087,0
2023-09-07,13.18,13.18,12.32,12.34,11.40,11.37,,,,11.4607,1,10.6676,1,13807,,0.2652,0.1337,0.1315,0
2023-09-08,12.43,12.58,12.06,12.12,11.54,11.40,,,,11.4607,1,10.7338,1,8895,,0.2883,0.1646,0.1237,0
2023-09-11,12.25,12.72,12.18,12.58,11.72,11.46,,,,11.4607,1,10.7988,1,5238,,0.3398,0.1997,0.1402,0
2023-09-12,12.52,12.74,12.34,12.46,11.86,11.50,,,,11.4607,1,10.8624,1,4236,,0.3667,0.2331,0.1337,0
2023-09-13,12.54,12.84,12.33,12.74,12.02,11.52,,,,11.4607,1,10.9247,1,6864,,0.4060,0.2676,0.1383,0
2023-09-14,12.74,13.02,12.59,12.99,12.19,11.61,,,,11.4607,1,10.9859,1,6673,,0.4520,0.3045,0.1475,0
2023-09-15,13.53,13.57,11.47,11.92,12.27,11.66,,,,11.4607,1,11.0457,1,24186,,0.3976,0.3231,0.0745,0
2023-09-18,11.93,12.07,11.44,11.58,12.29,11.69,,,,11.4607,1,11.1044,1,9682,,0.3233,0.3232,0.0001,0
2023-09-19,11.57,11.57,11.26,11.36,12.30,11.69,,,,13.4487,0,11.1619,1,5260,,0.2439,0.3073,-0.0634,0
2023-09-20,11.41,11.46,11.19,11.20,12.13,11.70,,,,13.2363,0,13.9800,0,3350,,0.1661,0.2791,-0.1130,0
2023-09-21,11.09,11.20,10.79,10.82,11.98,11.69,,,,12.8382,0,13.9242,0,6230,,0.0729,0.2378,-0.1649,0
2023-09-22,10.90,10.97,10.65,10.70,11.83,11.69,,,,12.5649,0,13.7988,0,5311,,-0.0105,0.1882,-0.1986,0
2023-09-25,10.79,10.79,10.39,10.49,11.63,11.67,,,,12.2894,0,13.6099,0,4003,,-0.0924,0.1321,-0.2245,0
2023-09-26,10.41,10.63,10.36,10.52,11.43,11.65,,,,12.1054,0,13.3523,0,4115,,-0.1532,0.0750,-0.2282,0
2023-09-27,10.53,10.78,10.50,10.56,11.21,11.62,11.28,,,12.1054,0,13.0531,0,3488,5804,-0.1959,0.0208,-0.2167,0
2023-09-28,10.54,10.92,10.54,10.73,10.99,11.59,11.29,,,12.1054,0,12.7838,0,4459,5863,-0.2135,-0.0260,-0.1875,0
2023-09-29,10.78,10.91,10.60,10.72,10.87,11.57,11.30,,,12.1054,0,12.5414,0,5388,5920,-0.2257,-0.0660,-0.1597,0
2023-10-02,10.72,10.88,10.44,10.56,10.77,11.53,11.30,,,12.0859,0,12.3233,0,3946,5947,-0.2454,-0.1019,-0.1436,0
2023-10-03,10.56,10.62,10.30,10.54,10.68,11.49,11.30,,,11.8393,0,12.1269,0,5268,6009,-0.2597,-0.1334,-0.1263,0
