Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,33.40,34.34,33.29,34.04,,,,,,,0,33.2940,1,1067,,,,,0
2023-07-14,33.93,34.72,33.64,34.71,,,,,,,0,33.2940,1,989,,,,,0
2023-07-17,34.69,35.72,34.23,35.06,,,,,,,0,33.2940,1,1247,,,,,0
2023-07-18,35.22,35.73,35.21,35.59,,,,,,,0,33.3910,1,2216,,,,,0
2023-07-19,34.26,35.06,34.18,35.05,,,,,,,0,33.5313,1,965,,,,,0
2023-07-20,35.06,36.10,35.02,36.00,,,,,,,0,33.6631,1,1547,,,,,0
2023-07-21,36.27,36.55,36.00,36.52,,,,,,,0,33.8580,1,1472,,,,,0
2023-07-24,36.49,36.70,36.03,36.63,,,,,,,0,34.1275,1,1048,,,,,0
2023-07-25,36.34,36.52,36.14,36.28,,,,,,,0,34.4368,1,724,,,,,0
2023-07-26,36.47,36.59,35.85,36.07,35.59,,,,,38.9873,0,34.7090,1,716,,,,,0
2023-07-27,36.41,36.84,35.87,36.17,35.81,,,,,38.9873,0,34.9485,1,657,,,,,0
2023-07-28,36.28,36.49,36.10,36.31,35.97,,,,,38.9104,0,35.2129,1,540,,,,,0
2023-07-31,36.48,36.48,35.57,35.95,36.06,,,,,38.6514,0,35.4404,1,1332,,,,,0
2023-08-01,35.67,36.26,35.67,35.92,36.09,,,,,38.5079,0,35.5679,1,663,,,,,0
2023-08-02,35.11,36.52,35.11,35.56,36.14,,,,,38.5079,0,36.8375,0,807,,,,,0
2023-08-03,35.72,35.92,34.65,35.62,36.10,,,,,38.1023,0,36.8030,0,620,,,,,0
2023-08-04,36.33,36.33,34.78,34.79,35.93,,,,,38.1023,0,36.7169,0,885,,,,,0
