Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,36.25,36.39,36.00,36.27,,,,,,,0,35.9954,1,270011,,,,,0
2023-07-14,36.34,36.35,36.08,36.19,,,,,,,0,35.9954,1,221100,,,,,0
2023-07-17,36.06,36.19,35.96,36.11,,,,,,,0,36.3852,0,203457,,,,,0
2023-07-18,36.12,36.36,36.00,36.11,,,,,,,0,36.3768,0,241979,,,,,0
2023-07-19,36.28,36.39,36.08,36.11,,,,,,,0,35.9635,1,277013,,,,,0
2023-07-20,36.35,36.48,36.23,36.33,,,,,,,0,35.9720,1,302169,,,,,0
2023-07-21,36.34,36.37,36.08,36.28,,,,,,,0,35.9923,1,292127,,,,,0
2023-07-24,36.26,36.50,36.26,36.28,,,,,,,0,36.0119,1,227922,,,,,0
2023-07-25,36.20,36.28,35.93,36.17,,,,,,,0,36.5046,0,293885,,,,,0
2023-07-26,36.15,36.47,36.07,36.25,36.21,,,,,37.2334,0,36.5046,0,224788,,,,,0
2023-07-27,36.33,36.56,36.26,36.28,36.21,,,,,37.2334,0,35.9317,1,207567,,,,,0
2023-07-28,36.35,36.47,36.15,36.19,36.21,,,,,37.2334,0,35.9443,1,268664,,,,,0
2023-07-31,36.04,36.28,35.97,36.14,36.21,,,,,37.0828,0,35.9566,1,393664,,,,,0
2023-08-01,36.35,36.77,35.74,35.95,36.20,,,,,37.0828,0,36.5603,0,447409,,,,,0
2023-08-02,35.84,35.86,35.10,35.46,36.13,,,,,36.7852,0,36.7672,0,509493,,,,,0
2023-08-03,35.41,35.45,35.09,35.25,36.03,,,,,36.5558,0,36.7672,0,437914,,,,,0
2023-08-04,35.22,35.41,34.95,35.01,35.90,,,,,36.4739,0,36.6664,0,355392,,,,,0
2023-08-07,35.03,35.19,34.94,35.10,35.78,,,,,36.3091,0,36.5287,0,347414,,,,,0
2023-08-08,35.01,35.26,34.79,35.20,35.68,,,,,36.2833,0,36.3696,0,270094,,,,,0
2023-08-09,35.22,35.49,35.06,35.08,35.57,35.89,,,,36.2833,0,36.1805,0,238628,,,,,0
2023-08-10,35.10,35.28,34.87,34.95,35.43,35.82,,,,36.2833,0,36.0141,0,289780,,,,,0
2023-08-11,34.92,34.95,34.71,34.79,35.29,35.75,,,,36.0269,0,35.8677,0,313295,,,,,0
2023-08-14,34.85,34.96,34.56,34.63,35.14,35.68,,,,35.9625,0,35.7051,0,306125,,,,,0
2023-08-15,34.52,34.52,34.22,34.27,34.97,35.59,,,,35.5767,0,35.5224,0,294207,,,,,0
2023-08-16,34.23,34.39,33.98,34.01,34.83,35.48,,,,35.3910,0,35.2882,0,295343,,,,,0
2023-08-17,34.05,34.22,33.78,33.87,34.69,35.36,,,,35.2187,0,35.0270,0,302247,,,,,0
2023-08-18,33.87,34.31,33.86,34.14,34.61,35.25,,,,35.2187,0,34.7783,0,295976,,,,,0
2023-08-21,34.07,34.23,33.87,34.00,34.49,35.14,,,,35.2187,0,34.5793,0,232596,,,,,0
2023-08-22,34.00,34.19,33.97,34.03,34.38,35.03,,,,35.2187,0,34.4201,0,292808,,,,,0
2023-08-23,34.20,34.32,34.05,34.31,34.30,34.93,,,,35.2187,0,33.7835,1,286705,,,,,0
2023-08-24,34.28,34.63,34.19,34.53,34.26,34.85,,,,35.2187,0,33.7941,1,360454,,,,,0
2023-08-25,34.70,34.91,34.56,34.75,34.25,34.77,,,,35.2187,0,33.8277,1,306000,,,,,0
2023-08-28,34.80,35.09,34.80,34.98,34.29,34.72,,,,35.2187,0,33.8929,1,222972,,,,,0
2023-08-29,35.04,35.27,34.69,35.18,34.38,34.68,,,,35.2187,0,33.9885,1,357262,,-0.4215,-0.6681,0.2466,0
