Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,96.88,98.18,96.88,97.87,,,,,,,0,98.1774,0,773911,,,,,0
2023-07-17,97.59,97.96,96.00,96.25,,,,,,,0,98.1774,0,778727,,,,,0
2023-07-18,96.54,97.58,96.05,96.60,,,,,,,0,98.1774,0,794530,,,,,0
2023-07-19,96.79,97.90,96.56,96.60,,,,,,,0,98.1339,0,700181,,,,,0
2023-07-20,97.15,99.34,96.70,98.89,,,,,,,0,95.9983,1,875598,,,,,0
2023-07-21,99.13,100.86,98.82,100.65,,,,,,,0,96.0651,1,904536,,,,,0
2023-07-24,100.28,100.60,98.93,99.19,,,,,,,0,96.2568,1,657690,,,,,0
2023-07-25,98.14,99.13,97.85,98.04,,,,,,,0,96.4408,1,698805,,,,,0
2023-07-26,97.38,98.48,96.70,97.69,,,,,,,0,96.6175,1,754555,,,,,0
2023-07-27,97.78,98.12,95.89,95.98,97.78,,,,,102.3998,0,100.8580,0,1033025,,,,,0
2023-07-28,96.13,97.24,95.95,96.96,97.68,,,,,101.8357,0,100.7586,0,734150,,,,,0
2023-07-31,97.15,97.35,96.34,97.24,97.78,,,,,101.8357,0,100.6612,0,788943,,,,,0
2023-08-01,99.93,99.93,95.86,95.99,97.72,,,,,101.8357,0,100.5658,0,1053769,,,,,0
2023-08-02,96.67,98.60,95.62,96.37,97.70,,,,,101.8357,0,100.3776,0,1149329,,,,,0
2023-08-03,95.81,96.45,95.62,96.40,97.45,,,,,101.7273,0,100.0924,0,638535,,,,,0
2023-08-04,96.32,97.03,95.29,95.73,96.96,,,,,101.7273,0,99.7342,0,703574,,,,,0
2023-08-07,96.00,96.90,95.21,96.73,96.71,,,,,101.6466,0,99.2895,0,876208,,,,,0
2023-08-08,96.36,97.73,96.36,97.02,96.61,,,,,101.6466,0,98.7994,0,1080296,,,,,0
2023-08-09,96.89,97.37,96.45,96.74,96.52,,,,,101.6466,0,98.3681,0,687475,,,,,0
2023-08-10,96.84,97.59,96.12,96.25,96.54,97.16,,,,101.6466,0,97.9885,0,688918,,,,,0
2023-08-11,96.60,98.20,96.27,97.96,96.64,97.16,,,,101.6466,0,95.2051,1,634358,,,,,0
2023-08-14,98.40,99.77,97.84,99.30,96.85,97.32,,,,101.6466,0,95.2651,1,917806,,,,,0
