Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,126.52,128.06,126.06,126.61,,,,,,,0,128.0600,0,319234,,,,,0
2023-07-14,124.52,124.88,120.58,121.35,,,,,,,0,128.0600,0,498093,,,,,0
2023-07-17,120.60,122.84,120.07,122.60,,,,,,,0,128.0600,0,328789,,,,,0
2023-07-18,122.60,125.49,121.75,122.61,,,,,,,0,127.7404,0,347636,,,,,0
2023-07-19,123.49,126.78,123.22,125.17,,,,,,,0,127.4336,0,379140,,,,,0
2023-07-20,124.58,127.48,124.58,124.77,,,,,,,0,120.0700,1,327197,,,,,0
2023-07-21,125.73,127.22,121.61,126.43,,,,,,,0,120.2182,1,919007,,,,,0
2023-07-24,126.43,126.46,121.28,123.01,,,,,,,0,120.3634,1,510442,,,,,0
2023-07-25,123.18,125.36,121.78,121.87,,,,,,,0,120.5058,1,347610,,,,,0
2023-07-26,121.87,121.95,118.90,120.65,123.51,,,,,132.1340,0,127.4800,0,311711,,,,,0
2023-07-27,121.50,122.14,118.25,118.51,122.70,,,,,131.9001,0,127.3084,0,301632,,,,,0
2023-07-28,119.23,120.23,118.48,118.66,122.43,,,,,130.4146,0,126.9461,0,283360,,,,,0
2023-07-31,118.72,119.04,117.05,117.66,121.93,,,,,128.5916,0,126.5982,0,371982,,,,,0
2023-08-01,117.00,117.05,113.77,113.94,121.07,,,,,126.0692,0,126.0253,0,553771,,,,,0
2023-08-02,112.60,114.12,110.04,110.22,119.57,,,,,122.8991,0,125.0449,0,500509,,,,,0
2023-08-03,108.63,114.77,108.26,109.95,118.09,,,,,122.8991,0,123.5444,0,661580,,,,,0
2023-08-04,108.89,111.68,107.60,108.19,116.27,,,,,121.3852,0,121.7103,0,436547,,,,,0
2023-08-07,106.53,106.53,98.43,101.20,114.09,,,,,115.9787,0,119.7348,0,1036177,,,,,0
2023-08-08,101.36,101.82,98.86,99.74,111.87,,,,,113.3808,0,116.3261,0,469187,,,,,0
2023-08-09,99.57,102.85,98.64,101.82,109.99,116.75,,,,113.3808,0,113.4627,0,382690,,,,,0
2023-08-10,102.88,104.17,99.69,100.28,108.17,115.43,,,,113.3808,0,111.0575,0,311831,,,,,0
2023-08-11,99.08,102.02,98.95,101.49,106.45,114.44,,,,113.1440,0,109.0371,0,289987,,,,,0
2023-08-14,100.87,100.87,97.80,100.00,104.68,113.31,,,,111.8351,0,107.3399,0,303790,,,,,0
2023-08-15,98.73,98.93,96.10,96.41,102.93,112.00,,,,109.9359,0,105.6228,0,311067,,,,,0
2023-08-16,95.46,99.74,95.02,98.92,101.80,110.69,,,,109.9359,0,103.7190,0,514246,,,,,0
2023-08-17,98.99,106.58,98.92,106.24,101.43,109.76,,,,109.9359,0,95.0200,1,800561,,,,,0
2023-08-18,105.90,107.26,101.40,101.62,100.77,108.52,,,,109.9359,0,95.0200,1,420443,,,,,0
2023-08-21,101.99,112.32,101.82,111.08,101.76,107.92,,,,91.2361,1,95.5096,1,860570,,,,,0
2023-08-22,112.50,116.88,112.46,116.24,103.41,107.64,,,,98.6795,1,96.5182,1,824793,,,,,0
2023-08-23,117.34,117.68,111.85,115.46,104.77,107.38,,,,98.6795,1,98.1472,1,435053,,,,,0
2023-08-24,114.93,115.37,112.58,112.65,106.01,107.09,,,,98.6795,1,100.1004,1,306318,,,,,0
