Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,63.47,63.94,62.85,63.82,,,,,,,0,62.8476,1,734655,,,,,0
2023-07-14,63.59,64.82,62.98,63.37,,,,,,,0,62.8476,1,888162,,,,,0
2023-07-17,63.09,64.94,62.64,64.44,,,,,,,0,64.8157,0,738497,,,,,0
2023-07-18,63.66,64.40,63.05,64.22,,,,,,,0,64.9442,0,674928,,,,,0
2023-07-19,64.90,65.03,64.08,64.24,,,,,,,0,62.6400,1,614775,,,,,0
2023-07-20,63.69,64.83,63.54,63.98,,,,,,,0,62.6878,1,824481,,,,,0
2023-07-21,64.57,65.43,63.63,64.92,,,,,,,0,62.7347,1,1611064,,,,,0
2023-07-24,64.64,65.90,64.50,64.76,,,,,,,0,62.8425,1,672656,,,,,0
2023-07-25,64.68,65.27,64.36,64.95,,,,,,,0,63.0262,1,565564,,,,,0
2023-07-26,64.28,67.13,64.28,66.64,64.53,,,,,70.4527,0,63.1988,1,1005350,,,,,0
2023-07-27,69.70,71.54,69.19,70.28,65.18,,,,,70.4527,0,63.5133,1,1781604,,,,,0
2023-07-28,70.79,71.33,69.88,70.41,65.88,,,,,70.4527,0,64.2816,1,849622,,,,,0
2023-07-31,70.33,70.98,70.09,70.60,66.50,,,,,65.2198,1,65.0075,1,799125,,,,,0
2023-08-01,70.22,70.29,69.12,69.98,67.08,,,,,65.2198,1,65.6608,1,929864,,,,,0
2023-08-02,68.98,69.08,66.60,67.42,67.39,,,,,65.2198,1,66.2488,1,954680,,,,,0
2023-08-03,66.82,68.62,66.42,68.42,67.84,,,,,65.2198,1,71.5405,0,766182,,,,,0
2023-08-04,68.73,70.15,68.37,69.14,68.26,,,,,65.2198,1,71.4381,0,786872,,,,,0
2023-08-07,69.08,69.45,68.07,68.61,68.64,,,,,65.2198,1,71.3376,0,731092,,,,,0
