Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,36.17,36.89,35.95,36.41,,,,,,,0,36.8880,0,54661,,,,,0
2023-07-14,36.00,36.00,34.50,34.57,,,,,,,0,36.8880,0,61113,,,,,0
2023-07-17,34.56,35.01,34.46,34.61,,,,,,,0,36.8880,0,50939,,,,,0
2023-07-18,34.56,35.89,34.46,35.62,,,,,,,0,36.7910,0,74545,,,,,0
2023-07-19,35.86,36.73,35.44,35.88,,,,,,,0,34.4612,1,72615,,,,,0
2023-07-20,36.39,36.50,35.75,36.16,,,,,,,0,34.4612,1,55548,,,,,0
2023-07-21,36.43,36.58,36.03,36.52,,,,,,,0,34.5066,1,54464,,,,,0
2023-07-24,36.78,37.46,36.71,37.00,,,,,,,0,34.5510,1,63620,,,,,0
2023-07-25,37.06,37.75,36.87,37.40,,,,,,,0,34.6674,1,214061,,,,,0
2023-07-26,37.08,37.49,36.85,37.19,36.14,,,,,40.1330,0,34.8526,1,48975,,,,,0
2023-07-27,37.56,37.72,36.73,36.93,36.19,,,,,40.1330,0,35.0266,1,49057,,,,,0
2023-07-28,37.23,37.66,36.74,37.50,36.48,,,,,40.1330,0,35.1902,1,39057,,,,,0
2023-07-31,37.88,38.20,37.54,38.19,36.84,,,,,40.1330,0,35.3439,1,69219,,,,,0
2023-08-01,37.83,38.04,37.24,37.95,37.07,,,,,40.1330,0,35.5726,1,55229,,,,,0
2023-08-02,37.50,37.60,36.54,36.90,37.17,,,,,40.0637,0,35.7831,1,87952,,,,,0
2023-08-03,37.24,38.48,36.52,38.21,37.38,,,,,40.0637,0,35.9767,1,104738,,,,,0
2023-08-04,38.55,38.92,37.89,38.53,37.58,,,,,40.0637,0,36.2266,1,80138,,,,,0
2023-08-07,38.39,38.68,37.98,38.46,37.72,,,,,40.0637,0,36.5174,1,51891,,,,,0
